Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
1128.000;45.120;3.139;130.470;-22.717;-12.675;139.031;-21.056;-23.574;111.626;-23.974;-9.633;109.054;0.254;18.685;138.645;-22.302;30.291;110.598;-27.258;18.435;109.050;-1.484;3.688;102.316;-26.698
1129.000;45.160;3.135;130.470;-22.717;-12.681;139.027;-21.057;-23.573;111.618;-23.975;-9.641;109.047;0.249;18.677;138.650;-22.301;30.304;110.611;-27.253;18.402;109.014;-1.503;3.689;102.317;-26.698
1130.000;45.200;3.136;130.465;-22.719;-12.685;139.010;-21.054;-23.535;111.586;-23.966;-9.637;109.015;0.279;18.672;138.662;-22.301;30.346;110.636;-27.256;18.333;108.815;-1.561;3.698;102.313;-26.701
1131.000;45.240;3.133;130.457;-22.733;-12.693;138.991;-21.057;-23.486;111.541;-23.859;-9.613;109.026;0.409;18.658;138.681;-22.320;30.413;110.677;-27.240;18.323;108.487;-1.566;3.707;102.312;-26.705
1132.000;45.280;3.134;130.454;-22.770;-12.697;138.992;-21.068;-23.390;111.478;-23.602;-9.487;109.221;0.659;18.646;138.709;-22.376;30.487;110.709;-27.175;18.351;107.862;-1.512;3.715;102.308;-26.710
1133.000;45.320;3.124;130.458;-22.830;-12.703;139.004;-21.095;-23.264;111.393;-23.150;-9.272;109.688;1.077;18.628;138.744;-22.483;30.549;110.717;-27.004;18.391;106.714;-1.366;3.727;102.306;-26.715
1134.000;45.360;3.114;130.465;-22.920;-12.712;139.022;-21.164;-23.097;111.265;-22.474;-8.921;110.537;1.641;18.607;138.781;-22.632;30.549;110.673;-26.659;18.345;104.926;-1.165;3.715;102.326;-26.704
1135.000;45.400;3.100;130.463;-23.057;-12.733;139.061;-21.300;-22.885;111.151;-21.506;-8.430;111.925;2.376;18.577;138.803;-22.790;30.476;110.554;-26.099;18.187;102.489;-1.002;3.718;102.318;-26.715
1136.000;45.440;3.085;130.461;-23.217;-12.748;139.121;-21.470;-22.632;111.077;-20.125;-7.752;114.024;3.233;18.555;138.799;-22.924;30.359;110.394;-25.258;17.893;99.673;-1.049;3.739;102.307;-26.751
