Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
3728.000;149.120;2.374;135.027;-5.998;-13.553;143.632;-6.666;-23.022;115.820;-8.944;-19.994;110.254;18.661;17.983;143.283;-6.337;27.689;114.403;-8.991;24.504;109.920;18.852;2.392;109.191;-5.034
3729.000;149.160;2.395;135.022;-6.012;-13.526;143.639;-6.673;-23.013;115.838;-8.979;-20.028;110.287;18.634;18.010;143.263;-6.345;27.707;114.378;-8.989;24.551;109.910;18.859;2.396;109.188;-5.045
3730.000;149.200;2.409;135.018;-6.022;-13.507;143.644;-6.677;-23.014;115.855;-9.017;-20.066;110.280;18.595;18.025;143.248;-6.355;27.738;114.358;-8.989;24.604;109.869;18.862;2.401;109.185;-5.053
3731.000;149.240;2.419;135.012;-6.030;-13.493;143.644;-6.672;-23.026;115.867;-9.032;-20.089;110.245;18.563;18.035;143.237;-6.362;27.791;114.348;-8.978;24.654;109.778;18.880;2.408;109.183;-5.059
3732.000;149.280;2.417;135.007;-6.036;-13.495;143.655;-6.649;-23.053;115.908;-9.020;-20.066;110.226;18.544;18.031;143.238;-6.366;27.880;114.361;-8.971;24.697;109.587;18.894;2.411;109.182;-5.066
3733.000;149.320;2.405;135.018;-6.052;-13.507;143.716;-6.636;-23.091;115.988;-8.777;-19.695;110.494;18.769;18.015;143.272;-6.355;28.054;114.434;-8.969;24.689;109.172;18.895;2.408;109.184;-5.084
3734.000;149.360;2.401;135.058;-6.098;-13.502;143.787;-6.715;-23.355;116.031;-7.925;-18.540;111.942;19.726;17.988;143.370;-6.314;28.386;114.637;-8.889;24.512;108.284;18.875;2.413;109.191;-5.138
3735.000;149.400;2.410;135.083;-6.177;-13.480;143.827;-6.900;-23.904;116.053;-6.130;-16.699;114.735;21.357;17.951;143.478;-6.221;28.855;114.881;-8.645;24.143;106.582;18.694;2.437;109.193;-5.245
3736.000;149.440;2.416;135.105;-6.251;-13.453;143.869;-7.040;-24.381;116.247;-3.606;-14.554;118.267;22.981;17.910;143.572;-6.073;29.285;115.063;-8.126;23.764;103.959;18.216;2.472;109.192;-5.399
3737.000;149.480;2.409;135.142;-6.296;-13.440;143.971;-7.063;-24.642;116.823;-0.622;-12.180;122.592;24.159;17.866;143.675;-5.918;29.353;115.126;-7.285;23.608;100.498;17.380;2.506;109.206;-5.553
3738.000;149.520;2.377;135.184;-6.327;-13.431;144.119;-7.108;-24.550;117.860;2.684;-9.693;127.484;24.699;17.815;143.745;-5.799;29.048;115.036;-6.177;23.716;96.569;16.002;2.536;109.232;-5.681
3739.000;149.560;2.341;135.211;-6.351;-13.378;144.287;-7.126;-24.166;119.321;5.849;-7.622;132.159;24.646;17.800;143.704;-5.711;28.572;114.737;-5.002;23.883;92.782;13.960;2.563;109.257;-5.781
3740.000;149.600;2.298;135.223;-6.369;-13.339;144.509;-7.094;-23.553;120.994;8.561;-6.043;136.428;24.150;17.797;143.604;-5.675;28.023;114.362;-3.981;24.149;89.674;11.273;2.563;109.258;-5.844
3741.000;149.640;2.275;135.247;-6.375;-13.255;144.768;-7.043;-22.900;122.710;10.730;-4.853;140.021;23.319;17.814;143.522;-5.685;27.455;114.128;-3.362;24.539;87.708;8.277;2.548;109.261;-5.852
3742.000;149.680;2.283;135.280;-6.361;-13.159;145.000;-6.963;-22.363;124.253;12.359;-3.971;142.800;22.240;17.854;143.523;-5.728;27.171;114.084;-3.767;25.012;86.970;5.732;2.508;109.256;-5.829
3743.000;149.720;2.277;135.325;-6.337;-13.098;145.174;-6.831;-21.999;125.479;13.516;-3.392;144.809;21.060;17.873;143.583;-5.923;27.313;114.168;-4.830;25.671;86.928;4.130;2.440;109.258;-5.756
3744.000;149.760;2.257;135.343;-6.311;-13.072;145.279;-6.665;-21.696;126.321;14.349;-3.049;146.168;19.886;17.861;143.601;-6.194;27.580;114.294;-5.856;26.359;87.002;3.165;2.393;109.254;-5.661
3745.000;149.800;2.207;135.338;-6.300;-13.082;145.334;-6.509;-21.370;126.856;14.960;-2.702;147.002;18.777;17.818;143.548;-6.465;27.761;114.324;-6.739;26.793;87.033;2.709;2.356;109.250;-5.592
3746.000;149.840;2.147;135.321;-6.296;-13.120;145.367;-6.358;-21.040;127.212;15.444;-2.288;147.439;17.711;17.769;143.472;-6.722;27.816;114.285;-7.442;27.061;87.085;2.677;2.325;109.242;-5.541
3747.000;149.880;2.090;135.305;-6.299;-13.154;145.384;-6.227;-20.763;127.511;15.856;-1.740;147.525;16.548;17.723;143.407;-6.939;27.801;114.228;-7.932;27.282;87.207;2.957;2.310;109.238;-5.507
3748.000;149.920;2.052;135.293;-6.305;-13.169;145.393;-6.109;-20.484;127.802;16.236;-1.124;147.400;15.317;17.691;143.372;-7.110;27.797;114.200;-8.160;27.478;87.426;3.487;2.302;109.239;-5.485
3749.000;149.960;2.033;135.287;-6.317;-13.177;145.385;-6.034;-20.171;128.011;16.529;-0.643;147.233;14.217;17.670;143.366;-7.225;27.854;114.207;-8.208;27.653;87.668;4.033;2.292;109.239;-5.474
3750.000;150.000;2.031;135.282;-6.324;-13.177;145.376;-5.983;-19.868;128.123;16.736;-0.398;147.151;13.329;17.665;143.366;-7.284;27.929;114.219;-8.101;27.746;87.892;4.628;2.287;109.238;-5.474
3751.000;150.040;2.037;135.276;-6.331;-13.174;145.361;-5.973;-19.663;128.121;16.805;-0.344;147.104;12.632;17.666;143.370;-7.306;27.999;114.232;-7.934;27.784;88.090;5.193;2.291;109.237;-5.480
3752.000;150.080;2.049;135.268;-6.351;-13.166;145.340;-6.021;-19.576;128.023;16.716;-0.274;147.006;12.422;17.678;143.367;-7.305;28.049;114.230;-7.748;27.769;88.236;5.689;2.303;109.233;-5.484
3753.000;150.120;2.066;135.253;-6.396;-13.162;145.303;-6.132;-19.591;127.793;16.446;-0.193;146.882;12.832;17.695;143.358;-7.308;28.073;114.216;-7.568;27.713;88.324;6.078;2.321;109.227;-5.485
