Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
284.000;11.360;3.262;135.302;-6.032;-12.418;144.347;-7.351;-23.894;117.001;-7.959;-13.149;115.822;18.002;18.891;143.345;-6.256;30.306;114.673;-7.145;18.172;115.692;18.638;3.125;109.262;-5.148
285.000;11.400;3.261;135.294;-6.101;-12.413;144.348;-7.427;-23.894;117.010;-8.059;-13.224;115.929;17.934;18.895;143.321;-6.339;30.317;114.649;-7.107;18.181;115.845;18.654;3.114;109.261;-5.191
286.000;11.440;3.252;135.282;-6.181;-12.414;144.346;-7.492;-23.991;117.054;-8.096;-13.361;116.156;17.906;18.890;143.294;-6.449;30.457;114.654;-6.845;18.290;116.228;18.868;3.098;109.261;-5.238
287.000;11.480;3.241;135.269;-6.283;-12.410;144.345;-7.555;-24.359;117.199;-7.978;-13.693;116.606;17.984;18.876;143.281;-6.583;30.784;114.737;-6.232;18.537;116.978;19.375;3.074;109.261;-5.310
288.000;11.520;3.239;135.250;-6.398;-12.388;144.350;-7.659;-25.017;117.467;-7.676;-14.264;117.376;18.210;18.865;143.295;-6.717;31.238;114.925;-5.351;18.889;118.129;20.092;3.049;109.265;-5.395
289.000;11.560;3.244;135.233;-6.522;-12.358;144.373;-7.820;-25.800;117.831;-7.255;-14.986;118.429;18.560;18.857;143.330;-6.825;31.718;115.209;-4.340;19.261;119.515;20.868;3.027;109.272;-5.477
290.000;11.600;3.246;135.217;-6.645;-12.329;144.401;-8.014;-26.530;118.208;-6.805;-15.702;119.607;18.952;18.846;143.348;-6.910;32.148;115.513;-3.351;19.565;120.900;21.555;3.013;109.277;-5.552
291.000;11.640;3.238;135.201;-6.762;-12.312;144.424;-8.202;-27.106;118.537;-6.388;-16.339;120.755;19.308;18.829;143.345;-6.986;32.476;115.780;-2.491;19.739;122.133;22.096;3.005;109.278;-5.618
292.000;11.680;3.231;135.185;-6.873;-12.300;144.441;-8.369;-27.518;118.796;-6.038;-16.859;121.771;19.604;18.818;143.334;-7.050;32.686;115.987;-1.817;19.780;123.172;22.444;3.001;109.275;-5.679
293.000;11.720;3.231;135.174;-6.973;-12.284;144.458;-8.520;-27.789;119.000;-5.744;-17.239;122.624;19.843;18.811;143.324;-7.106;32.799;116.146;-1.325;19.661;124.019;22.577;2.994;109.267;-5.728
294.000;11.760;3.238;135.166;-7.061;-12.259;144.483;-8.652;-27.954;119.167;-5.497;-17.492;123.327;20.027;18.809;143.319;-7.164;32.851;116.267;-0.982;19.408;124.702;22.536;2.979;109.261;-5.770
295.000;11.800;3.247;135.167;-7.134;-12.231;144.523;-8.752;-28.060;119.330;-5.265;-17.631;123.932;20.179;18.814;143.319;-7.230;32.861;116.368;-0.745;19.086;125.280;22.381;2.956;109.260;-5.809
296.000;11.840;3.254;135.172;-7.199;-12.199;144.578;-8.813;-28.164;119.528;-5.018;-17.694;124.502;20.322;18.823;143.305;-7.314;32.888;116.468;-0.519;18.710;125.822;22.161;2.928;109.260;-5.849
297.000;11.880;3.260;135.179;-7.266;-12.155;144.652;-8.844;-28.357;119.809;-4.731;-17.754;125.109;20.461;18.837;143.268;-7.406;33.016;116.620;-0.184;18.359;126.484;21.925;2.894;109.260;-5.894
