Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
2921.000;116.840;0.250;134.904;-5.741;-15.645;143.559;-6.215;-26.184;116.360;-9.541;-18.286;111.311;17.290;15.780;143.367;-5.786;27.913;115.030;-8.524;17.219;108.990;17.613;0.583;108.718;-5.336
2922.000;116.880;0.268;134.901;-5.723;-15.622;143.568;-6.197;-26.180;116.376;-9.534;-18.298;111.322;17.304;15.803;143.354;-5.766;27.916;115.007;-8.514;17.225;108.977;17.625;0.593;108.717;-5.313
2923.000;116.920;0.281;134.898;-5.710;-15.602;143.568;-6.187;-26.165;116.380;-9.525;-18.288;111.331;17.311;15.821;143.345;-5.748;27.929;114.998;-8.482;17.227;108.973;17.650;0.600;108.714;-5.297
2924.000;116.960;0.292;134.894;-5.695;-15.597;143.564;-6.169;-26.154;116.370;-9.506;-18.264;111.340;17.334;15.827;143.342;-5.731;27.930;114.990;-8.477;17.248;108.965;17.661;0.607;108.714;-5.276
2925.000;117.000;0.306;134.891;-5.683;-15.577;143.568;-6.158;-26.150;116.382;-9.488;-18.257;111.367;17.353;15.848;143.326;-5.723;27.942;114.968;-8.471;17.263;108.953;17.669;0.617;108.713;-5.253
2926.000;117.040;0.318;134.883;-5.673;-15.558;143.579;-6.147;-26.139;116.395;-9.474;-18.247;111.390;17.361;15.866;143.307;-5.717;27.939;114.941;-8.465;17.261;108.938;17.684;0.627;108.713;-5.236
2927.000;117.080;0.325;134.879;-5.673;-15.549;143.574;-6.148;-26.132;116.387;-9.458;-18.234;111.401;17.380;15.874;143.303;-5.722;27.940;114.933;-8.469;17.289;108.939;17.691;0.636;108.709;-5.216
2928.000;117.120;0.336;134.874;-5.668;-15.541;143.573;-6.140;-26.126;116.383;-9.442;-18.222;111.410;17.401;15.885;143.296;-5.723;27.932;114.922;-8.478;17.317;108.936;17.699;0.646;108.708;-5.200
2929.000;117.160;0.354;134.868;-5.665;-15.520;143.571;-6.139;-26.109;116.385;-9.433;-18.225;111.450;17.421;15.913;143.282;-5.724;27.904;114.900;-8.453;17.369;108.923;17.755;0.657;108.709;-5.182
2930.000;117.200;0.358;134.859;-5.683;-15.522;143.561;-6.109;-26.155;116.400;-9.346;-18.266;111.723;17.532;15.925;143.287;-5.754;27.860;114.903;-8.179;17.549;109.029;18.131;0.663;108.715;-5.182
2931.000;117.240;0.350;134.852;-5.747;-15.525;143.597;-6.117;-26.392;116.448;-8.839;-18.363;112.821;18.065;15.931;143.295;-5.790;27.956;114.853;-7.227;17.979;109.456;19.334;0.669;108.724;-5.236
2932.000;117.280;0.349;134.843;-5.873;-15.502;143.657;-6.220;-26.939;116.506;-7.592;-18.235;115.514;19.210;15.941;143.342;-5.866;28.167;114.858;-5.257;18.638;110.262;21.651;0.658;108.728;-5.367
2933.000;117.320;0.355;134.851;-6.074;-15.475;143.790;-6.464;-27.608;116.705;-5.453;-17.656;119.926;20.611;15.949;143.415;-5.950;28.316;115.095;-2.286;19.494;111.269;25.088;0.654;108.746;-5.549
2934.000;117.360;0.355;134.872;-6.343;-15.435;144.008;-6.803;-28.154;117.235;-2.438;-16.655;125.431;21.613;15.956;143.488;-6.037;28.254;115.789;1.455;20.548;112.367;29.402;0.639;108.764;-5.768
2935.000;117.400;0.356;134.896;-6.652;-15.375;144.264;-7.217;-28.411;118.326;1.231;-15.297;131.345;21.918;15.975;143.556;-6.112;27.909;117.126;5.609;21.762;113.489;34.087;0.609;108.782;-6.002
2936.000;117.440;0.343;134.910;-6.953;-15.311;144.509;-7.691;-28.183;120.110;5.153;-13.654;137.005;21.504;15.949;143.691;-6.120;27.313;119.131;9.729;23.017;114.650;38.552;0.585;108.800;-6.209
2937.000;117.480;0.329;134.946;-7.191;-15.252;144.774;-8.187;-27.465;122.528;8.770;-11.743;141.969;20.503;15.849;143.906;-6.042;26.621;121.806;13.393;23.867;116.026;42.262;0.556;108.816;-6.374
2938.000;117.520;0.332;135.006;-7.313;-15.169;145.074;-8.634;-26.307;125.200;11.650;-9.567;145.838;19.247;15.716;144.206;-5.808;25.910;124.529;16.292;24.287;117.741;44.975;0.519;108.832;-6.482
2939.000;117.560;0.341;135.100;-7.360;-15.065;145.358;-8.974;-24.961;127.652;13.668;-7.172;148.432;17.820;15.571;144.519;-5.530;25.121;126.767;18.295;24.451;119.653;46.859;0.477;108.851;-6.529
2940.000;117.600;0.342;135.174;-7.375;-14.964;145.582;-9.182;-23.731;129.572;14.949;-4.624;149.578;16.125;15.459;144.747;-5.345;24.621;128.608;19.631;24.264;121.613;48.207;0.444;108.865;-6.520
2941.000;117.640;0.355;135.226;-7.381;-14.844;145.737;-9.298;-22.794;130.869;15.689;-2.086;149.190;14.201;15.390;144.946;-5.282;24.149;130.043;20.487;23.863;123.328;49.105;0.418;108.872;-6.472
2942.000;117.680;0.392;135.268;-7.429;-14.735;145.804;-9.368;-22.147;131.585;16.095;-0.018;147.775;12.367;15.355;145.101;-5.313;23.712;131.201;20.988;23.387;124.669;49.628;0.389;108.880;-6.399
2943.000;117.720;0.454;135.282;-7.506;-14.625;145.829;-9.370;-21.814;131.539;16.138;0.561;147.251;11.727;15.380;145.181;-5.451;23.388;132.055;21.118;22.847;125.765;49.770;0.370;108.864;-6.337
2944.000;117.760;0.526;135.329;-7.603;-14.621;145.835;-9.335;-21.695;130.852;15.793;-0.494;148.443;13.161;15.470;145.344;-5.885;23.128;132.514;20.773;22.220;126.627;49.515;0.371;108.857;-6.296
2945.000;117.800;0.571;135.421;-7.700;-14.638;145.895;-9.316;-21.561;130.330;15.453;-1.401;149.405;15.229;15.486;145.488;-6.329;22.811;132.921;20.332;21.470;127.322;49.087;0.384;108.865;-6.253
2946.000;117.840;0.563;135.497;-7.826;-14.656;145.967;-9.293;-21.629;130.603;15.521;-0.557;148.822;17.086;15.421;145.626;-6.758;22.330;133.424;19.909;20.571;127.914;48.640;0.404;108.873;-6.218
2947.000;117.880;0.554;135.535;-7.944;-14.576;146.077;-9.296;-21.812;131.561;15.974;1.583;146.824;18.544;15.369;145.730;-7.082;21.775;133.868;19.638;19.665;128.541;48.349;0.425;108.873;-6.206
2948.000;117.920;0.568;135.604;-7.994;-14.441;146.278;-9.080;-21.776;131.997;16.366;2.499;145.883;19.403;15.434;145.737;-7.367;21.469;133.768;19.279;18.758;129.318;48.136;0.428;108.882;-6.203
2949.000;117.960;0.596;135.655;-7.973;-14.394;146.393;-8.735;-21.555;131.630;16.472;1.435;147.234;20.201;15.480;145.718;-7.662;21.336;133.928;18.907;18.382;129.759;47.759;0.417;108.884;-6.219
2950.000;118.000;0.648;135.667;-7.981;-14.365;146.448;-8.590;-21.196;131.235;16.409;0.325;148.512;21.348;15.489;145.739;-7.945;21.146;134.399;18.641;18.103;130.162;47.453;0.384;108.893;-6.220
2951.000;118.040;0.693;135.702;-8.056;-14.285;146.491;-8.563;-20.912;131.455;16.479;0.316;148.551;23.590;15.497;145.812;-8.208;20.903;134.656;18.325;17.847;130.609;47.147;0.353;108.911;-6.211
2952.000;118.080;0.751;135.704;-8.173;-14.151;146.578;-8.525;-21.256;132.345;16.915;1.178;147.122;26.199;15.541;145.795;-8.513;20.758;134.858;18.051;17.331;131.231;46.874;0.370;108.901;-6.235
2953.000;118.120;0.775;135.731;-8.221;-13.972;146.791;-8.236;-21.581;132.964;17.361;1.670;145.602;28.129;15.609;145.709;-8.854;20.598;134.891;17.706;16.685;132.006;46.604;0.396;108.884;-6.272
2954.000;118.160;0.790;135.774;-8.184;-13.872;146.929;-7.784;-21.415;132.624;17.609;0.904;145.748;29.835;15.656;145.628;-9.147;20.500;134.721;17.302;16.141;132.775;46.279;0.387;108.893;-6.279
2955.000;118.200;0.792;135.770;-8.147;-13.882;146.925;-7.523;-20.770;132.174;17.709;-0.061;146.334;31.951;15.635;145.587;-9.380;20.456;134.532;16.967;15.613;133.578;46.014;0.368;108.904;-6.263
2956.000;118.240;0.835;135.740;-8.167;-13.830;146.889;-7.434;-20.544;132.761;18.173;-0.192;145.834;34.311;15.659;145.584;-9.529;20.509;134.317;16.749;15.038;134.402;45.810;0.372;108.905;-6.260
2957.000;118.280;0.897;135.781;-8.160;-13.648;147.064;-7.260;-20.978;134.017;18.855;0.299;144.485;35.935;15.755;145.554;-9.622;20.742;133.979;16.544;14.446;135.298;45.530;0.405;108.899;-6.257
2958.000;118.320;0.889;135.832;-8.085;-13.480;147.276;-6.861;-21.072;134.323;19.218;-0.144;144.321;37.079;15.839;145.429;-9.703;20.983;133.435;16.261;14.247;135.778;45.146;0.415;108.901;-6.242
2959.000;118.360;0.863;135.806;-7.975;-13.483;147.276;-6.484;-20.603;133.807;19.436;-1.415;145.322;38.481;15.859;145.303;-9.787;21.353;132.756;15.890;13.885;136.362;44.660;0.412;108.893;-6.213
2960.000;118.400;0.878;135.756;-7.884;-13.498;147.189;-6.272;-20.234;134.032;19.867;-2.095;145.618;40.053;15.875;145.248;-9.844;21.527;132.422;15.654;13.564;136.819;44.263;0.429;108.896;-6.153
