Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
2887.000;115.480;1.792;135.015;-6.954;-14.020;143.630;-7.869;-24.751;116.039;-10.422;-15.450;113.230;15.938;17.335;143.393;-6.503;29.338;115.039;-9.276;18.505;113.117;17.075;2.066;108.924;-6.272
2888.000;115.520;1.799;135.024;-6.967;-14.013;143.644;-7.893;-24.757;116.059;-10.424;-15.422;113.255;15.928;17.342;143.397;-6.516;29.368;115.043;-9.250;18.532;113.122;17.102;2.071;108.929;-6.296
2889.000;115.560;1.804;135.033;-6.979;-14.005;143.659;-7.917;-24.776;116.080;-10.444;-15.440;113.272;15.911;17.350;143.405;-6.527;29.395;115.054;-9.232;18.561;113.128;17.119;2.074;108.929;-6.315
2890.000;115.600;1.811;135.042;-6.991;-13.994;143.680;-7.934;-24.801;116.110;-10.432;-15.433;113.313;15.912;17.362;143.409;-6.545;29.422;115.058;-9.218;18.577;113.138;17.132;2.076;108.931;-6.331
2891.000;115.640;1.822;135.048;-6.998;-13.978;143.697;-7.947;-24.818;116.141;-10.435;-15.442;113.363;15.905;17.377;143.413;-6.556;29.449;115.065;-9.219;18.592;113.158;17.129;2.078;108.936;-6.344
2892.000;115.680;1.832;135.059;-7.002;-13.967;143.708;-7.952;-24.827;116.159;-10.438;-15.444;113.417;15.905;17.389;143.421;-6.571;29.470;115.076;-9.234;18.603;113.183;17.105;2.077;108.936;-6.355
2893.000;115.720;1.841;135.065;-7.010;-13.955;143.721;-7.965;-24.832;116.174;-10.434;-15.448;113.469;15.913;17.402;143.427;-6.582;29.488;115.081;-9.233;18.572;113.222;17.092;2.077;108.936;-6.368
2894.000;115.760;1.846;135.071;-7.008;-13.951;143.728;-7.971;-24.837;116.183;-10.422;-15.455;113.516;15.926;17.406;143.434;-6.579;29.510;115.099;-9.222;18.547;113.260;17.066;2.079;108.938;-6.378
2895.000;115.800;1.851;135.075;-7.014;-13.947;143.734;-7.979;-24.851;116.195;-10.409;-15.451;113.573;15.937;17.411;143.438;-6.586;29.532;115.110;-9.227;18.486;113.319;17.003;2.080;108.942;-6.385
