Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
1804.000;72.160;1.131;135.142;-5.031;-14.702;143.933;-5.714;-24.937;116.426;-8.827;-18.139;113.328;18.004;16.784;143.259;-4.971;26.763;114.553;-8.614;19.683;113.370;18.680;0.951;109.242;-4.600
1805.000;72.200;1.124;135.137;-5.009;-14.711;143.921;-5.704;-24.932;116.405;-8.805;-18.198;113.366;18.042;16.774;143.266;-4.944;26.769;114.554;-8.541;19.657;113.448;18.745;0.950;109.240;-4.569
1806.000;72.240;1.119;135.133;-4.993;-14.721;143.911;-5.695;-24.939;116.393;-8.784;-18.235;113.405;18.081;16.767;143.267;-4.920;26.783;114.556;-8.486;19.632;113.496;18.796;0.951;109.238;-4.544
1807.000;72.280;1.116;135.126;-4.980;-14.725;143.902;-5.689;-24.945;116.381;-8.762;-18.254;113.421;18.108;16.762;143.264;-4.898;26.807;114.547;-8.441;19.596;113.529;18.830;0.953;109.238;-4.519
1808.000;72.320;1.116;135.118;-4.975;-14.724;143.897;-5.685;-24.965;116.381;-8.739;-18.259;113.464;18.147;16.762;143.251;-4.891;26.831;114.535;-8.402;19.579;113.596;18.872;0.959;109.238;-4.500
1809.000;72.360;1.117;135.105;-4.986;-14.724;143.877;-5.683;-25.006;116.373;-8.755;-18.265;113.640;18.174;16.760;143.242;-4.918;26.887;114.562;-8.286;19.541;113.840;19.015;0.965;109.234;-4.486
1810.000;72.400;1.111;135.093;-5.012;-14.725;143.872;-5.657;-25.175;116.452;-8.695;-18.084;114.086;18.214;16.753;143.259;-5.011;27.095;114.597;-7.899;19.398;114.469;19.429;0.966;109.240;-4.477
1811.000;72.440;1.107;135.087;-5.068;-14.714;143.874;-5.617;-25.778;116.636;-8.267;-17.438;115.165;18.365;16.730;143.286;-5.133;27.743;114.683;-6.893;19.011;115.734;20.239;0.965;109.242;-4.498
1812.000;72.480;1.112;135.072;-5.176;-14.679;143.867;-5.585;-26.910;116.895;-7.160;-16.348;117.435;18.685;16.714;143.353;-5.261;28.725;114.924;-5.085;18.166;117.910;21.364;0.961;109.241;-4.579
1813.000;72.520;1.140;135.079;-5.318;-14.608;143.928;-5.637;-28.181;117.357;-5.189;-15.019;121.012;19.044;16.717;143.448;-5.313;29.692;115.404;-2.613;16.969;120.923;22.505;0.969;109.249;-4.714
1814.000;72.560;1.176;135.095;-5.482;-14.504;144.068;-5.809;-29.257;118.074;-2.402;-13.595;125.381;19.243;16.726;143.538;-5.327;30.324;116.131;0.243;15.581;124.581;23.396;0.978;109.260;-4.865
1815.000;72.600;1.229;135.097;-5.654;-14.386;144.237;-6.017;-29.936;119.155;0.912;-12.214;129.692;19.258;16.738;143.598;-5.348;30.578;117.072;3.207;14.024;128.410;23.800;0.995;109.276;-5.013
1816.000;72.640;1.264;135.107;-5.828;-14.283;144.405;-6.177;-30.193;120.588;4.263;-10.910;133.367;19.220;16.736;143.671;-5.412;30.470;118.141;5.896;12.520;131.895;23.643;1.022;109.288;-5.147
1817.000;72.680;1.290;135.121;-5.983;-14.191;144.552;-6.297;-30.091;122.186;7.240;-9.809;136.413;19.359;16.705;143.751;-5.492;30.209;119.230;8.032;11.219;134.708;23.015;1.048;109.294;-5.263
1818.000;72.720;1.283;135.143;-6.121;-14.174;144.701;-6.359;-29.724;123.819;9.743;-9.104;139.222;19.775;16.653;143.838;-5.584;29.917;120.173;9.491;10.172;136.645;22.222;1.057;109.290;-5.367
1819.000;72.760;1.269;135.177;-6.223;-14.172;144.839;-6.340;-29.370;125.679;12.038;-8.565;141.967;20.023;16.620;143.926;-5.688;29.752;120.960;10.369;9.320;137.713;21.534;1.061;109.287;-5.457
1820.000;72.800;1.204;135.222;-6.271;-14.212;145.034;-6.213;-28.997;127.951;14.323;-8.077;144.922;19.938;16.540;144.011;-5.815;29.761;121.654;10.963;8.472;138.106;20.953;1.066;109.287;-5.542
1821.000;72.840;1.099;135.268;-6.290;-14.226;145.292;-6.049;-28.472;130.587;16.451;-7.498;147.936;19.976;16.435;144.056;-5.936;29.883;122.336;11.479;7.590;138.045;20.405;1.053;109.301;-5.623
1822.000;72.880;0.980;135.311;-6.294;-14.198;145.572;-5.904;-27.827;133.279;18.165;-6.776;150.756;20.826;16.329;144.077;-6.067;29.957;122.960;11.917;6.776;137.944;19.835;1.032;109.319;-5.706
1823.000;72.920;0.874;135.367;-6.310;-14.142;145.862;-5.808;-27.057;135.568;19.330;-6.081;153.201;22.890;16.244;144.094;-6.213;29.887;123.451;12.258;6.182;138.056;19.230;1.000;109.338;-5.790
1824.000;72.960;0.813;135.419;-6.356;-14.069;146.096;-5.744;-26.214;137.116;20.077;-5.695;154.968;26.025;16.203;144.093;-6.376;29.700;123.776;12.490;5.807;138.463;18.622;0.959;109.350;-5.884
1825.000;73.000;0.781;135.449;-6.439;-14.019;146.231;-5.692;-25.450;137.837;20.478;-5.649;155.588;29.864;16.192;144.079;-6.577;29.445;123.995;12.597;5.698;139.133;18.145;0.921;109.360;-5.984
1826.000;73.040;0.759;135.464;-6.561;-14.003;146.284;-5.681;-24.774;137.777;20.631;-5.916;154.696;34.111;16.194;144.069;-6.824;29.192;124.144;12.584;5.842;139.969;17.851;0.889;109.363;-6.088
1827.000;73.080;0.745;135.464;-6.704;-14.018;146.269;-5.628;-24.256;137.043;20.657;-6.476;151.972;38.323;16.189;144.069;-7.084;28.979;124.277;12.492;6.128;140.787;17.765;0.860;109.365;-6.183
1828.000;73.120;0.737;135.447;-6.850;-14.072;146.170;-5.571;-23.934;135.774;20.493;-7.323;147.492;42.016;16.188;144.065;-7.348;28.866;124.427;12.350;6.533;141.563;17.848;0.843;109.365;-6.272
1829.000;73.160;0.739;135.422;-6.962;-14.161;146.012;-5.487;-23.910;134.017;20.052;-8.219;141.675;44.401;16.175;144.095;-7.559;28.863;124.632;12.216;7.015;142.270;18.133;0.832;109.365;-6.348
1830.000;73.200;0.746;135.411;-7.018;-14.272;145.834;-5.438;-24.262;131.915;19.211;-8.958;134.971;45.112;16.151;144.154;-7.680;28.971;124.891;12.135;7.579;142.917;18.654;0.824;109.368;-6.399
1831.000;73.240;0.754;135.401;-7.026;-14.353;145.621;-5.426;-24.928;129.790;17.954;-9.207;128.209;43.913;16.123;144.221;-7.696;29.152;125.185;12.152;8.182;143.438;19.530;0.819;109.374;-6.394
1832.000;73.280;0.771;135.368;-7.012;-14.422;145.374;-5.466;-25.877;127.916;16.540;-8.985;121.877;41.034;16.088;144.292;-7.624;29.312;125.502;12.291;8.724;143.769;20.881;0.827;109.372;-6.361
1833.000;73.320;0.782;135.346;-6.972;-14.492;145.134;-5.482;-26.998;126.376;15.073;-8.348;117.034;36.920;16.040;144.378;-7.482;29.405;125.814;12.538;9.210;143.880;22.688;0.854;109.367;-6.301
1834.000;73.360;0.786;135.337;-6.919;-14.556;144.940;-5.528;-28.247;125.313;13.665;-7.510;114.351;32.236;15.989;144.478;-7.269;29.428;126.104;12.875;9.651;143.702;24.817;0.893;109.358;-6.242
1835.000;73.400;0.796;135.335;-6.854;-14.621;144.801;-5.672;-29.589;124.860;12.414;-6.660;114.304;27.810;15.946;144.577;-6.973;29.385;126.319;13.284;10.067;143.255;27.097;0.954;109.352;-6.195
1836.000;73.440;0.806;135.335;-6.782;-14.670;144.730;-5.941;-30.878;124.971;11.447;-5.887;116.677;24.205;15.908;144.650;-6.613;29.293;126.429;13.750;10.412;142.519;29.328;1.026;109.355;-6.147
1837.000;73.480;0.817;135.334;-6.736;-14.681;144.727;-6.333;-31.874;125.566;10.962;-5.333;120.978;21.693;15.881;144.691;-6.206;29.179;126.412;14.257;10.628;141.610;31.256;1.090;109.358;-6.103
1838.000;73.520;0.845;135.328;-6.709;-14.643;144.769;-6.772;-32.415;126.456;10.901;-5.236;126.399;20.211;15.878;144.705;-5.801;29.014;126.241;14.725;10.713;140.615;32.800;1.142;109.358;-6.075
1839.000;73.560;0.893;135.332;-6.711;-14.573;144.853;-7.202;-32.541;127.459;11.111;-5.678;131.893;19.597;15.906;144.708;-5.444;28.785;125.938;15.080;10.599;139.651;33.855;1.191;109.353;-6.057
1840.000;73.600;0.970;135.336;-6.727;-14.481;144.949;-7.567;-32.358;128.433;11.499;-6.452;136.874;19.484;15.967;144.688;-5.167;28.489;125.491;15.276;10.379;138.879;34.378;1.222;109.349;-6.039
1841.000;73.640;1.041;135.330;-6.728;-14.392;145.047;-7.801;-31.909;129.238;12.030;-7.366;141.134;19.776;16.051;144.627;-4.987;28.163;125.016;15.327;10.037;138.395;34.409;1.237;109.340;-6.013
1842.000;73.680;1.093;135.326;-6.736;-14.314;145.124;-7.935;-31.263;129.928;12.649;-8.242;144.593;20.382;16.128;144.552;-4.932;27.869;124.623;15.311;9.642;138.206;34.119;1.240;109.330;-5.982
1843.000;73.720;1.125;135.317;-6.742;-14.247;145.203;-7.989;-30.480;130.520;13.320;-8.954;147.270;21.333;16.195;144.491;-4.953;27.644;124.357;15.262;9.246;138.230;33.651;1.236;109.327;-5.948
1844.000;73.760;1.153;135.317;-6.740;-14.186;145.270;-7.986;-29.645;130.950;13.952;-9.418;149.072;22.548;16.255;144.456;-5.020;27.471;124.193;15.178;8.928;138.435;33.080;1.221;109.328;-5.918
1845.000;73.800;1.175;135.315;-6.752;-14.135;145.333;-7.945;-28.836;131.186;14.445;-9.584;150.055;23.927;16.316;144.405;-5.133;27.325;124.054;15.067;8.756;138.773;32.496;1.198;109.327;-5.887
1846.000;73.840;1.201;135.298;-6.776;-14.090;145.356;-7.893;-28.200;131.222;14.791;-9.488;150.158;25.455;16.381;144.348;-5.280;27.203;123.932;14.917;8.717;139.227;31.866;1.177;109.321;-5.854
1847.000;73.880;1.233;135.278;-6.808;-14.049;145.351;-7.823;-27.811;131.129;14.978;-9.042;149.404;26.948;16.446;144.289;-5.435;27.131;123.820;14.746;8.765;139.781;31.064;1.158;109.317;-5.822
1848.000;73.920;1.265;135.255;-6.831;-14.011;145.317;-7.748;-27.632;130.974;15.064;-8.328;147.933;28.315;16.509;144.240;-5.575;27.129;123.711;14.554;8.818;140.472;29.954;1.146;109.309;-5.786
1849.000;73.960;1.295;135.241;-6.847;-13.971;145.303;-7.649;-27.499;130.648;15.097;-7.986;146.530;29.447;16.572;144.192;-5.715;27.235;123.702;14.416;8.781;141.026;28.901;1.136;109.302;-5.751
1850.000;74.000;1.295;135.238;-6.838;-14.011;145.231;-7.526;-27.234;130.109;15.095;-7.919;146.204;29.437;16.571;144.200;-5.826;27.481;123.598;14.059;9.014;140.557;28.996;1.140;109.300;-5.727
1851.000;74.040;1.280;135.234;-6.811;-14.054;145.176;-7.480;-27.179;129.929;15.070;-7.474;145.962;28.905;16.551;144.227;-5.818;27.735;123.464;13.843;9.202;140.028;29.106;1.150;109.300;-5.708
1852.000;74.080;1.320;135.251;-6.768;-14.004;145.192;-7.432;-27.166;129.829;15.052;-7.239;145.679;28.716;16.592;144.230;-5.786;27.792;123.277;13.661;9.312;139.863;28.924;1.174;109.304;-5.691
1853.000;74.120;1.354;135.265;-6.722;-13.970;145.203;-7.343;-27.146;129.697;15.045;-7.291;145.589;28.696;16.637;144.202;-5.788;27.788;123.112;13.517;9.343;139.737;28.777;1.211;109.311;-5.682
1854.000;74.160;1.389;135.273;-6.678;-13.943;145.203;-7.289;-27.204;129.567;14.979;-7.372;145.496;28.614;16.678;144.189;-5.767;27.808;122.972;13.421;9.341;139.574;28.653;1.249;109.311;-5.678
1855.000;74.200;1.417;135.292;-6.619;-13.915;145.217;-7.215;-27.230;129.251;14.819;-7.570;145.357;28.406;16.701;144.195;-5.729;27.877;122.857;13.315;9.327;139.389;28.497;1.275;109.318;-5.664
1856.000;74.240;1.453;135.307;-6.534;-13.883;145.202;-7.100;-27.297;128.605;14.462;-7.972;145.080;27.829;16.729;144.192;-5.691;28.040;122.685;13.103;9.361;139.052;28.285;1.300;109.325;-5.631
1857.000;74.280;1.487;135.311;-6.407;-13.843;145.164;-6.936;-27.490;127.496;13.709;-8.694;144.459;26.808;16.770;144.162;-5.658;28.272;122.329;12.641;9.607;138.294;28.216;1.318;109.330;-5.572
1858.000;74.320;1.505;135.290;-6.264;-13.841;145.056;-6.791;-27.814;125.981;12.441;-9.651;143.289;25.564;16.816;144.107;-5.645;28.549;121.702;11.810;10.244;136.999;28.424;1.325;109.333;-5.486
1859.000;74.360;1.517;135.276;-6.106;-13.882;144.891;-6.701;-28.300;124.375;10.665;-10.593;141.336;24.477;16.855;144.076;-5.598;28.918;120.824;10.545;11.354;135.197;28.600;1.323;109.326;-5.380
1860.000;74.400;1.536;135.276;-5.931;-13.905;144.738;-6.564;-28.937;122.835;8.492;-11.545;138.657;23.656;16.880;144.084;-5.502;29.342;119.840;8.874;12.687;133.107;28.462;1.336;109.324;-5.253
1861.000;74.440;1.555;135.284;-5.714;-13.950;144.584;-6.369;-29.590;121.461;6.035;-12.603;135.417;23.080;16.923;144.052;-5.361;29.791;118.811;6.899;14.094;130.790;27.900;1.357;109.318;-5.119
1862.000;74.480;1.544;135.284;-5.479;-14.032;144.411;-6.181;-30.061;120.291;3.434;-13.723;131.916;22.613;16.949;143.997;-5.204;30.211;117.887;4.795;15.380;128.448;26.954;1.372;109.311;-4.963
1863.000;74.520;1.522;135.279;-5.231;-14.111;144.238;-5.941;-30.247;119.361;0.831;-14.838;128.399;22.004;16.959;143.961;-5.076;30.537;117.177;2.596;16.481;126.035;25.832;1.386;109.305;-4.789
1864.000;74.560;1.493;135.280;-4.971;-14.208;144.112;-5.716;-30.059;118.647;-1.742;-16.008;124.977;21.340;16.945;143.909;-4.913;30.663;116.629;0.358;17.524;123.705;24.575;1.410;109.301;-4.599
1865.000;74.600;1.465;135.270;-4.711;-14.293;144.038;-5.534;-29.465;118.135;-4.118;-17.135;121.736;20.573;16.917;143.865;-4.745;30.557;116.236;-1.842;18.414;121.542;23.261;1.425;109.297;-4.400
1866.000;74.640;1.443;135.260;-4.473;-14.369;143.975;-5.363;-28.540;117.721;-6.203;-18.131;118.842;19.664;16.898;143.807;-4.575;30.183;115.957;-3.896;19.121;119.477;21.975;1.435;109.287;-4.212
1867.000;74.680;1.423;135.256;-4.268;-14.437;143.921;-5.219;-27.375;117.401;-7.886;-18.888;116.393;18.718;16.892;143.753;-4.392;29.534;115.747;-5.691;19.666;117.594;20.826;1.440;109.280;-4.022
1868.000;74.720;1.408;135.258;-4.101;-14.485;143.877;-5.107;-26.157;117.130;-9.136;-19.329;114.435;17.878;16.905;143.708;-4.218;28.698;115.576;-7.144;20.021;116.015;19.825;1.448;109.268;-3.856
1869.000;74.760;1.399;135.262;-3.980;-14.518;143.847;-5.036;-25.079;116.901;-9.878;-19.462;112.990;17.311;16.914;143.667;-4.065;27.860;115.452;-8.125;20.167;114.692;19.145;1.460;109.262;-3.721
1870.000;74.800;1.386;135.263;-3.908;-14.549;143.821;-5.001;-24.377;116.705;-10.107;-19.292;112.050;17.139;16.903;143.629;-3.979;27.278;115.326;-8.547;20.150;113.611;18.876;1.468;109.256;-3.624
1871.000;74.840;1.361;135.242;-3.880;-14.578;143.799;-4.967;-24.184;116.547;-9.903;-18.963;111.609;17.346;16.882;143.566;-3.908;27.112;115.170;-8.450;20.041;112.817;18.958;1.485;109.242;-3.560
1872.000;74.880;1.344;135.202;-3.877;-14.576;143.812;-4.956;-24.392;116.480;-9.355;-18.610;111.498;17.810;16.878;143.478;-3.833;27.322;115.032;-8.005;19.843;112.475;19.310;1.492;109.230;-3.527
1873.000;74.920;1.347;135.172;-3.872;-14.545;143.846;-4.903;-24.785;116.504;-8.664;-18.326;111.680;18.401;16.891;143.401;-3.770;27.720;114.913;-7.370;19.640;112.535;19.802;1.490;109.220;-3.516
1874.000;74.960;1.364;135.151;-3.877;-14.508;143.881;-4.834;-25.192;116.570;-7.998;-18.116;112.085;18.976;16.916;143.355;-3.725;28.134;114.844;-6.628;19.433;112.879;20.394;1.483;109.216;-3.511
1875.000;75.000;1.396;135.130;-3.873;-14.451;143.918;-4.767;-25.520;116.656;-7.418;-17.951;112.577;19.468;16.959;143.323;-3.698;28.421;114.781;-5.927;19.306;113.361;20.995;1.470;109.208;-3.501
1876.000;75.040;1.436;135.113;-3.865;-14.391;143.951;-4.711;-25.709;116.716;-6.945;-17.790;113.002;19.874;17.012;143.289;-3.676;28.557;114.701;-5.343;19.263;113.842;21.539;1.455;109.209;-3.485
1877.000;75.080;1.467;135.093;-3.842;-14.339;143.966;-4.652;-25.725;116.715;-6.612;-17.679;113.301;20.198;17.067;143.241;-3.647;28.590;114.590;-4.914;19.263;114.205;21.960;1.436;109.206;-3.462
1878.000;75.120;1.490;135.068;-3.822;-14.301;143.964;-4.618;-25.632;116.667;-6.438;-17.559;113.450;20.373;17.110;143.182;-3.624;28.556;114.476;-4.660;19.271;114.444;22.222;1.417;109.199;-3.428
1879.000;75.160;1.513;135.049;-3.791;-14.271;143.952;-4.591;-25.461;116.593;-6.394;-17.426;113.510;20.447;17.146;143.140;-3.584;28.475;114.389;-4.576;19.283;114.550;22.330;1.408;109.197;-3.379
1880.000;75.200;1.535;135.035;-3.760;-14.243;143.938;-4.582;-25.262;116.521;-6.448;-17.308;113.455;20.417;17.178;143.114;-3.539;28.354;114.331;-4.643;19.284;114.536;22.300;1.403;109.196;-3.321
1881.000;75.240;1.561;135.023;-3.724;-14.214;143.916;-4.564;-25.090;116.458;-6.554;-17.181;113.328;20.316;17.213;143.090;-3.486;28.235;114.278;-4.797;19.286;114.418;22.181;1.403;109.192;-3.270
1882.000;75.280;1.583;135.011;-3.699;-14.195;143.893;-4.558;-24.962;116.415;-6.693;-17.080;113.184;20.175;17.233;143.075;-3.436;28.143;114.252;-4.977;19.294;114.258;22.038;1.410;109.183;-3.220
1883.000;75.320;1.602;135.002;-3.681;-14.173;143.874;-4.563;-24.881;116.389;-6.829;-17.021;113.039;20.036;17.257;143.060;-3.390;28.095;114.240;-5.130;19.286;114.074;21.898;1.418;109.179;-3.182
1884.000;75.360;1.609;134.993;-3.674;-14.169;143.856;-4.568;-24.845;116.383;-6.937;-17.020;112.911;19.923;17.261;143.051;-3.362;28.092;114.244;-5.242;19.290;113.930;21.792;1.428;109.178;-3.148
1885.000;75.400;1.614;134.984;-3.672;-14.165;143.844;-4.575;-24.867;116.383;-7.033;-17.069;112.838;19.843;17.263;143.045;-3.346;28.118;114.247;-5.290;19.290;113.839;21.735;1.438;109.173;-3.131
1886.000;75.440;1.616;134.977;-3.680;-14.166;143.833;-4.582;-24.896;116.390;-7.084;-17.147;112.796;19.800;17.261;143.041;-3.344;28.172;114.257;-5.298;19.303;113.816;21.709;1.444;109.170;-3.130
