Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
1371.000;54.840;0.454;134.823;-3.570;-15.192;143.912;-4.550;-26.055;116.881;-8.384;-18.500;109.448;17.921;16.197;143.087;-3.505;27.167;114.784;-7.107;17.608;108.734;19.320;0.470;108.768;-3.089
1372.000;54.880;0.458;134.820;-3.592;-15.188;143.904;-4.574;-26.033;116.866;-8.410;-18.482;109.452;17.900;16.200;143.088;-3.517;27.178;114.784;-7.110;17.562;108.719;19.292;0.474;108.769;-3.104
1373.000;54.920;0.457;134.815;-3.608;-15.191;143.892;-4.588;-26.011;116.842;-8.402;-18.458;109.452;17.914;16.197;143.085;-3.531;27.191;114.785;-7.110;17.528;108.717;19.275;0.481;108.769;-3.112
1374.000;54.960;0.456;134.804;-3.625;-15.192;143.877;-4.606;-25.988;116.809;-8.392;-18.437;109.465;17.938;16.193;143.073;-3.540;27.205;114.771;-7.094;17.498;108.693;19.277;0.499;108.766;-3.119
1375.000;55.000;0.460;134.788;-3.642;-15.187;143.857;-4.627;-25.976;116.776;-8.378;-18.439;109.489;17.967;16.195;143.055;-3.554;27.213;114.750;-7.087;17.507;108.654;19.283;0.511;108.761;-3.122
1376.000;55.040;0.465;134.777;-3.652;-15.186;143.843;-4.641;-25.965;116.750;-8.361;-18.433;109.500;18.000;16.195;143.044;-3.569;27.221;114.740;-7.102;17.534;108.620;19.276;0.525;108.758;-3.116
1377.000;55.080;0.474;134.766;-3.654;-15.175;143.831;-4.631;-25.950;116.738;-8.352;-18.433;109.505;18.012;16.206;143.030;-3.578;27.229;114.726;-7.130;17.569;108.591;19.252;0.532;108.755;-3.107
1378.000;55.120;0.482;134.757;-3.654;-15.171;143.817;-4.620;-25.933;116.726;-8.349;-18.441;109.509;18.028;16.208;143.021;-3.591;27.229;114.719;-7.167;17.608;108.585;19.230;0.538;108.752;-3.099
1379.000;55.160;0.489;134.748;-3.650;-15.165;143.802;-4.609;-25.908;116.704;-8.357;-18.453;109.493;18.030;16.215;143.015;-3.591;27.242;114.723;-7.192;17.654;108.593;19.215;0.545;108.751;-3.090
