Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
994.000;39.760;1.588;135.347;-8.501;-14.231;144.215;-9.274;-24.914;117.064;-12.851;-18.022;110.860;13.626;17.176;143.644;-7.950;28.481;115.105;-11.022;19.703;110.256;15.674;1.740;109.148;-8.343
995.000;39.800;1.623;135.338;-8.517;-14.194;144.214;-9.286;-24.881;117.063;-12.879;-17.987;110.861;13.599;17.213;143.629;-7.965;28.502;115.084;-11.025;19.715;110.325;15.679;1.770;109.146;-8.348
996.000;39.840;1.665;135.331;-8.533;-14.144;144.210;-9.298;-24.841;117.066;-12.901;-17.946;110.876;13.584;17.259;143.615;-7.984;28.533;115.061;-11.040;19.732;110.374;15.671;1.798;109.142;-8.347
997.000;39.880;1.705;135.317;-8.545;-14.103;144.202;-9.312;-24.795;117.059;-12.936;-17.893;110.887;13.551;17.302;143.598;-8.003;28.563;115.035;-11.058;19.751;110.392;15.665;1.826;109.141;-8.344
998.000;39.920;1.745;135.303;-8.558;-14.060;144.187;-9.323;-24.747;117.047;-12.955;-17.821;110.915;13.546;17.342;143.578;-8.026;28.590;115.014;-11.085;19.770;110.371;15.645;1.852;109.138;-8.339
999.000;39.960;1.781;135.288;-8.565;-14.019;144.171;-9.328;-24.701;117.026;-12.966;-17.731;110.970;13.551;17.376;143.556;-8.045;28.626;114.991;-11.105;19.778;110.329;15.646;1.878;109.133;-8.332
1000.000;40.000;1.823;135.270;-8.576;-13.977;144.161;-9.337;-24.652;117.016;-12.946;-17.610;111.114;13.600;17.419;143.534;-8.072;28.682;114.971;-11.117;19.769;110.254;15.656;1.905;109.137;-8.319
1001.000;40.040;1.855;135.255;-8.590;-13.939;144.163;-9.339;-24.604;116.998;-12.863;-17.448;111.359;13.742;17.452;143.521;-8.103;28.784;114.978;-11.106;19.644;110.113;15.657;1.925;109.133;-8.307
1002.000;40.080;1.890;135.235;-8.609;-13.911;144.154;-9.314;-24.592;116.989;-12.618;-17.238;111.869;14.031;17.489;143.509;-8.145;28.958;115.006;-11.061;19.366;109.813;15.591;1.937;109.134;-8.298
1003.000;40.120;1.956;135.227;-8.657;-13.821;144.189;-9.299;-24.839;117.039;-11.871;-16.927;113.314;14.859;17.551;143.522;-8.203;29.198;115.066;-10.964;18.916;109.189;15.436;1.943;109.133;-8.302
1004.000;40.160;2.109;135.210;-8.750;-13.591;144.271;-9.413;-25.503;117.255;-10.276;-16.883;116.520;16.439;17.713;143.503;-8.281;29.477;115.084;-10.765;18.431;107.981;15.170;1.958;109.148;-8.351
1005.000;40.200;2.335;135.193;-8.870;-13.253;144.478;-9.649;-26.568;117.965;-7.746;-17.057;121.826;18.395;17.962;143.429;-8.372;29.681;114.975;-10.479;18.209;106.029;14.790;2.001;109.136;-8.429
1006.000;40.240;2.590;135.188;-9.000;-12.833;144.867;-9.921;-27.851;119.567;-4.432;-17.331;128.896;19.878;18.277;143.279;-8.449;29.763;114.717;-10.154;18.244;103.545;14.271;2.066;109.151;-8.494
1007.000;40.280;2.853;135.189;-9.101;-12.301;145.364;-10.186;-29.136;122.248;-0.729;-17.660;136.746;20.308;18.622;143.053;-8.514;29.805;114.349;-9.874;18.419;100.875;13.496;2.132;109.151;-8.564
1008.000;40.320;3.093;135.205;-9.156;-11.774;145.914;-10.387;-30.146;125.922;2.801;-17.907;144.537;19.653;18.952;142.832;-8.574;29.844;113.997;-9.657;18.694;98.266;12.478;2.189;109.158;-8.610
1009.000;40.360;3.295;135.251;-9.152;-11.275;146.428;-10.494;-30.871;130.347;5.839;-17.717;151.568;18.229;19.246;142.646;-8.610;29.896;113.707;-9.533;19.079;95.983;11.289;2.231;109.170;-8.633
1010.000;40.400;3.460;135.319;-9.084;-10.799;146.966;-10.448;-31.196;135.047;8.169;-17.147;157.623;16.427;19.503;142.497;-8.616;29.924;113.465;-9.553;19.566;94.133;10.082;2.253;109.183;-8.632
1011.000;40.440;3.591;135.408;-8.972;-10.333;147.454;-10.345;-31.187;139.613;9.702;-16.166;162.507;14.659;19.720;142.371;-8.609;29.911;113.263;-9.648;20.185;92.579;8.941;2.261;109.192;-8.602
1012.000;40.480;3.702;135.521;-8.844;-9.900;147.857;-10.227;-30.919;143.587;10.559;-14.907;166.234;12.933;19.906;142.242;-8.611;29.873;113.057;-9.769;20.865;91.283;7.934;2.272;109.208;-8.551
1013.000;40.520;3.807;135.572;-8.752;-9.493;148.175;-10.149;-30.534;146.685;10.922;-13.624;168.761;11.357;20.071;142.108;-8.616;29.842;112.860;-9.921;21.539;90.253;7.049;2.286;109.216;-8.495
1014.000;40.560;3.919;135.603;-8.679;-9.147;148.371;-10.119;-30.180;148.849;10.975;-12.366;170.169;10.160;20.229;142.002;-8.628;29.834;112.712;-10.051;22.202;89.436;6.315;2.303;109.219;-8.433
1015.000;40.600;4.038;135.609;-8.632;-8.884;148.478;-10.091;-29.932;150.101;10.921;-11.300;170.585;9.337;20.381;141.922;-8.628;29.870;112.599;-10.135;22.863;88.802;5.731;2.342;109.213;-8.371
1016.000;40.640;4.174;135.596;-8.612;-8.707;148.496;-10.067;-29.838;150.596;10.824;-10.598;170.435;8.883;20.532;141.873;-8.621;29.940;112.526;-10.174;23.450;88.354;5.323;2.399;109.199;-8.329
1017.000;40.680;4.296;135.573;-8.598;-8.608;148.460;-10.036;-29.884;150.579;10.708;-10.155;169.923;8.810;20.657;141.864;-8.592;30.070;112.521;-10.168;23.993;88.076;5.054;2.479;109.186;-8.299
1018.000;40.720;4.403;135.560;-8.594;-8.549;148.404;-10.068;-29.919;150.130;10.588;-10.048;169.382;9.126;20.754;141.879;-8.556;30.244;112.567;-10.109;24.497;87.943;4.958;2.575;109.182;-8.266
1019.000;40.760;4.502;135.543;-8.602;-8.519;148.309;-10.137;-29.950;149.359;10.478;-10.075;168.628;9.727;20.835;141.909;-8.506;30.422;112.633;-10.015;24.994;87.905;5.005;2.675;109.184;-8.230
1020.000;40.800;4.585;135.510;-8.613;-8.533;148.188;-10.179;-30.010;148.357;10.421;-10.189;167.705;10.375;20.894;141.957;-8.455;30.604;112.721;-9.880;25.448;87.953;5.177;2.791;109.177;-8.207
1021.000;40.840;4.657;135.493;-8.630;-8.577;148.051;-10.222;-30.049;147.141;10.375;-10.282;166.529;11.040;20.930;142.030;-8.409;30.770;112.836;-9.731;25.829;88.074;5.426;2.915;109.173;-8.200
1022.000;40.880;4.707;135.478;-8.637;-8.672;147.896;-10.251;-30.074;145.799;10.349;-10.251;165.096;11.658;20.935;142.133;-8.352;30.924;112.987;-9.576;26.180;88.266;5.712;3.032;109.170;-8.197
1023.000;40.920;4.734;135.465;-8.643;-8.764;147.742;-10.303;-29.950;144.283;10.331;-10.101;163.490;12.410;20.917;142.243;-8.279;31.064;113.153;-9.425;26.485;88.476;5.998;3.137;109.166;-8.186
1024.000;40.960;4.752;135.440;-8.655;-8.875;147.576;-10.353;-29.709;142.616;10.342;-9.851;161.743;13.088;20.886;142.342;-8.217;31.189;113.307;-9.267;26.740;88.672;6.282;3.229;109.163;-8.177
1025.000;41.000;4.753;135.417;-8.665;-9.005;147.392;-10.359;-29.378;140.889;10.367;-9.445;159.828;13.528;20.837;142.448;-8.155;31.271;113.458;-9.121;26.964;88.864;6.518;3.308;109.157;-8.172
1026.000;41.040;4.738;135.395;-8.666;-9.156;147.211;-10.344;-28.930;139.165;10.416;-8.864;157.959;13.525;20.773;142.561;-8.100;31.305;113.615;-9.003;27.135;89.055;6.734;3.381;109.152;-8.173
1027.000;41.080;4.700;135.382;-8.646;-9.301;147.052;-10.335;-28.282;137.464;10.496;-8.253;156.296;13.273;20.691;142.668;-8.029;31.318;113.768;-8.919;27.256;89.203;6.847;3.436;109.152;-8.165
1028.000;41.120;4.657;135.367;-8.620;-9.445;146.906;-10.332;-27.514;135.862;10.545;-7.515;154.749;12.891;20.602;142.757;-7.949;31.321;113.903;-8.861;27.339;89.317;6.892;3.483;109.152;-8.145
1029.000;41.160;4.612;135.352;-8.608;-9.566;146.760;-10.322;-26.699;134.382;10.574;-6.780;153.355;12.430;20.521;142.829;-7.897;31.307;114.009;-8.816;27.377;89.380;6.877;3.511;109.154;-8.124
1030.000;41.200;4.559;135.341;-8.579;-9.679;146.626;-10.320;-25.844;132.925;10.473;-6.128;152.112;11.949;20.446;142.872;-7.875;31.269;114.068;-8.808;27.394;89.389;6.815;3.527;109.148;-8.098
1031.000;41.240;4.502;135.328;-8.540;-9.794;146.503;-10.312;-25.023;131.554;10.279;-5.412;150.793;11.288;20.366;142.900;-7.836;31.201;114.111;-8.846;27.394;89.369;6.690;3.534;109.147;-8.068
1032.000;41.280;4.455;135.322;-8.494;-9.905;146.383;-10.272;-24.305;130.287;10.006;-4.725;149.517;10.304;20.290;142.948;-7.764;31.105;114.170;-8.911;27.378;89.337;6.505;3.532;109.142;-8.046
1033.000;41.320;4.404;135.318;-8.426;-10.009;146.262;-10.228;-23.661;129.189;9.738;-4.108;148.362;9.279;20.216;142.991;-7.647;31.030;114.230;-8.983;27.344;89.278;6.242;3.519;109.137;-8.020
1034.000;41.360;4.370;135.311;-8.380;-10.094;146.155;-10.230;-23.073;128.259;9.439;-3.749;147.631;8.715;20.160;143.032;-7.542;30.978;114.292;-9.015;27.288;89.192;5.959;3.501;109.134;-7.990
1035.000;41.400;4.340;135.301;-8.353;-10.161;146.085;-10.261;-22.638;127.595;9.158;-3.421;147.086;8.381;20.111;143.051;-7.456;30.938;114.320;-9.001;27.226;89.068;5.700;3.492;109.135;-7.970
1036.000;41.440;4.307;135.290;-8.352;-10.220;146.033;-10.282;-22.391;127.214;8.974;-3.085;146.633;8.199;20.068;143.057;-7.391;30.900;114.333;-8.964;27.155;88.945;5.502;3.487;109.128;-7.961
1037.000;41.480;4.275;135.284;-8.362;-10.250;146.012;-10.311;-22.214;127.044;8.917;-2.945;146.507;8.052;20.035;143.048;-7.347;30.858;114.321;-8.923;27.085;88.844;5.378;3.475;109.123;-7.959
1038.000;41.520;4.251;135.276;-8.382;-10.272;146.013;-10.367;-22.105;127.007;8.890;-3.001;146.659;8.156;20.015;143.031;-7.336;30.825;114.297;-8.925;26.987;88.828;5.380;3.457;109.123;-7.961
1039.000;41.560;4.231;135.268;-8.402;-10.284;146.017;-10.424;-22.144;127.053;8.856;-3.064;146.757;8.433;19.995;143.008;-7.357;30.819;114.280;-8.968;26.837;88.936;5.550;3.432;109.123;-7.962
1040.000;41.600;4.208;135.260;-8.427;-10.315;146.012;-10.427;-22.368;127.045;8.736;-3.162;146.660;8.786;19.980;142.973;-7.394;30.837;114.256;-9.060;26.634;89.201;5.943;3.403;109.125;-7.965
1041.000;41.640;4.187;135.240;-8.446;-10.338;146.002;-10.402;-22.742;126.863;8.382;-3.333;146.323;9.425;19.975;142.896;-7.443;30.890;114.206;-9.282;26.302;89.780;6.686;3.362;109.127;-7.975
1042.000;41.680;4.164;135.216;-8.468;-10.375;145.972;-10.341;-23.353;126.380;7.660;-3.668;145.477;10.445;19.974;142.822;-7.541;31.000;114.191;-9.657;25.826;90.925;7.815;3.319;109.130;-7.982
1043.000;41.720;4.143;135.183;-8.472;-10.431;145.882;-10.212;-24.252;125.548;6.429;-4.282;143.862;11.876;19.972;142.771;-7.686;31.158;114.212;-10.175;25.183;92.847;9.320;3.267;109.127;-7.973
1044.000;41.760;4.116;135.144;-8.468;-10.514;145.753;-10.013;-25.376;124.528;4.734;-5.157;141.261;13.528;19.962;142.744;-7.891;31.298;114.255;-10.704;24.409;95.581;10.996;3.208;109.134;-7.956
1045.000;41.800;4.048;135.112;-8.445;-10.677;145.604;-9.723;-26.571;123.491;2.676;-6.282;137.800;14.997;19.896;142.759;-8.129;31.361;114.328;-11.066;23.531;98.939;12.626;3.141;109.130;-7.928
1046.000;41.840;3.939;135.104;-8.386;-10.898;145.445;-9.389;-27.635;122.526;0.409;-7.668;133.769;16.003;19.785;142.791;-8.345;31.317;114.358;-11.211;22.665;102.679;14.052;3.076;109.133;-7.883
1047.000;41.880;3.770;135.105;-8.297;-11.216;145.217;-9.062;-28.393;121.668;-2.044;-9.300;129.531;16.462;19.594;142.875;-8.532;31.126;114.412;-11.110;21.857;106.367;15.137;2.999;109.149;-7.820
1048.000;41.920;3.557;135.110;-8.188;-11.568;145.008;-8.765;-28.797;120.933;-4.414;-10.827;125.346;16.299;19.346;142.978;-8.647;30.834;114.465;-10.879;21.096;109.650;15.804;2.915;109.156;-7.729
1049.000;41.960;3.307;135.109;-8.069;-11.948;144.804;-8.516;-28.808;120.279;-6.570;-12.204;121.579;15.750;19.051;143.074;-8.674;30.476;114.513;-10.640;20.443;112.278;16.119;2.824;109.159;-7.630
1050.000;42.000;3.037;135.104;-7.952;-12.330;144.629;-8.335;-28.423;119.696;-8.450;-13.310;118.347;14.989;18.739;143.165;-8.654;30.094;114.573;-10.485;19.877;114.139;16.149;2.723;109.153;-7.515
1051.000;42.040;2.767;135.104;-7.851;-12.698;144.505;-8.244;-27.747;119.160;-9.965;-14.111;115.578;14.267;18.430;143.249;-8.595;29.684;114.642;-10.490;19.375;115.224;16.004;2.612;109.151;-7.405
1052.000;42.080;2.511;135.104;-7.775;-13.050;144.392;-8.216;-26.898;118.614;-11.039;-14.647;113.220;13.692;18.131;143.328;-8.504;29.326;114.727;-10.634;18.867;115.561;15.737;2.500;109.141;-7.304
1053.000;42.120;2.277;135.096;-7.729;-13.383;144.226;-8.223;-26.081;118.029;-11.719;-14.974;111.321;13.294;17.854;143.401;-8.408;29.048;114.819;-10.804;18.361;115.212;15.474;2.396;109.129;-7.229
1054.000;42.160;2.067;135.079;-7.715;-13.686;144.031;-8.257;-25.439;117.474;-12.070;-15.115;109.906;13.083;17.599;143.469;-8.296;28.852;114.938;-10.934;17.875;114.358;15.229;2.284;109.115;-7.164
1055.000;42.200;1.881;135.052;-7.708;-13.951;143.854;-8.308;-25.075;117.016;-12.149;-15.118;109.035;13.056;17.376;143.506;-8.129;28.828;115.061;-11.047;17.455;113.423;14.905;2.191;109.100;-7.112
1056.000;42.240;1.728;135.042;-7.695;-14.152;143.753;-8.394;-24.986;116.734;-12.059;-15.030;108.623;13.129;17.186;143.556;-7.931;28.941;115.243;-11.093;17.087;112.622;14.576;2.100;109.086;-7.070
1057.000;42.280;1.604;135.059;-7.672;-14.295;143.712;-8.447;-25.119;116.613;-11.898;-14.889;108.609;13.219;17.032;143.626;-7.755;29.104;115.449;-11.043;16.743;112.005;14.305;2.012;109.088;-7.036
1058.000;42.320;1.502;135.075;-7.640;-14.408;143.707;-8.464;-25.312;116.598;-11.748;-14.841;108.813;13.323;16.915;143.675;-7.609;29.236;115.602;-10.934;16.520;111.615;14.179;1.919;109.087;-7.025
1059.000;42.360;1.418;135.084;-7.600;-14.486;143.731;-8.463;-25.501;116.635;-11.631;-14.861;109.088;13.430;16.830;143.686;-7.497;29.316;115.665;-10.757;16.359;111.390;14.200;1.836;109.086;-7.024
1060.000;42.400;1.352;135.096;-7.555;-14.542;143.761;-8.436;-25.649;116.681;-11.547;-14.994;109.350;13.558;16.774;143.690;-7.409;29.313;115.666;-10.556;16.222;111.316;14.325;1.745;109.092;-7.028
