Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
630.000;25.200;2.290;134.838;-7.656;-13.455;143.740;-8.557;-24.865;116.702;-11.451;-13.932;111.959;13.875;17.916;143.050;-7.393;30.270;114.644;-9.011;16.771;113.373;16.058;2.284;109.048;-6.907
631.000;25.240;2.286;134.838;-7.662;-13.461;143.742;-8.561;-24.866;116.699;-11.452;-13.929;111.987;13.872;17.910;143.052;-7.399;30.265;114.642;-9.030;16.781;113.356;16.047;2.278;109.050;-6.913
632.000;25.280;2.281;134.838;-7.665;-13.466;143.741;-8.561;-24.873;116.698;-11.441;-13.923;112.026;13.885;17.908;143.051;-7.406;30.251;114.641;-9.045;16.792;113.337;16.048;2.273;109.046;-6.920
633.000;25.320;2.280;134.839;-7.668;-13.461;143.748;-8.558;-24.877;116.710;-11.435;-13.936;112.055;13.892;17.911;143.042;-7.409;30.234;114.619;-9.050;16.821;113.307;16.071;2.267;109.047;-6.929
634.000;25.360;2.272;134.839;-7.671;-13.469;143.745;-8.557;-24.888;116.707;-11.442;-13.949;112.139;13.897;17.902;143.040;-7.406;30.216;114.607;-9.050;16.898;113.286;16.117;2.258;109.047;-6.933
635.000;25.400;2.263;134.844;-7.663;-13.481;143.749;-8.532;-24.906;116.711;-11.451;-14.003;112.361;13.935;17.891;143.044;-7.377;30.168;114.589;-9.081;17.109;113.253;16.191;2.247;109.048;-6.939
636.000;25.440;2.255;134.869;-7.650;-13.484;143.783;-8.481;-25.049;116.804;-11.443;-14.287;112.862;14.038;17.883;143.063;-7.319;30.111;114.595;-9.124;17.526;113.267;16.383;2.238;109.050;-6.950
637.000;25.480;2.257;134.912;-7.646;-13.468;143.858;-8.425;-25.504;117.059;-11.372;-15.061;113.721;14.301;17.879;143.141;-7.253;30.165;114.700;-9.063;18.325;113.337;16.790;2.242;109.050;-6.978
638.000;25.520;2.258;134.985;-7.647;-13.445;144.021;-8.368;-26.356;117.581;-11.215;-16.564;114.922;14.769;17.864;143.302;-7.168;30.438;114.968;-8.821;19.603;113.451;17.478;2.257;109.054;-7.020
639.000;25.560;2.248;135.070;-7.642;-13.442;144.218;-8.320;-27.583;118.354;-11.012;-18.681;116.357;15.323;17.827;143.496;-7.070;30.971;115.363;-8.449;21.223;113.553;18.302;2.276;109.066;-7.069
640.000;25.600;2.229;135.122;-7.614;-13.438;144.396;-8.307;-28.991;119.262;-10.775;-21.064;117.860;15.870;17.784;143.606;-6.965;31.758;115.789;-8.027;22.893;113.714;19.069;2.300;109.077;-7.119
641.000;25.640;2.212;135.139;-7.575;-13.418;144.538;-8.287;-30.333;120.199;-10.588;-23.418;119.194;16.357;17.754;143.650;-6.871;32.587;116.211;-7.661;24.483;113.841;19.715;2.312;109.084;-7.148
642.000;25.680;2.205;135.166;-7.523;-13.386;144.670;-8.220;-31.435;121.124;-10.506;-25.412;120.167;16.665;17.734;143.701;-6.827;33.222;116.598;-7.430;25.972;113.657;20.273;2.315;109.096;-7.156
643.000;25.720;2.212;135.206;-7.457;-13.343;144.788;-8.141;-32.256;121.973;-10.608;-26.972;120.681;16.718;17.728;143.770;-6.831;33.590;116.909;-7.288;27.258;112.769;20.662;2.293;109.108;-7.137
644.000;25.760;2.219;135.225;-7.373;-13.311;144.825;-8.078;-32.855;122.648;-10.948;-28.096;120.756;16.452;17.722;143.802;-6.837;33.733;117.068;-7.197;28.204;110.969;20.740;2.271;109.115;-7.084
645.000;25.800;2.202;135.202;-7.264;-13.312;144.800;-8.038;-33.203;123.098;-11.579;-28.702;120.536;15.819;17.703;143.741;-6.824;33.710;117.020;-7.155;28.609;108.343;20.307;2.231;109.115;-6.994
646.000;25.840;2.158;135.163;-7.130;-13.343;144.759;-8.003;-33.379;123.432;-12.505;-28.481;120.068;14.717;17.664;143.612;-6.783;33.501;116.770;-7.169;28.387;105.085;19.304;2.185;109.110;-6.868
647.000;25.880;2.103;135.129;-6.971;-13.391;144.713;-7.943;-33.445;123.788;-13.615;-27.211;119.344;13.114;17.610;143.478;-6.695;33.012;116.368;-7.185;27.862;101.312;17.677;2.142;109.107;-6.699
648.000;25.920;2.029;135.112;-6.798;-13.438;144.679;-7.870;-33.464;124.190;-14.673;-24.832;118.442;11.077;17.567;143.356;-6.527;32.235;115.877;-7.236;27.090;97.504;15.409;2.088;109.094;-6.509
649.000;25.960;1.979;135.114;-6.618;-13.445;144.694;-7.786;-33.527;124.635;-15.440;-21.547;117.468;8.518;17.555;143.232;-6.294;31.364;115.366;-7.388;26.112;94.142;12.658;2.038;109.079;-6.300
650.000;26.000;1.945;135.140;-6.442;-13.441;144.719;-7.628;-33.562;124.947;-15.767;-18.076;116.585;5.620;17.562;143.148;-6.073;30.466;114.914;-7.632;25.061;91.502;9.781;1.979;109.057;-6.098
651.000;26.040;1.930;135.180;-6.278;-13.427;144.755;-7.404;-33.394;125.046;-15.892;-15.645;116.126;3.446;17.588;143.115;-5.910;29.550;114.540;-7.859;24.070;89.599;7.153;1.940;109.059;-5.933
652.000;26.080;1.991;135.217;-6.149;-13.330;144.854;-7.340;-32.935;125.137;-16.497;-16.537;116.425;4.007;17.682;143.111;-5.774;28.636;114.237;-8.078;23.229;88.234;4.914;1.976;109.019;-5.868
653.000;26.120;2.123;135.189;-6.099;-13.149;144.956;-7.540;-32.533;125.336;-17.045;-18.818;117.154;5.550;17.845;143.043;-5.620;27.873;113.994;-8.451;23.212;87.515;3.670;1.962;109.034;-5.772
654.000;26.160;2.166;135.194;-5.987;-13.017;145.142;-7.624;-32.162;125.519;-17.430;-21.632;118.151;7.082;17.929;142.952;-5.564;27.648;113.915;-8.716;23.925;87.288;3.580;1.936;109.038;-5.728
655.000;26.200;2.174;135.199;-5.899;-12.937;145.303;-7.576;-32.113;125.847;-17.596;-24.152;119.144;8.047;17.975;142.912;-5.609;28.016;113.938;-8.590;24.471;87.270;3.860;1.923;109.052;-5.664
656.000;26.240;2.214;135.208;-5.817;-12.872;145.405;-7.501;-32.310;126.279;-17.653;-25.694;119.876;8.430;18.011;142.895;-5.559;28.494;113.997;-8.398;24.910;87.401;4.218;1.916;109.059;-5.614
657.000;26.280;2.221;135.220;-5.749;-12.828;145.499;-7.404;-32.554;126.673;-17.619;-25.793;120.096;8.386;18.030;142.862;-5.505;28.750;114.024;-8.280;25.191;87.513;4.552;1.870;109.055;-5.549
658.000;26.320;2.197;135.218;-5.683;-12.818;145.562;-7.274;-32.797;126.935;-17.450;-24.201;119.554;7.794;18.033;142.788;-5.495;28.774;113.946;-8.193;25.276;87.541;4.893;1.808;109.049;-5.473
659.000;26.360;2.157;135.212;-5.608;-12.851;145.550;-7.044;-33.075;127.053;-17.005;-21.084;118.344;6.372;18.023;142.702;-5.519;28.621;113.779;-8.077;25.103;87.456;5.158;1.753;109.042;-5.377
660.000;26.400;2.104;135.224;-5.531;-12.910;145.501;-6.707;-33.230;126.911;-16.286;-17.516;117.047;4.260;18.002;142.649;-5.551;28.356;113.615;-8.025;24.700;87.342;5.253;1.705;109.028;-5.278
661.000;26.440;2.090;135.263;-5.443;-12.948;145.452;-6.369;-32.911;126.534;-16.075;-16.248;116.349;3.524;18.001;142.655;-5.583;28.064;113.514;-8.061;24.209;87.288;5.258;1.698;109.029;-5.243
662.000;26.480;2.185;135.220;-5.448;-12.875;145.384;-6.427;-32.460;126.250;-16.470;-17.627;116.346;4.706;18.089;142.644;-5.555;27.913;113.478;-8.202;23.814;87.317;5.167;1.740;108.986;-5.243
663.000;26.520;2.270;135.139;-5.457;-12.800;145.303;-6.655;-32.120;125.945;-16.700;-19.307;116.708;6.063;18.148;142.560;-5.424;28.078;113.448;-8.363;23.574;87.402;5.122;1.750;109.016;-5.186
664.000;26.560;2.290;135.104;-5.405;-12.766;145.265;-6.725;-31.917;125.602;-16.610;-20.693;117.109;7.258;18.162;142.512;-5.318;28.411;113.463;-8.358;23.533;87.543;5.237;1.793;109.014;-5.153
665.000;26.600;2.348;135.089;-5.388;-12.734;145.215;-6.711;-31.799;125.280;-16.257;-21.598;117.447;8.293;18.197;142.535;-5.251;28.659;113.577;-8.305;23.668;87.883;5.654;1.845;109.016;-5.155
666.000;26.640;2.400;135.101;-5.382;-12.696;145.171;-6.669;-31.650;124.781;-15.640;-22.086;117.710;9.417;18.239;142.564;-5.166;28.897;113.723;-8.421;23.774;88.550;6.485;1.894;109.014;-5.210
