Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
1697.000;67.880;-0.414;134.991;-2.818;-16.303;143.814;-3.813;-26.392;116.050;-5.584;-23.113;116.629;21.903;15.286;142.967;-3.322;25.606;114.114;-5.226;20.937;115.270;22.519;-0.574;109.196;-2.094
1698.000;67.920;-0.432;134.981;-2.793;-16.319;143.806;-3.792;-26.415;116.050;-5.613;-23.186;116.606;21.877;15.267;142.952;-3.286;25.567;114.097;-5.235;20.881;115.196;22.510;-0.590;109.187;-2.066
1699.000;67.960;-0.442;134.967;-2.774;-16.323;143.798;-3.790;-26.434;116.054;-5.652;-23.285;116.608;21.842;15.258;142.929;-3.263;25.531;114.069;-5.240;20.849;115.132;22.507;-0.608;109.179;-2.037
1700.000;68.000;-0.443;134.953;-2.762;-16.312;143.796;-3.796;-26.448;116.065;-5.685;-23.398;116.644;21.818;15.263;142.899;-3.247;25.502;114.032;-5.244;20.845;115.074;22.507;-0.630;109.174;-2.008
1701.000;68.040;-0.437;134.939;-2.754;-16.292;143.799;-3.806;-26.453;116.080;-5.707;-23.509;116.709;21.806;15.277;142.868;-3.230;25.479;113.992;-5.234;20.854;115.022;22.526;-0.649;109.166;-1.985
1702.000;68.080;-0.426;134.925;-2.750;-16.272;143.804;-3.818;-26.457;116.097;-5.714;-23.627;116.824;21.806;15.295;142.838;-3.216;25.468;113.950;-5.206;20.864;114.954;22.565;-0.669;109.159;-1.967
1703.000;68.120;-0.417;134.913;-2.747;-16.252;143.806;-3.823;-26.465;116.109;-5.715;-23.766;117.026;21.813;15.310;142.813;-3.206;25.482;113.917;-5.161;20.869;114.870;22.625;-0.690;109.154;-1.952
1704.000;68.160;-0.413;134.904;-2.742;-16.240;143.806;-3.812;-26.541;116.154;-5.651;-23.880;117.411;21.868;15.317;142.804;-3.189;25.526;113.909;-5.103;20.849;114.719;22.712;-0.712;109.154;-1.946
1705.000;68.200;-0.397;134.897;-2.750;-16.221;143.797;-3.804;-26.809;116.242;-5.343;-23.907;118.162;22.079;15.326;142.818;-3.163;25.620;113.936;-5.018;20.838;114.469;22.831;-0.718;109.150;-1.957
