Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
1396.000;55.840;3.594;135.120;-6.783;-12.300;143.770;-7.657;-23.071;116.677;-11.803;-15.656;112.827;15.148;19.169;143.348;-6.622;30.157;114.895;-10.769;21.412;111.458;16.348;3.733;109.118;-6.197
1397.000;55.880;3.597;135.118;-6.796;-12.296;143.767;-7.669;-23.065;116.672;-11.806;-15.658;112.834;15.148;19.172;143.346;-6.643;30.158;114.893;-10.790;21.443;111.467;16.336;3.741;109.116;-6.202
1398.000;55.920;3.603;135.117;-6.809;-12.292;143.763;-7.681;-23.066;116.672;-11.822;-15.660;112.830;15.134;19.178;143.345;-6.659;30.155;114.889;-10.805;21.454;111.472;16.328;3.752;109.116;-6.206
1399.000;55.960;3.613;135.117;-6.823;-12.283;143.764;-7.693;-23.059;116.673;-11.838;-15.664;112.825;15.125;19.187;143.344;-6.675;30.157;114.885;-10.818;21.464;111.479;16.320;3.762;109.117;-6.212
1400.000;56.000;3.622;135.116;-6.835;-12.276;143.763;-7.703;-23.043;116.668;-11.848;-15.663;112.824;15.115;19.195;143.347;-6.696;30.168;114.887;-10.831;21.479;111.481;16.303;3.771;109.114;-6.217
1401.000;56.040;3.632;135.113;-6.847;-12.268;143.761;-7.714;-23.030;116.666;-11.866;-15.657;112.825;15.103;19.204;143.346;-6.704;30.183;114.889;-10.833;21.495;111.478;16.288;3.782;109.114;-6.227
1402.000;56.080;3.641;135.113;-6.863;-12.262;143.752;-7.729;-23.015;116.652;-11.868;-15.627;112.832;15.094;19.211;143.349;-6.728;30.195;114.892;-10.854;21.524;111.484;16.266;3.791;109.116;-6.237
1403.000;56.120;3.654;135.113;-6.882;-12.247;143.755;-7.752;-22.999;116.658;-11.887;-15.619;112.835;15.064;19.225;143.346;-6.747;30.203;114.883;-10.857;21.547;111.494;16.261;3.805;109.114;-6.246
1404.000;56.160;3.663;135.111;-6.896;-12.241;143.746;-7.777;-22.983;116.640;-11.913;-15.614;112.821;15.036;19.230;143.348;-6.758;30.216;114.888;-10.856;21.571;111.508;16.266;3.814;109.114;-6.256
1405.000;56.200;3.677;135.109;-6.919;-12.223;143.749;-7.801;-22.973;116.645;-11.929;-15.602;112.804;15.008;19.248;143.342;-6.776;30.238;114.877;-10.855;21.608;111.505;16.267;3.829;109.114;-6.266
1406.000;56.240;3.688;135.108;-6.939;-12.213;143.749;-7.832;-22.961;116.643;-11.941;-15.597;112.736;14.973;19.256;143.341;-6.792;30.264;114.877;-10.832;21.651;111.512;16.291;3.840;109.113;-6.277
1407.000;56.280;3.699;135.108;-6.964;-12.200;143.744;-7.858;-22.922;116.629;-11.956;-15.731;112.626;14.893;19.271;143.329;-6.808;30.280;114.863;-10.790;21.719;111.543;16.346;3.852;109.114;-6.287
1408.000;56.320;3.711;135.101;-7.003;-12.194;143.711;-7.886;-22.890;116.567;-11.876;-16.131;112.657;14.981;19.281;143.298;-6.846;30.295;114.826;-10.621;22.019;111.698;16.532;3.864;109.119;-6.316
1409.000;56.360;3.717;135.091;-7.075;-12.186;143.702;-7.928;-23.131;116.528;-11.274;-16.568;113.069;15.609;19.294;143.276;-6.912;30.536;114.802;-10.024;22.760;112.313;17.204;3.876;109.127;-6.401
1410.000;56.400;3.722;135.091;-7.203;-12.167;143.737;-8.011;-23.675;116.525;-9.940;-17.129;114.285;17.005;19.311;143.287;-7.029;31.192;114.835;-8.701;23.687;113.717;18.572;3.887;109.138;-6.543
1411.000;56.440;3.736;135.099;-7.370;-12.134;143.798;-8.155;-24.392;116.652;-7.981;-17.685;116.542;18.969;19.327;143.359;-7.173;32.044;115.073;-6.764;24.512;116.259;20.378;3.896;109.161;-6.726
1412.000;56.480;3.752;135.122;-7.562;-12.102;143.909;-8.327;-25.073;117.012;-5.572;-17.951;119.744;21.102;19.332;143.469;-7.340;32.868;115.581;-4.410;25.048;119.670;22.271;3.896;109.182;-6.922
1413.000;56.520;3.765;135.146;-7.770;-12.074;144.042;-8.502;-25.603;117.654;-2.877;-17.791;123.517;23.036;19.324;143.573;-7.502;33.538;116.339;-1.854;25.194;123.527;23.945;3.890;109.200;-7.122
1414.000;56.560;3.769;135.165;-7.976;-12.050;144.180;-8.661;-25.929;118.581;-0.093;-17.104;127.536;24.538;19.303;143.675;-7.659;33.975;117.290;0.710;24.879;127.502;25.164;3.878;109.217;-7.303
1415.000;56.600;3.762;135.180;-8.153;-12.028;144.321;-8.797;-26.002;119.741;2.588;-15.928;131.485;25.482;19.263;143.801;-7.819;34.119;118.405;3.114;24.077;131.314;25.834;3.873;109.232;-7.448
