Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
703.000;28.120;2.371;135.316;-5.419;-13.505;143.953;-6.165;-24.093;116.241;-7.489;-16.257;111.887;19.419;17.984;143.432;-5.626;28.915;114.551;-7.169;20.375;112.435;20.039;2.384;109.227;-4.598
704.000;28.160;2.356;135.313;-5.470;-13.517;143.956;-6.227;-24.112;116.252;-7.548;-16.256;111.893;19.352;17.971;143.424;-5.683;28.882;114.537;-7.219;20.358;112.392;19.999;2.362;109.223;-4.625
705.000;28.200;2.343;135.309;-5.512;-13.527;143.952;-6.279;-24.122;116.251;-7.602;-16.258;111.898;19.293;17.959;143.413;-5.724;28.849;114.519;-7.260;20.349;112.341;19.965;2.342;109.220;-4.648
706.000;28.240;2.331;135.306;-5.551;-13.536;143.947;-6.328;-24.123;116.240;-7.643;-16.283;111.893;19.266;17.948;143.406;-5.758;28.827;114.511;-7.302;20.348;112.308;19.935;2.328;109.217;-4.670
707.000;28.280;2.318;135.301;-5.580;-13.555;143.941;-6.365;-24.118;116.225;-7.689;-16.314;111.876;19.231;17.931;143.409;-5.777;28.814;114.515;-7.326;20.335;112.299;19.909;2.316;109.214;-4.688
708.000;28.320;2.308;135.300;-5.599;-13.565;143.935;-6.384;-24.115;116.218;-7.729;-16.369;111.859;19.206;17.922;143.408;-5.791;28.799;114.515;-7.341;20.320;112.304;19.891;2.306;109.213;-4.702
709.000;28.360;2.303;135.299;-5.611;-13.572;143.936;-6.393;-24.118;116.216;-7.760;-16.428;111.836;19.184;17.913;143.408;-5.803;28.796;114.515;-7.355;20.329;112.314;19.883;2.296;109.215;-4.713
710.000;28.400;2.297;135.295;-5.618;-13.578;143.926;-6.393;-24.133;116.209;-7.772;-16.473;111.812;19.182;17.903;143.411;-5.810;28.796;114.520;-7.360;20.350;112.307;19.885;2.287;109.216;-4.716
711.000;28.440;2.296;135.293;-5.627;-13.580;143.928;-6.392;-24.148;116.216;-7.775;-16.558;111.775;19.207;17.902;143.409;-5.815;28.800;114.516;-7.354;20.378;112.251;19.900;2.284;109.217;-4.721
712.000;28.480;2.295;135.286;-5.636;-13.584;143.920;-6.367;-24.165;116.235;-7.723;-16.757;111.804;19.323;17.900;143.408;-5.825;28.812;114.513;-7.342;20.443;112.118;19.938;2.277;109.220;-4.723
713.000;28.520;2.302;135.283;-5.662;-13.573;143.938;-6.344;-24.313;116.308;-7.427;-17.058;112.074;19.706;17.909;143.424;-5.844;28.875;114.537;-7.339;20.553;111.872;20.011;2.271;109.219;-4.729
714.000;28.560;2.341;135.283;-5.719;-13.504;143.980;-6.350;-24.726;116.471;-6.612;-17.448;113.065;20.652;17.957;143.446;-5.885;29.022;114.584;-7.324;20.675;111.347;20.099;2.266;109.220;-4.758
715.000;28.600;2.421;135.277;-5.812;-13.383;144.070;-6.421;-25.416;116.792;-5.051;-17.912;115.317;22.307;18.040;143.451;-5.942;29.277;114.639;-7.252;20.743;110.235;20.106;2.272;109.216;-4.822
716.000;28.640;2.516;135.277;-5.932;-13.239;144.237;-6.533;-26.222;117.439;-2.737;-18.395;118.950;24.460;18.142;143.430;-6.005;29.614;114.683;-7.099;20.735;108.281;19.877;2.302;109.218;-4.921
717.000;28.680;2.603;135.285;-6.066;-13.084;144.495;-6.650;-27.015;118.599;0.220;-18.631;123.874;26.688;18.242;143.373;-6.080;29.943;114.674;-6.854;20.708;105.553;19.331;2.321;109.229;-5.030
718.000;28.720;2.672;135.294;-6.195;-12.892;144.803;-6.753;-27.702;120.426;3.617;-18.415;129.780;28.532;18.334;143.285;-6.157;30.153;114.581;-6.543;20.749;102.270;18.379;2.333;109.238;-5.136
719.000;28.760;2.720;135.312;-6.297;-12.692;145.149;-6.831;-28.161;123.002;7.158;-17.586;136.172;29.647;18.412;143.182;-6.230;30.225;114.434;-6.255;20.918;98.909;16.965;2.340;109.246;-5.229
720.000;28.800;2.740;135.346;-6.352;-12.505;145.542;-6.803;-28.249;126.218;10.598;-16.116;142.540;29.947;18.476;143.075;-6.313;30.147;114.237;-6.058;21.133;95.777;15.124;2.338;109.250;-5.310
721.000;28.840;2.717;135.401;-6.348;-12.340;145.960;-6.638;-27.889;129.805;13.706;-14.169;148.460;29.490;18.512;142.989;-6.400;29.898;114.021;-6.023;21.573;93.092;13.049;2.323;109.255;-5.367
722.000;28.880;2.663;135.485;-6.272;-12.170;146.389;-6.375;-27.089;133.461;16.339;-12.014;153.709;28.377;18.526;142.931;-6.485;29.451;113.789;-6.196;22.216;90.901;10.917;2.290;109.262;-5.387
723.000;28.920;2.590;135.582;-6.162;-11.994;146.801;-6.063;-25.931;136.886;18.444;-9.878;158.117;26.794;18.520;142.880;-6.609;28.882;113.556;-6.583;22.950;89.198;8.828;2.243;109.272;-5.378
