Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
1001.000;40.040;1.087;134.928;-4.287;-14.667;143.864;-5.234;-25.152;117.085;-10.204;-18.576;110.963;16.401;16.780;143.151;-4.172;28.013;114.728;-7.762;19.933;110.652;19.235;1.194;108.668;-3.957
1002.000;40.080;1.082;134.929;-4.290;-14.673;143.865;-5.237;-25.158;117.084;-10.205;-18.582;110.964;16.403;16.774;143.153;-4.175;28.015;114.731;-7.763;19.928;110.650;19.228;1.189;108.667;-3.960
1003.000;40.120;1.068;134.927;-4.309;-14.685;143.870;-5.259;-25.180;117.087;-10.211;-18.602;110.982;16.402;16.762;143.145;-4.195;27.993;114.713;-7.763;19.881;110.671;19.225;1.178;108.668;-3.976
1004.000;40.160;1.052;134.922;-4.334;-14.695;143.868;-5.280;-25.193;117.083;-10.224;-18.621;110.990;16.394;16.748;143.134;-4.223;27.955;114.698;-7.781;19.829;110.679;19.208;1.166;108.668;-3.994
1005.000;40.200;1.036;134.913;-4.366;-14.714;143.857;-5.304;-25.197;117.069;-10.244;-18.638;110.962;16.370;16.730;143.123;-4.262;27.912;114.675;-7.820;19.785;110.675;19.169;1.156;108.667;-4.009
1006.000;40.240;1.012;134.900;-4.404;-14.739;143.841;-5.332;-25.204;117.044;-10.275;-18.648;110.938;16.342;16.705;143.109;-4.319;27.868;114.655;-7.883;19.746;110.661;19.110;1.148;108.664;-4.026
1007.000;40.280;0.995;134.886;-4.449;-14.754;143.824;-5.370;-25.208;117.031;-10.323;-18.671;110.917;16.301;16.687;143.087;-4.380;27.813;114.623;-7.974;19.728;110.637;19.034;1.137;108.660;-4.044
1008.000;40.320;0.980;134.873;-4.495;-14.771;143.804;-5.407;-25.230;117.011;-10.355;-18.685;110.904;16.262;16.670;143.068;-4.439;27.777;114.603;-8.072;19.724;110.661;18.939;1.123;108.661;-4.065
1009.000;40.360;0.971;134.852;-4.546;-14.779;143.779;-5.423;-25.301;117.020;-10.358;-18.655;110.982;16.238;16.665;143.041;-4.525;27.776;114.616;-8.106;19.749;110.818;18.929;1.107;108.657;-4.088
