Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
2663.000;106.520;0.184;134.833;-5.442;-15.568;143.729;-6.347;-26.954;116.855;-9.424;-16.485;112.447;16.301;15.743;143.182;-5.576;27.617;115.057;-9.504;17.916;113.054;17.110;0.494;108.685;-4.596
2664.000;106.560;0.200;134.838;-5.438;-15.553;143.728;-6.349;-26.876;116.834;-9.445;-16.414;112.435;16.288;15.755;143.186;-5.577;27.646;115.087;-9.600;17.968;112.976;17.019;0.501;108.680;-4.593
2665.000;106.600;0.219;134.847;-5.446;-15.537;143.726;-6.356;-26.819;116.812;-9.452;-16.374;112.452;16.291;15.776;143.208;-5.589;27.683;115.123;-9.652;18.002;112.965;16.960;0.508;108.682;-4.602
2666.000;106.640;0.239;134.860;-5.451;-15.522;143.727;-6.362;-26.790;116.804;-9.459;-16.337;112.470;16.289;15.792;143.235;-5.587;27.718;115.158;-9.644;17.982;112.995;16.944;0.524;108.683;-4.618
2667.000;106.680;0.261;134.874;-5.463;-15.498;143.748;-6.376;-26.797;116.835;-9.449;-16.337;112.532;16.301;15.819;143.243;-5.598;27.746;115.154;-9.610;17.959;113.040;16.965;0.545;108.686;-4.642
2668.000;106.720;0.282;134.879;-5.479;-15.473;143.761;-6.398;-26.817;116.862;-9.447;-16.336;112.599;16.307;15.846;143.244;-5.605;27.769;115.142;-9.542;17.928;113.118;17.027;0.567;108.688;-4.669
2669.000;106.760;0.304;134.887;-5.501;-15.452;143.768;-6.438;-26.838;116.874;-9.458;-16.341;112.713;16.323;15.867;143.255;-5.614;27.798;115.133;-9.474;17.884;113.235;17.075;0.591;108.686;-4.695
2670.000;106.800;0.332;134.894;-5.523;-15.420;143.774;-6.476;-26.852;116.890;-9.462;-16.346;112.934;16.356;15.896;143.260;-5.633;27.835;115.130;-9.425;17.831;113.426;17.100;0.611;108.689;-4.716
2671.000;106.840;0.354;134.901;-5.541;-15.400;143.777;-6.512;-26.847;116.889;-9.471;-16.316;113.230;16.400;15.914;143.274;-5.645;27.891;115.142;-9.371;17.767;113.693;17.121;0.629;108.691;-4.734
2672.000;106.880;0.373;134.908;-5.565;-15.380;143.783;-6.542;-26.813;116.877;-9.437;-16.256;113.610;16.486;15.935;143.282;-5.678;27.968;115.148;-9.319;17.719;114.035;17.141;0.647;108.695;-4.750
2673.000;106.920;0.390;134.912;-5.603;-15.357;143.797;-6.587;-26.750;116.854;-9.368;-16.219;114.068;16.633;15.960;143.284;-5.730;28.043;115.142;-9.231;17.662;114.432;17.197;0.656;108.694;-4.776
2674.000;106.960;0.407;134.914;-5.643;-15.339;143.803;-6.633;-26.702;116.820;-9.254;-16.145;114.607;16.805;15.979;143.284;-5.793;28.115;115.132;-9.142;17.606;114.888;17.250;0.668;108.696;-4.803
2675.000;107.000;0.428;134.918;-5.681;-15.316;143.809;-6.673;-26.679;116.788;-9.118;-16.037;115.286;16.972;16.001;143.289;-5.830;28.189;115.136;-9.027;17.508;115.445;17.294;0.674;108.696;-4.830
2676.000;107.040;0.439;134.924;-5.725;-15.305;143.827;-6.699;-26.687;116.768;-8.918;-15.828;116.207;17.159;16.011;143.307;-5.877;28.306;115.174;-8.859;17.273;116.270;17.345;0.684;108.697;-4.857
2677.000;107.080;0.453;134.935;-5.768;-15.286;143.871;-6.707;-26.711;116.785;-8.632;-15.544;117.404;17.310;16.027;143.325;-5.937;28.513;115.209;-8.555;16.776;117.392;17.336;0.697;108.701;-4.897
2678.000;107.120;0.460;134.951;-5.808;-15.268;143.930;-6.730;-26.757;116.818;-8.183;-15.139;118.930;17.471;16.030;143.355;-5.994;28.819;115.267;-8.007;16.069;118.942;17.277;0.702;108.704;-4.942
