Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
697.000;27.880;0.780;134.877;-3.057;-14.800;144.096;-4.176;-25.900;117.629;-9.319;-16.752;111.936;16.734;16.483;143.119;-2.941;26.623;115.371;-8.883;18.892;112.593;18.273;0.858;108.787;-2.751
698.000;27.920;0.788;134.875;-3.132;-14.786;144.098;-4.254;-25.903;117.639;-9.388;-16.750;111.957;16.657;16.494;143.113;-3.020;26.637;115.356;-8.934;18.923;112.636;18.227;0.866;108.784;-2.798
699.000;27.960;0.797;134.875;-3.202;-14.778;144.099;-4.328;-25.908;117.650;-9.463;-16.758;111.997;16.590;16.503;143.110;-3.095;26.659;115.352;-8.985;18.940;112.689;18.174;0.870;108.784;-2.848
700.000;28.000;0.802;134.875;-3.273;-14.771;144.099;-4.404;-25.905;117.651;-9.529;-16.756;112.031;16.532;16.508;143.106;-3.169;26.673;115.346;-9.041;18.944;112.738;18.118;0.872;108.786;-2.896
701.000;28.040;0.806;134.873;-3.341;-14.766;144.097;-4.481;-25.892;117.641;-9.594;-16.733;112.053;16.471;16.514;143.101;-3.240;26.681;115.336;-9.093;18.939;112.795;18.070;0.873;108.784;-2.941
702.000;28.080;0.806;134.869;-3.411;-14.767;144.090;-4.564;-25.889;117.621;-9.645;-16.735;112.069;16.432;16.512;143.103;-3.311;26.703;115.336;-9.128;18.937;112.848;18.032;0.877;108.784;-2.989
703.000;28.120;0.808;134.867;-3.483;-14.770;144.083;-4.646;-25.880;117.608;-9.688;-16.739;112.075;16.395;16.510;143.105;-3.383;26.723;115.338;-9.163;18.942;112.914;17.990;0.878;108.785;-3.039
704.000;28.160;0.810;134.868;-3.550;-14.761;144.089;-4.725;-25.878;117.611;-9.744;-16.752;112.113;16.353;16.514;143.104;-3.453;26.729;115.337;-9.210;18.969;113.063;17.959;0.879;108.786;-3.085
705.000;28.200;0.813;134.874;-3.615;-14.758;144.097;-4.812;-25.877;117.620;-9.821;-16.772;112.203;16.301;16.515;143.105;-3.523;26.767;115.348;-9.269;18.995;113.338;17.899;0.877;108.786;-3.132
706.000;28.240;0.818;134.879;-3.686;-14.744;144.114;-4.874;-25.898;117.660;-9.868;-16.733;112.419;16.269;16.520;143.102;-3.611;26.868;115.370;-9.316;19.027;113.855;17.862;0.879;108.790;-3.181
707.000;28.280;0.805;134.897;-3.779;-14.758;144.157;-4.918;-26.030;117.777;-9.801;-16.458;113.140;16.261;16.504;143.143;-3.721;27.109;115.466;-9.160;19.043;114.904;17.987;0.869;108.790;-3.251
708.000;28.320;0.793;134.958;-3.904;-14.769;144.253;-4.937;-26.423;117.962;-9.362;-15.740;114.989;16.422;16.474;143.270;-3.824;27.651;115.646;-8.565;18.844;116.526;18.306;0.860;108.796;-3.366
709.000;28.360;0.782;135.025;-4.065;-14.759;144.365;-5.032;-27.041;118.132;-8.243;-14.440;118.104;16.738;16.423;143.436;-3.920;28.587;115.886;-7.325;18.093;118.692;18.785;0.856;108.798;-3.553
710.000;28.400;0.789;135.092;-4.270;-14.698;144.510;-5.255;-27.658;118.316;-6.228;-12.819;122.083;16.975;16.380;143.616;-4.032;29.674;116.201;-5.394;16.796;121.164;19.253;0.841;108.807;-3.782
711.000;28.440;0.809;135.165;-4.504;-14.614;144.693;-5.506;-28.041;118.663;-3.435;-11.072;126.103;17.116;16.360;143.792;-4.134;30.631;116.643;-2.863;14.980;123.716;19.532;0.841;108.824;-4.037
712.000;28.480;0.834;135.239;-4.755;-14.545;144.905;-5.669;-28.054;119.255;-0.255;-9.370;129.890;17.060;16.339;143.965;-4.202;31.254;117.316;0.039;12.828;126.034;19.552;0.842;108.836;-4.308
713.000;28.520;0.837;135.329;-5.000;-14.528;145.137;-5.769;-27.698;120.083;2.856;-7.890;133.159;16.854;16.275;144.111;-4.189;31.407;118.132;2.889;10.780;128.029;19.443;0.852;108.856;-4.603
714.000;28.560;0.840;135.413;-5.195;-14.494;145.340;-5.819;-27.123;121.052;5.486;-6.665;135.676;16.701;16.210;144.254;-4.165;31.162;118.926;5.311;9.140;129.613;19.371;0.865;108.872;-4.891
