Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
139.000;5.560;0.261;134.942;-5.626;-15.630;143.617;-6.108;-25.758;116.128;-8.957;-16.448;111.741;17.353;15.739;143.505;-5.919;27.334;115.203;-9.237;17.240;112.623;17.391;0.692;108.983;-5.279
140.000;5.600;0.289;134.930;-5.657;-15.597;143.613;-6.154;-25.742;116.134;-9.040;-16.469;111.720;17.272;15.771;143.480;-5.943;27.363;115.174;-9.255;17.268;112.596;17.378;0.708;108.980;-5.279
141.000;5.640;0.318;134.919;-5.686;-15.561;143.612;-6.192;-25.721;116.149;-9.092;-16.478;111.711;17.225;15.805;143.458;-5.973;27.369;115.149;-9.298;17.310;112.559;17.354;0.721;108.976;-5.285
142.000;5.680;0.352;134.913;-5.713;-15.522;143.616;-6.228;-25.698;116.162;-9.145;-16.498;111.713;17.181;15.848;143.441;-5.997;27.377;115.125;-9.356;17.328;112.535;17.294;0.739;108.973;-5.288
143.000;5.720;0.384;134.906;-5.742;-15.483;143.617;-6.263;-25.674;116.167;-9.186;-16.522;111.762;17.167;15.882;143.424;-6.025;27.373;115.104;-9.425;17.335;112.499;17.235;0.760;108.971;-5.294
144.000;5.760;0.421;134.897;-5.770;-15.441;143.619;-6.291;-25.647;116.172;-9.219;-16.532;111.811;17.144;15.924;143.404;-6.051;27.356;115.069;-9.487;17.345;112.461;17.178;0.786;108.969;-5.303
145.000;5.800;0.451;134.890;-5.803;-15.407;143.619;-6.319;-25.622;116.178;-9.237;-16.537;111.884;17.139;15.961;143.381;-6.078;27.356;115.037;-9.528;17.349;112.438;17.138;0.810;108.967;-5.313
146.000;5.840;0.482;134.883;-5.836;-15.369;143.623;-6.352;-25.600;116.180;-9.253;-16.518;112.001;17.149;15.996;143.353;-6.113;27.356;114.995;-9.568;17.377;112.451;17.119;0.839;108.966;-5.321
147.000;5.880;0.513;134.872;-5.867;-15.337;143.611;-6.374;-25.568;116.164;-9.272;-16.533;112.237;17.184;16.031;143.335;-6.151;27.364;114.954;-9.591;17.466;112.573;17.158;0.865;108.964;-5.330
