Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
702.000;28.080;-0.768;134.795;-6.195;-16.749;143.630;-7.053;-24.940;115.512;-1.899;-16.519;123.811;23.312;14.847;143.144;-7.107;24.345;114.489;-1.818;15.177;123.083;23.739;-0.494;109.180;-3.730
703.000;28.120;-0.815;134.798;-6.241;-16.795;143.637;-7.078;-24.986;115.522;-1.913;-16.535;123.820;23.286;14.803;143.142;-7.172;24.301;114.484;-1.887;15.189;123.118;23.676;-0.540;109.179;-3.772
704.000;28.160;-0.865;134.804;-6.282;-16.846;143.647;-7.101;-25.041;115.534;-1.939;-16.559;123.839;23.248;14.751;143.146;-7.229;24.250;114.487;-1.966;15.196;123.131;23.614;-0.588;109.178;-3.817
705.000;28.200;-0.921;134.810;-6.325;-16.907;143.647;-7.134;-25.090;115.528;-1.981;-16.620;123.856;23.193;14.691;143.158;-7.275;24.200;114.496;-2.036;15.195;123.158;23.554;-0.634;109.177;-3.869
706.000;28.240;-0.974;134.820;-6.367;-16.961;143.655;-7.170;-25.154;115.541;-2.029;-16.693;123.899;23.137;14.638;143.169;-7.322;24.148;114.505;-2.095;15.179;123.198;23.497;-0.685;109.176;-3.919
707.000;28.280;-1.023;134.825;-6.410;-17.011;143.657;-7.211;-25.202;115.540;-2.082;-16.765;123.923;23.082;14.589;143.177;-7.375;24.107;114.517;-2.151;15.142;123.224;23.429;-0.728;109.177;-3.967
708.000;28.320;-1.075;134.837;-6.453;-17.066;143.658;-7.255;-25.249;115.538;-2.125;-16.858;123.940;23.046;14.532;143.195;-7.416;24.061;114.538;-2.188;15.067;123.270;23.373;-0.777;109.182;-4.010
709.000;28.360;-1.124;134.850;-6.481;-17.118;143.662;-7.280;-25.299;115.535;-2.171;-16.951;123.941;23.012;14.482;143.215;-7.452;24.028;114.558;-2.230;15.006;123.301;23.318;-0.826;109.183;-4.050
710.000;28.400;-1.172;134.866;-6.504;-17.169;143.671;-7.297;-25.366;115.545;-2.226;-17.050;123.954;22.967;14.433;143.235;-7.483;24.005;114.580;-2.261;14.951;123.317;23.279;-0.875;109.189;-4.081
711.000;28.440;-1.218;134.876;-6.525;-17.214;143.684;-7.319;-25.433;115.563;-2.269;-17.127;124.015;22.921;14.386;143.241;-7.512;24.007;114.590;-2.304;14.912;123.267;23.255;-0.921;109.193;-4.114
712.000;28.480;-1.261;134.884;-6.534;-17.252;143.700;-7.312;-25.546;115.619;-2.291;-17.131;124.195;22.853;14.343;143.242;-7.537;24.073;114.587;-2.410;14.931;123.080;23.246;-0.970;109.197;-4.147
713.000;28.520;-1.298;134.892;-6.522;-17.277;143.721;-7.293;-25.755;115.752;-2.176;-17.016;124.720;22.661;14.301;143.234;-7.542;24.360;114.617;-2.670;14.933;122.593;23.141;-1.030;109.206;-4.181
714.000;28.560;-1.313;134.907;-6.485;-17.275;143.753;-7.242;-26.080;116.022;-1.711;-17.019;126.110;22.373;14.272;143.230;-7.523;24.921;114.688;-3.214;14.837;121.424;22.806;-1.099;109.214;-4.219
715.000;28.600;-1.298;134.937;-6.433;-17.238;143.830;-7.199;-26.503;116.502;-0.563;-17.407;128.921;22.064;14.267;143.238;-7.467;25.599;114.772;-4.127;14.678;119.190;22.143;-1.146;109.225;-4.270
716.000;28.640;-1.229;134.978;-6.402;-17.136;143.982;-7.246;-27.122;117.448;1.600;-18.054;133.029;21.970;14.333;143.277;-7.355;26.040;114.806;-5.394;14.794;115.751;21.190;-1.162;109.240;-4.346
717.000;28.680;-1.133;135.026;-6.387;-16.978;144.191;-7.310;-27.797;119.074;4.565;-18.661;137.745;21.948;14.442;143.298;-7.254;26.144;114.801;-6.672;15.264;111.301;20.016;-1.148;109.256;-4.451
718.000;28.720;-1.066;135.068;-6.369;-16.822;144.472;-7.277;-28.241;121.358;7.819;-18.923;142.463;21.923;14.551;143.262;-7.208;26.159;114.713;-7.501;15.947;106.240;18.534;-1.131;109.270;-4.575
719.000;28.760;-1.050;135.117;-6.341;-16.689;144.763;-7.183;-28.366;124.087;10.945;-18.606;146.762;21.955;14.617;143.210;-7.150;26.172;114.603;-7.698;16.774;101.138;16.620;-1.111;109.307;-4.687
720.000;28.800;-1.068;135.182;-6.286;-16.587;145.061;-7.058;-28.089;126.881;13.557;-17.705;150.321;22.256;14.646;143.197;-7.080;26.149;114.530;-7.348;17.712;96.498;14.354;-1.120;109.338;-4.794
721.000;28.840;-1.109;135.256;-6.242;-16.512;145.340;-6.900;-27.430;129.268;15.543;-16.302;152.951;22.696;14.645;143.214;-7.056;26.042;114.467;-6.675;18.824;92.545;11.788;-1.144;109.374;-4.872
722.000;28.880;-1.145;135.302;-6.195;-16.459;145.544;-6.723;-26.519;130.985;16.970;-14.461;154.591;23.041;14.649;143.190;-7.037;25.793;114.294;-5.998;19.962;89.659;9.225;-1.181;109.395;-4.937
723.000;28.920;-1.181;135.325;-6.164;-16.418;145.662;-6.594;-25.344;131.943;17.915;-12.307;155.262;23.256;14.649;143.158;-7.007;25.398;114.134;-5.625;20.994;87.929;6.965;-1.211;109.405;-4.986
724.000;28.960;-1.205;135.332;-6.163;-16.406;145.698;-6.466;-24.110;132.081;18.415;-10.084;154.959;23.351;14.645;143.165;-7.034;24.993;114.065;-5.654;21.780;87.072;5.238;-1.219;109.410;-5.012
725.000;29.000;-1.226;135.327;-6.174;-16.410;145.652;-6.316;-23.098;131.320;18.426;-8.090;153.584;23.448;14.629;143.212;-7.139;24.769;114.105;-6.112;22.256;86.838;4.063;-1.202;109.409;-4.999
726.000;29.040;-1.215;135.314;-6.191;-16.446;145.477;-6.190;-22.478;129.691;17.845;-6.672;151.211;23.541;14.615;143.286;-7.289;24.691;114.170;-6.864;22.480;86.916;3.249;-1.173;109.402;-4.956
