Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
2051.000;82.040;0.845;134.810;-4.859;-14.894;143.661;-5.599;-26.294;116.380;-7.792;-14.520;117.474;17.253;16.536;143.226;-4.447;27.964;114.807;-5.793;15.565;117.879;19.356;0.905;108.786;-4.402
2052.000;82.080;0.842;134.803;-4.905;-14.896;143.651;-5.650;-26.287;116.362;-7.815;-14.524;117.496;17.230;16.535;143.219;-4.497;27.950;114.792;-5.842;15.557;117.896;19.304;0.905;108.783;-4.432
2053.000;82.120;0.835;134.790;-4.994;-14.902;143.635;-5.741;-26.278;116.336;-7.870;-14.544;117.549;17.179;16.526;143.204;-4.597;27.922;114.767;-5.907;15.540;117.950;19.237;0.899;108.779;-4.487
2054.000;82.160;0.836;134.779;-5.076;-14.899;143.628;-5.823;-26.292;116.334;-7.936;-14.598;117.604;17.128;16.531;143.186;-4.686;27.909;114.738;-5.932;15.537;118.012;19.195;0.892;108.772;-4.546
2055.000;82.200;0.830;134.772;-5.153;-14.899;143.623;-5.888;-26.318;116.339;-7.983;-14.642;117.642;17.084;16.529;143.177;-4.773;27.912;114.724;-5.975;15.547;118.089;19.145;0.883;108.770;-4.603
2056.000;82.240;0.826;134.765;-5.223;-14.899;143.631;-5.953;-26.352;116.357;-8.035;-14.701;117.667;17.039;16.530;143.158;-4.858;27.909;114.700;-6.020;15.573;118.160;19.095;0.868;108.770;-4.659
2057.000;82.280;0.814;134.759;-5.284;-14.904;143.633;-6.001;-26.386;116.368;-8.076;-14.734;117.672;17.001;16.524;143.142;-4.930;27.901;114.679;-6.086;15.591;118.207;19.034;0.854;108.769;-4.704
2058.000;82.320;0.807;134.753;-5.345;-14.904;143.632;-6.049;-26.416;116.381;-8.104;-14.749;117.688;16.969;16.522;143.123;-5.003;27.878;114.650;-6.178;15.642;118.240;18.961;0.840;108.770;-4.741
2059.000;82.360;0.794;134.745;-5.403;-14.913;143.632;-6.105;-26.439;116.386;-8.142;-14.771;117.704;16.934;16.514;143.107;-5.076;27.840;114.624;-6.291;15.683;118.269;18.878;0.825;108.770;-4.770
2060.000;82.400;0.781;134.741;-5.469;-14.930;143.624;-6.157;-26.428;116.370;-8.173;-14.836;117.755;16.918;16.503;143.088;-5.147;27.769;114.590;-6.418;15.830;118.330;18.822;0.809;108.772;-4.792
2061.000;82.440;0.773;134.737;-5.542;-14.939;143.613;-6.217;-26.445;116.372;-8.128;-15.164;118.100;17.022;16.498;143.053;-5.221;27.662;114.537;-6.474;16.286;118.577;18.923;0.797;108.774;-4.823
2062.000;82.480;0.760;134.721;-5.642;-14.934;143.615;-6.320;-26.712;116.460;-7.739;-15.887;119.128;17.433;16.495;142.992;-5.327;27.687;114.468;-6.162;17.309;119.422;19.427;0.797;108.770;-4.887
2063.000;82.520;0.754;134.694;-5.782;-14.914;143.655;-6.495;-27.279;116.672;-6.793;-17.256;121.309;18.297;16.509;142.972;-5.482;27.785;114.464;-5.294;19.084;121.378;20.387;0.792;108.771;-5.002
2064.000;82.560;0.762;134.695;-5.930;-14.888;143.766;-6.690;-28.047;117.077;-5.228;-18.925;124.514;19.429;16.526;143.047;-5.651;27.962;114.652;-3.824;21.153;124.431;21.401;0.784;108.785;-5.134
2065.000;82.600;0.779;134.711;-6.072;-14.860;143.895;-6.877;-28.717;117.649;-3.198;-20.622;128.444;20.457;16.544;143.161;-5.831;28.184;115.023;-1.873;23.072;128.250;22.061;0.783;108.807;-5.261
2066.000;82.640;0.797;134.714;-6.203;-14.829;144.043;-7.020;-29.213;118.398;-0.888;-21.811;132.451;21.192;16.558;143.222;-5.996;28.320;115.588;0.394;24.460;132.175;22.270;0.778;108.822;-5.382
2067.000;82.680;0.797;134.713;-6.331;-14.805;144.181;-7.099;-29.381;119.222;1.489;-22.402;136.126;21.524;16.530;143.264;-6.139;28.313;116.342;2.759;25.045;135.830;22.145;0.772;108.836;-5.490
2068.000;82.720;0.791;134.708;-6.445;-14.781;144.304;-7.175;-29.220;120.071;3.678;-22.232;139.154;21.538;16.506;143.304;-6.268;28.140;117.203;4.904;24.753;138.818;21.766;0.767;108.843;-5.576
2069.000;82.760;0.789;134.704;-6.541;-14.759;144.382;-7.275;-28.739;120.790;5.523;-21.264;141.280;21.502;16.491;143.362;-6.365;27.848;117.998;6.593;23.611;140.929;21.335;0.764;108.849;-5.616
2070.000;82.800;0.784;134.688;-6.614;-14.755;144.387;-7.372;-28.077;121.203;6.828;-19.639;142.330;21.419;16.471;143.403;-6.437;27.462;118.530;7.657;21.794;141.998;20.989;0.763;108.843;-5.613
2071.000;82.840;0.784;134.662;-6.664;-14.754;144.342;-7.412;-27.319;121.194;7.510;-17.467;142.308;21.235;16.469;143.388;-6.503;27.032;118.647;8.089;19.513;142.024;20.667;0.768;108.834;-5.576
2072.000;82.880;0.773;134.628;-6.705;-14.760;144.233;-7.379;-26.563;120.787;7.674;-14.876;141.235;20.922;16.467;143.323;-6.549;26.612;118.371;7.970;16.950;141.065;20.381;0.777;108.818;-5.517
2073.000;82.920;0.771;134.582;-6.708;-14.768;144.070;-7.310;-25.952;120.128;7.436;-12.053;139.365;20.461;16.481;143.222;-6.541;26.243;117.824;7.483;14.398;139.453;20.069;0.788;108.796;-5.461
2074.000;82.960;0.782;134.553;-6.686;-14.761;143.933;-7.209;-25.497;119.486;7.027;-9.374;137.114;19.888;16.493;143.157;-6.498;26.015;117.296;6.874;12.002;137.555;19.679;0.793;108.778;-5.405
2075.000;83.000;0.797;134.559;-6.666;-14.736;143.858;-7.107;-25.235;119.035;6.652;-7.471;135.148;19.410;16.511;143.112;-6.426;25.947;116.902;6.363;10.360;135.936;19.271;0.809;108.773;-5.371
2076.000;83.040;0.824;134.560;-6.650;-14.711;143.831;-6.970;-25.175;118.744;6.343;-7.420;134.568;19.337;16.543;143.065;-6.387;26.004;116.649;6.047;10.317;135.372;19.184;0.835;108.767;-5.396
2077.000;83.080;0.846;134.573;-6.648;-14.698;143.893;-6.959;-25.344;118.852;6.237;-8.939;135.639;19.791;16.562;143.100;-6.406;26.227;116.711;5.878;11.651;135.937;19.553;0.860;108.772;-5.458
2078.000;83.120;0.852;134.617;-6.650;-14.705;144.011;-7.041;-25.760;119.335;6.456;-11.074;137.250;20.461;16.555;143.205;-6.446;26.712;117.090;6.018;13.565;136.993;20.079;0.884;108.805;-5.502
2079.000;83.160;0.860;134.648;-6.652;-14.701;144.134;-7.105;-26.275;119.964;6.839;-12.979;138.844;21.032;16.542;143.300;-6.475;27.207;117.558;6.349;15.436;138.176;20.533;0.909;108.827;-5.542
2080.000;83.200;0.875;134.670;-6.651;-14.667;144.258;-7.112;-26.683;120.563;7.265;-14.255;140.099;21.292;16.558;143.342;-6.507;27.541;117.943;6.724;16.902;139.215;20.804;0.934;108.840;-5.580
2081.000;83.240;0.892;134.684;-6.629;-14.638;144.330;-7.095;-26.822;120.873;7.530;-14.736;140.790;21.319;16.574;143.362;-6.493;27.638;118.145;7.009;17.694;139.855;20.921;0.950;108.847;-5.597
2082.000;83.280;0.914;134.678;-6.597;-14.617;144.336;-7.067;-26.649;120.823;7.616;-14.430;140.804;21.211;16.606;143.344;-6.462;27.553;118.095;7.058;17.728;139.886;20.899;0.957;108.847;-5.567
2083.000;83.320;0.935;134.650;-6.563;-14.593;144.262;-7.036;-26.266;120.426;7.407;-13.520;140.065;20.974;16.646;143.297;-6.427;27.333;117.788;6.787;16.975;139.228;20.789;0.961;108.835;-5.498
2084.000;83.360;0.970;134.615;-6.513;-14.568;144.147;-6.968;-25.796;119.779;6.913;-12.135;138.681;20.620;16.689;143.238;-6.384;27.010;117.263;6.150;15.636;137.940;20.514;0.967;108.818;-5.393
2085.000;83.400;1.004;134.576;-6.445;-14.554;144.007;-6.893;-25.326;119.039;6.229;-10.476;136.907;20.105;16.736;143.149;-6.296;26.626;116.598;5.311;14.032;136.297;20.100;0.975;108.796;-5.265
2086.000;83.440;1.031;134.536;-6.370;-14.521;143.895;-6.826;-24.942;118.431;5.569;-8.664;135.097;19.462;16.788;143.042;-6.189;26.329;116.003;4.548;12.461;134.686;19.554;0.990;108.772;-5.145
2087.000;83.480;1.055;134.517;-6.311;-14.485;143.833;-6.769;-24.709;118.075;5.167;-7.083;133.628;18.782;16.828;142.978;-6.081;26.259;115.687;4.163;11.209;133.547;19.052;1.001;108.757;-5.045
2088.000;83.520;1.084;134.508;-6.268;-14.448;143.805;-6.717;-24.602;117.899;5.041;-6.489;133.062;18.410;16.856;142.966;-6.000;26.450;115.674;4.224;10.712;133.185;18.817;1.004;108.753;-4.980
2089.000;83.560;1.114;134.510;-6.229;-14.419;143.827;-6.711;-24.609;117.984;5.070;-6.855;133.520;18.572;16.866;143.020;-5.990;26.780;115.953;4.498;10.926;133.537;18.933;1.016;108.753;-4.954
2090.000;83.600;1.137;134.529;-6.208;-14.387;143.879;-6.769;-24.948;118.402;5.494;-7.060;133.981;18.769;16.857;143.107;-5.979;27.274;116.442;5.110;11.014;133.999;19.154;1.036;108.770;-4.936
2091.000;83.640;1.159;134.546;-6.179;-14.328;143.942;-6.763;-25.271;118.790;5.894;-7.247;134.419;18.926;16.869;143.131;-5.907;27.632;116.763;5.644;11.155;134.383;19.374;1.061;108.778;-4.926
2092.000;83.680;1.179;134.569;-6.122;-14.272;144.015;-6.704;-25.514;119.035;6.044;-7.508;134.696;19.021;16.879;143.129;-5.815;27.816;116.881;5.908;11.260;134.512;19.579;1.092;108.781;-4.927
2093.000;83.720;1.205;134.594;-6.049;-14.230;144.050;-6.627;-25.683;119.033;5.861;-7.926;134.732;19.151;16.907;143.121;-5.697;27.832;116.757;5.779;11.461;134.362;19.740;1.118;108.785;-4.920
2094.000;83.760;1.233;134.619;-5.946;-14.206;144.059;-6.501;-25.807;118.763;5.302;-8.674;134.448;19.382;16.942;143.123;-5.577;27.730;116.442;5.258;11.876;134.001;19.908;1.142;108.788;-4.903
2095.000;83.800;1.257;134.638;-5.830;-14.196;144.034;-6.370;-26.093;118.410;4.441;-9.542;133.672;19.652;16.983;143.123;-5.485;27.665;116.047;4.445;12.457;133.345;20.139;1.157;108.794;-4.885
2096.000;83.840;1.277;134.650;-5.708;-14.200;143.977;-6.233;-26.617;118.084;3.336;-10.450;132.413;19.870;17.018;143.125;-5.398;27.762;115.684;3.420;13.153;132.245;20.426;1.175;108.801;-4.856
2097.000;83.880;1.276;134.673;-5.572;-14.233;143.927;-6.079;-27.289;117.838;2.031;-11.407;130.780;19.955;17.022;143.145;-5.298;28.083;115.411;2.225;13.931;130.804;20.634;1.189;108.808;-4.819
2098.000;83.920;1.262;134.705;-5.409;-14.275;143.886;-5.914;-28.071;117.749;0.587;-12.331;128.799;19.908;17.004;143.184;-5.164;28.577;115.239;0.834;14.733;129.126;20.670;1.198;108.818;-4.777
2099.000;83.960;1.234;134.742;-5.237;-14.322;143.846;-5.744;-28.861;117.783;-0.901;-13.155;126.545;19.687;16.960;143.217;-5.000;29.138;115.171;-0.677;15.445;127.111;20.553;1.209;108.828;-4.736
2100.000;84.000;1.193;134.780;-5.072;-14.372;143.824;-5.563;-29.520;117.928;-2.387;-13.878;124.094;19.322;16.904;143.227;-4.833;29.671;115.227;-2.246;16.069;124.793;20.296;1.219;108.831;-4.681
