Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
2908.000;116.320;2.617;129.996;-21.015;-13.211;138.608;-20.157;-23.577;110.996;-22.398;-10.560;113.487;1.723;18.187;138.069;-20.535;29.838;109.603;-22.808;17.662;113.158;2.371;3.370;102.203;-21.240
2909.000;116.360;2.617;129.998;-21.017;-13.211;138.609;-20.160;-23.576;110.997;-22.395;-10.561;113.493;1.726;18.186;138.071;-20.538;29.838;109.605;-22.812;17.660;113.149;2.369;3.369;102.203;-21.240
2910.000;116.400;2.619;130.007;-21.035;-13.210;138.623;-20.187;-23.575;111.010;-22.381;-10.571;113.533;1.740;18.191;138.073;-20.564;29.864;109.616;-22.827;17.669;113.102;2.356;3.369;102.203;-21.240
2911.000;116.440;2.624;130.011;-21.053;-13.199;138.645;-20.217;-23.593;111.038;-22.367;-10.613;113.594;1.758;18.200;138.068;-20.590;29.896;109.613;-22.827;17.659;113.033;2.346;3.372;102.203;-21.239
2912.000;116.480;2.626;130.014;-21.073;-13.191;138.657;-20.245;-23.616;111.061;-22.353;-10.661;113.653;1.782;18.202;138.064;-20.617;29.930;109.622;-22.850;17.638;112.940;2.322;3.370;102.203;-21.240
2913.000;116.520;2.626;130.014;-21.083;-13.186;138.670;-20.260;-23.644;111.085;-22.333;-10.736;113.736;1.814;18.207;138.059;-20.637;29.960;109.628;-22.879;17.580;112.812;2.281;3.368;102.203;-21.242
2914.000;116.560;2.626;130.020;-21.093;-13.182;138.688;-20.270;-23.676;111.113;-22.301;-10.818;113.839;1.860;18.206;138.061;-20.662;30.008;109.642;-22.912;17.497;112.650;2.213;3.366;102.203;-21.242
2915.000;116.600;2.629;130.026;-21.106;-13.172;138.712;-20.290;-23.706;111.143;-22.246;-10.904;113.981;1.922;18.210;138.058;-20.708;30.104;109.662;-22.948;17.366;112.445;2.118;3.366;102.204;-21.237
2916.000;116.640;2.627;130.033;-21.118;-13.172;138.723;-20.292;-23.737;111.166;-22.168;-11.022;114.162;2.015;18.204;138.056;-20.746;30.259;109.704;-22.969;17.173;112.185;1.997;3.361;102.204;-21.232
2917.000;116.680;2.630;130.032;-21.136;-13.164;138.738;-20.295;-23.775;111.192;-22.041;-11.166;114.401;2.134;18.204;138.051;-20.786;30.480;109.761;-22.992;16.928;111.834;1.834;3.362;102.203;-21.232
2918.000;116.720;2.637;130.030;-21.156;-13.158;138.746;-20.295;-23.840;111.217;-21.874;-11.409;114.783;2.310;18.200;138.047;-20.837;30.752;109.837;-23.017;16.638;111.412;1.593;3.367;102.201;-21.235
2919.000;116.760;2.647;130.029;-21.175;-13.138;138.768;-20.297;-23.964;111.282;-21.618;-11.717;115.332;2.543;18.205;138.038;-20.895;31.086;109.918;-22.963;16.261;110.890;1.269;3.370;102.201;-21.236
2920.000;116.800;2.669;130.022;-21.205;-13.109;138.780;-20.310;-24.239;111.389;-21.199;-12.134;116.112;2.862;18.213;138.023;-20.955;31.556;110.028;-22.773;15.602;110.207;0.774;3.377;102.201;-21.236
2921.000;116.840;2.712;130.010;-21.255;-13.034;138.800;-20.352;-24.808;111.622;-20.434;-12.766;117.390;3.338;18.240;138.007;-21.033;32.069;110.135;-22.436;14.671;109.412;0.125;3.388;102.197;-21.239
2922.000;116.880;2.804;129.988;-21.343;-12.900;138.834;-20.487;-25.783;112.110;-19.047;-13.739;119.790;4.021;18.313;138.012;-21.110;32.515;110.239;-21.979;13.646;108.480;-0.598;3.395;102.186;-21.250
2923.000;116.920;2.927;129.982;-21.434;-12.733;138.999;-20.666;-27.086;113.106;-16.951;-15.063;123.854;4.653;18.419;138.003;-21.149;32.890;110.321;-21.446;12.731;107.710;-1.362;3.383;102.157;-21.284
2924.000;116.960;3.054;129.992;-21.514;-12.516;139.329;-20.866;-28.572;114.874;-14.177;-16.499;129.300;4.921;18.548;137.998;-21.229;33.314;110.458;-20.800;12.045;107.433;-2.031;3.365;102.151;-21.315
2925.000;117.000;3.129;130.033;-21.607;-12.292;139.775;-21.047;-29.986;117.508;-11.056;-17.879;135.392;4.692;18.654;138.010;-21.377;33.797;110.676;-20.126;11.779;107.438;-2.291;3.327;102.148;-21.306
2926.000;117.040;3.154;130.087;-21.671;-12.069;140.270;-21.192;-31.092;120.897;-7.975;-18.800;141.309;4.050;18.724;137.958;-21.536;34.107;110.763;-19.684;11.875;107.534;-2.103;3.306;102.169;-21.262
2927.000;117.080;3.155;130.153;-21.666;-11.852;140.738;-21.253;-31.767;124.682;-5.315;-19.244;146.649;3.290;18.787;137.848;-21.685;34.193;110.679;-19.478;11.815;107.493;-2.069;3.262;102.183;-21.207
2928.000;117.120;3.155;130.213;-21.605;-11.599;141.212;-21.183;-32.069;128.478;-3.228;-19.225;151.197;2.624;18.867;137.696;-21.797;34.033;110.401;-19.579;11.696;107.414;-2.054;3.202;102.183;-21.165
2929.000;117.160;3.148;130.282;-21.513;-11.324;141.669;-21.038;-32.048;131.869;-1.713;-18.886;154.879;2.105;18.943;137.522;-21.913;33.782;110.050;-19.888;11.664;107.328;-2.029;3.150;102.185;-21.166
2930.000;117.200;3.155;130.347;-21.435;-11.042;142.038;-20.882;-31.776;134.584;-0.656;-18.322;157.643;1.699;19.024;137.362;-22.054;33.608;109.738;-20.231;11.744;107.232;-2.024;3.126;102.185;-21.164
