Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
2972.000;118.880;1.683;129.909;-21.288;-14.519;137.723;-20.836;-24.918;110.268;-24.313;-13.479;114.196;0.283;16.904;138.753;-20.902;29.868;111.502;-25.867;20.574;115.490;0.201;3.116;102.194;-21.244
2973.000;118.920;1.704;129.911;-21.278;-14.495;137.744;-20.823;-24.956;110.294;-24.195;-13.481;114.501;0.345;16.926;138.744;-20.885;29.939;111.509;-25.797;20.433;115.574;0.181;3.133;102.193;-21.250
2974.000;118.960;1.754;129.905;-21.257;-14.431;137.776;-20.794;-25.089;110.343;-23.890;-13.408;115.346;0.479;16.978;138.721;-20.862;30.240;111.555;-25.548;19.935;115.793;0.112;3.169;102.192;-21.261
2975.000;119.000;1.818;129.895;-21.252;-14.354;137.818;-20.727;-25.344;110.459;-23.430;-13.260;116.509;0.618;17.040;138.679;-20.907;30.788;111.598;-24.992;19.366;116.251;0.112;3.203;102.189;-21.268
2976.000;119.040;1.863;129.885;-21.272;-14.255;137.943;-20.678;-25.836;110.700;-22.563;-12.928;118.351;0.696;17.093;138.617;-20.974;31.646;111.712;-23.982;18.875;117.169;0.263;3.220;102.186;-21.284
2977.000;119.080;1.919;129.895;-21.337;-14.119;138.150;-20.739;-26.510;111.045;-21.114;-12.649;120.434;0.895;17.153;138.565;-21.063;32.775;111.992;-22.437;18.407;118.664;0.518;3.225;102.185;-21.295
2978.000;119.120;1.992;129.916;-21.447;-13.951;138.378;-20.875;-27.337;111.648;-19.255;-12.368;122.629;1.229;17.222;138.511;-21.186;34.076;112.503;-20.376;17.916;120.427;0.855;3.231;102.188;-21.288
2979.000;119.160;2.081;129.927;-21.586;-13.754;138.620;-21.051;-28.275;112.581;-17.021;-11.830;125.040;1.325;17.292;138.441;-21.300;35.324;113.264;-18.104;17.476;122.203;1.298;3.234;102.186;-21.278
2980.000;119.200;2.195;129.944;-21.736;-13.508;138.863;-21.226;-29.328;113.948;-14.687;-11.438;127.470;1.334;17.385;138.428;-21.434;36.376;114.214;-15.939;17.051;123.827;1.740;3.245;102.187;-21.275
