Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
423.000;16.920;4.957;135.258;-6.341;-10.771;144.076;-7.951;-21.521;117.052;-12.460;-14.650;109.449;13.747;20.581;143.376;-5.332;32.182;114.964;-8.483;19.449;110.187;16.478;4.972;109.159;-5.940
424.000;16.960;4.940;135.272;-6.345;-10.800;144.080;-7.927;-21.493;117.032;-12.415;-14.574;109.481;13.795;20.561;143.399;-5.369;32.196;115.004;-8.561;19.547;110.262;16.440;4.971;109.160;-5.963
425.000;17.000;4.922;135.287;-6.351;-10.828;144.085;-7.914;-21.466;117.012;-12.383;-14.497;109.533;13.837;20.537;143.428;-5.399;32.196;115.053;-8.643;19.633;110.312;16.395;4.967;109.165;-5.990
426.000;17.040;4.898;135.300;-6.358;-10.858;144.083;-7.905;-21.457;116.998;-12.353;-14.430;109.580;13.866;20.509;143.453;-5.424;32.196;115.092;-8.727;19.701;110.352;16.348;4.960;109.166;-6.015
427.000;17.080;4.875;135.313;-6.364;-10.890;144.084;-7.885;-21.471;116.986;-12.332;-14.396;109.607;13.887;20.481;143.479;-5.450;32.205;115.139;-8.794;19.767;110.376;16.301;4.945;109.167;-6.040
428.000;17.120;4.848;135.324;-6.368;-10.928;144.090;-7.863;-21.519;117.002;-12.301;-14.379;109.599;13.894;20.450;143.497;-5.480;32.213;115.175;-8.848;19.798;110.366;16.263;4.930;109.170;-6.068
429.000;17.160;4.820;135.331;-6.374;-10.958;144.095;-7.837;-21.587;117.014;-12.268;-14.381;109.555;13.902;20.419;143.513;-5.510;32.200;115.202;-8.891;19.858;110.304;16.245;4.910;109.172;-6.088
430.000;17.200;4.790;135.333;-6.379;-10.993;144.093;-7.817;-21.683;117.028;-12.222;-14.404;109.447;13.913;20.389;143.526;-5.539;32.172;115.219;-8.923;19.909;110.148;16.244;4.882;109.174;-6.109
431.000;17.240;4.749;135.333;-6.395;-11.038;144.111;-7.780;-21.798;117.060;-12.079;-14.355;109.250;13.967;20.344;143.539;-5.577;32.141;115.235;-8.951;19.969;109.884;16.272;4.852;109.169;-6.124
432.000;17.280;4.690;135.354;-6.449;-11.107;144.189;-7.770;-21.929;117.094;-11.512;-13.949;108.954;14.333;20.275;143.585;-5.626;32.099;115.288;-8.922;20.030;109.368;16.400;4.814;109.172;-6.152
433.000;17.320;4.621;135.398;-6.537;-11.186;144.248;-7.764;-22.131;116.953;-10.112;-13.113;108.757;15.478;20.189;143.660;-5.652;32.058;115.360;-8.735;20.133;108.260;16.572;4.769;109.185;-6.243
