Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
3653.000;146.120;0.509;134.917;-6.029;-15.320;143.613;-6.617;-26.332;116.253;-8.253;-14.635;111.955;17.033;16.051;143.334;-6.027;28.742;115.176;-7.947;15.723;111.934;17.244;0.761;108.706;-5.447
3654.000;146.160;0.506;134.905;-6.045;-15.323;143.605;-6.623;-26.344;116.246;-8.253;-14.649;111.990;17.040;16.047;143.319;-6.044;28.755;115.158;-7.912;15.724;111.961;17.272;0.757;108.705;-5.456
3655.000;146.200;0.504;134.896;-6.063;-15.326;143.591;-6.649;-26.363;116.238;-8.272;-14.710;112.029;17.047;16.041;143.309;-6.062;28.741;115.146;-7.905;15.746;111.991;17.308;0.756;108.700;-5.462
3656.000;146.240;0.503;134.884;-6.076;-15.327;143.582;-6.667;-26.396;116.240;-8.306;-14.813;112.057;17.046;16.041;143.298;-6.070;28.712;115.123;-7.925;15.786;111.992;17.323;0.758;108.699;-5.462
3657.000;146.280;0.500;134.875;-6.087;-15.328;143.566;-6.685;-26.425;116.237;-8.358;-14.932;112.070;17.037;16.034;143.290;-6.076;28.684;115.112;-7.946;15.812;111.984;17.329;0.756;108.696;-5.455
3658.000;146.320;0.492;134.865;-6.092;-15.342;143.544;-6.700;-26.449;116.226;-8.408;-15.037;112.090;17.022;16.019;143.294;-6.080;28.668;115.119;-7.979;15.826;111.964;17.313;0.754;108.691;-5.444
3659.000;146.360;0.489;134.856;-6.095;-15.346;143.529;-6.712;-26.469;116.220;-8.447;-15.111;112.134;17.011;16.013;143.294;-6.087;28.675;115.132;-8.010;15.860;111.923;17.293;0.753;108.691;-5.429
3660.000;146.400;0.479;134.848;-6.098;-15.361;143.514;-6.715;-26.476;116.212;-8.472;-15.165;112.230;17.024;15.996;143.297;-6.093;28.677;115.143;-8.022;15.862;111.842;17.283;0.746;108.696;-5.416
3661.000;146.440;0.468;134.843;-6.104;-15.379;143.512;-6.705;-26.503;116.220;-8.405;-15.224;112.497;17.142;15.977;143.311;-6.101;28.681;115.165;-8.018;15.860;111.704;17.292;0.745;108.698;-5.405
3662.000;146.480;0.462;134.838;-6.117;-15.378;143.528;-6.734;-26.623;116.253;-8.093;-15.304;113.208;17.528;15.966;143.329;-6.111;28.674;115.187;-8.009;15.881;111.484;17.352;0.737;108.697;-5.398
3663.000;146.520;0.491;134.835;-6.158;-15.330;143.569;-6.838;-26.901;116.349;-7.305;-15.293;114.750;18.311;15.992;143.343;-6.140;28.651;115.191;-8.004;15.961;110.975;17.460;0.732;108.698;-5.415
3664.000;146.560;0.538;134.841;-6.240;-15.256;143.656;-7.008;-27.346;116.571;-5.929;-15.172;117.587;19.442;16.027;143.361;-6.176;28.638;115.204;-7.922;16.058;109.896;17.586;0.736;108.703;-5.457
