Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
3095.000;123.800;0.703;135.158;-4.242;-15.051;144.102;-4.581;-25.952;116.907;-7.458;-18.177;110.657;19.192;16.275;143.492;-4.092;28.419;115.187;-7.054;17.121;110.889;19.057;0.932;108.745;-4.341
3096.000;123.840;0.716;135.156;-4.230;-15.037;144.102;-4.577;-25.951;116.912;-7.452;-18.181;110.673;19.202;16.286;143.489;-4.089;28.422;115.179;-7.053;17.148;110.910;19.071;0.943;108.745;-4.326
3097.000;123.880;0.725;135.153;-4.230;-15.031;144.094;-4.581;-25.938;116.903;-7.467;-18.184;110.691;19.197;16.295;143.489;-4.090;28.451;115.186;-7.043;17.175;110.944;19.087;0.952;108.743;-4.313
3098.000;123.920;0.733;135.144;-4.229;-15.023;144.082;-4.576;-25.919;116.888;-7.485;-18.174;110.701;19.191;16.298;143.484;-4.087;28.468;115.186;-7.040;17.187;110.955;19.091;0.958;108.742;-4.301
3099.000;123.960;0.748;135.138;-4.225;-15.006;144.079;-4.575;-25.893;116.888;-7.498;-18.161;110.727;19.187;16.315;143.471;-4.079;28.485;115.174;-7.035;17.201;110.947;19.097;0.970;108.740;-4.288
3100.000;124.000;0.761;135.130;-4.230;-14.993;144.067;-4.587;-25.861;116.866;-7.512;-18.140;110.745;19.180;16.328;143.467;-4.085;28.494;115.164;-7.045;17.208;110.933;19.091;0.978;108.736;-4.277
3101.000;124.040;0.771;135.121;-4.241;-14.985;144.055;-4.607;-25.832;116.845;-7.529;-18.140;110.751;19.180;16.335;143.455;-4.092;28.490;115.151;-7.048;17.213;110.929;19.091;0.986;108.735;-4.271
3102.000;124.080;0.784;135.113;-4.249;-14.968;144.048;-4.625;-25.805;116.834;-7.554;-18.133;110.760;19.169;16.347;143.442;-4.100;28.484;115.129;-7.058;17.216;110.917;19.081;0.997;108.730;-4.263
3103.000;124.120;0.797;135.106;-4.258;-14.955;144.038;-4.642;-25.793;116.831;-7.582;-18.138;110.778;19.145;16.361;143.430;-4.102;28.482;115.111;-7.075;17.220;110.909;19.070;1.006;108.730;-4.261
3104.000;124.160;0.810;135.097;-4.274;-14.941;144.023;-4.647;-25.803;116.835;-7.648;-18.103;110.917;19.098;16.375;143.407;-4.110;28.476;115.088;-7.093;17.213;110.968;19.034;1.014;108.727;-4.264
3105.000;124.200;0.813;135.077;-4.281;-14.942;143.980;-4.587;-25.864;116.870;-7.716;-17.735;111.726;18.956;16.388;143.368;-4.108;28.450;115.077;-7.037;17.020;111.487;19.036;1.016;108.724;-4.272
3106.000;124.240;0.799;135.072;-4.280;-14.959;143.983;-4.497;-25.840;116.925;-7.539;-17.458;113.990;19.038;16.382;143.349;-4.077;28.332;115.018;-6.675;17.157;113.236;19.510;1.023;108.728;-4.322
3107.000;124.280;0.789;135.064;-4.292;-14.968;144.022;-4.526;-25.776;116.884;-6.601;-17.658;118.062;19.868;16.387;143.366;-4.069;28.110;114.983;-5.759;18.092;116.439;20.701;1.009;108.735;-4.425
3108.000;124.320;0.794;135.064;-4.366;-14.959;144.113;-4.710;-25.757;116.821;-4.499;-18.174;123.253;21.079;16.410;143.444;-4.131;27.918;114.992;-4.077;19.511;120.784;22.149;1.003;108.763;-4.550
3109.000;124.360;0.820;135.068;-4.484;-14.926;144.235;-4.939;-25.691;117.020;-1.432;-18.747;128.765;22.155;16.454;143.535;-4.237;27.726;115.158;-1.673;21.093;125.699;23.281;0.982;108.788;-4.677
3110.000;124.400;0.838;135.058;-4.669;-14.870;144.366;-5.135;-25.467;117.653;2.156;-19.009;133.878;22.897;16.482;143.605;-4.384;27.496;115.630;1.175;22.268;130.582;23.947;0.961;108.793;-4.808
3111.000;124.440;0.844;135.045;-4.874;-14.844;144.483;-5.214;-24.977;118.739;5.720;-18.788;138.271;23.376;16.464;143.681;-4.588;27.203;116.482;4.129;22.569;134.948;24.184;0.944;108.790;-4.935
3112.000;124.480;0.807;135.054;-5.031;-14.854;144.584;-5.262;-24.142;120.108;8.900;-17.744;141.830;23.650;16.419;143.764;-4.758;26.764;117.613;6.838;21.875;138.459;24.298;0.915;108.793;-5.033
3113.000;124.520;0.746;135.071;-5.120;-14.887;144.670;-5.257;-23.103;121.413;11.381;-15.822;144.278;23.788;16.333;143.882;-4.886;26.101;118.753;9.003;20.321;140.858;24.500;0.884;108.806;-5.077
3114.000;124.560;0.662;135.073;-5.148;-14.942;144.692;-5.192;-22.135;122.279;12.976;-13.170;145.428;23.658;16.231;143.954;-4.974;25.392;119.518;10.357;18.208;141.966;24.857;0.852;108.810;-5.083
3115.000;124.600;0.582;135.046;-5.150;-14.997;144.653;-5.108;-21.451;122.488;13.608;-10.109;145.086;23.340;16.134;143.976;-5.012;24.786;119.687;10.785;15.902;141.620;25.303;0.824;108.805;-5.049
3116.000;124.640;0.518;135.013;-5.169;-15.010;144.572;-5.010;-21.275;121.913;13.214;-7.191;143.031;22.810;16.041;143.956;-5.005;24.551;119.187;10.262;13.635;139.674;25.732;0.802;108.795;-4.981
3117.000;124.680;0.477;134.982;-5.159;-15.037;144.422;-4.955;-21.923;120.759;11.871;-4.681;139.183;22.139;15.954;143.876;-4.972;24.945;118.261;8.862;11.594;135.981;25.999;0.780;108.775;-4.878
3118.000;124.720;0.467;134.928;-5.114;-15.044;144.148;-4.927;-23.412;119.343;9.617;-3.067;133.614;21.124;15.915;143.755;-4.998;25.867;117.257;6.674;9.999;130.500;25.957;0.770;108.751;-4.727
3119.000;124.760;0.477;134.871;-5.040;-15.043;143.787;-4.874;-25.418;117.971;6.480;-2.955;126.687;19.793;15.908;143.641;-4.996;26.971;116.331;3.872;9.347;123.373;25.129;0.778;108.736;-4.522
3120.000;124.800;0.510;134.822;-4.905;-15.109;143.454;-4.838;-27.482;117.052;2.457;-4.936;119.250;18.377;15.936;143.484;-4.878;27.955;115.505;0.601;10.360;115.531;23.200;0.811;108.710;-4.297
3121.000;124.840;0.508;134.769;-4.728;-15.197;143.276;-4.913;-29.097;116.943;-2.144;-9.181;112.498;16.930;15.975;143.256;-4.697;28.816;115.064;-2.890;13.319;108.548;20.464;0.843;108.681;-4.086
3122.000;124.880;0.489;134.738;-4.519;-15.269;143.264;-4.996;-30.040;117.564;-6.569;-15.437;107.784;15.365;15.986;143.039;-4.525;29.526;115.234;-6.259;18.263;103.937;17.776;0.857;108.666;-3.888
3123.000;124.920;0.501;134.749;-4.350;-15.286;143.328;-5.127;-30.560;118.674;-9.956;-22.653;106.215;14.075;16.002;143.034;-4.401;29.971;115.977;-8.964;24.748;102.613;16.016;0.864;108.651;-3.772
3124.000;124.960;0.530;134.788;-4.257;-15.238;143.495;-5.353;-31.037;119.832;-11.829;-29.712;107.926;13.711;16.005;143.198;-4.341;30.025;116.743;-10.396;32.349;104.600;15.518;0.855;108.667;-3.747
3125.000;125.000;0.592;134.825;-4.263;-15.116;143.656;-5.609;-31.781;120.681;-12.062;-35.829;112.336;14.488;16.034;143.368;-4.408;30.156;117.027;-9.982;39.748;109.563;15.853;0.833;108.687;-3.831
