Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
720.000;28.800;1.365;135.068;-6.955;-14.462;143.824;-7.538;-25.436;116.648;-10.518;-15.966;113.631;15.538;16.942;143.474;-6.755;29.122;115.168;-9.065;17.946;111.871;16.988;1.595;108.919;-6.572
721.000;28.840;1.359;135.073;-6.918;-14.471;143.825;-7.508;-25.429;116.640;-10.474;-15.969;113.661;15.584;16.934;143.489;-6.721;29.138;115.192;-9.025;17.978;111.899;17.030;1.589;108.919;-6.543
722.000;28.880;1.354;135.077;-6.880;-14.479;143.833;-7.481;-25.418;116.639;-10.451;-15.972;113.680;15.615;16.925;143.498;-6.690;29.136;115.207;-9.003;17.980;111.914;17.054;1.585;108.920;-6.516
723.000;28.920;1.348;135.081;-6.849;-14.485;143.831;-7.455;-25.414;116.639;-10.438;-15.983;113.685;15.634;16.920;143.505;-6.669;29.130;115.218;-8.997;17.979;111.928;17.061;1.579;108.920;-6.487
724.000;28.960;1.346;135.082;-6.821;-14.485;143.836;-7.431;-25.422;116.649;-10.442;-16.006;113.685;15.637;16.919;143.503;-6.643;29.107;115.210;-8.990;17.926;111.906;17.062;1.577;108.919;-6.463
725.000;29.000;1.338;135.077;-6.801;-14.496;143.829;-7.409;-25.434;116.648;-10.438;-16.026;113.695;15.648;16.909;143.503;-6.634;29.084;115.207;-8.996;17.900;111.892;17.054;1.569;108.918;-6.436
726.000;29.040;1.332;135.073;-6.778;-14.498;143.826;-7.374;-25.454;116.650;-10.431;-16.039;113.756;15.664;16.905;143.497;-6.625;29.052;115.189;-8.993;17.859;111.828;17.067;1.563;108.916;-6.407
727.000;29.080;1.328;135.064;-6.762;-14.501;143.824;-7.346;-25.468;116.656;-10.392;-15.995;113.956;15.701;16.902;143.484;-6.622;29.033;115.169;-8.977;17.842;111.702;17.106;1.559;108.913;-6.377
728.000;29.120;1.320;135.053;-6.754;-14.504;143.834;-7.326;-25.473;116.646;-10.261;-15.835;114.317;15.809;16.893;143.466;-6.624;29.031;115.153;-8.970;17.856;111.510;17.144;1.550;108.914;-6.353
729.000;29.160;1.314;135.040;-6.749;-14.502;143.840;-7.314;-25.483;116.608;-10.000;-15.461;114.804;15.964;16.886;143.443;-6.624;29.070;115.142;-8.973;17.849;111.259;17.148;1.541;108.911;-6.330
730.000;29.200;1.313;135.029;-6.742;-14.491;143.850;-7.295;-25.449;116.540;-9.613;-14.938;115.427;16.181;16.889;143.421;-6.626;29.149;115.141;-9.000;17.766;111.013;17.089;1.527;108.910;-6.307
731.000;29.240;1.315;135.021;-6.747;-14.482;143.870;-7.265;-25.330;116.469;-9.158;-14.417;116.191;16.503;16.892;143.400;-6.658;29.216;115.141;-9.062;17.646;110.792;16.963;1.515;108.907;-6.283
732.000;29.280;1.317;135.017;-6.751;-14.474;143.906;-7.236;-25.190;116.417;-8.535;-13.701;117.165;16.870;16.896;143.393;-6.691;29.260;115.151;-9.154;17.495;110.570;16.792;1.506;108.907;-6.274
733.000;29.320;1.321;135.018;-6.774;-14.451;143.962;-7.223;-25.061;116.368;-7.687;-12.997;118.433;17.325;16.903;143.381;-6.739;29.309;115.159;-9.246;17.278;110.342;16.586;1.499;108.905;-6.269
734.000;29.360;1.330;135.012;-6.811;-14.417;144.020;-7.216;-24.960;116.345;-6.600;-12.293;120.041;17.890;16.917;143.348;-6.806;29.398;115.141;-9.312;16.974;110.057;16.316;1.503;108.900;-6.282
735.000;29.400;1.341;135.002;-6.857;-14.377;144.099;-7.224;-24.858;116.419;-5.267;-11.543;121.891;18.482;16.936;143.302;-6.888;29.512;115.116;-9.387;16.636;109.794;16.011;1.505;108.898;-6.299
736.000;29.440;1.366;135.000;-6.902;-14.331;144.176;-7.203;-24.751;116.552;-3.786;-10.837;123.886;19.044;16.961;143.270;-6.982;29.643;115.112;-9.456;16.243;109.568;15.654;1.511;108.900;-6.323
737.000;29.480;1.378;135.001;-6.942;-14.303;144.262;-7.167;-24.610;116.787;-2.215;-10.078;125.985;19.499;16.973;143.256;-7.085;29.775;115.132;-9.511;15.809;109.371;15.273;1.517;108.907;-6.349
738.000;29.520;1.386;135.011;-6.976;-14.273;144.360;-7.134;-24.404;117.111;-0.592;-9.343;128.150;19.829;16.980;143.252;-7.170;29.889;115.159;-9.564;15.324;109.139;14.864;1.527;108.904;-6.367
739.000;29.560;1.382;135.018;-7.023;-14.259;144.462;-7.124;-24.104;117.577;1.143;-8.518;130.489;19.963;16.973;143.251;-7.254;29.997;115.190;-9.599;14.865;108.940;14.445;1.533;108.909;-6.383
740.000;29.600;1.376;135.027;-7.083;-14.242;144.560;-7.131;-23.688;118.136;2.945;-7.765;132.974;19.883;16.967;143.255;-7.347;30.077;115.211;-9.638;14.431;108.737;14.033;1.521;108.963;-6.343
741.000;29.640;1.369;135.031;-7.134;-14.224;144.630;-7.116;-23.169;118.790;4.719;-7.162;135.427;19.651;16.959;143.249;-7.446;30.136;115.206;-9.671;14.091;108.568;13.701;1.529;108.960;-6.364
742.000;29.680;1.363;135.036;-7.175;-14.196;144.711;-7.076;-22.690;119.519;6.345;-6.611;137.579;19.324;16.963;143.242;-7.552;30.183;115.194;-9.703;13.934;108.492;13.523;1.537;108.960;-6.381
743.000;29.720;1.370;135.045;-7.217;-14.159;144.783;-7.008;-22.300;120.238;7.720;-6.238;139.344;19.067;16.975;143.233;-7.664;30.240;115.183;-9.707;13.912;108.469;13.472;1.540;108.963;-6.398
744.000;29.760;1.380;135.052;-7.251;-14.113;144.854;-6.939;-22.065;120.965;8.850;-5.955;140.682;19.079;16.994;143.220;-7.762;30.305;115.162;-9.712;13.975;108.498;13.485;1.547;108.968;-6.414
745.000;29.800;1.398;135.058;-7.291;-14.066;144.929;-6.901;-21.951;121.633;9.719;-5.827;141.651;19.446;17.021;143.201;-7.846;30.358;115.143;-9.738;14.054;108.506;13.494;1.554;108.969;-6.434
746.000;29.840;1.422;135.075;-7.336;-14.005;145.024;-6.870;-21.969;122.232;10.370;-5.881;142.338;20.029;17.058;143.183;-7.923;30.381;115.105;-9.812;14.191;108.505;13.518;1.569;108.974;-6.453
747.000;29.880;1.464;135.088;-7.369;-13.929;145.113;-6.824;-22.130;122.759;10.875;-6.022;142.830;20.631;17.117;143.149;-7.988;30.376;115.042;-9.923;14.350;108.500;13.529;1.595;108.974;-6.472
748.000;29.920;1.501;135.101;-7.386;-13.859;145.183;-6.779;-22.350;123.197;11.247;-6.259;143.185;21.238;17.165;143.123;-8.013;30.361;114.999;-10.058;14.478;108.446;13.490;1.616;108.975;-6.481
749.000;29.960;1.541;135.111;-7.397;-13.798;145.229;-6.758;-22.585;123.595;11.552;-6.462;143.411;21.927;17.217;143.106;-7.995;30.343;114.970;-10.196;14.617;108.356;13.423;1.639;108.978;-6.488
750.000;30.000;1.587;135.118;-7.405;-13.731;145.263;-6.721;-22.808;123.945;11.827;-6.682;143.525;22.699;17.269;143.091;-7.970;30.352;114.951;-10.298;14.692;108.233;13.337;1.662;108.976;-6.502
751.000;30.040;1.630;135.126;-7.414;-13.665;145.292;-6.683;-23.024;124.287;12.090;-6.907;143.545;23.608;17.323;143.076;-7.945;30.404;114.938;-10.357;14.753;108.130;13.263;1.680;108.975;-6.518
752.000;30.080;1.669;135.132;-7.416;-13.606;145.313;-6.628;-23.231;124.627;12.381;-7.141;143.490;24.692;17.368;143.063;-7.910;30.476;114.933;-10.380;14.784;108.038;13.187;1.698;108.977;-6.532
753.000;30.120;1.708;135.139;-7.414;-13.546;145.333;-6.553;-23.452;124.977;12.703;-7.346;143.413;25.768;17.411;143.055;-7.882;30.551;114.933;-10.389;14.826;107.985;13.137;1.722;108.977;-6.546
754.000;30.160;1.732;135.146;-7.390;-13.505;145.346;-6.454;-23.678;125.299;13.023;-7.547;143.359;26.641;17.439;143.051;-7.850;30.610;114.934;-10.396;14.852;107.935;13.095;1.770;108.973;-6.547
755.000;30.200;1.750;135.144;-7.358;-13.472;145.355;-6.351;-23.901;125.567;13.293;-7.737;143.339;27.335;17.462;143.047;-7.810;30.634;114.932;-10.416;14.876;107.880;13.068;1.781;108.967;-6.563
756.000;30.240;1.768;135.149;-7.311;-13.439;145.365;-6.250;-24.066;125.745;13.479;-7.936;143.340;27.811;17.481;143.041;-7.774;30.633;114.921;-10.449;14.948;107.858;13.070;1.801;108.967;-6.546
757.000;30.280;1.779;135.152;-7.252;-13.427;145.365;-6.148;-24.218;125.829;13.588;-8.080;143.376;28.016;17.492;143.042;-7.723;30.615;114.917;-10.470;15.001;107.821;13.089;1.815;108.965;-6.519
758.000;30.320;1.790;135.145;-7.181;-13.421;145.345;-6.053;-24.321;125.828;13.645;-8.223;143.382;28.056;17.497;143.040;-7.657;30.605;114.930;-10.490;15.074;107.802;13.115;1.823;108.957;-6.482
759.000;30.360;1.803;135.133;-7.111;-13.417;145.315;-5.990;-24.383;125.801;13.677;-8.318;143.368;28.087;17.506;143.048;-7.583;30.609;114.941;-10.468;15.140;107.788;13.165;1.825;108.948;-6.431
760.000;30.400;1.816;135.119;-7.041;-13.415;145.281;-5.937;-24.430;125.734;13.678;-8.398;143.284;28.134;17.511;143.045;-7.507;30.643;114.960;-10.391;15.179;107.772;13.239;1.830;108.941;-6.362
761.000;30.440;1.833;135.099;-6.960;-13.403;145.246;-5.878;-24.496;125.615;13.624;-8.474;143.101;28.151;17.525;143.038;-7.428;30.676;114.956;-10.280;15.194;107.789;13.342;1.854;108.937;-6.258
762.000;30.480;1.859;135.075;-6.858;-13.386;145.195;-5.807;-24.631;125.385;13.446;-8.607;142.776;28.068;17.545;143.029;-7.336;30.710;114.952;-10.136;15.191;107.825;13.472;1.875;108.940;-6.135
763.000;30.520;1.891;135.047;-6.736;-13.364;145.128;-5.737;-24.870;125.013;13.066;-8.852;142.198;27.864;17.573;143.017;-7.237;30.696;114.924;-10.017;15.200;107.913;13.636;1.906;108.938;-5.992
764.000;30.560;1.929;135.020;-6.591;-13.340;145.049;-5.676;-25.234;124.444;12.389;-9.266;141.314;27.572;17.605;143.005;-7.110;30.614;114.888;-9.937;15.279;108.142;13.865;1.930;108.966;-5.799
765.000;30.600;1.967;134.994;-6.428;-13.330;144.946;-5.623;-25.718;123.687;11.374;-9.822;140.016;27.167;17.638;142.997;-6.971;30.480;114.839;-9.882;15.414;108.510;14.177;1.955;108.885;-5.719
766.000;30.640;2.008;134.961;-6.253;-13.311;144.832;-5.586;-26.289;122.807;10.032;-10.388;138.278;26.619;17.673;142.996;-6.806;30.279;114.791;-9.830;15.615;109.034;14.570;1.991;108.876;-5.524
767.000;30.680;2.035;134.933;-6.063;-13.301;144.705;-5.547;-26.870;121.826;8.327;-10.926;136.082;25.919;17.697;142.989;-6.635;30.045;114.718;-9.748;15.899;109.687;15.052;2.006;108.867;-5.330
768.000;30.720;2.046;134.910;-5.854;-13.310;144.574;-5.483;-27.413;120.823;6.290;-11.476;133.473;25.047;17.706;142.977;-6.462;29.832;114.645;-9.592;16.229;110.415;15.596;2.006;108.863;-5.120
769.000;30.760;2.038;134.883;-5.640;-13.337;144.420;-5.415;-27.855;119.854;3.983;-12.039;130.435;24.028;17.696;142.965;-6.273;29.667;114.585;-9.362;16.599;111.166;16.143;2.003;108.858;-4.901
770.000;30.800;2.013;134.864;-5.411;-13.398;144.240;-5.305;-28.124;119.031;1.498;-12.600;127.127;22.869;17.663;142.970;-6.059;29.563;114.561;-9.092;16.920;111.839;16.639;1.992;108.850;-4.686
771.000;30.840;1.961;134.866;-5.186;-13.481;144.101;-5.198;-28.221;118.444;-1.002;-13.196;123.733;21.605;17.608;142.999;-5.828;29.474;114.582;-8.853;17.212;112.395;17.044;1.974;108.844;-4.473
772.000;30.880;1.902;134.862;-4.971;-13.583;143.997;-5.121;-28.146;118.095;-3.371;-13.823;120.579;20.226;17.540;143.039;-5.569;29.377;114.649;-8.704;17.454;112.819;17.296;1.959;108.834;-4.247
773.000;30.920;1.841;134.844;-4.763;-13.687;143.925;-5.085;-27.944;117.960;-5.513;-14.386;117.798;18.768;17.462;143.075;-5.297;29.232;114.726;-8.656;17.654;113.018;17.434;1.945;108.826;-4.029
774.000;30.960;1.768;134.829;-4.563;-13.797;143.886;-5.089;-27.648;117.961;-7.358;-14.816;115.395;17.289;17.374;143.106;-5.040;29.058;114.803;-8.648;17.813;112.932;17.532;1.934;108.813;-3.821
775.000;31.000;1.698;134.823;-4.388;-13.899;143.863;-5.132;-27.257;118.008;-8.873;-15.206;113.246;15.953;17.290;143.127;-4.804;28.863;114.866;-8.664;17.897;112.554;17.592;1.917;108.805;-3.620
776.000;31.040;1.635;134.811;-4.260;-13.984;143.836;-5.208;-26.834;118.007;-10.001;-15.575;111.247;14.868;17.216;143.127;-4.581;28.662;114.900;-8.729;17.971;112.000;17.586;1.895;108.789;-3.444
777.000;31.080;1.590;134.791;-4.169;-14.038;143.766;-5.298;-26.495;117.908;-10.698;-15.860;109.441;14.039;17.156;143.119;-4.383;28.457;114.930;-8.874;18.024;111.375;17.487;1.874;108.775;-3.294
778.000;31.120;1.568;134.765;-4.108;-14.082;143.681;-5.363;-26.215;117.753;-11.066;-16.102;108.019;13.517;17.119;143.113;-4.232;28.308;114.986;-9.086;18.009;110.723;17.250;1.855;108.748;-3.156
