Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
1100.000;44.000;1.636;135.208;-5.439;-14.116;144.150;-6.729;-25.060;116.929;-9.541;-14.782;116.544;16.393;17.272;143.621;-5.567;28.228;115.081;-8.116;17.661;114.256;18.346;2.092;109.202;-4.619
1101.000;44.040;1.807;135.158;-5.394;-13.975;144.033;-6.658;-24.991;116.832;-9.551;-14.812;116.347;16.414;17.417;143.646;-5.484;28.436;115.145;-8.096;17.625;114.189;18.261;2.223;109.167;-4.700
1102.000;44.080;1.961;135.124;-5.412;-13.832;143.970;-6.647;-24.822;116.757;-9.580;-14.766;116.218;16.435;17.561;143.653;-5.387;28.725;115.210;-8.101;17.619;114.041;18.137;2.326;109.081;-4.843
1103.000;44.120;2.078;135.123;-5.472;-13.722;143.974;-6.682;-24.650;116.727;-9.647;-14.611;116.227;16.376;17.677;143.649;-5.320;28.995;115.265;-8.137;17.715;113.865;18.004;2.405;109.033;-5.002
1104.000;44.160;2.138;135.147;-5.525;-13.660;144.008;-6.734;-24.497;116.735;-9.738;-14.415;116.364;16.270;17.737;143.661;-5.326;29.159;115.314;-8.227;17.849;113.698;17.887;2.448;109.028;-5.130
1105.000;44.200;2.167;135.168;-5.575;-13.620;144.055;-6.774;-24.433;116.781;-9.811;-14.206;116.552;16.152;17.775;143.662;-5.395;29.203;115.326;-8.379;17.968;113.608;17.775;2.465;109.014;-5.216
1106.000;44.240;2.176;135.161;-5.620;-13.591;144.085;-6.763;-24.478;116.841;-9.769;-13.986;116.695;16.089;17.801;143.615;-5.508;29.172;115.265;-8.564;18.105;113.597;17.661;2.453;108.996;-5.243
1107.000;44.280;2.155;135.128;-5.660;-13.590;144.096;-6.740;-24.594;116.869;-9.580;-13.779;116.781;16.168;17.800;143.546;-5.645;29.098;115.170;-8.750;18.192;113.577;17.562;2.401;108.983;-5.220
1108.000;44.320;2.117;135.100;-5.678;-13.604;144.124;-6.699;-24.719;116.906;-9.217;-13.536;116.810;16.417;17.785;143.473;-5.782;29.006;115.067;-8.910;18.218;113.456;17.475;2.306;108.977;-5.185
1109.000;44.360;2.058;135.082;-5.714;-13.649;144.206;-6.633;-24.808;116.967;-8.487;-13.171;116.932;17.030;17.741;143.425;-5.919;28.933;115.004;-9.058;18.166;113.229;17.377;2.177;108.963;-5.169
1110.000;44.400;1.982;135.093;-5.792;-13.714;144.313;-6.518;-24.854;116.963;-7.004;-12.665;117.482;18.320;17.680;143.415;-6.086;28.924;115.003;-9.224;17.935;112.904;17.195;2.033;108.948;-5.184
1111.000;44.440;1.897;135.100;-5.910;-13.782;144.412;-6.383;-24.827;116.955;-4.475;-12.029;118.999;20.525;17.596;143.423;-6.273;29.000;115.058;-9.439;17.520;112.474;16.824;1.899;108.935;-5.250
1112.000;44.480;1.799;135.086;-6.012;-13.861;144.495;-6.237;-24.590;117.144;-1.035;-11.208;122.009;23.210;17.489;143.407;-6.458;29.168;115.134;-9.719;16.889;111.923;16.215;1.787;108.926;-5.364
1113.000;44.520;1.649;135.088;-6.050;-13.957;144.617;-6.039;-24.041;117.832;2.889;-9.996;126.432;25.658;17.324;143.385;-6.617;29.344;115.232;-10.051;16.108;111.270;15.399;1.688;108.941;-5.483
1114.000;44.560;1.460;135.120;-6.029;-14.068;144.783;-5.753;-23.237;119.150;6.879;-8.332;131.602;27.095;17.128;143.394;-6.727;29.449;115.370;-10.405;15.225;110.528;14.427;1.596;108.977;-5.579
1115.000;44.600;1.261;135.173;-5.919;-14.187;144.982;-5.349;-22.219;120.865;10.488;-6.469;136.769;27.206;16.922;143.416;-6.763;29.435;115.474;-10.761;14.377;109.862;13.452;1.498;109.017;-5.662
1116.000;44.640;1.063;135.250;-5.730;-14.297;145.201;-4.789;-21.021;122.592;13.501;-4.722;141.293;26.079;16.721;143.478;-6.713;29.301;115.570;-11.029;13.803;109.305;12.763;1.390;109.041;-5.752
1117.000;44.680;0.875;135.320;-5.496;-14.404;145.372;-4.177;-19.781;124.061;15.804;-3.253;144.657;24.058;16.513;143.569;-6.663;29.173;115.705;-11.144;13.604;109.057;12.471;1.269;109.072;-5.788
1118.000;44.720;0.697;135.377;-5.254;-14.510;145.478;-3.559;-18.661;125.035;17.384;-2.147;146.637;21.623;16.309;143.655;-6.649;29.179;115.870;-11.181;13.528;109.037;12.318;1.169;109.103;-5.754
1119.000;44.760;0.556;135.404;-5.039;-14.599;145.486;-3.021;-17.757;125.363;18.269;-1.449;147.305;19.152;16.134;143.721;-6.653;29.221;116.012;-11.228;13.558;109.078;12.235;1.087;109.122;-5.672
1120.000;44.800;0.470;135.387;-4.877;-14.689;145.385;-2.622;-17.233;125.047;18.518;-0.971;146.853;17.019;16.001;143.763;-6.663;29.172;116.101;-11.367;13.753;109.038;12.243;1.034;109.132;-5.571
1121.000;44.840;0.436;135.345;-4.778;-14.753;145.207;-2.352;-17.201;124.145;18.162;-0.540;145.464;15.633;15.933;143.767;-6.688;29.021;116.103;-11.595;14.077;108.967;12.309;1.020;109.111;-5.445
1122.000;44.880;0.446;135.292;-4.720;-14.798;144.982;-2.193;-17.573;122.962;17.346;-0.209;143.684;15.152;15.910;143.747;-6.746;28.838;116.053;-11.856;14.451;108.927;12.389;1.028;109.094;-5.318
1123.000;44.920;0.469;135.260;-4.702;-14.816;144.830;-2.187;-18.062;121.970;16.341;-0.009;142.224;15.635;15.910;143.748;-6.797;28.666;116.034;-12.088;14.821;108.938;12.489;1.061;109.071;-5.215
1124.000;44.960;0.522;135.238;-4.739;-14.821;144.763;-2.282;-18.464;121.556;15.735;-0.139;141.630;17.043;15.939;143.751;-6.857;28.575;116.032;-12.229;15.169;108.990;12.597;1.114;109.056;-5.142
1125.000;45.000;0.570;135.224;-4.806;-14.795;144.810;-2.451;-18.534;121.876;15.866;-0.523;142.185;18.831;15.985;143.735;-6.891;28.601;116.021;-12.250;15.411;109.032;12.701;1.188;109.045;-5.116
1126.000;45.040;0.631;135.226;-4.845;-14.720;144.916;-2.586;-18.314;122.738;16.606;-0.898;143.511;20.284;16.059;143.706;-6.897;28.717;115.994;-12.142;15.542;109.038;12.825;1.287;109.040;-5.116
1127.000;45.080;0.677;135.236;-4.847;-14.646;145.047;-2.644;-18.006;123.798;17.543;-1.063;145.088;20.844;16.123;143.687;-6.862;28.854;115.974;-11.932;15.537;109.025;12.967;1.387;109.043;-5.117
1128.000;45.120;0.735;135.247;-4.809;-14.555;145.154;-2.663;-17.713;124.751;18.352;-1.114;146.457;20.197;16.200;143.676;-6.764;28.971;115.949;-11.687;15.432;109.015;13.099;1.474;109.055;-5.109
1129.000;45.160;0.806;135.259;-4.743;-14.463;145.217;-2.679;-17.552;125.329;18.790;-1.113;147.125;18.720;16.295;143.664;-6.611;29.057;115.920;-11.439;15.283;108.992;13.212;1.558;109.058;-5.085
1130.000;45.200;0.892;135.254;-4.689;-14.358;145.225;-2.714;-17.702;125.359;18.768;-0.978;146.744;16.864;16.399;143.647;-6.442;29.147;115.884;-11.204;15.123;108.950;13.321;1.622;109.057;-5.059
1131.000;45.240;0.999;135.229;-4.652;-14.248;145.144;-2.752;-18.230;124.714;18.192;-0.808;145.287;15.325;16.526;143.609;-6.303;29.262;115.821;-11.007;15.021;108.887;13.396;1.671;109.048;-5.015
1132.000;45.280;1.125;135.183;-4.642;-14.150;144.967;-2.807;-19.020;123.550;17.067;-0.669;143.303;14.586;16.664;143.558;-6.223;29.393;115.745;-10.872;15.010;108.842;13.443;1.716;109.029;-4.965
1133.000;45.320;1.247;135.145;-4.645;-14.060;144.803;-2.911;-19.813;122.358;15.638;-0.616;141.398;14.564;16.791;143.533;-6.136;29.506;115.719;-10.821;15.081;108.827;13.466;1.765;109.011;-4.910
1134.000;45.360;1.355;135.121;-4.659;-13.983;144.704;-3.041;-20.498;121.433;14.268;-0.765;139.967;15.145;16.907;143.535;-6.033;29.615;115.733;-10.758;15.183;108.823;13.516;1.817;108.997;-4.868
1135.000;45.400;1.479;135.098;-4.680;-13.886;144.637;-3.181;-21.243;120.825;13.184;-1.237;138.986;15.943;17.031;143.530;-5.952;29.753;115.728;-10.622;15.258;108.863;13.621;1.896;108.994;-4.841
1136.000;45.440;1.591;135.080;-4.665;-13.782;144.605;-3.264;-22.189;120.388;12.143;-2.121;138.120;16.594;17.146;143.499;-5.873;29.887;115.690;-10.442;15.354;108.996;13.798;1.991;108.989;-4.810
1137.000;45.480;1.691;135.073;-4.625;-13.672;144.598;-3.331;-23.386;120.014;10.803;-3.142;137.019;17.099;17.255;143.451;-5.768;29.952;115.620;-10.268;15.548;109.270;14.081;2.085;109.001;-4.760
1138.000;45.520;1.788;135.053;-4.569;-13.564;144.563;-3.406;-24.719;119.564;8.984;-4.367;135.452;17.558;17.360;143.389;-5.673;29.944;115.491;-10.059;15.833;109.728;14.548;2.166;109.006;-4.692
1139.000;45.560;1.881;135.026;-4.500;-13.504;144.473;-3.493;-25.999;119.056;6.639;-5.752;133.381;18.035;17.462;143.345;-5.609;29.852;115.333;-9.786;16.209;110.409;15.190;2.228;109.006;-4.609
1140.000;45.600;1.965;135.002;-4.445;-13.464;144.358;-3.637;-27.037;118.648;3.893;-7.265;130.838;18.445;17.546;143.328;-5.589;29.710;115.186;-9.454;16.651;111.325;15.936;2.274;109.004;-4.498
1141.000;45.640;2.045;134.973;-4.393;-13.433;144.221;-3.813;-27.671;118.326;0.874;-9.065;128.054;18.640;17.627;143.315;-5.581;29.584;115.046;-9.079;17.147;112.370;16.697;2.305;108.995;-4.370
1142.000;45.680;2.106;134.943;-4.356;-13.432;144.128;-4.050;-27.840;118.133;-2.110;-10.979;125.213;18.525;17.685;143.305;-5.540;29.489;114.954;-8.699;17.683;113.388;17.366;2.322;108.984;-4.231
1143.000;45.720;2.146;134.912;-4.348;-13.429;144.068;-4.350;-27.543;118.016;-4.776;-12.791;122.505;18.129;17.732;143.299;-5.463;29.433;114.902;-8.363;18.172;114.208;17.902;2.332;108.969;-4.093
1144.000;45.760;2.183;134.891;-4.360;-13.429;144.006;-4.705;-26.955;117.885;-6.894;-14.248;120.111;17.594;17.770;143.292;-5.350;29.397;114.876;-8.092;18.588;114.788;18.305;2.343;108.946;-3.966
1145.000;45.800;2.223;134.855;-4.404;-13.420;143.931;-5.093;-26.237;117.693;-8.399;-15.236;118.050;17.077;17.809;143.274;-5.230;29.367;114.855;-7.889;18.942;115.067;18.605;2.362;108.926;-3.856
1146.000;45.840;2.261;134.816;-4.482;-13.396;143.840;-5.483;-25.520;117.427;-9.387;-15.858;116.296;16.704;17.848;143.244;-5.121;29.339;114.829;-7.743;19.198;115.045;18.822;2.374;108.901;-3.767
1147.000;45.880;2.300;134.766;-4.577;-13.366;143.748;-5.834;-24.920;117.136;-9.930;-16.169;114.894;16.507;17.891;143.191;-5.028;29.333;114.775;-7.635;19.349;114.818;18.976;2.390;108.876;-3.710
1148.000;45.920;2.332;134.717;-4.687;-13.332;143.662;-6.141;-24.525;116.873;-10.165;-16.199;113.862;16.422;17.932;143.119;-4.967;29.344;114.696;-7.557;19.443;114.557;19.094;2.415;108.842;-3.680
1149.000;45.960;2.362;134.666;-4.805;-13.300;143.590;-6.370;-24.299;116.654;-10.205;-16.060;113.211;16.414;17.969;143.037;-4.937;29.379;114.610;-7.485;19.508;114.302;19.167;2.440;108.815;-3.676
1150.000;46.000;2.382;134.622;-4.918;-13.277;143.521;-6.505;-24.153;116.481;-10.158;-15.880;112.875;16.440;18.006;142.961;-4.945;29.457;114.532;-7.394;19.506;114.084;19.234;2.445;108.802;-3.685
1151.000;46.040;2.402;134.584;-5.011;-13.265;143.462;-6.579;-24.064;116.346;-10.081;-15.666;112.781;16.485;18.033;142.899;-4.965;29.535;114.457;-7.285;19.474;113.893;19.299;2.439;108.789;-3.713
1152.000;46.080;2.413;134.561;-5.093;-13.251;143.442;-6.644;-24.004;116.264;-9.994;-15.433;112.852;16.542;18.053;142.852;-4.987;29.586;114.399;-7.193;19.402;113.765;19.346;2.425;108.780;-3.754
1153.000;46.120;2.431;134.555;-5.150;-13.226;143.455;-6.700;-23.948;116.234;-9.909;-15.265;112.977;16.608;18.082;142.826;-5.007;29.611;114.356;-7.135;19.334;113.700;19.373;2.403;108.781;-3.802
1154.000;46.160;2.439;134.557;-5.191;-13.209;143.479;-6.714;-23.926;116.235;-9.822;-15.134;113.141;16.680;18.102;142.802;-5.041;29.614;114.317;-7.118;19.263;113.659;19.369;2.380;108.786;-3.849
1155.000;46.200;2.434;134.558;-5.227;-13.203;143.514;-6.724;-23.961;116.266;-9.750;-15.089;113.297;16.737;18.109;142.776;-5.082;29.605;114.271;-7.112;19.186;113.630;19.351;2.359;108.794;-3.900
1156.000;46.240;2.425;134.564;-5.266;-13.196;143.557;-6.720;-24.060;116.332;-9.663;-15.063;113.444;16.777;18.116;142.751;-5.129;29.582;114.223;-7.141;19.112;113.584;19.294;2.345;108.802;-3.953
1157.000;46.280;2.413;134.574;-5.301;-13.199;143.594;-6.705;-24.191;116.401;-9.570;-15.087;113.577;16.835;18.111;142.735;-5.182;29.528;114.190;-7.233;19.052;113.542;19.203;2.328;108.802;-4.016
1158.000;46.320;2.398;134.584;-5.345;-13.207;143.622;-6.701;-24.333;116.468;-9.495;-15.132;113.715;16.875;18.104;142.729;-5.237;29.467;114.174;-7.364;19.032;113.497;19.087;2.313;108.806;-4.082
1159.000;46.360;2.391;134.591;-5.364;-13.214;143.636;-6.700;-24.398;116.502;-9.463;-15.161;113.789;16.887;18.099;142.731;-5.265;29.445;114.173;-7.438;19.033;113.478;19.023;2.304;108.807;-4.114
