Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
2552.000;102.080;1.367;131.234;-19.517;-14.436;139.982;-18.228;-25.186;112.834;-21.959;-16.053;110.516;4.327;16.907;139.405;-19.328;28.353;111.204;-23.982;19.879;110.583;3.101;1.561;103.255;-25.267
2553.000;102.120;1.368;131.234;-19.519;-14.435;139.980;-18.230;-25.188;112.834;-21.963;-16.051;110.534;4.321;16.908;139.405;-19.329;28.360;111.206;-23.975;19.872;110.583;3.104;1.562;103.253;-25.267
2554.000;102.160;1.372;131.231;-19.526;-14.431;139.977;-18.241;-25.188;112.831;-21.972;-16.032;110.618;4.309;16.910;139.406;-19.334;28.387;111.213;-23.965;19.848;110.570;3.103;1.564;103.251;-25.265
2555.000;102.200;1.379;131.230;-19.534;-14.422;139.979;-18.255;-25.186;112.827;-21.951;-15.990;110.736;4.322;16.917;139.406;-19.342;28.411;111.216;-23.963;19.828;110.523;3.100;1.564;103.251;-25.265
2556.000;102.240;1.385;131.229;-19.544;-14.412;139.983;-18.268;-25.176;112.815;-21.884;-15.944;110.883;4.370;16.927;139.403;-19.351;28.424;111.211;-23.971;19.810;110.433;3.091;1.562;103.253;-25.266
2557.000;102.280;1.386;131.225;-19.553;-14.411;139.975;-18.280;-25.155;112.783;-21.764;-15.923;111.067;4.478;16.926;139.402;-19.352;28.420;111.211;-23.994;19.810;110.313;3.087;1.561;103.252;-25.269
2558.000;102.320;1.383;131.213;-19.564;-14.416;139.959;-18.302;-25.191;112.766;-21.456;-15.908;111.682;4.750;16.915;139.410;-19.347;28.390;111.223;-24.043;19.786;110.153;3.082;1.564;103.250;-25.279
2559.000;102.360;1.380;131.199;-19.578;-14.415;139.953;-18.362;-25.407;112.753;-20.610;-15.887;113.758;5.409;16.902;139.435;-19.326;28.370;111.268;-24.123;19.653;109.881;3.038;1.575;103.253;-25.289
2560.000;102.400;1.387;131.202;-19.595;-14.396;140.042;-18.497;-25.827;112.822;-18.735;-15.927;118.220;6.436;16.904;139.452;-19.283;28.363;111.361;-24.297;19.345;109.234;2.815;1.608;103.261;-25.292
2561.000;102.440;1.398;131.234;-19.637;-14.352;140.288;-18.708;-26.344;113.320;-15.474;-16.217;124.719;7.319;16.911;139.461;-19.256;28.413;111.492;-24.490;18.795;107.901;2.359;1.647;103.263;-25.285
2562.000;102.480;1.419;131.281;-19.707;-14.253;140.632;-18.875;-26.898;114.774;-10.976;-16.720;131.920;7.709;16.939;139.462;-19.321;28.489;111.595;-24.664;17.988;105.894;1.602;1.652;103.270;-25.245
2563.000;102.520;1.416;131.324;-19.804;-14.145;140.987;-18.967;-27.395;117.518;-6.056;-17.232;138.829;7.663;16.953;139.462;-19.477;28.594;111.653;-24.732;17.099;103.512;0.565;1.616;103.282;-25.193
2564.000;102.560;1.383;131.376;-19.868;-14.034;141.377;-18.904;-27.670;121.353;-1.504;-17.473;145.011;7.607;16.959;139.444;-19.696;28.615;111.627;-24.784;16.343;100.999;-0.727;1.558;103.304;-25.150
