Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
65.000;2.600;1.403;135.064;-5.958;-14.349;143.971;-7.020;-25.012;116.525;-9.673;-16.421;109.868;16.602;17.024;143.400;-5.378;27.997;114.887;-8.464;17.589;109.650;17.867;1.559;109.047;-6.248
66.000;2.640;1.432;135.054;-5.845;-14.320;143.955;-6.912;-24.949;116.503;-9.629;-16.406;109.815;16.652;17.049;143.391;-5.220;28.049;114.877;-8.252;17.552;109.658;18.048;1.580;109.043;-6.158
67.000;2.680;1.463;135.040;-5.733;-14.289;143.937;-6.798;-24.909;116.482;-9.568;-16.334;109.764;16.683;17.078;143.377;-5.075;28.070;114.852;-8.036;17.538;109.698;18.255;1.602;109.041;-6.049
68.000;2.720;1.497;135.026;-5.623;-14.251;143.923;-6.691;-24.872;116.475;-9.516;-16.264;109.744;16.721;17.115;143.360;-4.933;28.067;114.824;-7.781;17.535;109.807;18.525;1.620;109.041;-5.938
69.000;2.760;1.537;135.012;-5.522;-14.209;143.909;-6.580;-24.842;116.476;-9.480;-16.180;109.828;16.753;17.163;143.356;-4.813;28.045;114.791;-7.414;17.483;110.035;18.929;1.646;109.036;-5.828
70.000;2.800;1.563;134.998;-5.432;-14.180;143.894;-6.466;-24.831;116.481;-9.459;-16.044;110.145;16.790;17.196;143.369;-4.706;28.050;114.732;-6.782;17.270;110.635;19.597;1.660;109.032;-5.739
71.000;2.840;1.591;134.995;-5.349;-14.143;143.898;-6.362;-24.822;116.505;-9.442;-15.981;110.868;16.866;17.234;143.386;-4.625;28.104;114.651;-5.714;16.733;111.759;20.638;1.681;109.038;-5.666
72.000;2.880;1.618;135.001;-5.280;-14.102;143.947;-6.302;-24.691;116.542;-9.398;-16.234;111.987;17.166;17.271;143.411;-4.531;28.094;114.561;-4.107;15.789;113.336;22.131;1.702;109.036;-5.613
73.000;2.920;1.678;135.008;-5.233;-14.012;144.031;-6.366;-24.592;116.612;-9.191;-16.950;113.111;17.757;17.343;143.419;-4.394;27.911;114.510;-2.067;14.790;115.172;24.001;1.716;109.050;-5.576
74.000;2.960;1.788;135.004;-5.197;-13.852;144.121;-6.466;-24.548;116.708;-8.890;-18.297;113.905;18.497;17.475;143.389;-4.227;27.521;114.493;0.007;13.943;117.141;25.748;1.735;109.066;-5.556
75.000;3.000;1.934;134.983;-5.157;-13.650;144.233;-6.548;-24.576;116.891;-8.596;-20.075;114.267;19.166;17.642;143.339;-4.112;27.066;114.571;1.944;13.013;119.139;27.188;1.775;109.078;-5.539
76.000;3.040;2.090;134.977;-5.125;-13.426;144.368;-6.603;-24.712;117.162;-8.335;-21.803;114.560;19.657;17.837;143.281;-4.029;26.700;114.751;3.796;11.897;120.810;28.303;1.814;109.091;-5.512
77.000;3.080;2.268;134.969;-5.101;-13.166;144.536;-6.684;-24.915;117.517;-8.088;-23.363;114.884;20.023;18.053;143.192;-3.890;26.342;114.946;5.350;10.845;122.127;29.151;1.858;109.102;-5.478
78.000;3.120;2.467;134.966;-5.070;-12.876;144.706;-6.781;-25.106;117.873;-7.839;-24.626;115.345;20.349;18.294;143.107;-3.734;25.993;115.079;6.529;9.993;123.105;29.745;1.901;109.111;-5.446
79.000;3.160;2.671;134.966;-5.043;-12.574;144.872;-6.858;-25.241;118.220;-7.554;-25.491;115.911;20.678;18.546;142.994;-3.635;25.680;115.118;7.317;9.367;123.747;30.124;1.935;109.115;-5.417
80.000;3.200;2.877;134.963;-5.023;-12.273;145.045;-6.892;-25.311;118.563;-7.171;-25.906;116.584;21.079;18.809;142.872;-3.597;25.445;115.085;7.776;8.969;124.162;30.298;1.967;109.115;-5.395
81.000;3.240;3.090;134.964;-5.020;-11.962;145.236;-6.874;-25.372;118.926;-6.618;-25.818;117.340;21.661;19.086;142.758;-3.623;25.289;115.004;7.968;8.719;124.363;30.329;1.992;109.114;-5.387
82.000;3.280;3.302;134.971;-5.046;-11.653;145.448;-6.851;-25.388;119.296;-5.788;-25.162;118.265;22.530;19.367;142.647;-3.713;25.229;114.912;7.989;8.556;124.429;30.225;2.006;109.115;-5.401
83.000;3.320;3.507;134.982;-5.101;-11.353;145.675;-6.811;-25.232;119.633;-4.566;-23.699;119.392;23.724;19.644;142.539;-3.834;25.217;114.813;7.931;8.391;124.422;30.028;2.010;109.114;-5.439
84.000;3.360;3.689;134.993;-5.182;-11.082;145.879;-6.739;-24.880;119.925;-2.908;-21.301;120.801;25.168;19.893;142.440;-4.009;25.200;114.726;7.824;8.142;124.400;29.749;2.009;109.119;-5.511
85.000;3.400;3.844;134.993;-5.281;-10.843;146.042;-6.650;-24.349;120.221;-0.794;-17.807;122.501;26.642;20.101;142.337;-4.238;25.180;114.654;7.703;7.756;124.384;29.374;1.988;109.126;-5.604
86.000;3.440;3.952;134.991;-5.392;-10.643;146.139;-6.482;-23.651;120.568;1.757;-13.269;124.600;27.686;20.265;142.243;-4.502;25.196;114.611;7.584;7.214;124.317;28.886;1.975;109.132;-5.707
87.000;3.480;4.019;134.979;-5.499;-10.474;146.197;-6.242;-22.737;121.125;4.655;-8.089;126.892;27.990;20.393;142.170;-4.757;25.231;114.586;7.475;6.569;124.128;28.297;1.933;109.134;-5.810
88.000;3.520;4.066;134.966;-5.594;-10.330;146.268;-5.988;-21.577;121.977;7.662;-3.022;128.983;27.574;20.485;142.098;-5.007;25.190;114.534;7.305;5.989;124.048;27.683;1.888;109.134;-5.903
89.000;3.560;4.071;134.981;-5.675;-10.210;146.435;-5.740;-20.271;123.281;10.559;1.596;130.479;26.621;20.531;142.045;-5.268;25.121;114.492;7.108;5.599;124.002;27.192;1.837;109.136;-5.983
90.000;3.600;4.037;135.029;-5.751;-10.073;146.670;-5.525;-18.968;124.996;13.184;5.624;131.372;25.226;20.545;141.998;-5.502;25.016;114.472;6.912;5.390;124.019;26.963;1.789;109.136;-6.047
91.000;3.640;3.966;135.056;-5.822;-9.938;146.888;-5.265;-17.471;126.738;15.555;9.122;131.753;23.260;20.515;141.930;-5.758;24.891;114.561;7.050;4.936;124.199;26.778;1.744;109.141;-6.111
92.000;3.680;3.854;135.104;-5.838;-9.846;147.113;-4.986;-15.765;128.246;17.320;11.938;131.756;21.011;20.427;141.879;-5.967;24.660;114.686;7.259;4.438;124.446;26.696;1.702;109.137;-6.153
93.000;3.720;3.763;135.181;-5.846;-9.762;147.296;-4.728;-14.089;129.232;18.435;13.993;131.713;18.757;20.353;141.860;-6.153;24.409;114.836;7.459;3.953;124.468;26.759;1.660;109.148;-6.173
94.000;3.760;3.680;135.207;-5.858;-9.755;147.372;-4.514;-12.767;129.548;18.926;15.306;131.681;16.989;20.267;141.845;-6.318;24.285;114.917;7.539;3.661;124.349;26.778;1.616;109.153;-6.180
95.000;3.800;3.623;135.214;-5.897;-9.792;147.379;-4.412;-11.941;129.448;18.953;16.069;131.546;15.887;20.191;141.864;-6.449;24.308;114.957;7.441;3.543;124.184;26.661;1.573;109.144;-6.187
96.000;3.840;3.583;135.212;-5.961;-9.866;147.349;-4.418;-11.578;129.216;18.767;16.423;131.370;15.364;20.127;141.913;-6.564;24.407;114.974;7.231;3.533;123.974;26.468;1.542;109.137;-6.194
97.000;3.880;3.538;135.207;-6.052;-9.951;147.306;-4.522;-11.543;129.050;18.543;16.500;131.203;15.274;20.063;141.960;-6.663;24.481;114.972;7.014;3.554;123.727;26.307;1.533;109.128;-6.209
98.000;3.920;3.493;135.193;-6.147;-10.044;147.260;-4.675;-11.753;128.936;18.332;16.339;131.083;15.358;19.999;141.986;-6.738;24.499;114.970;6.852;3.548;123.549;26.213;1.539;109.118;-6.241
99.000;3.960;3.440;135.180;-6.230;-10.153;147.211;-4.850;-12.128;128.804;18.080;15.998;131.100;15.518;19.929;142.013;-6.759;24.473;114.975;6.784;3.473;123.457;26.126;1.552;109.109;-6.286
100.000;4.000;3.386;135.168;-6.305;-10.285;147.138;-5.057;-12.613;128.605;17.762;15.516;131.278;15.710;19.858;142.059;-6.728;24.421;115.011;6.792;3.345;123.447;26.077;1.573;109.104;-6.342
101.000;4.040;3.345;135.142;-6.373;-10.434;147.027;-5.269;-13.301;128.190;17.311;14.786;131.565;15.975;19.791;142.113;-6.676;24.391;115.056;6.829;3.226;123.408;26.058;1.594;109.099;-6.398
102.000;4.080;3.318;135.094;-6.439;-10.599;146.862;-5.486;-14.419;127.462;16.583;13.531;131.890;16.445;19.730;142.148;-6.635;24.486;115.047;6.756;3.304;123.213;26.065;1.624;109.096;-6.444
103.000;4.120;3.293;135.041;-6.518;-10.805;146.643;-5.758;-16.044;126.411;15.413;11.626;132.041;17.243;19.663;142.177;-6.623;24.764;114.933;6.406;3.760;122.654;26.148;1.653;109.093;-6.472
104.000;4.160;3.266;134.979;-6.599;-11.051;146.388;-6.087;-18.013;125.222;13.756;9.183;131.791;18.116;19.587;142.234;-6.637;25.216;114.789;5.818;4.595;121.738;26.276;1.678;109.083;-6.471
105.000;4.200;3.237;134.943;-6.659;-11.245;146.137;-6.421;-20.134;124.006;11.701;6.279;131.116;18.905;19.487;142.338;-6.638;25.758;114.639;4.980;5.852;120.529;26.436;1.714;109.071;-6.459
106.000;4.240;3.164;134.929;-6.670;-11.458;145.883;-6.661;-22.165;122.818;9.349;3.174;130.000;19.491;19.339;142.450;-6.599;26.416;114.473;3.935;7.358;119.198;26.409;1.755;109.060;-6.432
107.000;4.280;3.051;134.926;-6.632;-11.727;145.607;-6.782;-23.966;121.640;6.758;0.035;128.446;19.798;19.135;142.595;-6.524;27.111;114.372;2.759;8.999;117.883;26.146;1.791;109.051;-6.395
108.000;4.320;2.876;134.925;-6.554;-12.070;145.349;-6.826;-25.424;120.549;3.982;-3.052;126.635;19.885;18.867;142.749;-6.430;27.828;114.341;1.464;10.712;116.733;25.617;1.816;109.046;-6.343
109.000;4.360;2.668;134.943;-6.424;-12.451;145.084;-6.799;-26.441;119.623;1.160;-5.985;124.536;19.796;18.560;142.924;-6.293;28.481;114.393;0.069;12.319;115.752;24.828;1.821;109.043;-6.271
110.000;4.400;2.422;134.967;-6.269;-12.860;144.818;-6.760;-26.996;118.858;-1.553;-8.731;122.321;19.497;18.221;143.079;-6.149;29.036;114.485;-1.419;13.921;114.990;23.827;1.812;109.041;-6.197
111.000;4.440;2.161;134.991;-6.102;-13.246;144.544;-6.709;-27.191;118.227;-4.104;-11.190;120.174;18.916;17.877;143.200;-5.977;29.434;114.621;-2.983;15.427;114.298;22.683;1.789;109.041;-6.116
112.000;4.480;1.896;135.008;-5.941;-13.632;144.316;-6.639;-27.096;117.774;-6.397;-13.311;118.105;18.103;17.526;143.304;-5.801;29.688;114.838;-4.564;16.749;113.669;21.429;1.749;109.048;-6.010
113.000;4.520;1.643;135.028;-5.785;-13.989;144.150;-6.592;-26.777;117.488;-8.315;-14.977;116.093;17.190;17.187;143.394;-5.640;29.847;115.141;-6.056;17.774;113.135;20.126;1.684;109.050;-5.894
114.000;4.560;1.398;135.060;-5.644;-14.324;144.027;-6.560;-26.313;117.294;-9.815;-16.189;114.258;16.279;16.885;143.501;-5.487;29.902;115.513;-7.392;18.442;112.669;18.859;1.600;109.060;-5.778
115.000;4.600;1.180;135.089;-5.533;-14.626;143.898;-6.516;-25.799;117.115;-10.921;-16.967;112.777;15.481;16.619;143.637;-5.365;29.812;115.919;-8.545;18.765;112.304;17.690;1.499;109.066;-5.653
116.000;4.640;0.989;135.114;-5.448;-14.892;143.780;-6.484;-25.294;116.923;-11.665;-17.351;111.644;14.890;16.387;143.775;-5.281;29.537;116.273;-9.509;18.814;112.061;16.698;1.397;109.063;-5.548
117.000;4.680;0.840;135.144;-5.399;-15.108;143.682;-6.453;-24.861;116.723;-12.028;-17.488;110.854;14.600;16.201;143.895;-5.246;29.070;116.487;-10.246;18.683;111.917;15.985;1.301;109.064;-5.473
118.000;4.720;0.710;135.154;-5.387;-15.292;143.589;-6.409;-24.610;116.503;-12.027;-17.439;110.334;14.608;16.050;143.972;-5.275;28.493;116.525;-10.697;18.412;111.829;15.621;1.211;109.056;-5.424
119.000;4.760;0.584;135.144;-5.409;-15.454;143.512;-6.344;-24.594;116.300;-11.740;-17.259;110.079;14.861;15.917;144.011;-5.357;27.902;116.410;-10.822;18.049;111.782;15.605;1.132;109.048;-5.398
120.000;4.800;0.463;135.130;-5.440;-15.590;143.479;-6.271;-24.761;116.158;-11.273;-17.038;110.067;15.262;15.805;144.012;-5.450;27.375;116.209;-10.685;17.649;111.801;15.836;1.065;109.041;-5.392
121.000;4.840;0.347;135.120;-5.469;-15.707;143.492;-6.204;-25.026;116.083;-10.728;-16.835;110.265;15.725;15.704;143.986;-5.532;26.977;115.990;-10.408;17.307;111.943;16.194;1.015;109.039;-5.402
