Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
407.000;16.280;1.309;134.946;-6.461;-14.330;143.999;-7.501;-25.569;117.011;-11.061;-17.899;112.612;15.467;16.980;143.023;-5.935;28.942;114.661;-8.679;16.547;112.773;16.879;1.352;108.904;-5.886
408.000;16.320;1.322;134.943;-6.472;-14.316;143.997;-7.510;-25.558;117.013;-11.055;-17.905;112.649;15.490;16.995;143.019;-5.958;28.951;114.655;-8.716;16.548;112.788;16.842;1.367;108.903;-5.886
409.000;16.360;1.320;134.939;-6.491;-14.320;143.983;-7.516;-25.558;116.993;-11.058;-17.894;112.682;15.493;16.991;143.023;-5.985;28.970;114.666;-8.753;16.569;112.807;16.809;1.373;108.903;-5.889
410.000;16.400;1.323;134.934;-6.505;-14.322;143.971;-7.523;-25.571;116.985;-11.066;-17.875;112.780;15.491;16.991;143.022;-6.020;28.993;114.671;-8.796;16.634;112.843;16.795;1.376;108.900;-5.883
411.000;16.440;1.329;134.926;-6.524;-14.320;143.967;-7.517;-25.602;116.995;-11.052;-17.791;113.104;15.501;16.996;143.023;-6.058;29.030;114.683;-8.846;16.737;112.887;16.807;1.379;108.902;-5.884
412.000;16.480;1.340;134.921;-6.565;-14.310;143.951;-7.521;-25.739;116.999;-10.831;-17.627;114.036;15.660;17.006;143.045;-6.092;29.096;114.730;-8.884;16.827;112.884;16.835;1.377;108.901;-5.896
413.000;16.520;1.374;134.911;-6.620;-14.267;143.924;-7.562;-26.165;117.002;-10.119;-17.338;116.045;16.137;17.032;143.080;-6.100;29.227;114.824;-8.911;16.861;112.797;16.792;1.380;108.901;-5.926
414.000;16.560;1.435;134.905;-6.692;-14.173;143.959;-7.663;-26.904;117.150;-8.703;-16.788;119.369;16.830;17.085;143.096;-6.098;29.446;114.927;-8.911;16.745;112.508;16.643;1.393;108.898;-5.977
415.000;16.600;1.513;134.907;-6.768;-14.020;144.086;-7.781;-27.843;117.619;-6.497;-16.149;123.572;17.531;17.167;143.081;-6.122;29.741;115.008;-8.844;16.418;111.873;16.393;1.414;108.907;-6.044
416.000;16.640;1.613;134.917;-6.872;-13.830;144.278;-7.894;-28.940;118.598;-3.661;-15.464;128.137;17.945;17.278;143.058;-6.220;30.028;115.045;-8.662;15.958;110.624;16.100;1.443;108.908;-6.121
417.000;16.680;1.728;134.929;-7.003;-13.623;144.517;-7.981;-30.063;120.188;-0.577;-14.821;132.459;18.137;17.402;143.029;-6.360;30.184;115.003;-8.381;15.573;108.481;15.756;1.489;108.914;-6.200
418.000;16.720;1.830;134.932;-7.127;-13.385;144.748;-8.076;-31.109;122.299;2.343;-14.280;136.203;18.238;17.531;142.940;-6.478;30.196;114.805;-8.078;15.363;105.793;15.292;1.526;108.917;-6.299
419.000;16.760;1.913;134.935;-7.217;-13.185;145.016;-8.137;-31.965;124.691;4.787;-13.785;139.332;18.258;17.656;142.807;-6.568;30.142;114.530;-7.871;15.390;103.177;14.609;1.545;108.924;-6.400
420.000;16.800;1.971;134.962;-7.259;-13.014;145.301;-8.139;-32.674;127.133;6.680;-13.369;141.883;18.281;17.752;142.719;-6.675;30.041;114.323;-7.868;15.617;100.934;13.754;1.563;108.927;-6.470
421.000;16.840;2.029;134.998;-7.273;-12.884;145.525;-8.068;-33.288;129.442;8.092;-13.031;143.881;18.242;17.848;142.674;-6.768;29.967;114.217;-8.115;15.937;99.328;12.806;1.594;108.936;-6.512
422.000;16.880;2.081;135.039;-7.247;-12.749;145.747;-7.931;-33.803;131.484;9.127;-12.677;145.386;18.077;17.930;142.659;-6.860;29.973;114.212;-8.560;16.302;98.360;11.907;1.602;108.946;-6.544
423.000;16.920;2.118;135.084;-7.193;-12.620;145.933;-7.759;-34.172;133.206;9.921;-12.305;146.525;17.784;18.002;142.639;-6.947;30.048;114.241;-9.113;16.633;97.941;11.200;1.609;108.959;-6.560
424.000;16.960;2.145;135.128;-7.139;-12.513;146.107;-7.586;-34.327;134.451;10.524;-11.995;147.446;17.467;18.060;142.630;-7.041;30.136;114.298;-9.627;16.971;97.837;10.722;1.607;108.972;-6.558
425.000;17.000;2.159;135.167;-7.106;-12.438;146.229;-7.494;-34.249;135.127;10.967;-11.754;148.225;17.178;18.098;142.630;-7.125;30.186;114.350;-10.005;17.284;97.835;10.481;1.600;108.983;-6.565
426.000;17.040;2.170;135.185;-7.098;-12.391;146.303;-7.490;-33.892;135.099;11.255;-11.602;148.840;17.011;18.122;142.615;-7.190;30.184;114.360;-10.203;17.542;97.846;10.451;1.590;108.989;-6.582
427.000;17.080;2.179;135.186;-7.123;-12.377;146.325;-7.518;-33.260;134.342;11.407;-11.434;149.087;16.937;18.141;142.597;-7.235;30.145;114.324;-10.240;17.736;97.845;10.580;1.566;108.989;-6.590
428.000;17.120;2.177;135.180;-7.153;-12.387;146.296;-7.597;-32.234;132.891;11.408;-11.254;148.984;17.010;18.142;142.568;-7.280;30.097;114.257;-10.152;17.877;97.878;10.850;1.527;108.985;-6.602
429.000;17.160;2.188;135.150;-7.218;-12.441;146.152;-7.683;-31.139;131.176;11.216;-11.155;148.297;17.551;18.152;142.562;-7.326;30.045;114.199;-10.003;17.948;97.989;11.192;1.486;108.984;-6.612
430.000;17.200;2.232;135.114;-7.298;-12.487;145.978;-7.735;-30.391;129.708;10.746;-11.238;147.124;18.767;18.174;142.600;-7.382;30.015;114.195;-9.841;17.963;98.230;11.567;1.466;108.969;-6.641
431.000;17.240;2.252;135.102;-7.329;-12.538;145.877;-7.709;-30.047;128.840;10.332;-11.559;146.452;19.443;18.176;142.661;-7.434;30.039;114.238;-9.686;17.948;98.581;11.918;1.476;108.961;-6.677
432.000;17.280;2.241;135.117;-7.343;-12.565;145.882;-7.746;-30.046;128.780;10.190;-11.907;146.430;19.700;18.153;142.706;-7.434;30.101;114.298;-9.567;17.947;98.946;12.214;1.509;108.967;-6.707
433.000;17.320;2.227;135.131;-7.352;-12.579;145.930;-7.799;-30.313;129.311;10.367;-12.144;146.799;19.728;18.130;142.734;-7.388;30.168;114.345;-9.425;17.945;99.200;12.454;1.557;108.978;-6.743
434.000;17.360;2.198;135.150;-7.352;-12.601;145.980;-7.817;-30.522;129.942;10.705;-12.345;147.553;19.473;18.091;142.748;-7.350;30.218;114.374;-9.256;17.921;99.336;12.650;1.601;108.983;-6.788
