Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
1702.000;68.080;1.023;134.937;-6.937;-14.685;143.923;-7.986;-25.309;116.754;-11.330;-17.735;114.496;15.375;16.719;143.069;-6.887;27.136;114.321;-9.451;19.359;116.276;17.559;1.049;109.001;-6.152
1703.000;68.120;1.035;134.931;-6.979;-14.676;143.909;-8.048;-25.309;116.746;-11.380;-17.797;114.541;15.349;16.727;143.068;-6.924;27.153;114.325;-9.456;19.345;116.309;17.544;1.066;109.002;-6.176
1704.000;68.160;1.038;134.930;-7.016;-14.675;143.906;-8.099;-25.325;116.747;-11.418;-17.856;114.583;15.329;16.729;143.071;-6.964;27.175;114.328;-9.465;19.349;116.340;17.528;1.078;108.999;-6.196
1705.000;68.200;1.044;134.928;-7.048;-14.668;143.898;-8.139;-25.330;116.739;-11.463;-17.885;114.606;15.297;16.729;143.076;-6.994;27.220;114.341;-9.477;19.368;116.365;17.508;1.084;108.999;-6.218
1706.000;68.240;1.053;134.929;-7.084;-14.662;143.890;-8.188;-25.330;116.733;-11.492;-17.900;114.633;15.268;16.737;143.080;-7.029;27.261;114.357;-9.489;19.383;116.389;17.489;1.091;108.998;-6.243
1707.000;68.280;1.064;134.935;-7.111;-14.647;143.898;-8.217;-25.313;116.737;-11.519;-17.891;114.653;15.244;16.751;143.083;-7.058;27.280;114.358;-9.505;19.398;116.404;17.474;1.095;108.998;-6.265
1708.000;68.320;1.073;134.940;-7.134;-14.637;143.908;-8.245;-25.283;116.736;-11.526;-17.858;114.680;15.237;16.764;143.086;-7.090;27.313;114.367;-9.513;19.408;116.409;17.461;1.098;108.999;-6.288
1709.000;68.360;1.080;134.946;-7.158;-14.631;143.911;-8.275;-25.260;116.734;-11.505;-17.812;114.759;15.251;16.771;143.092;-7.131;27.355;114.370;-9.513;19.386;116.392;17.453;1.099;109.002;-6.312
1710.000;68.400;1.084;134.952;-7.174;-14.630;143.917;-8.281;-25.253;116.726;-11.469;-17.777;114.879;15.276;16.774;143.102;-7.154;27.419;114.394;-9.493;19.333;116.345;17.449;1.100;109.005;-6.337
1711.000;68.440;1.086;134.961;-7.194;-14.635;143.924;-8.275;-25.260;116.722;-11.384;-17.781;115.166;15.345;16.773;143.123;-7.193;27.526;114.437;-9.461;19.202;116.281;17.444;1.107;109.010;-6.365
1712.000;68.480;1.089;134.971;-7.222;-14.643;143.926;-8.273;-25.308;116.714;-11.119;-17.858;115.845;15.584;16.765;143.157;-7.225;27.735;114.520;-9.358;18.917;116.171;17.446;1.118;109.010;-6.397
1713.000;68.520;1.105;134.983;-7.265;-14.639;143.937;-8.297;-25.451;116.676;-10.473;-17.977;117.161;16.148;16.765;143.210;-7.250;28.064;114.664;-9.135;18.347;115.991;17.446;1.137;109.018;-6.452
1714.000;68.560;1.126;134.990;-7.325;-14.622;143.937;-8.344;-25.714;116.607;-9.293;-18.084;119.313;17.051;16.763;143.271;-7.261;28.558;114.852;-8.638;17.374;115.797;17.484;1.159;109.023;-6.527
1715.000;68.600;1.150;134.991;-7.414;-14.596;143.964;-8.412;-26.050;116.623;-7.560;-18.035;122.314;18.079;16.761;143.316;-7.319;29.159;115.031;-7.762;16.061;115.542;17.562;1.189;109.033;-6.630
1716.000;68.640;1.165;135.001;-7.512;-14.580;144.013;-8.446;-26.414;116.832;-5.370;-17.744;126.000;18.881;16.752;143.347;-7.405;29.836;115.255;-6.407;14.313;115.247;17.640;1.220;109.048;-6.751
1717.000;68.680;1.169;135.015;-7.641;-14.581;144.105;-8.418;-26.671;117.289;-2.742;-17.237;130.206;19.259;16.728;143.406;-7.550;30.478;115.634;-4.483;12.162;114.907;17.636;1.241;109.061;-6.888
1718.000;68.720;1.183;135.031;-7.794;-14.570;144.189;-8.387;-26.652;118.017;0.374;-16.593;134.798;19.155;16.700;143.499;-7.721;30.893;116.228;-2.024;9.722;114.528;17.486;1.254;109.079;-7.028
1719.000;68.760;1.202;135.043;-7.967;-14.549;144.253;-8.370;-26.226;119.154;3.850;-15.901;139.365;18.607;16.648;143.622;-7.907;30.843;117.093;0.914;7.062;114.099;17.116;1.267;109.094;-7.175
1720.000;68.800;1.211;135.056;-8.135;-14.533;144.339;-8.323;-25.258;120.695;7.300;-15.116;143.441;17.830;16.595;143.741;-8.084;30.140;118.182;4.042;4.445;113.679;16.681;1.275;109.109;-7.314
