Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
2160.000;86.400;2.567;135.049;-6.806;-13.362;143.610;-7.783;-22.199;115.113;-6.609;-16.618;118.423;20.649;18.178;143.338;-6.738;27.871;114.193;-6.034;20.164;116.740;21.371;2.507;109.198;-5.717
2161.000;86.440;2.583;135.037;-6.814;-13.344;143.600;-7.786;-22.193;115.107;-6.617;-16.620;118.462;20.634;18.194;143.322;-6.761;27.902;114.179;-6.066;20.240;116.704;21.359;2.524;109.195;-5.696
2162.000;86.480;2.602;135.024;-6.822;-13.324;143.590;-7.788;-22.198;115.107;-6.627;-16.603;118.535;20.606;18.213;143.309;-6.791;27.946;114.168;-6.100;20.324;116.614;21.353;2.542;109.192;-5.671
2163.000;86.520;2.622;135.009;-6.821;-13.303;143.574;-7.774;-22.250;115.118;-6.582;-16.539;118.757;20.597;18.228;143.297;-6.817;28.042;114.169;-6.133;20.404;116.419;21.354;2.561;109.190;-5.646
2164.000;86.560;2.649;134.988;-6.818;-13.266;143.544;-7.753;-22.593;115.209;-6.382;-16.265;119.327;20.593;18.248;143.286;-6.834;28.245;114.200;-6.196;20.514;115.981;21.345;2.583;109.186;-5.634
2165.000;86.600;2.696;134.959;-6.824;-13.193;143.500;-7.757;-23.412;115.451;-5.661;-15.596;120.710;20.707;18.282;143.298;-6.833;28.623;114.318;-6.289;20.644;115.066;21.319;2.615;109.184;-5.636
2166.000;86.640;2.761;134.947;-6.852;-13.083;143.487;-7.791;-24.690;116.011;-4.312;-14.759;123.076;20.814;18.323;143.353;-6.818;29.190;114.560;-6.378;20.746;113.368;21.217;2.656;109.186;-5.661
2167.000;86.680;2.840;134.963;-6.898;-12.938;143.566;-7.855;-26.299;117.123;-2.261;-14.085;126.361;20.992;18.368;143.430;-6.801;29.850;114.873;-6.424;20.868;110.614;20.868;2.714;109.190;-5.703
2168.000;86.720;2.934;134.981;-6.954;-12.759;143.709;-7.932;-28.056;118.890;0.309;-13.721;130.126;21.223;18.439;143.458;-6.793;30.418;115.078;-6.342;21.070;106.745;20.062;2.782;109.196;-5.758
2169.000;86.760;3.027;134.980;-7.005;-12.570;143.904;-7.962;-29.682;121.237;2.941;-13.576;133.982;21.342;18.540;143.376;-6.796;30.788;115.057;-6.070;21.450;102.161;18.620;2.859;109.201;-5.812
2170.000;86.800;3.112;134.975;-7.036;-12.365;144.212;-7.951;-30.973;123.931;5.225;-13.605;137.598;21.586;18.672;143.186;-6.815;30.867;114.773;-5.729;22.015;97.417;16.403;2.939;109.207;-5.849
