Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
342.000;13.680;3.066;134.891;-5.112;-12.634;143.783;-6.654;-24.201;117.016;-10.850;-16.051;108.343;14.898;18.664;143.101;-4.680;29.893;114.674;-8.106;19.096;108.436;17.727;2.928;109.038;-4.498
343.000;13.720;3.085;134.888;-5.139;-12.612;143.788;-6.681;-24.196;117.026;-10.858;-16.074;108.368;14.900;18.686;143.095;-4.724;29.905;114.666;-8.156;19.174;108.442;17.707;2.948;109.038;-4.508
344.000;13.760;3.099;134.887;-5.163;-12.599;143.794;-6.702;-24.194;117.031;-10.850;-16.073;108.397;14.913;18.698;143.093;-4.770;29.928;114.670;-8.209;19.256;108.457;17.681;2.959;109.037;-4.523
345.000;13.800;3.109;134.883;-5.189;-12.587;143.790;-6.718;-24.194;117.030;-10.835;-16.041;108.435;14.935;18.711;143.087;-4.816;29.954;114.668;-8.244;19.312;108.490;17.673;2.968;109.038;-4.535
346.000;13.840;3.115;134.878;-5.222;-12.584;143.785;-6.743;-24.205;117.020;-10.823;-16.018;108.496;14.959;18.716;143.081;-4.868;29.986;114.666;-8.240;19.349;108.563;17.706;2.976;109.038;-4.551
347.000;13.880;3.123;134.872;-5.263;-12.577;143.780;-6.749;-24.251;117.046;-10.772;-15.927;108.698;15.028;18.727;143.075;-4.956;30.048;114.698;-8.102;19.206;108.719;17.889;2.971;109.042;-4.576
348.000;13.920;3.127;134.874;-5.346;-12.573;143.786;-6.783;-24.559;117.140;-10.352;-15.407;109.492;15.422;18.712;143.151;-5.061;30.337;114.835;-7.343;18.500;108.981;18.471;2.993;109.037;-4.622
349.000;13.960;3.129;134.892;-5.507;-12.549;143.806;-6.897;-25.413;117.319;-9.004;-14.273;111.528;16.445;18.673;143.291;-5.191;30.999;115.076;-5.303;17.374;109.374;19.813;3.002;109.051;-4.764
350.000;14.000;3.118;134.898;-5.741;-12.494;143.909;-7.134;-26.550;117.740;-6.486;-12.496;115.205;17.971;18.608;143.408;-5.326;31.749;115.600;-1.863;15.771;110.457;22.072;2.999;109.063;-4.977
351.000;14.040;3.125;134.917;-6.007;-12.369;144.119;-7.465;-27.518;118.721;-2.900;-10.269;120.081;19.444;18.559;143.456;-5.376;32.163;116.573;2.261;13.673;112.264;24.741;3.016;109.094;-5.212
352.000;14.080;3.165;134.960;-6.305;-12.240;144.394;-7.814;-28.013;120.444;1.179;-8.008;125.490;20.292;18.505;143.618;-5.448;31.866;118.225;6.450;11.108;114.577;27.074;3.035;109.114;-5.458
353.000;14.120;3.210;135.005;-6.605;-12.099;144.680;-8.212;-27.875;122.874;5.231;-5.815;130.678;20.724;18.444;143.838;-5.596;30.894;120.306;10.201;8.486;117.133;29.258;3.071;109.133;-5.691
354.000;14.160;3.235;135.064;-6.866;-11.929;144.963;-8.549;-27.182;125.672;8.705;-3.870;135.179;21.006;18.389;144.036;-5.728;29.453;122.564;13.236;6.020;119.464;31.227;3.106;109.147;-5.881
355.000;14.200;3.241;135.117;-7.038;-11.805;145.240;-8.773;-26.180;128.394;11.335;-2.168;139.143;21.023;18.356;144.196;-5.769;27.893;124.513;15.385;3.834;122.031;32.713;3.138;109.158;-6.011
