Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
2825.000;113.000;0.174;135.005;-7.163;-15.678;143.717;-7.716;-26.475;116.247;-9.509;-16.498;115.347;16.611;15.744;143.429;-7.146;27.526;114.965;-9.541;16.445;116.611;16.514;0.551;108.731;-6.463
2826.000;113.040;0.170;135.015;-7.190;-15.690;143.713;-7.768;-26.473;116.237;-9.558;-16.515;115.389;16.571;15.734;143.453;-7.154;27.545;114.999;-9.512;16.426;116.641;16.525;0.557;108.732;-6.500
2827.000;113.080;0.166;135.023;-7.216;-15.699;143.716;-7.805;-26.487;116.243;-9.609;-16.538;115.423;16.523;15.729;143.470;-7.171;27.566;115.028;-9.519;16.444;116.646;16.515;0.563;108.736;-6.531
2828.000;113.120;0.164;135.028;-7.242;-15.704;143.714;-7.850;-26.486;116.241;-9.667;-16.542;115.438;16.464;15.723;143.479;-7.187;27.595;115.051;-9.527;16.434;116.653;16.491;0.564;108.733;-6.555
2829.000;113.160;0.158;135.031;-7.271;-15.714;143.705;-7.898;-26.486;116.227;-9.712;-16.547;115.433;16.418;15.712;143.497;-7.216;27.632;115.083;-9.544;16.426;116.684;16.462;0.559;108.731;-6.576
2830.000;113.200;0.155;135.034;-7.296;-15.715;143.713;-7.925;-26.500;116.239;-9.745;-16.530;115.423;16.377;15.712;143.495;-7.251;27.643;115.084;-9.587;16.417;116.702;16.410;0.557;108.733;-6.593
2831.000;113.240;0.149;135.035;-7.320;-15.723;143.705;-7.959;-26.511;116.233;-9.764;-16.516;115.422;16.350;15.706;143.492;-7.282;27.666;115.083;-9.602;16.448;116.795;16.393;0.552;108.730;-6.604
2832.000;113.280;0.133;135.036;-7.348;-15.736;143.707;-7.980;-26.545;116.242;-9.778;-16.540;115.455;16.334;15.699;143.449;-7.292;27.737;115.008;-9.515;16.752;116.994;16.525;0.536;108.733;-6.624
2833.000;113.320;0.112;135.028;-7.393;-15.755;143.697;-7.947;-26.780;116.278;-9.600;-16.695;115.673;16.473;15.691;143.376;-7.344;27.961;114.881;-9.151;17.650;117.369;17.044;0.513;108.734;-6.666
