Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
1507.000;60.280;0.276;134.854;-4.263;-15.569;143.572;-5.381;-25.636;116.951;-10.924;-18.297;106.142;14.425;15.836;143.371;-4.500;26.179;115.003;-9.304;18.891;105.025;16.680;0.592;108.608;-3.524
1508.000;60.320;0.284;134.867;-4.254;-15.559;143.586;-5.375;-25.607;116.960;-10.947;-18.348;106.161;14.432;15.845;143.382;-4.471;26.192;115.010;-9.271;18.850;105.024;16.699;0.587;108.611;-3.545
1509.000;60.360;0.299;134.887;-4.239;-15.541;143.612;-5.364;-25.554;116.984;-10.956;-18.423;106.220;14.474;15.863;143.392;-4.432;26.219;115.017;-9.208;18.791;105.019;16.737;0.584;108.621;-3.578
1510.000;60.400;0.316;134.900;-4.225;-15.520;143.635;-5.359;-25.521;116.999;-10.937;-18.472;106.295;14.530;15.885;143.404;-4.398;26.254;115.017;-9.141;18.777;104.977;16.788;0.587;108.630;-3.596
1511.000;60.440;0.336;134.909;-4.214;-15.497;143.654;-5.357;-25.508;117.012;-10.906;-18.498;106.378;14.600;15.908;143.409;-4.382;26.288;115.007;-9.071;18.800;104.881;16.844;0.587;108.631;-3.603
1512.000;60.480;0.349;134.917;-4.204;-15.481;143.686;-5.357;-25.500;117.040;-10.868;-18.518;106.472;14.659;15.927;143.399;-4.377;26.320;114.986;-9.024;18.831;104.694;16.871;0.590;108.632;-3.599
1513.000;60.520;0.357;134.925;-4.197;-15.460;143.735;-5.340;-25.468;117.086;-10.838;-18.555;106.570;14.719;15.953;143.367;-4.387;26.371;114.952;-9.040;18.843;104.435;16.816;0.589;108.637;-3.582
1514.000;60.560;0.369;134.923;-4.191;-15.433;143.780;-5.288;-25.435;117.147;-10.801;-18.734;106.764;14.852;15.987;143.299;-4.421;26.439;114.899;-9.175;18.820;104.079;16.637;0.579;108.633;-3.570
1515.000;60.600;0.402;134.906;-4.206;-15.368;143.823;-5.209;-25.681;117.307;-10.629;-19.197;107.410;15.240;16.045;143.211;-4.484;26.521;114.814;-9.393;18.815;103.467;16.280;0.566;108.644;-3.558
1516.000;60.640;0.518;134.889;-4.253;-15.168;143.913;-5.170;-26.798;117.755;-9.984;-20.346;109.167;16.258;16.199;143.088;-4.558;26.631;114.694;-9.615;18.780;102.393;15.686;0.564;108.638;-3.598
1517.000;60.680;0.742;134.886;-4.334;-14.806;144.146;-5.216;-29.000;118.888;-8.733;-22.488;113.165;18.140;16.474;142.953;-4.655;26.817;114.535;-9.699;18.796;100.643;14.785;0.611;108.634;-3.672
1518.000;60.720;1.026;134.895;-4.433;-14.303;144.590;-5.383;-32.038;121.205;-6.865;-25.016;120.105;20.299;16.832;142.792;-4.787;27.023;114.287;-9.567;18.989;98.176;13.571;0.694;108.643;-3.761
1519.000;60.760;1.335;134.924;-4.536;-13.713;145.171;-5.676;-35.213;124.781;-4.478;-27.127;129.325;21.786;17.227;142.588;-4.918;27.215;113.931;-9.221;19.357;95.261;11.991;0.791;108.652;-3.850
1520.000;60.800;1.606;134.960;-4.629;-13.152;145.787;-5.943;-37.839;129.253;-1.810;-28.284;139.579;21.944;17.569;142.376;-5.017;27.491;113.557;-8.840;19.878;92.665;10.238;0.857;108.671;-3.946
1521.000;60.840;1.775;135.018;-4.682;-12.680;146.372;-6.066;-39.542;134.153;0.823;-28.310;149.472;20.683;17.792;142.237;-5.125;27.952;113.346;-8.385;20.352;90.785;8.647;0.889;108.688;-4.054
1522.000;60.880;1.842;135.099;-4.687;-12.327;146.887;-6.048;-40.138;138.834;3.407;-27.681;158.078;18.370;17.917;142.170;-5.278;28.429;113.276;-8.045;20.954;89.925;7.872;0.872;108.724;-4.164
1523.000;60.920;1.862;135.191;-4.680;-12.024;147.314;-5.938;-39.733;142.845;5.915;-27.055;164.877;15.901;17.996;142.154;-5.494;28.664;113.273;-7.930;21.229;89.886;7.905;0.812;108.766;-4.254
1524.000;60.960;1.882;135.266;-4.706;-11.740;147.628;-5.854;-38.687;145.986;8.211;-26.375;169.690;13.837;18.071;142.144;-5.742;28.620;113.198;-7.930;20.924;89.957;7.943;0.764;108.796;-4.331
1525.000;61.000;1.926;135.296;-4.784;-11.481;147.819;-5.801;-37.246;148.111;10.310;-25.785;172.760;12.296;18.163;142.079;-5.976;28.310;113.003;-8.012;20.660;89.843;7.971;0.739;108.805;-4.423
1526.000;61.040;1.975;135.298;-4.911;-11.289;147.926;-5.800;-35.664;149.328;12.113;-25.369;174.512;11.412;18.254;141.983;-6.223;27.985;112.770;-8.155;20.626;89.611;7.951;0.714;108.794;-4.532
1527.000;61.080;2.012;135.298;-5.087;-11.134;147.990;-5.869;-34.352;149.937;13.306;-24.926;175.428;11.765;18.322;141.910;-6.493;27.857;112.617;-8.294;20.638;89.442;7.869;0.695;108.786;-4.630
1528.000;61.120;2.070;135.269;-5.287;-11.034;147.966;-6.040;-33.643;150.292;13.730;-24.075;175.874;13.452;18.384;141.865;-6.761;27.899;112.544;-8.424;20.660;89.447;7.831;0.700;108.780;-4.705
1529.000;61.160;2.136;135.218;-5.502;-10.959;147.901;-6.262;-33.356;150.573;13.665;-23.024;175.911;15.498;18.443;141.830;-7.031;27.994;112.498;-8.567;20.689;89.492;7.804;0.719;108.774;-4.770
1530.000;61.200;2.183;135.194;-5.696;-10.928;147.866;-6.441;-33.108;150.708;13.556;-21.845;175.515;16.583;18.484;141.819;-7.268;28.043;112.480;-8.730;20.764;89.511;7.725;0.751;108.766;-4.861
1531.000;61.240;2.191;135.202;-5.824;-10.957;147.853;-6.534;-32.948;150.793;13.473;-20.168;174.627;17.358;18.485;141.836;-7.480;28.034;112.497;-8.938;20.859;89.540;7.593;0.788;108.771;-4.957
1532.000;61.280;2.219;135.212;-5.914;-10.952;147.852;-6.525;-32.675;150.533;13.852;-20.122;174.517;17.289;18.506;141.848;-7.633;28.028;112.509;-9.204;20.943;89.592;7.421;0.831;108.783;-5.040
1533.000;61.320;2.232;135.228;-5.951;-10.984;147.843;-6.421;-32.152;149.759;14.600;-21.726;174.950;15.720;18.508;141.868;-7.728;28.046;112.520;-9.410;21.032;89.603;7.245;0.875;108.790;-5.117
1534.000;61.360;2.219;135.233;-5.968;-11.053;147.807;-6.305;-31.734;149.148;15.220;-22.863;174.901;14.279;18.482;141.900;-7.806;28.069;112.571;-9.527;21.136;89.617;7.115;0.915;108.801;-5.192
1535.000;61.400;2.226;135.245;-5.990;-11.053;147.791;-6.189;-31.320;148.917;15.821;-23.417;174.702;12.921;18.478;141.953;-7.875;28.088;112.624;-9.606;21.199;89.634;7.008;0.953;108.803;-5.264
1536.000;61.440;2.234;135.261;-6.042;-11.042;147.802;-6.177;-30.905;148.921;16.187;-23.950;174.722;12.028;18.479;141.981;-7.948;28.116;112.657;-9.678;21.262;89.642;6.923;1.002;108.804;-5.327
1537.000;61.480;2.243;135.268;-6.115;-11.039;147.811;-6.272;-30.750;149.030;16.200;-24.252;174.997;11.965;18.487;141.987;-8.037;28.150;112.664;-9.737;21.339;89.651;6.877;1.052;108.804;-5.378
1538.000;61.520;2.269;135.251;-6.212;-11.017;147.782;-6.436;-30.882;149.251;15.917;-23.935;175.345;12.858;18.512;141.979;-8.124;28.187;112.658;-9.760;21.381;89.657;6.873;1.102;108.799;-5.414
1539.000;61.560;2.303;135.219;-6.332;-10.994;147.717;-6.685;-31.357;149.575;15.227;-22.891;175.569;14.809;18.542;141.969;-8.198;28.220;112.649;-9.726;21.401;89.657;6.913;1.152;108.790;-5.448
1540.000;61.600;2.351;135.183;-6.475;-10.951;147.661;-6.945;-31.935;149.982;14.346;-21.653;175.390;17.044;18.586;141.953;-8.281;28.262;112.634;-9.649;21.405;89.651;6.978;1.205;108.776;-5.491
1541.000;61.640;2.392;135.168;-6.597;-10.906;147.644;-7.132;-32.128;150.321;13.794;-20.277;174.715;18.041;18.628;141.936;-8.349;28.316;112.610;-9.579;21.402;89.656;7.053;1.244;108.764;-5.551
1542.000;61.680;2.418;135.160;-6.689;-10.865;147.631;-7.326;-32.219;150.758;13.278;-18.536;173.592;19.484;18.660;141.938;-8.394;28.363;112.616;-9.558;21.365;89.671;7.057;1.275;108.763;-5.603
1543.000;61.720;2.500;135.145;-6.776;-10.770;147.617;-7.458;-32.200;150.729;13.126;-18.940;173.461;21.024;18.750;141.924;-8.423;28.397;112.595;-9.564;21.377;89.655;7.041;1.300;108.769;-5.635
1544.000;61.760;2.565;135.145;-6.800;-10.748;147.602;-7.436;-32.180;150.168;13.209;-20.287;173.847;21.137;18.813;141.910;-8.436;28.475;112.565;-9.558;21.388;89.634;7.027;1.334;108.777;-5.665
1545.000;61.800;2.561;135.133;-6.807;-10.819;147.539;-7.458;-32.303;149.665;13.111;-20.648;173.569;20.609;18.799;141.922;-8.446;28.528;112.594;-9.571;21.409;89.644;6.985;1.356;108.786;-5.683
1546.000;61.840;2.559;135.118;-6.836;-10.872;147.459;-7.521;-32.461;149.321;12.959;-20.651;173.147;20.277;18.777;141.970;-8.443;28.537;112.668;-9.568;21.476;89.660;6.947;1.379;108.785;-5.691
1547.000;61.880;2.571;135.112;-6.890;-10.896;147.414;-7.594;-32.613;149.050;12.818;-21.018;172.940;20.312;18.776;141.993;-8.464;28.542;112.690;-9.538;21.550;89.652;6.952;1.421;108.776;-5.705
1548.000;61.920;2.561;135.106;-6.942;-10.955;147.373;-7.666;-32.894;148.695;12.556;-21.347;172.531;20.366;18.754;142.019;-8.485;28.511;112.725;-9.530;21.628;89.640;6.934;1.465;108.767;-5.725
1549.000;61.960;2.549;135.097;-6.985;-11.019;147.310;-7.728;-33.238;148.064;12.257;-21.593;171.772;20.168;18.726;142.043;-8.510;28.445;112.775;-9.565;21.739;89.693;6.957;1.494;108.761;-5.742
1550.000;62.000;2.540;135.078;-7.012;-11.108;147.219;-7.737;-33.638;147.013;11.978;-22.056;170.694;19.974;18.692;142.037;-8.519;28.416;112.793;-9.610;21.873;89.802;7.129;1.521;108.759;-5.762
1551.000;62.040;2.519;135.053;-7.050;-11.246;147.104;-7.712;-34.155;145.671;11.615;-22.491;169.222;19.774;18.632;142.046;-8.513;28.432;112.819;-9.604;22.008;90.176;7.666;1.547;108.747;-5.817
1552.000;62.080;2.479;135.065;-7.074;-11.395;147.013;-7.671;-34.643;143.964;11.175;-22.695;167.279;19.442;18.554;142.126;-8.497;28.434;112.938;-9.600;22.180;91.086;8.757;1.562;108.742;-5.922
1553.000;62.120;2.430;135.092;-7.094;-11.577;146.889;-7.600;-35.036;141.878;10.599;-22.764;164.788;19.255;18.465;142.242;-8.473;28.457;113.088;-9.476;22.283;92.527;10.369;1.564;108.746;-6.053
1554.000;62.160;2.398;135.099;-7.114;-11.760;146.720;-7.525;-35.273;139.338;9.849;-22.817;161.711;19.318;18.387;142.345;-8.402;28.520;113.221;-9.208;22.257;94.484;12.334;1.565;108.758;-6.202
1555.000;62.200;2.349;135.123;-7.099;-11.968;146.496;-7.405;-35.315;136.328;8.713;-22.880;157.883;19.765;18.298;142.459;-8.268;28.610;113.357;-8.859;22.126;97.007;14.407;1.553;108.777;-6.346
1556.000;62.240;2.287;135.152;-7.025;-12.214;146.247;-7.245;-35.264;133.259;7.240;-22.715;153.388;20.554;18.180;142.641;-8.050;28.725;113.624;-8.541;21.895;100.065;16.278;1.526;108.791;-6.474
1557.000;62.280;2.191;135.189;-6.907;-12.494;146.007;-7.029;-34.868;130.165;5.470;-22.552;148.463;21.284;18.020;142.852;-7.792;28.866;113.955;-8.317;21.576;103.500;17.718;1.502;108.823;-6.581
1558.000;62.320;2.044;135.235;-6.718;-12.820;145.747;-6.742;-34.334;127.388;3.431;-22.231;143.076;21.960;17.816;143.060;-7.529;28.974;114.312;-8.192;21.241;107.067;18.624;1.485;108.848;-6.639
1559.000;62.360;1.868;135.282;-6.510;-13.160;145.417;-6.412;-33.833;125.139;1.354;-21.585;137.375;22.338;17.580;143.270;-7.272;29.017;114.674;-8.210;20.844;110.448;18.951;1.479;108.874;-6.647
1560.000;62.400;1.678;135.317;-6.284;-13.513;145.089;-6.026;-33.246;123.266;-0.676;-20.845;132.051;21.917;17.333;143.446;-7.012;28.988;115.014;-8.421;20.480;113.394;18.744;1.464;108.893;-6.614
1561.000;62.440;1.479;135.341;-6.037;-13.865;144.820;-5.713;-32.598;121.833;-2.714;-19.871;127.193;20.879;17.075;143.596;-6.742;28.898;115.321;-8.780;20.167;115.756;18.196;1.449;108.910;-6.540
1562.000;62.480;1.264;135.375;-5.794;-14.191;144.657;-5.460;-31.669;120.713;-4.786;-19.116;123.080;19.475;16.825;143.714;-6.505;28.779;115.586;-9.272;19.847;117.368;17.456;1.397;108.927;-6.418
1563.000;62.520;1.066;135.395;-5.571;-14.496;144.537;-5.293;-30.500;119.846;-6.821;-18.474;119.667;17.934;16.591;143.810;-6.314;28.639;115.823;-9.842;19.561;118.136;16.694;1.336;108.937;-6.269
1564.000;62.560;0.893;135.392;-5.390;-14.759;144.456;-5.266;-29.266;119.221;-8.604;-17.931;116.622;16.511;16.382;143.872;-6.159;28.469;116.019;-10.425;19.229;118.091;16.041;1.267;108.937;-6.101
