Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
711.000;28.440;2.751;129.753;-21.401;-13.106;138.307;-20.708;-23.722;111.083;-24.541;-12.482;108.859;0.839;18.393;137.760;-20.596;29.488;109.695;-25.444;19.069;109.384;0.740;3.228;102.099;-21.536
712.000;28.480;2.757;129.754;-21.424;-13.101;138.310;-20.733;-23.727;111.086;-24.503;-12.446;109.009;0.885;18.397;137.768;-20.629;29.533;109.701;-25.416;19.112;109.364;0.786;3.230;102.098;-21.543
713.000;28.520;2.765;129.756;-21.466;-13.097;138.341;-20.796;-23.727;111.125;-24.288;-12.276;109.595;1.100;18.395;137.785;-20.675;29.624;109.722;-25.354;19.145;109.268;0.885;3.233;102.091;-21.556
714.000;28.560;2.779;129.764;-21.523;-13.076;138.402;-20.927;-23.805;111.164;-23.641;-11.969;111.047;1.631;18.391;137.819;-20.708;29.761;109.774;-25.226;19.147;108.999;1.054;3.241;102.087;-21.580
715.000;28.600;2.805;129.771;-21.610;-13.038;138.481;-21.172;-23.929;111.161;-22.260;-11.620;114.203;2.572;18.388;137.874;-20.739;30.000;109.866;-24.912;19.060;108.240;1.323;3.250;102.084;-21.600
716.000;28.640;2.839;129.777;-21.736;-13.003;138.619;-21.519;-23.979;111.274;-19.889;-11.243;119.201;3.549;18.373;137.941;-20.816;30.391;109.955;-24.260;18.772;106.602;1.701;3.253;102.083;-21.609
717.000;28.680;2.849;129.787;-21.914;-12.988;138.790;-21.927;-23.796;111.785;-16.487;-10.867;125.399;3.821;18.335;138.015;-20.947;30.860;110.040;-23.152;18.339;103.886;2.100;3.260;102.092;-21.592
718.000;28.720;2.829;129.805;-22.116;-12.972;138.951;-22.292;-23.283;113.020;-12.340;-10.382;131.661;3.239;18.273;138.066;-21.089;31.202;110.084;-21.609;17.879;100.184;2.315;3.271;102.099;-21.562
719.000;28.760;2.754;129.821;-22.257;-13.012;139.084;-22.471;-22.442;114.968;-8.175;-9.800;137.064;1.945;18.164;138.060;-21.159;31.279;110.023;-19.720;17.474;96.106;2.059;3.267;102.104;-21.545
