Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
2207.000;88.280;0.901;134.651;-3.889;-14.818;143.490;-4.921;-25.101;116.055;-8.311;-16.252;114.034;18.173;16.619;143.042;-3.415;27.099;114.565;-6.482;16.167;116.002;19.703;0.936;108.730;-3.222
2208.000;88.320;0.873;134.654;-3.915;-14.842;143.501;-4.928;-25.147;116.063;-8.263;-16.272;114.137;18.211;16.597;143.036;-3.468;27.067;114.550;-6.481;16.223;116.057;19.733;0.908;108.734;-3.239
2209.000;88.360;0.848;134.658;-3.936;-14.870;143.510;-4.939;-25.197;116.068;-8.195;-16.301;114.241;18.270;16.572;143.039;-3.520;27.055;114.539;-6.460;16.271;116.114;19.776;0.883;108.736;-3.258
2210.000;88.400;0.824;134.664;-3.953;-14.891;143.518;-4.951;-25.240;116.068;-8.103;-16.331;114.355;18.365;16.551;143.048;-3.563;27.029;114.539;-6.445;16.318;116.182;19.816;0.853;108.738;-3.275
2211.000;88.440;0.803;134.670;-3.966;-14.913;143.525;-4.950;-25.290;116.065;-8.020;-16.373;114.491;18.449;16.532;143.059;-3.594;26.999;114.545;-6.448;16.347;116.244;19.831;0.826;108.741;-3.287
2212.000;88.480;0.786;134.675;-3.980;-14.932;143.533;-4.958;-25.364;116.076;-7.949;-16.399;114.701;18.499;16.517;143.065;-3.633;26.970;114.542;-6.456;16.366;116.317;19.835;0.802;108.742;-3.296
2213.000;88.520;0.766;134.684;-3.990;-14.949;143.551;-4.947;-25.434;116.104;-7.871;-16.378;114.958;18.536;16.503;143.072;-3.666;26.945;114.539;-6.438;16.397;116.376;19.870;0.781;108.746;-3.305
2214.000;88.560;0.743;134.690;-4.008;-14.965;143.568;-4.950;-25.517;116.128;-7.766;-16.315;115.296;18.582;16.486;143.069;-3.718;26.934;114.520;-6.392;16.434;116.449;19.933;0.759;108.747;-3.316
2215.000;88.600;0.726;134.690;-4.032;-14.984;143.570;-4.948;-25.611;116.139;-7.620;-16.209;115.668;18.637;16.472;143.070;-3.768;26.932;114.500;-6.262;16.482;116.546;20.087;0.745;108.751;-3.333
