Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
1324.000;52.960;-0.772;135.128;-5.636;-16.710;143.728;-6.719;-26.920;116.117;-9.087;-21.565;111.717;18.145;14.810;143.312;-5.748;25.507;114.590;-8.564;18.813;112.176;18.928;-0.785;109.242;-4.586
1325.000;53.000;-0.743;135.132;-5.666;-16.675;143.742;-6.749;-26.895;116.134;-9.121;-21.538;111.750;18.113;14.844;143.304;-5.771;25.520;114.576;-8.602;18.846;112.168;18.895;-0.774;109.244;-4.626
1326.000;53.040;-0.718;135.137;-5.699;-16.645;143.758;-6.784;-26.878;116.156;-9.158;-21.521;111.788;18.077;14.876;143.296;-5.800;25.535;114.562;-8.636;18.866;112.161;18.863;-0.763;109.246;-4.662
1327.000;53.080;-0.699;135.140;-5.736;-16.619;143.770;-6.826;-26.863;116.173;-9.198;-21.514;111.813;18.039;14.901;143.289;-5.834;25.557;114.549;-8.659;18.882;112.158;18.840;-0.754;109.246;-4.692
1328.000;53.120;-0.682;135.139;-5.775;-16.597;143.777;-6.874;-26.847;116.181;-9.230;-21.506;111.832;18.009;14.921;143.281;-5.875;25.576;114.538;-8.680;18.883;112.158;18.817;-0.745;109.246;-4.718
1329.000;53.160;-0.667;135.138;-5.813;-16.578;143.780;-6.920;-26.837;116.186;-9.260;-21.497;111.854;17.982;14.938;143.271;-5.921;25.587;114.526;-8.715;18.887;112.162;18.782;-0.737;109.247;-4.742
1330.000;53.200;-0.653;135.140;-5.852;-16.561;143.780;-6.965;-26.828;116.187;-9.293;-21.483;111.906;17.950;14.954;143.262;-5.965;25.597;114.512;-8.750;18.885;112.206;18.749;-0.729;109.249;-4.764
1331.000;53.240;-0.640;135.134;-5.891;-16.545;143.765;-7.004;-26.876;116.183;-9.309;-21.484;112.083;17.937;14.967;143.240;-6.005;25.658;114.503;-8.772;18.917;112.358;18.737;-0.724;109.249;-4.786
1332.000;53.280;-0.627;135.121;-5.935;-16.531;143.740;-7.040;-27.105;116.222;-9.241;-21.596;112.607;18.016;14.971;143.209;-6.039;25.952;114.559;-8.701;19.078;112.796;18.800;-0.717;109.248;-4.823
