Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
430.000;17.200;2.286;134.961;-7.275;-13.495;143.879;-8.207;-24.026;116.380;-10.379;-17.120;114.633;16.793;17.916;143.184;-6.990;29.547;114.685;-9.532;19.653;112.696;17.209;2.299;109.117;-6.895
431.000;17.240;2.290;134.966;-7.314;-13.491;143.884;-8.256;-24.022;116.388;-10.397;-17.109;114.644;16.770;17.921;143.187;-7.043;29.574;114.691;-9.565;19.693;112.710;17.187;2.307;109.118;-6.921
432.000;17.280;2.295;134.969;-7.355;-13.484;143.885;-8.307;-24.015;116.385;-10.431;-17.107;114.645;16.748;17.927;143.191;-7.101;29.589;114.695;-9.618;19.722;112.719;17.136;2.313;109.117;-6.947
433.000;17.320;2.301;134.973;-7.396;-13.479;143.888;-8.356;-24.006;116.386;-10.471;-17.101;114.644;16.706;17.935;143.200;-7.152;29.615;114.714;-9.668;19.752;112.748;17.087;2.321;109.117;-6.971
434.000;17.360;2.314;134.979;-7.438;-13.465;143.895;-8.416;-24.006;116.396;-10.516;-17.117;114.660;16.666;17.951;143.204;-7.209;29.629;114.721;-9.730;19.775;112.795;17.032;2.330;109.117;-7.000
435.000;17.400;2.321;134.982;-7.475;-13.458;143.897;-8.462;-24.001;116.403;-10.564;-17.135;114.671;16.624;17.957;143.210;-7.257;29.651;114.736;-9.781;19.797;112.836;16.978;2.332;109.119;-7.028
436.000;17.440;2.331;134.988;-7.517;-13.449;143.904;-8.511;-24.003;116.416;-10.603;-17.157;114.695;16.589;17.965;143.216;-7.302;29.675;114.744;-9.801;19.812;112.890;16.955;2.339;109.121;-7.062
437.000;17.480;2.336;134.993;-7.559;-13.445;143.908;-8.561;-24.010;116.422;-10.637;-17.171;114.711;16.559;17.971;143.225;-7.353;29.704;114.757;-9.821;19.815;112.927;16.929;2.343;109.123;-7.101
438.000;17.520;2.343;134.997;-7.602;-13.440;143.905;-8.600;-24.018;116.417;-10.665;-17.151;114.705;16.533;17.976;143.233;-7.403;29.744;114.774;-9.839;19.817;112.941;16.897;2.348;109.127;-7.140
439.000;17.560;2.347;135.003;-7.644;-13.438;143.907;-8.647;-24.010;116.414;-10.705;-17.137;114.737;16.487;17.980;143.239;-7.449;29.765;114.783;-9.859;19.835;112.967;16.871;2.351;109.130;-7.183
