Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
661.000;26.440;2.662;129.794;-21.287;-13.011;138.604;-20.172;-23.883;111.241;-22.310;-11.556;107.424;2.721;18.317;137.734;-21.488;29.700;109.434;-25.268;21.069;107.195;1.792;2.933;102.289;-20.374
662.000;26.480;2.661;129.791;-21.296;-13.010;138.605;-20.183;-23.894;111.244;-22.304;-11.567;107.437;2.730;18.317;137.726;-21.503;29.693;109.424;-25.269;21.051;107.189;1.796;2.931;102.288;-20.374
663.000;26.520;2.663;129.788;-21.300;-13.011;138.601;-20.186;-23.892;111.241;-22.307;-11.570;107.445;2.724;18.318;137.730;-21.514;29.700;109.423;-25.253;21.053;107.176;1.809;2.932;102.288;-20.371
664.000;26.560;2.672;129.785;-21.311;-13.001;138.599;-20.189;-23.884;111.241;-22.298;-11.540;107.490;2.737;18.326;137.726;-21.529;29.722;109.414;-25.231;21.051;107.098;1.835;2.937;102.286;-20.372
665.000;26.600;2.682;129.774;-21.323;-12.989;138.588;-20.189;-23.862;111.255;-22.224;-11.416;107.663;2.826;18.337;137.730;-21.557;29.773;109.416;-25.186;21.036;106.931;1.887;2.943;102.287;-20.375
666.000;26.640;2.682;129.760;-21.350;-12.976;138.598;-20.218;-23.877;111.322;-21.721;-10.915;108.571;3.179;18.328;137.752;-21.616;29.917;109.473;-25.106;20.925;106.553;1.928;2.956;102.288;-20.386
667.000;26.680;2.714;129.749;-21.384;-12.931;138.607;-20.279;-23.993;111.323;-20.459;-10.755;111.152;4.288;18.339;137.785;-21.686;30.179;109.555;-24.918;20.697;105.750;1.945;2.958;102.290;-20.397
668.000;26.720;2.758;129.728;-21.440;-12.884;138.687;-20.411;-24.257;111.547;-18.031;-10.945;116.079;6.071;18.352;137.806;-21.744;30.527;109.644;-24.522;20.233;104.292;1.947;2.985;102.297;-20.400
669.000;26.760;2.798;129.731;-21.529;-12.808;138.902;-20.558;-24.585;112.382;-14.461;-11.355;122.563;7.592;18.377;137.789;-21.846;30.977;109.682;-23.731;19.471;102.028;1.846;3.001;102.301;-20.391
670.000;26.800;2.813;129.742;-21.658;-12.699;139.175;-20.675;-24.918;114.177;-10.048;-11.632;129.221;8.886;18.385;137.751;-22.017;31.382;109.648;-22.439;18.489;99.304;1.629;3.005;102.306;-20.398
671.000;26.840;2.789;129.738;-21.779;-12.627;139.447;-20.678;-25.025;116.981;-5.383;-11.651;135.431;10.168;18.347;137.700;-22.198;31.501;109.598;-20.922;17.667;96.614;1.408;3.005;102.299;-20.414
672.000;26.880;2.710;129.749;-21.805;-12.587;139.783;-20.561;-24.767;120.597;-1.194;-11.211;141.125;11.405;18.259;137.666;-22.364;31.310;109.585;-19.323;16.979;94.298;1.132;3.005;102.310;-20.401
