Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
152.000;6.080;-1.765;134.839;-3.674;-17.492;144.042;-3.778;-28.304;116.708;-5.468;-22.342;112.393;21.553;13.992;142.523;-4.909;23.502;113.486;-8.468;18.580;110.767;19.331;-1.906;109.156;-2.618
153.000;6.120;-1.725;134.836;-3.756;-17.454;144.036;-3.876;-28.245;116.686;-5.508;-22.296;112.475;21.528;14.029;142.523;-4.988;23.558;113.490;-8.535;18.617;110.803;19.263;-1.859;109.152;-2.675
154.000;6.160;-1.688;134.835;-3.831;-17.421;144.031;-3.965;-28.190;116.669;-5.563;-22.255;112.533;21.488;14.064;142.524;-5.059;23.611;113.497;-8.597;18.633;110.818;19.198;-1.816;109.149;-2.735
155.000;6.200;-1.653;134.834;-3.896;-17.389;144.026;-4.042;-28.143;116.658;-5.643;-22.225;112.552;21.417;14.097;142.529;-5.114;23.662;113.509;-8.651;18.636;110.827;19.134;-1.780;109.149;-2.789
156.000;6.240;-1.624;134.836;-3.950;-17.364;144.018;-4.103;-28.102;116.646;-5.732;-22.198;112.544;21.331;14.124;142.538;-5.150;23.707;113.524;-8.696;18.619;110.829;19.078;-1.751;109.150;-2.837
157.000;6.280;-1.600;134.838;-3.992;-17.344;144.012;-4.158;-28.067;116.637;-5.840;-22.197;112.520;21.230;14.146;142.547;-5.165;23.747;113.540;-8.717;18.580;110.834;19.043;-1.726;109.150;-2.878
158.000;6.320;-1.576;134.840;-4.021;-17.322;144.005;-4.202;-28.036;116.632;-5.966;-22.213;112.524;21.123;14.169;142.553;-5.161;23.807;113.562;-8.708;18.508;110.847;19.036;-1.703;109.152;-2.910
159.000;6.360;-1.555;134.836;-4.039;-17.300;143.985;-4.222;-28.017;116.639;-6.097;-22.181;112.773;21.049;14.185;142.562;-5.153;23.948;113.600;-8.559;18.200;110.960;19.143;-1.685;109.156;-2.935
160.000;6.400;-1.523;134.825;-4.056;-17.264;143.951;-4.222;-28.198;116.718;-6.072;-22.093;113.777;21.135;14.210;142.613;-5.133;24.354;113.705;-8.077;17.455;111.459;19.480;-1.676;109.161;-2.962
