Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
1302.000;52.080;0.503;134.875;-5.560;-15.334;143.560;-6.398;-25.969;116.000;-7.909;-15.401;117.297;17.962;16.092;143.348;-5.695;27.761;114.930;-7.624;17.410;116.484;18.661;0.863;108.742;-5.125
1303.000;52.120;0.508;134.874;-5.554;-15.330;143.559;-6.393;-25.957;115.997;-7.920;-15.393;117.269;17.951;16.096;143.349;-5.689;27.769;114.933;-7.633;17.429;116.488;18.659;0.867;108.742;-5.120
1304.000;52.160;0.513;134.867;-5.537;-15.331;143.534;-6.367;-25.977;115.990;-7.983;-15.409;117.183;17.897;16.093;143.356;-5.660;27.815;114.963;-7.650;17.478;116.493;18.644;0.872;108.735;-5.106
1305.000;52.200;0.522;134.862;-5.518;-15.325;143.528;-6.344;-26.030;116.010;-8.028;-15.502;117.180;17.871;16.095;143.358;-5.619;27.875;114.985;-7.628;17.490;116.476;18.657;0.882;108.730;-5.097
1306.000;52.240;0.524;134.858;-5.502;-15.322;143.519;-6.327;-26.099;116.026;-8.012;-15.569;117.181;17.882;16.096;143.357;-5.590;27.916;114.998;-7.614;17.508;116.459;18.667;0.884;108.728;-5.082
1307.000;52.280;0.528;134.850;-5.478;-15.317;143.509;-6.298;-26.154;116.038;-7.986;-15.670;117.217;17.914;16.095;143.352;-5.559;27.929;114.999;-7.592;17.507;116.446;18.684;0.888;108.724;-5.057
1308.000;52.320;0.531;134.841;-5.453;-15.314;143.518;-6.272;-26.159;116.067;-7.946;-15.726;117.348;17.969;16.102;143.342;-5.528;27.895;114.983;-7.563;17.467;116.443;18.735;0.892;108.722;-5.021
1309.000;52.360;0.532;134.837;-5.430;-15.315;143.555;-6.244;-26.143;116.118;-7.763;-15.623;117.665;18.075;16.106;143.347;-5.497;27.827;114.981;-7.476;17.398;116.487;18.848;0.893;108.726;-4.986
1310.000;52.400;0.528;134.838;-5.426;-15.308;143.586;-6.232;-26.202;116.152;-7.286;-15.308;118.258;18.300;16.109;143.351;-5.485;27.767;114.965;-7.255;17.268;116.584;19.058;0.890;108.727;-4.955
1311.000;52.440;0.532;134.821;-5.429;-15.294;143.604;-6.231;-26.325;116.162;-6.445;-14.782;119.158;18.700;16.115;143.343;-5.472;27.725;114.911;-6.845;17.040;116.765;19.407;0.882;108.727;-4.941
1312.000;52.480;0.541;134.813;-5.458;-15.270;143.646;-6.253;-26.383;116.197;-5.215;-14.120;120.589;19.267;16.133;143.337;-5.475;27.648;114.846;-6.260;16.797;117.021;19.919;0.872;108.723;-4.943
1313.000;52.520;0.553;134.809;-5.508;-15.248;143.706;-6.299;-26.406;116.324;-3.472;-13.250;122.953;19.888;16.146;143.371;-5.476;27.524;114.826;-5.481;16.484;117.290;20.636;0.864;108.724;-4.980
1314.000;52.560;0.565;134.823;-5.600;-15.233;143.815;-6.359;-26.342;116.675;-1.042;-12.110;126.402;20.385;16.152;143.448;-5.494;27.317;114.836;-4.388;16.063;117.521;21.679;0.860;108.725;-5.045
1315.000;52.600;0.551;134.835;-5.726;-15.225;143.951;-6.446;-26.002;117.378;2.061;-10.750;130.697;20.558;16.138;143.494;-5.532;27.043;114.863;-2.926;15.454;117.631;23.093;0.851;108.729;-5.139
1316.000;52.640;0.506;134.841;-5.861;-15.218;144.097;-6.499;-25.250;118.583;5.633;-9.248;135.388;20.182;16.102;143.487;-5.580;26.641;114.883;-1.214;14.750;117.613;24.805;0.842;108.734;-5.251
1317.000;52.680;0.424;134.841;-5.967;-15.236;144.275;-6.461;-24.124;120.251;9.157;-7.890;139.829;19.215;16.043;143.444;-5.643;26.111;114.948;0.505;14.054;117.566;26.594;0.831;108.738;-5.361
1318.000;52.720;0.334;134.862;-6.001;-15.240;144.484;-6.295;-22.766;122.076;12.113;-6.911;143.582;17.814;15.980;143.408;-5.687;25.502;115.061;1.975;13.477;117.679;28.202;0.811;108.746;-5.437
1319.000;52.760;0.252;134.911;-5.981;-15.223;144.718;-6.058;-21.452;123.702;14.261;-6.343;146.313;16.444;15.936;143.412;-5.723;24.947;115.228;3.065;13.037;118.021;29.428;0.781;108.760;-5.480
1320.000;52.800;0.203;134.956;-5.932;-15.212;144.900;-5.848;-20.375;124.831;15.546;-6.013;148.011;15.408;15.915;143.433;-5.757;24.584;115.399;3.772;12.697;118.592;30.162;0.732;108.771;-5.473
1321.000;52.840;0.186;134.975;-5.893;-15.194;144.975;-5.718;-19.728;125.403;16.179;-5.802;148.794;14.733;15.916;143.439;-5.799;24.409;115.535;4.155;12.495;119.338;30.446;0.688;108.771;-5.446
1322.000;52.880;0.183;134.975;-5.875;-15.172;144.975;-5.657;-19.411;125.547;16.350;-5.639;148.967;14.364;15.921;143.450;-5.840;24.379;115.638;4.310;12.361;120.170;30.438;0.648;108.765;-5.400
1323.000;52.920;0.179;134.967;-5.877;-15.169;144.961;-5.662;-19.191;125.435;16.245;-5.460;148.891;14.224;15.921;143.447;-5.874;24.423;115.691;4.318;12.316;121.124;30.197;0.619;108.758;-5.344
1324.000;52.960;0.187;134.949;-5.885;-15.175;144.931;-5.707;-19.089;125.189;16.009;-5.390;148.685;14.296;15.930;143.440;-5.887;24.483;115.695;4.252;12.234;122.345;29.703;0.599;108.748;-5.288
1325.000;53.000;0.214;134.913;-5.889;-15.160;144.893;-5.737;-19.251;124.814;15.666;-5.420;148.312;14.570;15.965;143.403;-5.886;24.507;115.641;4.118;12.047;124.001;28.798;0.592;108.741;-5.244
1326.000;53.040;0.262;134.881;-5.884;-15.100;144.875;-5.758;-19.772;124.203;15.047;-5.436;147.523;15.353;16.030;143.354;-5.874;24.591;115.568;3.910;11.718;126.386;27.220;0.600;108.735;-5.202
1327.000;53.080;0.322;134.862;-5.874;-15.047;144.841;-5.798;-20.578;123.352;13.990;-5.087;145.924;16.851;16.102;143.320;-5.882;24.649;115.576;3.882;11.258;129.367;25.089;0.604;108.734;-5.159
1328.000;53.120;0.361;134.861;-5.890;-15.027;144.788;-5.904;-21.328;122.457;12.667;-4.442;143.499;18.802;16.142;143.326;-5.904;24.726;115.717;4.153;10.889;132.242;22.808;0.606;108.736;-5.124
1329.000;53.160;0.375;134.850;-5.931;-15.044;144.714;-6.021;-21.803;121.650;11.451;-3.860;140.862;20.558;16.132;143.348;-5.915;24.890;115.992;4.637;10.697;134.349;20.940;0.603;108.729;-5.120
1330.000;53.200;0.377;134.848;-5.984;-15.069;144.631;-6.107;-21.915;121.121;10.732;-3.428;139.025;21.608;16.109;143.393;-5.901;25.092;116.288;5.063;10.616;135.618;19.731;0.592;108.722;-5.155
1331.000;53.240;0.379;134.852;-6.020;-15.103;144.571;-6.141;-21.668;120.960;10.676;-3.411;139.004;21.633;16.079;143.476;-5.890;25.239;116.487;5.160;10.601;135.854;19.575;0.597;108.720;-5.206
1332.000;53.280;0.354;134.869;-6.057;-15.134;144.573;-6.217;-21.306;121.407;11.261;-3.442;140.437;20.946;16.042;143.518;-5.934;25.305;116.526;5.047;10.613;135.420;20.090;0.615;108.729;-5.248
1333.000;53.320;0.337;134.874;-6.106;-15.137;144.633;-6.291;-20.940;122.392;12.397;-3.816;142.936;19.658;16.021;143.522;-5.987;25.246;116.436;4.787;10.553;134.372;21.098;0.642;108.734;-5.298
1334.000;53.360;0.312;134.893;-6.177;-15.120;144.773;-6.374;-20.585;123.819;13.767;-4.448;145.823;17.821;16.007;143.506;-6.080;25.103;116.300;4.512;10.476;132.864;22.456;0.669;108.742;-5.358
1335.000;53.400;0.285;134.917;-6.258;-15.089;144.928;-6.471;-20.252;125.419;15.058;-5.086;148.319;15.790;15.993;143.477;-6.182;24.930;116.145;4.304;10.508;131.134;23.897;0.698;108.747;-5.415
1336.000;53.440;0.260;134.934;-6.335;-15.064;145.068;-6.580;-20.014;126.817;15.993;-5.658;150.037;13.896;15.982;143.438;-6.257;24.802;116.011;4.119;10.623;129.508;25.060;0.711;108.751;-5.461
1337.000;53.480;0.257;134.951;-6.403;-15.023;145.162;-6.697;-19.920;127.718;16.451;-5.928;150.872;12.555;15.987;143.409;-6.329;24.752;115.885;3.936;10.805;128.363;25.765;0.715;108.754;-5.496
1338.000;53.520;0.273;134.952;-6.482;-14.994;145.189;-6.827;-19.940;127.927;16.414;-5.860;150.995;12.377;16.007;143.400;-6.433;24.752;115.844;3.788;11.001;127.693;26.141;0.716;108.756;-5.532
1339.000;53.560;0.310;134.929;-6.584;-14.970;145.134;-6.931;-20.011;127.481;15.985;-5.649;150.569;12.923;16.048;143.383;-6.541;24.810;115.837;3.686;11.230;127.517;26.256;0.713;108.753;-5.581
1340.000;53.600;0.352;134.913;-6.675;-14.964;145.055;-7.011;-20.022;126.592;15.291;-5.618;149.834;13.685;16.089;143.379;-6.606;24.902;115.860;3.616;11.461;127.822;26.092;0.709;108.743;-5.639
1341.000;53.640;0.409;134.904;-6.731;-14.943;144.983;-7.063;-20.127;125.441;14.355;-5.531;148.683;14.554;16.134;143.398;-6.612;24.990;115.881;3.512;11.650;128.761;25.440;0.706;108.746;-5.705
1342.000;53.680;0.482;134.888;-6.753;-14.898;144.878;-7.100;-20.575;124.085;13.096;-5.252;146.829;15.677;16.218;143.395;-6.655;25.083;115.885;3.440;11.682;130.393;24.153;0.715;108.749;-5.748
1343.000;53.720;0.536;134.884;-6.776;-14.867;144.793;-7.156;-21.201;122.791;11.578;-4.810;144.361;17.283;16.280;143.397;-6.741;25.222;115.976;3.515;11.533;132.219;22.564;0.726;108.756;-5.762
1344.000;53.760;0.574;134.881;-6.849;-14.853;144.710;-7.250;-21.771;121.801;10.161;-4.333;141.553;19.066;16.309;143.412;-6.842;25.406;116.154;3.686;11.450;133.858;20.995;0.742;108.758;-5.792
