Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
2413.000;96.520;1.249;134.570;-3.257;-14.494;143.301;-4.630;-24.932;116.067;-8.631;-16.309;115.207;17.771;16.911;143.073;-2.695;27.951;114.644;-4.490;17.678;119.124;21.265;1.281;108.661;-2.388
2414.000;96.560;1.250;134.582;-3.282;-14.504;143.306;-4.643;-24.932;116.065;-8.600;-16.305;115.356;17.794;16.907;143.090;-2.735;27.981;114.673;-4.551;17.737;119.245;21.203;1.290;108.671;-2.458
2415.000;96.600;1.247;134.600;-3.315;-14.510;143.324;-4.658;-24.936;116.076;-8.569;-16.225;115.584;17.786;16.906;143.103;-2.790;28.032;114.700;-4.635;17.751;119.391;21.065;1.301;108.679;-2.520
2416.000;96.640;1.237;134.611;-3.362;-14.527;143.333;-4.668;-24.952;116.078;-8.510;-16.103;115.851;17.780;16.893;143.116;-2.875;28.129;114.736;-4.675;17.734;119.579;20.949;1.307;108.684;-2.581
2417.000;96.680;1.220;134.618;-3.428;-14.546;143.347;-4.674;-25.006;116.089;-8.422;-15.952;116.209;17.779;16.876;143.118;-2.993;28.339;114.772;-4.576;17.667;119.869;20.902;1.308;108.688;-2.647
2418.000;96.720;1.200;134.618;-3.498;-14.566;143.355;-4.672;-25.129;116.115;-8.284;-15.781;116.720;17.773;16.857;143.115;-3.147;28.735;114.841;-4.225;17.574;120.392;20.977;1.308;108.689;-2.715
2419.000;96.760;1.186;134.623;-3.580;-14.565;143.373;-4.640;-25.411;116.231;-8.065;-15.577;117.593;17.725;16.846;143.119;-3.345;29.382;114.964;-3.449;17.389;121.316;21.235;1.304;108.696;-2.790
2420.000;96.800;1.181;134.624;-3.684;-14.553;143.398;-4.616;-26.106;116.487;-7.583;-15.231;119.092;17.611;16.825;143.158;-3.579;30.351;115.297;-1.991;17.016;122.699;21.770;1.299;108.704;-2.892
2421.000;96.840;1.194;134.629;-3.835;-14.502;143.468;-4.687;-27.396;117.032;-6.567;-14.704;121.172;17.430;16.815;143.251;-3.781;31.675;116.085;0.345;16.274;124.115;22.643;1.300;108.711;-3.016
2422.000;96.880;1.236;134.643;-4.019;-14.376;143.622;-4.898;-29.142;117.975;-4.912;-14.003;123.469;17.186;16.831;143.321;-3.888;33.048;117.382;3.418;14.914;125.650;23.573;1.300;108.731;-3.155
2423.000;96.920;1.333;134.649;-4.224;-14.151;143.834;-5.232;-30.994;119.371;-2.792;-13.199;125.642;16.832;16.903;143.415;-3.940;33.950;119.075;6.790;13.140;127.504;24.228;1.313;108.754;-3.273
2424.000;96.960;1.483;134.653;-4.427;-13.855;144.038;-5.612;-32.587;121.123;-0.605;-12.281;127.387;16.319;17.010;143.489;-3.971;34.271;120.911;9.989;11.223;129.297;24.537;1.337;108.768;-3.376
