Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
1502.000;60.080;1.660;134.987;-2.251;-14.148;143.845;-3.230;-24.699;115.994;-3.487;-12.515;116.814;21.604;17.344;143.093;-2.498;27.495;114.288;-4.834;17.013;116.966;21.171;1.648;109.188;-1.334
1503.000;60.120;1.684;134.999;-2.288;-14.123;143.859;-3.294;-24.683;116.011;-3.564;-12.521;116.839;21.542;17.370;143.100;-2.529;27.539;114.293;-4.811;17.015;117.004;21.174;1.667;109.191;-1.362
1504.000;60.160;1.707;135.005;-2.325;-14.095;143.868;-3.357;-24.675;116.029;-3.628;-12.523;116.855;21.491;17.396;143.106;-2.560;27.581;114.300;-4.800;17.029;117.040;21.176;1.689;109.194;-1.392
1505.000;60.200;1.728;135.014;-2.361;-14.073;143.876;-3.412;-24.667;116.041;-3.679;-12.523;116.862;21.446;17.416;143.118;-2.589;27.626;114.315;-4.794;17.040;117.074;21.162;1.706;109.197;-1.422
1506.000;60.240;1.747;135.023;-2.395;-14.058;143.882;-3.461;-24.654;116.048;-3.724;-12.526;116.880;21.409;17.433;143.133;-2.618;27.668;114.334;-4.803;17.059;117.113;21.140;1.719;109.201;-1.450
1507.000;60.280;1.767;135.032;-2.424;-14.038;143.887;-3.498;-24.646;116.059;-3.765;-12.528;116.909;21.376;17.455;143.142;-2.642;27.704;114.346;-4.824;17.076;117.151;21.108;1.740;109.203;-1.481
1508.000;60.320;1.784;135.037;-2.449;-14.020;143.891;-3.527;-24.647;116.067;-3.807;-12.520;116.977;21.331;17.473;143.150;-2.669;27.740;114.356;-4.853;17.094;117.206;21.069;1.758;109.205;-1.508
1509.000;60.360;1.803;135.042;-2.471;-14.002;143.894;-3.543;-24.671;116.084;-3.856;-12.485;117.141;21.248;17.492;143.151;-2.697;27.785;114.362;-4.878;17.116;117.324;21.034;1.774;109.209;-1.529
1510.000;60.400;1.820;135.043;-2.485;-13.985;143.889;-3.542;-24.738;116.113;-3.909;-12.362;117.489;21.070;17.507;143.148;-2.727;27.886;114.370;-4.891;17.135;117.639;21.017;1.793;109.213;-1.550
