Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
1143.000;45.720;1.621;135.184;-4.089;-14.281;143.893;-5.079;-25.129;116.332;-6.552;-16.278;111.376;19.705;17.209;143.410;-4.611;28.260;114.693;-6.560;19.258;112.065;20.303;1.735;109.308;-3.188
1144.000;45.760;1.622;135.178;-4.100;-14.283;143.874;-5.072;-25.100;116.305;-6.527;-16.194;111.381;19.720;17.205;143.411;-4.637;28.275;114.701;-6.597;19.302;112.100;20.275;1.740;109.306;-3.193
1145.000;45.800;1.627;135.168;-4.113;-14.278;143.865;-5.066;-25.083;116.288;-6.496;-16.112;111.389;19.730;17.207;143.401;-4.672;28.280;114.694;-6.652;19.388;112.115;20.246;1.749;109.305;-3.194
1146.000;45.840;1.632;135.155;-4.130;-14.277;143.846;-5.066;-25.068;116.260;-6.473;-16.053;111.410;19.749;17.206;143.390;-4.715;28.287;114.689;-6.709;19.468;112.104;20.212;1.756;109.303;-3.197
1147.000;45.880;1.639;135.142;-4.152;-14.271;143.830;-5.074;-25.057;116.240;-6.446;-16.008;111.449;19.773;17.209;143.378;-4.758;28.296;114.677;-6.771;19.556;112.080;20.177;1.765;109.299;-3.200
1148.000;45.920;1.650;135.131;-4.179;-14.256;143.820;-5.087;-25.045;116.230;-6.424;-15.985;111.481;19.798;17.220;143.362;-4.805;28.309;114.668;-6.831;19.654;112.027;20.145;1.775;109.296;-3.204
1149.000;45.960;1.658;135.122;-4.209;-14.248;143.805;-5.096;-25.005;116.211;-6.405;-16.059;111.547;19.868;17.226;143.353;-4.858;28.330;114.656;-6.874;19.755;111.925;20.146;1.781;109.293;-3.215
1150.000;46.000;1.682;135.109;-4.243;-14.219;143.758;-5.111;-25.008;116.175;-6.327;-16.539;111.851;20.129;17.238;143.357;-4.906;28.357;114.657;-6.905;19.851;111.767;20.210;1.790;109.293;-3.243
1151.000;46.040;1.755;135.090;-4.297;-14.144;143.661;-5.219;-25.339;116.183;-5.950;-17.721;113.047;20.896;17.288;143.407;-4.925;28.414;114.719;-6.892;19.997;111.420;20.336;1.810;109.291;-3.307
1152.000;46.080;1.865;135.085;-4.371;-14.036;143.591;-5.418;-26.138;116.420;-5.187;-19.572;115.506;22.076;17.360;143.523;-4.885;28.594;114.885;-6.736;20.121;110.468;20.459;1.857;109.293;-3.395
1153.000;46.120;1.961;135.104;-4.431;-13.923;143.609;-5.641;-27.318;117.025;-4.115;-21.723;119.415;23.225;17.419;143.643;-4.801;28.888;115.082;-6.365;20.209;108.589;20.495;1.947;109.305;-3.494
1154.000;46.160;2.031;135.141;-4.457;-13.818;143.738;-5.881;-28.578;117.961;-2.790;-23.938;124.803;23.864;17.451;143.733;-4.627;29.266;115.264;-5.727;20.341;105.716;20.282;2.042;109.323;-3.596
1155.000;46.200;2.070;135.178;-4.457;-13.724;143.918;-6.194;-29.803;119.177;-1.146;-25.687;131.223;23.558;17.453;143.792;-4.358;29.538;115.364;-4.853;20.597;102.102;19.640;2.135;109.343;-3.679
1156.000;46.240;2.114;135.211;-4.434;-13.606;144.081;-6.570;-30.917;120.706;0.776;-26.490;137.788;22.128;17.454;143.836;-3.972;29.540;115.370;-3.858;21.055;98.223;18.426;2.224;109.361;-3.734
1157.000;46.280;2.163;135.244;-4.395;-13.460;144.191;-6.954;-31.804;122.566;2.867;-26.216;143.693;19.757;17.453;143.882;-3.528;29.310;115.321;-2.829;21.756;94.596;16.647;2.298;109.371;-3.769
1158.000;46.320;2.207;135.273;-4.353;-13.312;144.269;-7.285;-32.435;124.711;4.946;-25.013;148.362;16.887;17.448;143.939;-3.100;28.852;115.211;-1.889;22.491;91.559;14.408;2.351;109.375;-3.783
1159.000;46.360;2.247;135.296;-4.318;-13.168;144.347;-7.532;-32.866;127.012;6.745;-23.115;151.554;14.043;17.452;143.989;-2.741;28.373;115.099;-1.269;23.336;89.393;11.918;2.379;109.374;-3.777
1160.000;46.400;2.281;135.316;-4.270;-13.029;144.434;-7.689;-33.191;129.223;8.063;-20.901;153.330;11.673;17.462;144.022;-2.460;27.996;115.040;-1.063;24.150;88.183;9.717;2.382;109.367;-3.739
1161.000;46.440;2.310;135.339;-4.217;-12.888;144.516;-7.797;-33.463;131.117;8.844;-18.752;153.995;10.019;17.479;144.057;-2.264;27.927;115.087;-1.412;24.754;87.749;8.062;2.364;109.358;-3.678
1162.000;46.480;2.346;135.364;-4.175;-12.759;144.587;-7.857;-33.711;132.594;9.241;-16.937;153.999;9.176;17.507;144.102;-2.165;28.119;115.238;-2.066;25.267;87.703;6.870;2.324;109.350;-3.607
1163.000;46.520;2.394;135.386;-4.160;-12.662;144.628;-7.879;-33.813;133.389;9.390;-15.783;153.743;9.092;17.550;144.141;-2.161;28.448;115.436;-2.754;25.833;87.840;6.167;2.281;109.342;-3.550
1164.000;46.560;2.430;135.395;-4.166;-12.614;144.642;-7.859;-33.658;133.442;9.497;-15.451;153.650;9.302;17.593;144.147;-2.217;28.755;115.585;-3.313;26.274;88.052;5.962;2.239;109.337;-3.518
1165.000;46.600;2.437;135.392;-4.193;-12.627;144.645;-7.811;-33.224;132.842;9.657;-15.716;153.681;9.756;17.623;144.131;-2.317;28.983;115.662;-3.611;26.667;88.266;6.196;2.200;109.336;-3.511
1166.000;46.640;2.411;135.374;-4.240;-12.711;144.640;-7.687;-32.470;131.606;9.904;-16.265;153.516;10.528;17.638;144.071;-2.495;29.126;115.642;-3.720;27.015;88.415;6.676;2.160;109.339;-3.520
1167.000;46.680;2.360;135.338;-4.306;-12.827;144.570;-7.536;-31.368;130.002;10.191;-16.927;153.122;11.866;17.631;143.993;-2.744;29.180;115.525;-3.638;27.280;88.539;7.413;2.120;109.340;-3.547
1168.000;46.720;2.297;135.298;-4.405;-12.962;144.473;-7.407;-29.965;128.280;10.429;-17.529;152.428;13.954;17.597;143.938;-3.029;29.139;115.414;-3.530;27.446;88.715;8.235;2.075;109.339;-3.596
1169.000;46.760;2.237;135.283;-4.513;-13.092;144.400;-7.297;-28.499;126.746;10.555;-17.779;151.335;16.726;17.556;143.923;-3.311;29.049;115.355;-3.453;27.480;88.971;9.058;2.032;109.340;-3.648
1170.000;46.800;2.175;135.273;-4.619;-13.206;144.377;-7.219;-27.150;125.544;10.614;-17.369;149.786;19.752;17.511;143.909;-3.569;28.983;115.306;-3.414;27.384;89.254;9.811;2.001;109.340;-3.723
1171.000;46.840;2.097;135.269;-4.706;-13.316;144.372;-7.129;-26.088;124.656;10.694;-16.049;147.966;22.297;17.454;143.885;-3.777;28.917;115.252;-3.423;27.182;89.530;10.450;1.959;109.340;-3.796
1172.000;46.880;2.013;135.260;-4.747;-13.428;144.362;-6.987;-25.256;124.024;10.845;-13.994;146.188;23.760;17.381;143.875;-3.925;28.810;115.215;-3.470;26.910;89.762;10.906;1.930;109.340;-3.859
1173.000;46.920;1.928;135.270;-4.752;-13.535;144.361;-6.834;-24.632;123.617;11.090;-11.485;144.811;24.017;17.303;143.894;-4.008;28.655;115.203;-3.541;26.596;89.923;11.143;1.902;109.348;-3.908
1174.000;46.960;1.853;135.284;-4.733;-13.622;144.376;-6.702;-24.106;123.432;11.406;-8.992;143.943;23.311;17.232;143.922;-4.036;28.500;115.203;-3.603;26.281;89.963;11.151;1.886;109.356;-3.950
1175.000;47.000;1.793;135.301;-4.702;-13.683;144.409;-6.577;-23.659;123.418;11.775;-6.847;143.500;21.893;17.177;143.935;-4.032;28.358;115.178;-3.650;25.985;89.875;10.957;1.873;109.360;-3.978
1176.000;47.040;1.746;135.312;-4.677;-13.716;144.443;-6.457;-23.353;123.516;12.160;-5.265;143.280;20.188;17.143;143.928;-4.032;28.228;115.131;-3.705;25.755;89.673;10.600;1.867;109.359;-3.994
1177.000;47.080;1.726;135.312;-4.658;-13.729;144.461;-6.365;-23.140;123.674;12.515;-4.354;143.320;18.435;17.134;143.908;-4.041;28.102;115.063;-3.787;25.602;89.396;10.105;1.867;109.355;-3.996
1178.000;47.120;1.725;135.312;-4.651;-13.721;144.479;-6.320;-23.001;123.880;12.818;-4.028;143.606;16.828;17.141;143.891;-4.048;27.993;115.000;-3.887;25.526;89.099;9.540;1.878;109.352;-3.990
1179.000;47.160;1.737;135.313;-4.647;-13.696;144.494;-6.312;-22.947;124.120;13.059;-4.172;144.059;15.450;17.160;143.877;-4.048;27.917;114.955;-3.993;25.534;88.798;8.926;1.893;109.349;-3.975
