Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
862.000;34.480;2.432;129.825;-21.972;-13.407;138.322;-20.259;-23.831;110.599;-20.426;-12.912;107.578;5.422;17.902;138.034;-23.040;29.029;109.540;-26.580;23.085;110.408;1.188;3.385;102.373;-20.919
863.000;34.520;2.437;129.820;-21.987;-13.401;138.319;-20.275;-23.827;110.600;-20.461;-12.894;107.576;5.380;17.907;138.025;-23.060;29.021;109.524;-26.592;23.072;110.425;1.171;3.387;102.371;-20.926
864.000;34.560;2.454;129.806;-22.031;-13.378;138.309;-20.319;-23.821;110.605;-20.570;-12.848;107.605;5.255;17.926;138.002;-23.123;29.015;109.486;-26.615;23.043;110.444;1.142;3.396;102.366;-20.944
865.000;34.600;2.472;129.794;-22.071;-13.356;138.299;-20.358;-23.813;110.608;-20.655;-12.805;107.702;5.163;17.944;137.988;-23.178;29.052;109.468;-26.607;23.015;110.346;1.160;3.408;102.362;-20.956
866.000;34.640;2.487;129.781;-22.108;-13.344;138.287;-20.398;-23.792;110.614;-20.691;-12.704;107.907;5.103;17.952;137.980;-23.225;29.151;109.473;-26.561;22.964;110.050;1.220;3.419;102.358;-20.966
867.000;34.680;2.492;129.769;-22.147;-13.349;138.276;-20.450;-23.763;110.620;-20.655;-12.501;108.365;5.071;17.939;137.995;-23.261;29.331;109.528;-26.438;22.826;109.428;1.354;3.431;102.355;-20.979
868.000;34.720;2.489;129.759;-22.196;-13.366;138.248;-20.544;-23.741;110.580;-20.265;-12.160;109.519;5.277;17.910;138.033;-23.266;29.596;109.641;-26.223;22.538;108.377;1.534;3.442;102.349;-20.992
869.000;34.760;2.490;129.739;-22.246;-13.395;138.212;-20.703;-23.711;110.491;-19.353;-11.752;111.813;5.822;17.882;138.063;-23.182;29.921;109.772;-25.910;22.009;106.999;1.657;3.451;102.343;-21.008
870.000;34.800;2.486;129.720;-22.283;-13.444;138.208;-20.904;-23.573;110.475;-17.738;-11.284;115.644;6.600;17.839;138.107;-23.047;30.267;109.932;-25.482;21.313;105.300;1.661;3.459;102.338;-21.014
871.000;34.840;2.465;129.720;-22.306;-13.499;138.270;-21.086;-23.312;110.784;-15.362;-10.732;120.846;7.065;17.778;138.172;-22.937;30.528;110.087;-24.903;20.501;103.230;1.531;3.467;102.343;-21.006
872.000;34.880;2.431;129.733;-22.310;-13.537;138.383;-21.217;-22.901;111.611;-12.263;-10.292;126.742;6.814;17.706;138.233;-22.835;30.663;110.185;-24.168;19.644;100.981;1.244;3.464;102.349;-20.983
873.000;34.920;2.384;129.750;-22.310;-13.552;138.541;-21.321;-22.398;113.141;-8.714;-10.035;132.562;5.786;17.629;138.273;-22.732;30.669;110.217;-23.298;18.791;98.783;0.810;3.465;102.355;-20.958
874.000;34.960;2.324;129.778;-22.281;-13.568;138.730;-21.349;-21.774;115.348;-5.151;-9.803;137.732;4.166;17.544;138.317;-22.612;30.597;110.242;-22.415;17.955;96.669;0.154;3.457;102.370;-20.929
875.000;35.000;2.229;129.828;-22.225;-13.622;138.934;-21.324;-21.059;117.992;-2.019;-9.485;141.932;2.167;17.426;138.400;-22.503;30.467;110.300;-21.564;17.299;94.574;-0.681;3.419;102.385;-20.897
876.000;35.040;2.122;129.885;-22.140;-13.670;139.147;-21.216;-20.342;120.645;0.436;-8.918;144.933;0.078;17.302;138.524;-22.457;30.368;110.451;-20.864;17.128;93.178;-1.144;3.392;102.382;-20.862
877.000;35.080;2.046;129.944;-22.078;-13.659;139.373;-21.100;-19.763;122.876;2.091;-8.023;146.665;-1.849;17.215;138.672;-22.515;30.445;110.740;-20.318;16.993;93.204;-0.883;3.357;102.387;-20.820
878.000;35.120;1.984;130.011;-22.029;-13.668;139.496;-20.999;-19.389;124.276;3.027;-7.205;147.299;-3.328;17.117;138.836;-22.589;30.617;111.086;-19.966;16.927;93.472;-0.743;3.332;102.430;-20.767
879.000;35.160;1.973;130.030;-22.023;-13.672;139.489;-21.004;-19.145;124.874;3.371;-6.423;147.204;-4.282;17.079;138.891;-22.601;30.667;111.178;-19.840;16.815;93.342;-0.944;3.340;102.437;-20.751
880.000;35.200;2.003;129.993;-22.041;-13.665;139.409;-21.046;-18.924;124.904;3.378;-5.844;146.916;-4.608;17.088;138.888;-22.542;30.636;111.160;-19.830;16.874;93.144;-1.038;3.381;102.405;-20.795
881.000;35.240;2.051;129.956;-22.101;-13.641;139.318;-21.132;-18.735;124.718;3.221;-5.516;146.650;-4.750;17.117;138.897;-22.508;30.599;111.157;-19.901;17.005;93.111;-1.002;3.430;102.381;-20.860
882.000;35.280;2.097;129.948;-22.174;-13.619;139.251;-21.263;-18.520;124.524;3.008;-5.325;146.472;-4.961;17.142;138.942;-22.533;30.625;111.214;-19.944;17.103;93.122;-1.031;3.474;102.382;-20.877
883.000;35.320;2.150;129.945;-22.259;-13.590;139.203;-21.454;-18.393;124.462;2.808;-5.172;146.373;-5.241;17.173;138.981;-22.604;30.674;111.274;-19.955;17.154;93.140;-1.080;3.514;102.386;-20.880
884.000;35.360;2.203;129.930;-22.345;-13.549;139.171;-21.633;-18.397;124.408;2.609;-5.090;146.287;-5.405;17.217;138.985;-22.681;30.725;111.296;-19.914;17.168;93.144;-1.082;3.541;102.387;-20.886
885.000;35.400;2.254;129.908;-22.439;-13.505;139.144;-21.809;-18.584;124.201;2.294;-5.080;146.060;-5.469;17.274;138.954;-22.772;30.756;111.265;-19.888;17.171;93.137;-1.051;3.540;102.385;-20.894
886.000;35.440;2.292;129.886;-22.528;-13.470;139.109;-22.003;-18.821;123.769;1.821;-5.054;145.612;-5.549;17.324;138.904;-22.825;30.772;111.201;-19.899;17.144;93.122;-1.048;3.515;102.379;-20.906
