Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
551.000;22.040;1.128;134.979;-4.809;-14.480;144.122;-6.248;-25.367;117.235;-10.294;-18.159;113.814;16.454;16.870;143.089;-4.375;28.367;114.643;-7.069;18.677;112.064;19.506;1.049;108.722;-4.345
552.000;22.080;1.103;134.976;-4.787;-14.516;144.103;-6.201;-25.380;117.199;-10.191;-18.107;113.830;16.542;16.837;143.108;-4.394;28.374;114.679;-7.092;18.749;112.112;19.505;1.053;108.719;-4.310
553.000;22.120;1.080;134.972;-4.772;-14.552;144.085;-6.154;-25.402;117.168;-10.099;-18.082;113.844;16.623;16.804;143.123;-4.427;28.375;114.706;-7.126;18.814;112.173;19.501;1.052;108.717;-4.283
554.000;22.160;1.058;134.964;-4.765;-14.589;144.059;-6.119;-25.437;117.140;-10.037;-18.103;113.858;16.687;16.768;143.132;-4.453;28.372;114.733;-7.148;18.862;112.228;19.499;1.052;108.713;-4.260
555.000;22.200;1.038;134.954;-4.764;-14.618;144.032;-6.092;-25.464;117.108;-9.988;-18.130;113.868;16.741;16.744;143.133;-4.486;28.359;114.741;-7.200;18.911;112.271;19.473;1.048;108.708;-4.236
556.000;22.240;1.016;134.941;-4.768;-14.649;144.000;-6.077;-25.494;117.078;-9.967;-18.165;113.879;16.765;16.711;143.137;-4.521;28.335;114.749;-7.254;18.947;112.305;19.443;1.050;108.706;-4.216
557.000;22.280;0.994;134.927;-4.779;-14.679;143.970;-6.073;-25.512;117.039;-9.957;-18.188;113.920;16.784;16.681;143.132;-4.556;28.301;114.750;-7.323;18.964;112.361;19.395;1.046;108.701;-4.206
558.000;22.320;0.973;134.910;-4.799;-14.703;143.937;-6.082;-25.521;117.000;-9.961;-18.170;114.005;16.793;16.656;143.121;-4.597;28.279;114.753;-7.416;18.953;112.497;19.312;1.039;108.698;-4.194
559.000;22.360;0.960;134.891;-4.834;-14.731;143.901;-6.088;-25.524;116.974;-9.958;-18.042;114.274;16.784;16.637;143.115;-4.649;28.216;114.779;-7.479;18.805;112.838;19.260;1.034;108.691;-4.188
560.000;22.400;0.937;134.883;-4.889;-14.766;143.889;-6.081;-25.525;116.977;-9.775;-17.637;115.003;16.895;16.616;143.129;-4.717;28.135;114.841;-7.370;18.375;113.659;19.293;1.032;108.690;-4.203
561.000;22.440;0.916;134.883;-4.972;-14.792;143.883;-6.068;-25.592;116.928;-9.048;-16.976;117.013;17.448;16.591;143.152;-4.786;28.134;114.881;-6.757;17.693;115.481;19.680;1.027;108.691;-4.281
562.000;22.480;0.901;134.873;-5.091;-14.805;143.889;-6.147;-25.724;116.773;-7.305;-16.405;120.772;18.492;16.561;143.226;-4.895;28.131;114.931;-5.323;17.040;118.540;20.624;1.026;108.692;-4.439
563.000;22.520;0.899;134.865;-5.260;-14.804;143.951;-6.370;-25.858;116.781;-4.346;-15.758;125.780;19.699;16.543;143.341;-5.059;28.005;115.083;-3.020;16.523;122.650;21.749;1.030;108.710;-4.629
564.000;22.560;0.888;134.865;-5.463;-14.805;144.083;-6.597;-25.832;117.274;-0.576;-15.121;131.059;20.659;16.512;143.440;-5.274;27.759;115.559;-0.018;15.802;127.374;22.724;1.041;108.741;-4.816
565.000;22.600;0.859;134.865;-5.713;-14.786;144.221;-6.774;-25.587;118.429;3.349;-14.329;135.859;21.366;16.457;143.515;-5.524;27.402;116.457;3.276;14.820;131.889;23.298;1.040;108.759;-5.012
566.000;22.640;0.830;134.870;-5.945;-14.761;144.392;-6.898;-25.110;120.002;6.760;-13.415;139.650;21.977;16.401;143.588;-5.730;26.825;117.667;6.264;13.823;135.774;23.538;1.036;108.766;-5.196
567.000;22.680;0.804;134.896;-6.095;-14.724;144.567;-6.956;-24.552;121.497;9.181;-12.333;142.255;22.415;16.360;143.684;-5.864;26.218;118.872;8.517;12.811;138.672;23.428;1.022;108.773;-5.319
568.000;22.720;0.767;134.913;-6.161;-14.701;144.702;-6.974;-24.128;122.465;10.486;-11.102;143.468;22.548;16.323;143.723;-5.978;25.860;119.724;9.811;11.782;140.238;23.014;0.995;108.782;-5.350
569.000;22.760;0.732;134.907;-6.177;-14.701;144.749;-6.997;-23.861;122.644;10.724;-9.723;143.156;22.443;16.286;143.711;-6.075;25.853;119.998;10.078;10.699;140.333;22.395;0.956;108.783;-5.304
570.000;22.800;0.707;134.875;-6.191;-14.732;144.656;-6.982;-23.735;122.029;10.093;-8.165;141.343;22.165;16.270;143.653;-6.169;26.029;119.670;9.457;9.452;139.079;21.504;0.909;108.769;-5.210
571.000;22.840;0.697;134.828;-6.192;-14.772;144.458;-6.921;-23.681;120.929;8.898;-6.478;138.367;21.683;16.270;143.550;-6.245;26.176;118.908;8.258;8.152;136.884;20.501;0.866;108.740;-5.099
572.000;22.880;0.693;134.779;-6.191;-14.792;144.268;-6.844;-23.502;119.796;7.532;-5.035;135.226;21.265;16.281;143.402;-6.295;26.136;118.016;6.883;7.188;134.618;19.740;0.833;108.706;-5.016
573.000;22.920;0.690;134.746;-6.216;-14.815;144.146;-6.760;-23.223;118.994;6.529;-4.753;133.628;21.137;16.292;143.303;-6.349;26.058;117.347;5.754;7.188;133.242;19.654;0.799;108.679;-4.989
574.000;22.960;0.673;134.749;-6.266;-14.847;144.158;-6.776;-23.183;118.961;6.412;-5.486;134.082;21.455;16.279;143.311;-6.445;26.220;117.326;5.456;7.976;133.352;20.017;0.782;108.675;-5.035
575.000;23.000;0.644;134.778;-6.322;-14.860;144.272;-6.876;-23.508;119.629;7.166;-6.605;135.785;21.933;16.233;143.387;-6.576;26.627;117.888;5.990;9.100;134.640;20.528;0.778;108.705;-5.099
576.000;23.040;0.605;134.806;-6.371;-14.865;144.402;-6.974;-23.950;120.556;8.154;-7.678;137.766;22.387;16.175;143.468;-6.667;27.039;118.650;6.874;10.298;136.453;21.020;0.767;108.741;-5.159
577.000;23.080;0.574;134.820;-6.406;-14.872;144.528;-7.021;-24.300;121.379;8.975;-8.433;139.343;22.748;16.138;143.522;-6.739;27.307;119.353;7.692;11.339;138.149;21.425;0.766;108.761;-5.227
578.000;23.120;0.555;134.835;-6.434;-14.880;144.602;-7.051;-24.443;121.823;9.388;-8.816;140.133;23.013;16.111;143.564;-6.777;27.419;119.823;8.237;11.975;139.246;21.692;0.756;108.770;-5.281
579.000;23.160;0.555;134.843;-6.455;-14.884;144.617;-7.067;-24.398;121.799;9.359;-8.706;139.978;23.086;16.107;143.589;-6.799;27.470;119.944;8.335;12.070;139.447;21.728;0.748;108.764;-5.289
580.000;23.200;0.564;134.824;-6.459;-14.886;144.538;-7.073;-24.248;121.329;8.873;-8.071;138.888;22.873;16.116;143.575;-6.806;27.487;119.696;7.967;11.472;138.672;21.427;0.737;108.751;-5.244
581.000;23.240;0.579;134.790;-6.440;-14.893;144.402;-7.053;-24.011;120.591;8.103;-7.018;137.135;22.427;16.133;143.513;-6.788;27.411;119.133;7.224;10.319;137.073;20.812;0.731;108.731;-5.154
582.000;23.280;0.610;134.745;-6.422;-14.878;144.274;-7.023;-23.759;119.856;7.285;-5.791;135.242;21.783;16.169;143.376;-6.731;27.220;118.411;6.430;8.983;135.153;20.071;0.738;108.703;-5.078
583.000;23.320;0.630;134.708;-6.426;-14.860;144.192;-7.006;-23.571;119.327;6.644;-4.783;133.718;21.214;16.197;143.234;-6.671;27.008;117.787;5.826;7.937;133.573;19.544;0.749;108.678;-5.036
584.000;23.360;0.644;134.701;-6.419;-14.831;144.178;-6.996;-23.489;119.069;6.255;-4.386;132.985;20.899;16.225;143.156;-6.622;26.938;117.418;5.456;7.720;132.809;19.433;0.757;108.664;-5.028
585.000;23.400;0.656;134.725;-6.402;-14.813;144.229;-7.003;-23.607;119.121;6.126;-4.504;132.915;20.919;16.235;143.181;-6.622;27.160;117.496;5.404;7.911;132.823;19.409;0.758;108.670;-5.021
586.000;23.440;0.678;134.747;-6.395;-14.777;144.285;-7.005;-23.852;119.397;6.388;-4.512;133.051;20.960;16.244;143.243;-6.612;27.551;117.867;5.767;7.982;133.129;19.393;0.762;108.690;-5.015
587.000;23.480;0.690;134.761;-6.368;-14.753;144.316;-6.963;-23.947;119.618;6.715;-4.505;133.421;21.002;16.243;143.281;-6.546;27.850;118.202;6.223;8.014;133.465;19.460;0.765;108.700;-5.029
588.000;23.520;0.699;134.770;-6.330;-14.734;144.338;-6.920;-23.899;119.741;6.969;-4.474;133.733;21.082;16.248;143.290;-6.468;27.969;118.387;6.558;8.068;133.711;19.603;0.766;108.706;-5.047
589.000;23.560;0.714;134.774;-6.287;-14.713;144.342;-6.879;-23.790;119.745;7.058;-4.470;133.886;21.146;16.266;143.273;-6.382;27.911;118.380;6.725;8.100;133.852;19.735;0.775;108.708;-5.046
590.000;23.600;0.735;134.775;-6.234;-14.678;144.347;-6.811;-23.676;119.635;6.965;-4.618;133.964;21.163;16.292;143.235;-6.295;27.791;118.245;6.752;8.173;133.872;19.866;0.788;108.705;-5.028
591.000;23.640;0.754;134.783;-6.171;-14.657;144.356;-6.730;-23.652;119.437;6.633;-5.113;134.121;21.101;16.316;143.221;-6.213;27.685;118.018;6.512;8.583;133.833;20.126;0.802;108.705;-4.996
592.000;23.680;0.769;134.798;-6.096;-14.638;144.370;-6.659;-23.865;119.211;6.096;-6.033;134.248;21.027;16.333;143.229;-6.141;27.712;117.763;6.033;9.381;133.726;20.503;0.816;108.705;-4.959
593.000;23.720;0.798;134.792;-6.006;-14.609;144.354;-6.589;-24.411;118.952;5.324;-7.244;134.084;20.914;16.371;143.223;-6.067;27.951;117.429;5.327;10.502;133.404;20.857;0.834;108.709;-4.910
594.000;23.760;0.827;134.784;-5.875;-14.585;144.319;-6.492;-25.291;118.675;4.206;-8.702;133.321;20.798;16.406;143.222;-5.968;28.359;117.054;4.282;11.834;132.634;21.145;0.859;108.709;-4.847
595.000;23.800;0.860;134.792;-5.702;-14.574;144.251;-6.371;-26.434;118.422;2.668;-10.348;131.927;20.674;16.442;143.242;-5.859;28.841;116.669;2.851;13.315;131.316;21.328;0.892;108.718;-4.760
596.000;23.840;0.897;134.806;-5.499;-14.572;144.174;-6.232;-27.673;118.299;0.817;-11.954;129.873;20.414;16.488;143.275;-5.719;29.367;116.303;1.122;14.730;129.473;21.329;0.937;108.726;-4.658
597.000;23.880;0.916;134.818;-5.247;-14.598;144.062;-6.038;-28.799;118.282;-1.304;-13.502;127.381;19.849;16.495;143.298;-5.522;29.825;116.038;-0.835;16.042;127.086;21.128;0.983;108.732;-4.536
598.000;23.920;0.916;134.831;-4.978;-14.628;143.959;-5.862;-29.672;118.400;-3.503;-14.795;124.659;18.939;16.478;143.301;-5.247;30.174;115.887;-2.881;17.135;124.388;20.588;1.030;108.740;-4.385
599.000;23.960;0.905;134.841;-4.727;-14.672;143.914;-5.714;-30.134;118.587;-5.615;-15.822;121.894;17.855;16.447;143.266;-4.924;30.402;115.868;-4.878;17.953;121.516;19.720;1.077;108.741;-4.229
600.000;24.000;0.896;134.851;-4.500;-14.711;143.884;-5.581;-30.069;118.690;-7.524;-16.625;119.269;16.686;16.439;143.228;-4.588;30.432;115.927;-6.681;18.396;118.615;18.633;1.105;108.734;-4.067
601.000;24.040;0.889;134.858;-4.308;-14.746;143.855;-5.463;-29.476;118.659;-9.141;-17.111;117.003;15.606;16.446;143.202;-4.295;30.097;115.998;-8.207;18.606;116.071;17.519;1.131;108.729;-3.926
602.000;24.080;0.898;134.872;-4.164;-14.777;143.820;-5.394;-28.488;118.444;-10.402;-17.338;115.201;14.806;16.459;143.210;-4.090;29.439;116.031;-9.388;18.665;113.983;16.581;1.158;108.723;-3.809
603.000;24.120;0.905;134.879;-4.067;-14.810;143.763;-5.360;-27.295;118.080;-11.240;-17.313;113.962;14.363;16.477;143.225;-3.978;28.616;115.965;-10.185;18.595;112.608;15.968;1.159;108.713;-3.727
604.000;24.160;0.921;134.893;-4.023;-14.830;143.726;-5.354;-26.142;117.675;-11.614;-17.010;113.130;14.279;16.512;143.242;-3.931;27.892;115.825;-10.534;18.445;111.835;15.777;1.163;108.710;-3.679
605.000;24.200;0.926;134.901;-4.023;-14.850;143.703;-5.361;-25.267;117.295;-11.547;-16.589;112.673;14.514;16.536;143.254;-3.944;27.417;115.635;-10.433;18.272;111.551;15.996;1.161;108.708;-3.661
606.000;24.240;0.932;134.906;-4.047;-14.856;143.693;-5.362;-24.844;116.992;-11.132;-16.127;112.456;14.965;16.552;143.284;-3.962;27.240;115.475;-10.017;18.112;111.576;16.478;1.155;108.706;-3.671
607.000;24.280;0.952;134.903;-4.088;-14.836;143.688;-5.373;-24.862;116.824;-10.551;-15.763;112.460;15.484;16.581;143.309;-3.989;27.328;115.362;-9.444;17.981;111.767;17.025;1.152;108.708;-3.697
608.000;24.320;0.964;134.896;-4.122;-14.812;143.696;-5.375;-25.161;116.783;-9.974;-15.569;112.598;15.919;16.599;143.329;-4.011;27.571;115.304;-8.872;17.894;112.074;17.543;1.147;108.707;-3.730
609.000;24.360;0.978;134.902;-4.141;-14.791;143.724;-5.356;-25.506;116.838;-9.521;-15.540;112.818;16.265;16.607;143.345;-4.032;27.844;115.279;-8.377;17.818;112.358;17.970;1.161;108.712;-3.761
610.000;24.400;0.988;134.906;-4.164;-14.767;143.757;-5.334;-25.797;116.925;-9.208;-15.613;113.049;16.512;16.624;143.338;-4.061;28.074;115.251;-8.013;17.804;112.543;18.287;1.171;108.712;-3.788
611.000;24.440;0.987;134.899;-4.179;-14.762;143.768;-5.314;-25.999;116.971;-9.013;-15.744;113.209;16.687;16.626;143.312;-4.087;28.254;115.219;-7.767;17.827;112.616;18.490;1.180;108.711;-3.809
612.000;24.480;0.987;134.892;-4.191;-14.752;143.779;-5.309;-26.095;117.005;-8.933;-15.909;113.321;16.805;16.628;143.283;-4.111;28.399;115.189;-7.617;17.812;112.599;18.605;1.187;108.709;-3.828
