Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
1957.000;78.280;0.250;134.985;-4.679;-15.570;143.816;-5.325;-26.056;116.641;-8.814;-17.632;112.044;17.635;15.856;143.315;-4.718;27.527;114.912;-7.982;18.720;111.704;19.000;0.498;108.728;-4.359
1958.000;78.320;0.263;134.991;-4.696;-15.558;143.825;-5.347;-26.070;116.659;-8.846;-17.655;112.085;17.599;15.869;143.321;-4.736;27.548;114.918;-7.991;18.719;111.705;18.984;0.501;108.732;-4.377
1959.000;78.360;0.274;134.997;-4.712;-15.542;143.835;-5.372;-26.073;116.677;-8.871;-17.662;112.139;17.570;15.882;143.322;-4.745;27.557;114.916;-7.990;18.706;111.706;18.976;0.500;108.735;-4.395
1960.000;78.400;0.285;135.001;-4.728;-15.530;143.844;-5.396;-26.069;116.691;-8.887;-17.653;112.203;17.554;15.898;143.320;-4.763;27.560;114.912;-8.001;18.706;111.713;18.968;0.503;108.736;-4.414
1961.000;78.440;0.294;135.002;-4.746;-15.518;143.843;-5.426;-26.052;116.684;-8.921;-17.637;112.250;17.516;15.905;143.325;-4.774;27.575;114.914;-7.998;18.697;111.734;18.963;0.509;108.736;-4.433
1962.000;78.480;0.307;135.003;-4.765;-15.502;143.850;-5.455;-26.045;116.700;-8.953;-17.630;112.314;17.490;15.922;143.318;-4.784;27.578;114.902;-7.991;18.676;111.748;18.966;0.516;108.737;-4.451
1963.000;78.520;0.321;135.001;-4.788;-15.485;143.855;-5.481;-26.023;116.706;-8.979;-17.610;112.369;17.460;15.940;143.304;-4.802;27.576;114.877;-8.000;18.667;111.739;18.954;0.525;108.736;-4.471
1964.000;78.560;0.334;134.995;-4.813;-15.467;143.852;-5.503;-26.001;116.698;-8.994;-17.575;112.391;17.443;15.956;143.291;-4.827;27.576;114.864;-8.039;18.696;111.743;18.919;0.529;108.736;-4.484
1965.000;78.600;0.350;134.986;-4.842;-15.449;143.846;-5.529;-25.972;116.692;-9.033;-17.581;112.398;17.391;15.972;143.274;-4.855;27.569;114.834;-8.082;18.707;111.770;18.891;0.538;108.733;-4.493
1966.000;78.640;0.367;134.972;-4.872;-15.433;143.824;-5.530;-25.899;116.665;-9.117;-17.662;112.454;17.342;15.996;143.238;-4.892;27.534;114.792;-8.134;18.775;111.918;18.870;0.546;108.733;-4.501
1967.000;78.680;0.371;134.956;-4.904;-15.439;143.800;-5.527;-25.785;116.618;-9.089;-17.950;112.820;17.519;16.000;143.210;-4.939;27.443;114.749;-8.115;19.005;112.617;18.984;0.562;108.730;-4.517
1968.000;78.720;0.392;134.949;-4.969;-15.418;143.790;-5.586;-25.752;116.487;-8.543;-18.569;114.195;18.387;16.022;143.208;-4.979;27.399;114.681;-7.761;19.434;114.404;19.478;0.572;108.735;-4.572
1969.000;78.760;0.411;134.934;-5.072;-15.398;143.792;-5.720;-25.897;116.330;-7.319;-19.458;117.040;19.847;16.035;143.257;-5.072;27.439;114.640;-6.748;20.050;117.668;20.422;0.592;108.735;-4.683
1970.000;78.800;0.412;134.933;-5.203;-15.399;143.852;-5.895;-26.160;116.300;-5.469;-20.331;121.336;21.313;16.026;143.362;-5.236;27.563;114.722;-5.076;20.828;122.054;21.372;0.616;108.752;-4.800
1971.000;78.840;0.389;134.938;-5.355;-15.413;143.956;-6.098;-26.494;116.536;-3.197;-20.884;126.471;22.098;15.995;143.489;-5.456;27.777;115.011;-2.947;21.458;126.845;21.859;0.633;108.773;-4.895
1972.000;78.880;0.366;134.939;-5.521;-15.419;144.096;-6.324;-26.936;117.098;-0.803;-20.862;131.485;22.025;15.946;143.600;-5.703;28.012;115.530;-0.756;21.797;131.161;21.819;0.650;108.785;-4.977
1973.000;78.920;0.357;134.938;-5.696;-15.363;144.219;-6.563;-27.400;117.898;1.333;-20.386;135.580;21.289;15.917;143.670;-5.919;28.143;116.131;1.146;21.912;134.601;21.374;0.647;108.783;-5.025
1974.000;78.960;0.365;134.930;-5.840;-15.304;144.306;-6.731;-27.796;118.692;2.934;-19.668;138.491;20.125;15.899;143.700;-6.128;28.245;116.694;2.523;21.853;137.121;20.692;0.645;108.777;-5.048
1975.000;79.000;0.380;134.928;-5.929;-15.242;144.377;-6.828;-28.086;119.283;3.830;-18.768;140.255;18.775;15.906;143.693;-6.312;28.265;117.067;3.289;21.771;138.707;19.866;0.630;108.770;-5.036
1976.000;79.040;0.398;134.920;-5.954;-15.187;144.388;-6.870;-28.254;119.512;4.055;-17.897;140.920;17.466;15.932;143.670;-6.401;28.260;117.122;3.367;21.676;139.398;18.943;0.607;108.762;-4.998
1977.000;79.080;0.413;134.916;-5.934;-15.154;144.365;-6.858;-28.342;119.346;3.586;-17.114;140.638;16.320;15.965;143.622;-6.430;28.247;116.879;2.807;21.539;139.285;18.058;0.584;108.752;-4.945
1978.000;79.120;0.424;134.907;-5.851;-15.148;144.294;-6.760;-28.451;118.913;2.589;-16.294;139.596;15.345;16.000;143.569;-6.369;28.271;116.418;1.671;21.324;138.479;17.242;0.569;108.740;-4.890
1979.000;79.160;0.442;134.911;-5.711;-15.125;144.183;-6.589;-28.634;118.412;1.233;-15.374;137.994;14.574;16.039;143.533;-6.214;28.281;115.877;0.023;21.063;137.080;16.563;0.548;108.730;-4.828
1980.000;79.200;0.473;134.916;-5.541;-15.102;144.062;-6.375;-28.872;117.995;-0.334;-14.567;135.983;14.130;16.080;143.501;-6.011;28.267;115.428;-1.995;20.698;135.157;16.128;0.548;108.727;-4.763
1981.000;79.240;0.502;134.931;-5.372;-15.092;143.967;-6.167;-29.160;117.776;-1.905;-13.998;133.713;14.116;16.102;143.453;-5.803;28.238;115.158;-4.114;20.331;132.782;15.990;0.574;108.728;-4.693
1982.000;79.280;0.533;134.940;-5.210;-15.070;143.903;-5.971;-29.527;117.765;-3.256;-13.716;131.243;14.499;16.133;143.380;-5.592;28.243;115.081;-6.047;19.998;130.127;16.014;0.610;108.731;-4.637
1983.000;79.320;0.561;134.945;-5.081;-15.050;143.874;-5.804;-29.956;117.916;-4.165;-13.875;128.758;15.275;16.156;143.323;-5.409;28.256;115.151;-7.520;19.779;127.528;16.198;0.647;108.730;-4.594
1984.000;79.360;0.597;134.951;-5.025;-15.014;143.885;-5.720;-30.423;118.199;-4.449;-14.507;126.502;16.568;16.191;143.301;-5.328;28.303;115.239;-8.264;19.794;125.222;16.682;0.690;108.739;-4.579
1985.000;79.400;0.618;134.944;-5.061;-14.983;143.912;-5.730;-30.868;118.520;-3.998;-15.715;124.709;18.494;16.213;143.281;-5.372;28.441;115.224;-8.127;20.208;123.463;17.694;0.735;108.744;-4.613
1986.000;79.440;0.633;134.924;-5.205;-14.964;143.937;-5.872;-31.235;118.843;-2.764;-17.607;123.725;21.231;16.222;143.270;-5.534;28.733;115.146;-7.002;21.168;122.403;19.438;0.769;108.747;-4.708
1987.000;79.480;0.633;134.893;-5.448;-14.982;143.955;-6.073;-31.435;119.180;-0.866;-20.164;124.152;24.383;16.224;143.259;-5.718;29.179;115.132;-4.985;22.842;122.409;21.820;0.797;108.748;-4.880
1988.000;79.520;0.606;134.877;-5.706;-15.032;144.048;-6.301;-31.325;119.697;1.449;-23.182;126.534;27.438;16.203;143.298;-5.855;29.523;115.402;-2.403;25.416;123.777;24.373;0.815;108.755;-5.099
1989.000;79.560;0.574;134.881;-5.917;-15.045;144.195;-6.551;-31.127;120.650;3.913;-25.847;130.110;29.882;16.154;143.413;-5.972;29.773;116.105;0.523;28.370;126.412;26.858;0.808;108.779;-5.284
1990.000;79.600;0.559;134.895;-6.074;-15.029;144.338;-6.757;-31.050;121.956;6.122;-27.727;134.050;31.346;16.118;143.521;-6.083;29.994;117.200;3.396;31.094;129.818;28.730;0.793;108.808;-5.411
1991.000;79.640;0.560;134.900;-6.178;-14.993;144.468;-6.907;-31.146;123.345;7.813;-28.719;137.699;31.956;16.088;143.627;-6.157;30.325;118.567;5.877;33.115;133.366;29.871;0.782;108.825;-5.507
1992.000;79.680;0.567;134.907;-6.244;-14.959;144.576;-7.032;-31.338;124.603;8.964;-28.980;140.724;31.949;16.076;143.731;-6.166;30.819;119.928;7.706;34.346;136.544;30.380;0.751;108.830;-5.563
1993.000;79.720;0.589;134.904;-6.298;-14.915;144.626;-7.176;-31.551;125.538;9.580;-28.876;142.865;31.598;16.070;143.797;-6.186;31.351;121.055;8.818;34.886;138.995;30.465;0.727;108.830;-5.570
1994.000;79.760;0.609;134.888;-6.359;-14.884;144.616;-7.324;-31.710;126.052;9.806;-28.668;144.100;31.140;16.066;143.832;-6.257;31.748;121.787;9.345;34.962;140.585;30.293;0.715;108.825;-5.556
1995.000;79.800;0.619;134.864;-6.429;-14.871;144.580;-7.439;-31.827;126.165;9.719;-28.454;144.498;30.720;16.064;143.815;-6.360;31.962;122.072;9.432;34.772;141.312;30.021;0.710;108.815;-5.543
1996.000;79.840;0.619;134.838;-6.507;-14.874;144.542;-7.515;-31.897;125.936;9.391;-28.266;144.212;30.351;16.068;143.759;-6.468;32.018;121.962;9.197;34.443;141.287;29.723;0.715;108.799;-5.549
1997.000;79.880;0.604;134.824;-6.564;-14.903;144.486;-7.558;-31.885;125.432;8.885;-28.074;143.423;30.013;16.060;143.714;-6.542;31.935;121.560;8.683;34.007;140.714;29.372;0.721;108.789;-5.569
1998.000;79.920;0.598;134.831;-6.588;-14.926;144.426;-7.549;-31.877;124.782;8.213;-27.817;142.299;29.613;16.053;143.687;-6.578;31.773;120.996;7.967;33.490;139.780;28.971;0.733;108.783;-5.602
1999.000;79.960;0.583;134.842;-6.563;-14.956;144.377;-7.474;-31.977;124.018;7.301;-27.452;140.881;29.057;16.044;143.657;-6.603;31.634;120.360;7.056;32.923;138.646;28.489;0.743;108.782;-5.633
