Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
3640.000;145.600;1.672;135.290;-7.826;-14.153;143.862;-8.597;-25.156;116.503;-11.822;-16.809;112.082;14.644;17.185;143.781;-7.206;29.384;115.431;-9.715;18.914;113.814;16.694;1.928;109.010;-7.678
3641.000;145.640;1.678;135.286;-7.830;-14.150;143.852;-8.596;-25.148;116.492;-11.824;-16.851;112.088;14.656;17.184;143.777;-7.210;29.372;115.422;-9.722;18.917;113.838;16.687;1.934;109.008;-7.680
3642.000;145.680;1.695;135.277;-7.841;-14.134;143.838;-8.610;-25.120;116.474;-11.847;-16.906;112.114;14.664;17.199;143.767;-7.222;29.363;115.407;-9.766;18.946;113.857;16.658;1.950;109.006;-7.676
3643.000;145.720;1.713;135.265;-7.849;-14.112;143.824;-8.629;-25.071;116.454;-11.883;-16.948;112.134;14.657;17.218;143.749;-7.225;29.360;115.389;-9.813;18.972;113.869;16.613;1.966;109.002;-7.672
3644.000;145.760;1.726;135.255;-7.859;-14.102;143.806;-8.646;-25.015;116.426;-11.922;-16.955;112.138;14.640;17.230;143.739;-7.224;29.378;115.392;-9.852;18.991;113.906;16.568;1.978;109.000;-7.667
3645.000;145.800;1.740;135.248;-7.865;-14.089;143.791;-8.653;-24.969;116.398;-11.949;-16.941;112.143;14.625;17.240;143.728;-7.222;29.402;115.391;-9.896;19.054;114.021;16.519;1.991;109.001;-7.661
3646.000;145.840;1.753;135.236;-7.878;-14.083;143.773;-8.636;-24.953;116.379;-11.960;-16.984;112.194;14.625;17.256;143.709;-7.217;29.430;115.405;-9.859;19.101;114.352;16.533;2.002;109.001;-7.657
3647.000;145.880;1.776;135.223;-7.896;-14.051;143.769;-8.584;-25.105;116.425;-11.785;-17.164;112.482;14.799;17.294;143.667;-7.249;29.555;115.389;-9.612;19.227;115.119;16.710;2.017;109.001;-7.666
3648.000;145.920;1.796;135.190;-7.945;-14.012;143.738;-8.558;-25.668;116.538;-11.208;-17.484;113.328;15.319;17.321;143.638;-7.337;29.892;115.445;-8.950;19.354;116.550;17.171;2.034;109.002;-7.694
3649.000;145.960;1.831;135.161;-8.048;-13.959;143.717;-8.602;-26.764;116.824;-10.072;-17.989;115.013;16.315;17.348;143.664;-7.479;30.434;115.627;-7.766;19.540;118.727;17.952;2.054;109.007;-7.753
3650.000;146.000;1.873;135.142;-8.197;-13.894;143.752;-8.720;-28.139;117.375;-8.344;-18.430;117.785;17.712;17.372;143.720;-7.634;31.192;116.013;-6.006;19.684;121.488;18.946;2.103;109.015;-7.843
3651.000;146.040;1.901;135.129;-8.378;-13.846;143.854;-8.878;-29.438;118.211;-6.127;-18.565;121.284;19.150;17.370;143.777;-7.798;31.989;116.648;-3.835;19.695;124.585;19.936;2.142;109.019;-7.950
3652.000;146.080;1.905;135.119;-8.564;-13.812;143.982;-9.058;-30.429;119.216;-3.617;-18.139;125.295;20.311;17.344;143.815;-7.928;32.664;117.495;-1.506;19.391;127.732;20.751;2.163;109.028;-8.055
3653.000;146.120;1.907;135.100;-8.752;-13.795;144.072;-9.245;-31.044;120.390;-0.914;-17.034;129.194;21.061;17.304;143.869;-8.049;33.093;118.492;0.826;18.731;130.675;21.294;2.172;109.032;-8.148
3654.000;146.160;1.909;135.083;-8.936;-13.753;144.118;-9.423;-31.193;121.620;1.735;-15.491;132.555;21.403;17.280;143.919;-8.173;33.221;119.549;2.970;17.682;133.155;21.577;2.172;109.030;-8.230
3655.000;146.200;1.901;135.071;-9.088;-13.717;144.139;-9.540;-30.884;122.778;4.132;-13.481;135.229;21.298;17.237;143.993;-8.281;33.041;120.526;4.847;16.418;135.164;21.657;2.160;109.030;-8.292
3656.000;146.240;1.881;135.058;-9.213;-13.705;144.144;-9.616;-30.195;123.713;6.136;-11.464;137.162;20.921;17.197;144.032;-8.365;32.608;121.305;6.395;15.103;136.636;21.608;2.134;109.027;-8.336
3657.000;146.280;1.859;135.039;-9.327;-13.705;144.115;-9.652;-29.358;124.383;7.732;-9.511;138.385;20.355;17.162;144.034;-8.433;32.050;121.826;7.568;13.894;137.659;21.436;2.102;109.019;-8.366
3658.000;146.320;1.831;135.024;-9.400;-13.709;144.089;-9.608;-28.468;124.707;8.884;-7.837;139.008;19.740;17.133;144.022;-8.483;31.417;122.108;8.392;12.860;138.325;21.281;2.066;109.013;-8.392
3659.000;146.360;1.813;135.025;-9.417;-13.707;144.070;-9.480;-27.630;124.632;9.589;-6.760;139.371;19.227;17.137;144.010;-8.524;30.750;122.126;8.860;12.225;138.815;21.011;2.030;109.007;-8.423
3660.000;146.400;1.794;135.040;-9.375;-13.739;144.054;-9.287;-26.789;124.126;9.858;-6.356;139.699;18.895;17.150;144.015;-8.529;30.015;121.935;9.044;11.893;139.375;20.422;1.984;109.008;-8.449
3661.000;146.440;1.769;135.070;-9.296;-13.797;144.039;-9.053;-25.826;123.302;9.915;-6.348;140.074;18.420;17.158;144.026;-8.505;29.194;121.621;9.140;11.672;139.999;19.510;1.947;109.018;-8.473
3662.000;146.480;1.736;135.098;-9.207;-13.866;144.003;-8.776;-24.701;122.314;9.950;-6.527;140.452;17.758;17.158;144.022;-8.447;28.322;121.262;9.249;11.533;140.704;18.457;1.913;109.024;-8.508
3663.000;146.520;1.688;135.125;-9.111;-13.944;143.972;-8.463;-23.443;121.360;9.919;-6.683;140.829;17.111;17.142;144.029;-8.395;27.486;120.933;9.270;11.405;141.244;17.677;1.883;109.030;-8.551
3664.000;146.560;1.630;135.161;-9.031;-14.025;143.964;-8.221;-22.080;120.528;9.767;-6.765;141.113;16.914;17.113;144.071;-8.371;26.716;120.678;9.224;11.114;141.449;17.333;1.851;109.035;-8.600
3665.000;146.600;1.572;135.199;-8.966;-14.105;143.976;-8.040;-20.689;119.816;9.486;-6.761;141.117;17.323;17.077;144.119;-8.345;25.882;120.368;9.064;10.658;141.360;17.429;1.824;109.042;-8.659
3666.000;146.640;1.530;135.231;-8.908;-14.176;143.984;-7.900;-19.363;119.224;9.179;-6.502;140.853;18.081;17.056;144.140;-8.268;25.014;119.956;8.872;10.113;141.047;17.759;1.800;109.046;-8.708
3667.000;146.680;1.493;135.250;-8.850;-14.231;144.008;-7.777;-18.247;118.757;8.871;-6.032;140.350;19.017;17.043;144.149;-8.186;24.220;119.585;8.694;9.520;140.589;18.336;1.774;109.044;-8.764
