Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
4020.000;160.800;0.797;134.680;-4.429;-14.897;143.647;-5.208;-26.473;116.607;-7.629;-14.346;110.743;17.085;16.453;143.027;-4.543;28.025;114.738;-7.310;16.518;113.185;18.581;0.929;108.760;-3.751
4021.000;160.840;0.815;134.675;-4.426;-14.871;143.649;-5.211;-26.456;116.617;-7.637;-14.347;110.787;17.093;16.476;143.012;-4.538;28.039;114.722;-7.320;16.559;113.213;18.586;0.933;108.758;-3.728
4022.000;160.880;0.828;134.669;-4.416;-14.858;143.642;-5.204;-26.443;116.615;-7.647;-14.360;110.842;17.091;16.488;143.008;-4.525;28.052;114.713;-7.297;16.574;113.243;18.611;0.940;108.757;-3.710
4023.000;160.920;0.833;134.665;-4.417;-14.850;143.643;-5.206;-26.438;116.615;-7.650;-14.366;110.902;17.102;16.493;143.006;-4.527;28.056;114.709;-7.281;16.601;113.246;18.636;0.942;108.757;-3.702
4024.000;160.960;0.838;134.662;-4.420;-14.844;143.642;-5.215;-26.419;116.602;-7.627;-14.351;110.939;17.141;16.500;142.998;-4.535;28.056;114.698;-7.279;16.642;113.225;18.657;0.942;108.755;-3.696
4025.000;161.000;0.842;134.656;-4.427;-14.837;143.642;-5.219;-26.411;116.598;-7.605;-14.351;110.967;17.177;16.507;142.987;-4.545;28.050;114.678;-7.286;16.675;113.177;18.673;0.943;108.755;-3.696
4026.000;161.040;0.838;134.653;-4.439;-14.843;143.635;-5.232;-26.416;116.588;-7.610;-14.366;111.030;17.198;16.503;142.989;-4.555;28.047;114.680;-7.272;16.673;113.108;18.691;0.938;108.752;-3.700
4027.000;161.080;0.838;134.651;-4.449;-14.842;143.635;-5.240;-26.425;116.591;-7.601;-14.335;111.118;17.207;16.504;142.986;-4.565;28.040;114.671;-7.286;16.686;113.020;18.691;0.931;108.753;-3.706
4028.000;161.120;0.831;134.649;-4.481;-14.845;143.657;-5.250;-26.401;116.603;-7.521;-14.276;111.307;17.328;16.500;142.978;-4.593;28.045;114.673;-7.339;16.715;112.879;18.670;0.917;108.752;-3.715
4029.000;161.160;0.820;134.656;-4.541;-14.858;143.703;-5.285;-26.339;116.596;-7.179;-14.158;111.863;17.749;16.494;142.988;-4.624;28.054;114.688;-7.383;16.746;112.621;18.664;0.910;108.753;-3.741
4030.000;161.200;0.832;134.660;-4.634;-14.840;143.731;-5.369;-26.290;116.486;-6.220;-13.936;113.272;18.848;16.505;143.011;-4.667;28.086;114.722;-7.398;16.798;112.068;18.702;0.895;108.753;-3.807
4031.000;161.240;0.875;134.654;-4.770;-14.792;143.760;-5.504;-26.154;116.342;-4.403;-13.690;116.226;20.707;16.540;143.036;-4.744;28.122;114.739;-7.315;16.869;110.983;18.801;0.882;108.757;-3.928
4032.000;161.280;0.918;134.647;-4.928;-14.738;143.845;-5.652;-25.878;116.422;-1.708;-13.219;121.105;22.710;16.582;143.032;-4.850;28.165;114.704;-7.153;16.964;109.354;18.837;0.882;108.755;-4.079
4033.000;161.320;0.956;134.646;-5.077;-14.654;144.031;-5.782;-25.422;117.022;1.730;-12.628;127.456;24.042;16.647;142.977;-4.967;28.218;114.602;-6.994;17.067;107.361;18.685;0.881;108.778;-4.232
4034.000;161.360;0.991;134.659;-5.210;-14.529;144.272;-5.876;-24.722;118.374;5.611;-11.937;134.232;24.254;16.714;142.921;-5.109;28.189;114.468;-6.847;17.273;105.025;18.370;0.892;108.784;-4.370
4035.000;161.400;0.998;134.690;-5.300;-14.432;144.541;-5.856;-23.708;120.399;9.485;-11.224;140.504;23.382;16.766;142.863;-5.250;28.025;114.293;-6.731;17.618;102.546;17.847;0.908;108.795;-4.477
4036.000;161.440;0.982;134.728;-5.337;-14.344;144.830;-5.720;-22.564;122.785;12.866;-10.424;145.564;21.822;16.799;142.797;-5.385;27.801;114.123;-6.693;18.083;100.051;17.033;0.926;108.803;-4.559
4037.000;161.480;0.946;134.784;-5.315;-14.252;145.138;-5.461;-21.468;125.046;15.417;-9.575;149.094;20.173;16.813;142.743;-5.524;27.551;113.964;-6.771;18.638;97.732;15.936;0.933;108.811;-4.597
4038.000;161.520;0.924;134.843;-5.265;-14.161;145.413;-5.157;-20.577;126.739;17.046;-8.732;151.132;18.952;16.846;142.685;-5.699;27.349;113.822;-6.995;19.251;95.726;14.657;0.950;108.820;-4.587
4039.000;161.560;0.936;134.904;-5.205;-14.072;145.601;-4.900;-19.878;127.719;17.934;-8.017;152.124;18.268;16.888;142.637;-5.907;27.177;113.697;-7.313;19.957;93.954;13.240;0.960;108.824;-4.565
4040.000;161.600;0.974;134.949;-5.161;-13.994;145.700;-4.707;-19.342;128.150;18.403;-7.462;152.515;17.894;16.933;142.616;-6.079;27.080;113.638;-7.696;20.725;92.459;11.748;0.965;108.822;-4.523
4041.000;161.640;1.030;134.969;-5.133;-13.915;145.734;-4.562;-18.924;128.298;18.649;-7.124;152.668;17.692;16.989;142.616;-6.212;27.077;113.634;-8.103;21.566;91.254;10.227;0.979;108.820;-4.475
4042.000;161.680;1.087;134.983;-5.107;-13.854;145.748;-4.479;-18.641;128.325;18.756;-6.944;152.742;17.648;17.041;142.633;-6.305;27.188;113.692;-8.411;22.439;90.225;8.765;1.006;108.819;-4.425
4043.000;161.720;1.141;134.988;-5.100;-13.805;145.743;-4.469;-18.512;128.341;18.783;-6.816;152.769;17.698;17.082;142.650;-6.365;27.356;113.750;-8.604;23.334;89.355;7.420;1.051;108.820;-4.371
4044.000;161.760;1.194;134.991;-5.093;-13.752;145.736;-4.481;-18.471;128.350;18.770;-6.722;152.754;17.722;17.131;142.658;-6.393;27.505;113.791;-8.725;24.221;88.634;6.208;1.107;108.820;-4.333
4045.000;161.800;1.249;134.990;-5.080;-13.704;145.733;-4.505;-18.478;128.324;18.713;-6.755;152.747;17.741;17.182;142.669;-6.373;27.640;113.833;-8.740;25.030;88.042;5.193;1.165;108.817;-4.306
4046.000;161.840;1.297;134.993;-5.060;-13.672;145.717;-4.542;-18.502;128.267;18.631;-6.871;152.739;17.792;17.225;142.684;-6.313;27.759;113.878;-8.676;25.765;87.607;4.382;1.225;108.816;-4.285
4047.000;161.880;1.345;134.993;-5.033;-13.643;145.687;-4.579;-18.546;128.203;18.545;-7.008;152.717;17.767;17.269;142.709;-6.216;27.894;113.939;-8.571;26.372;87.322;3.822;1.282;108.817;-4.266
4048.000;161.920;1.386;134.988;-5.001;-13.618;145.657;-4.611;-18.631;128.142;18.463;-7.102;152.662;17.731;17.305;142.740;-6.109;28.029;114.012;-8.465;26.865;87.191;3.490;1.330;108.816;-4.244
4049.000;161.960;1.423;134.988;-4.971;-13.601;145.630;-4.649;-18.721;128.107;18.394;-7.184;152.622;17.704;17.334;142.768;-6.012;28.163;114.090;-8.372;27.241;87.193;3.391;1.374;108.817;-4.225
4050.000;162.000;1.453;134.984;-4.952;-13.586;145.613;-4.686;-18.792;128.109;18.349;-7.275;152.637;17.706;17.355;142.789;-5.935;28.291;114.154;-8.276;27.455;87.268;3.534;1.412;108.814;-4.207
4051.000;162.040;1.474;134.978;-4.940;-13.574;145.594;-4.712;-18.821;128.119;18.334;-7.370;152.676;17.735;17.368;142.806;-5.890;28.390;114.193;-8.155;27.545;87.389;3.867;1.443;108.813;-4.188
4052.000;162.080;1.480;134.966;-4.932;-13.576;145.568;-4.723;-18.838;128.097;18.324;-7.475;152.701;17.767;17.371;142.813;-5.870;28.429;114.195;-8.006;27.521;87.525;4.313;1.465;108.807;-4.169
4053.000;162.120;1.484;134.950;-4.929;-13.578;145.533;-4.735;-18.832;128.074;18.312;-7.533;152.701;17.783;17.370;142.813;-5.859;28.403;114.172;-7.826;27.389;87.655;4.851;1.481;108.807;-4.148
4054.000;162.160;1.483;134.934;-4.922;-13.585;145.509;-4.735;-18.846;128.030;18.300;-7.562;152.662;17.762;17.368;142.808;-5.846;28.327;114.126;-7.640;27.147;87.769;5.382;1.490;108.802;-4.129
4055.000;162.200;1.473;134.918;-4.913;-13.606;145.483;-4.723;-18.858;127.975;18.294;-7.575;152.597;17.733;17.356;142.809;-5.825;28.233;114.087;-7.446;26.851;87.890;5.896;1.488;108.799;-4.108
4056.000;162.240;1.463;134.907;-4.911;-13.612;145.473;-4.730;-18.845;127.952;18.283;-7.537;152.565;17.727;17.351;142.795;-5.804;28.127;114.020;-7.265;26.484;87.969;6.350;1.481;108.795;-4.087
4057.000;162.280;1.451;134.899;-4.910;-13.622;145.463;-4.744;-18.822;127.981;18.293;-7.522;152.598;17.727;17.340;142.781;-5.804;28.012;113.959;-7.126;26.139;88.035;6.703;1.469;108.793;-4.067
4058.000;162.320;1.433;134.893;-4.908;-13.635;145.466;-4.759;-18.831;128.037;18.311;-7.544;152.665;17.713;17.330;142.765;-5.782;27.896;113.909;-7.011;25.806;88.074;6.963;1.450;108.792;-4.051
4059.000;162.360;1.412;134.885;-4.902;-13.650;145.471;-4.775;-18.866;128.092;18.326;-7.593;152.720;17.707;17.313;142.752;-5.770;27.798;113.864;-6.942;25.522;88.076;7.101;1.425;108.791;-4.034
4060.000;162.400;1.384;134.874;-4.898;-13.676;145.461;-4.785;-18.941;128.118;18.331;-7.638;152.737;17.680;17.284;142.737;-5.755;27.714;113.827;-6.894;25.321;88.041;7.116;1.396;108.790;-4.017
4061.000;162.440;1.356;134.862;-4.891;-13.700;145.454;-4.790;-19.038;128.124;18.318;-7.678;152.716;17.646;17.264;142.720;-5.729;27.644;113.792;-6.884;25.182;87.961;7.022;1.363;108.785;-4.001
4062.000;162.480;1.322;134.854;-4.884;-13.735;145.443;-4.789;-19.088;128.110;18.310;-7.723;152.693;17.635;17.229;142.706;-5.708;27.590;113.780;-6.913;25.142;87.863;6.832;1.327;108.780;-3.985
4063.000;162.520;1.284;134.848;-4.879;-13.771;145.430;-4.800;-19.114;128.134;18.322;-7.780;152.733;17.650;17.192;142.697;-5.690;27.569;113.783;-6.961;25.163;87.774;6.615;1.290;108.780;-3.973
