Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
3393.000;135.720;0.536;135.012;-6.058;-15.238;143.788;-6.599;-26.337;116.592;-9.315;-15.309;113.147;16.299;16.135;143.262;-5.855;28.694;115.080;-8.435;16.410;112.951;17.178;0.707;108.692;-5.352
3394.000;135.760;0.527;135.016;-6.053;-15.251;143.786;-6.598;-26.353;116.587;-9.305;-15.318;113.148;16.306;16.121;143.276;-5.862;28.684;115.095;-8.428;16.407;112.977;17.187;0.698;108.692;-5.353
3395.000;135.800;0.518;135.023;-6.048;-15.261;143.793;-6.599;-26.377;116.598;-9.301;-15.338;113.151;16.309;16.113;143.278;-5.852;28.665;115.094;-8.407;16.377;112.975;17.207;0.688;108.692;-5.350
3396.000;135.840;0.511;135.028;-6.049;-15.264;143.805;-6.606;-26.397;116.617;-9.289;-15.351;113.184;16.321;16.112;143.283;-5.859;28.665;115.098;-8.399;16.386;112.982;17.217;0.681;108.694;-5.355
3397.000;135.880;0.500;135.035;-6.045;-15.275;143.810;-6.609;-26.400;116.613;-9.284;-15.346;113.209;16.326;16.099;143.297;-5.850;28.647;115.109;-8.393;16.371;112.983;17.237;0.669;108.695;-5.362
3398.000;135.920;0.490;135.045;-6.054;-15.291;143.814;-6.621;-26.420;116.615;-9.287;-15.373;113.277;16.330;16.094;143.313;-5.838;28.611;115.127;-8.403;16.398;112.957;17.267;0.658;108.695;-5.368
3399.000;135.960;0.478;135.053;-6.055;-15.320;143.807;-6.616;-26.412;116.597;-9.280;-15.514;113.611;16.404;16.086;143.347;-5.798;28.555;115.197;-8.508;16.550;112.797;17.299;0.643;108.693;-5.378
3400.000;136.000;0.461;135.077;-6.061;-15.357;143.811;-6.627;-26.382;116.550;-9.046;-16.119;114.736;16.917;16.066;143.460;-5.725;28.451;115.396;-8.719;16.878;112.201;17.308;0.630;108.694;-5.400
3401.000;136.040;0.467;135.102;-6.053;-15.395;143.761;-6.706;-26.673;116.426;-8.011;-16.641;117.635;17.924;16.031;143.611;-5.655;28.310;115.633;-8.936;17.342;110.667;17.249;0.634;108.712;-5.453
3402.000;136.080;0.455;135.087;-6.076;-15.425;143.748;-6.853;-27.156;116.371;-5.775;-16.664;122.535;19.073;15.982;143.669;-5.645;28.270;115.752;-8.952;17.792;108.071;16.977;0.670;108.725;-5.511
3403.000;136.120;0.421;135.066;-6.141;-15.460;143.822;-6.951;-27.507;116.641;-2.470;-16.673;128.253;19.938;15.927;143.656;-5.759;28.391;115.714;-8.588;18.064;104.509;16.363;0.703;108.735;-5.558
3404.000;136.160;0.376;135.033;-6.226;-15.485;143.930;-6.959;-27.616;117.410;1.311;-16.719;133.811;20.183;15.883;143.595;-5.959;28.541;115.534;-7.924;18.238;100.700;15.278;0.720;108.745;-5.603
3405.000;136.200;0.333;135.002;-6.317;-15.498;144.027;-6.848;-27.435;118.650;5.013;-16.774;138.684;19.846;15.847;143.536;-6.228;28.504;115.326;-7.214;18.530;97.229;13.753;0.706;108.735;-5.661
3406.000;136.240;0.309;134.992;-6.385;-15.505;144.119;-6.600;-27.066;120.190;8.343;-16.896;142.759;19.023;15.842;143.522;-6.535;28.249;115.118;-6.795;18.966;94.358;11.948;0.655;108.731;-5.693
3407.000;136.280;0.292;134.983;-6.410;-15.504;144.228;-6.231;-26.585;121.976;11.483;-17.388;146.341;17.838;15.845;143.525;-6.874;27.796;114.918;-6.778;19.473;92.125;9.970;0.583;108.730;-5.706
3408.000;136.320;0.260;134.982;-6.367;-15.503;144.385;-5.722;-26.012;124.268;14.696;-18.291;149.746;16.317;15.832;143.496;-7.246;27.275;114.694;-7.232;19.987;90.536;7.938;0.527;108.739;-5.695
3409.000;136.360;0.174;134.994;-6.268;-15.450;144.703;-5.136;-25.247;127.240;17.884;-19.360;153.007;14.873;15.784;143.405;-7.668;26.859;114.474;-8.224;20.709;89.789;6.548;0.479;108.759;-5.663
3410.000;136.400;0.051;135.044;-6.150;-15.314;145.185;-4.502;-24.199;130.752;20.740;-20.351;156.258;14.132;15.701;143.289;-8.154;26.701;114.359;-9.266;21.413;89.873;6.209;0.425;108.796;-5.653
3411.000;136.440;-0.086;135.139;-6.041;-15.080;145.717;-3.838;-22.800;134.359;23.012;-20.984;159.611;14.459;15.588;143.183;-8.631;26.779;114.298;-10.007;21.704;89.985;5.799;0.377;108.819;-5.652
3412.000;136.480;-0.173;135.235;-5.966;-14.825;146.182;-3.399;-21.215;137.531;24.527;-20.651;162.967;15.803;15.501;143.078;-8.985;26.759;114.189;-10.522;21.735;89.834;5.259;0.332;108.833;-5.650
3413.000;136.520;-0.223;135.299;-5.942;-14.592;146.517;-3.232;-19.685;139.900;25.264;-18.899;166.080;17.995;15.445;142.992;-9.206;26.518;114.052;-10.855;21.737;89.645;4.941;0.279;108.839;-5.647
3414.000;136.560;-0.273;135.310;-5.973;-14.450;146.697;-3.280;-18.558;141.319;25.399;-15.469;168.243;20.693;15.399;142.945;-9.318;26.227;113.973;-10.979;21.771;89.612;4.960;0.229;108.844;-5.627
3415.000;136.600;-0.341;135.280;-6.039;-14.465;146.681;-3.423;-18.187;141.872;25.242;-10.709;168.728;23.223;15.323;142.953;-9.311;26.107;113.990;-10.863;21.710;89.597;5.033;0.211;108.837;-5.616
3416.000;136.640;-0.419;135.239;-6.092;-14.568;146.559;-3.631;-18.483;141.828;24.975;-5.638;167.083;25.116;15.240;142.997;-9.175;26.142;114.073;-10.594;21.638;89.610;5.168;0.218;108.823;-5.612
3417.000;136.680;-0.466;135.188;-6.142;-14.673;146.371;-3.859;-19.213;141.197;24.630;-1.481;163.407;26.004;15.198;143.070;-8.932;26.224;114.189;-10.253;21.596;89.655;5.359;0.247;108.812;-5.598
3418.000;136.720;-0.461;135.139;-6.137;-14.799;146.080;-3.982;-20.400;139.918;24.258;1.006;158.557;25.740;15.190;143.156;-8.627;26.283;114.306;-9.853;21.590;89.670;5.579;0.299;108.801;-5.569
3419.000;136.760;-0.412;135.089;-6.083;-14.956;145.720;-4.046;-21.993;138.024;23.728;1.419;153.749;24.627;15.220;143.243;-8.283;26.349;114.416;-9.472;21.587;89.653;5.748;0.373;108.793;-5.527
3420.000;136.800;-0.322;135.053;-5.961;-15.125;145.390;-4.055;-23.970;135.648;22.830;-0.088;149.970;22.996;15.273;143.321;-7.926;26.452;114.518;-9.160;21.603;89.626;5.835;0.436;108.797;-5.460
3421.000;136.840;-0.210;135.027;-5.791;-15.258;145.092;-3.989;-26.129;132.997;21.440;-3.178;147.956;21.464;15.360;143.355;-7.607;26.612;114.578;-8.963;21.686;89.591;5.876;0.479;108.803;-5.358
