Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
3557.000;142.280;2.120;135.150;-8.227;-13.679;143.777;-8.952;-24.424;116.206;-11.796;-15.663;114.008;14.811;17.650;143.466;-7.614;29.584;115.029;-10.482;19.497;112.487;16.137;2.264;108.944;-7.641
3558.000;142.320;2.121;135.147;-8.221;-13.676;143.779;-8.950;-24.420;116.207;-11.794;-15.668;114.016;14.813;17.652;143.456;-7.608;29.576;115.018;-10.478;19.515;112.474;16.149;2.264;108.941;-7.634
3559.000;142.360;2.123;135.144;-8.218;-13.670;143.786;-8.941;-24.431;116.218;-11.785;-15.680;114.019;14.816;17.659;143.444;-7.605;29.562;115.001;-10.499;19.537;112.462;16.148;2.265;108.941;-7.631
3560.000;142.400;2.125;135.141;-8.215;-13.670;143.784;-8.935;-24.440;116.220;-11.777;-15.693;114.026;14.828;17.659;143.443;-7.605;29.556;115.001;-10.513;19.561;112.451;16.142;2.266;108.941;-7.627
3561.000;142.440;2.129;135.138;-8.209;-13.662;143.786;-8.927;-24.439;116.229;-11.772;-15.709;114.035;14.837;17.667;143.436;-7.602;29.557;114.995;-10.526;19.574;112.431;16.134;2.270;108.941;-7.621
3562.000;142.480;2.131;135.137;-8.204;-13.658;143.787;-8.912;-24.441;116.229;-11.763;-15.705;114.029;14.849;17.670;143.432;-7.599;29.555;114.986;-10.539;19.587;112.402;16.124;2.271;108.941;-7.616
3563.000;142.520;2.132;135.137;-8.200;-13.659;143.784;-8.903;-24.439;116.231;-11.763;-15.706;114.023;14.851;17.671;143.433;-7.596;29.559;114.991;-10.547;19.595;112.390;16.116;2.270;108.940;-7.613
3564.000;142.560;2.136;135.134;-8.194;-13.654;143.788;-8.893;-24.434;116.233;-11.754;-15.691;114.034;14.856;17.678;143.427;-7.596;29.557;114.986;-10.551;19.617;112.351;16.114;2.273;108.942;-7.610
3565.000;142.600;2.139;135.133;-8.188;-13.654;143.783;-8.875;-24.420;116.226;-11.739;-15.690;114.051;14.876;17.680;143.432;-7.602;29.558;114.990;-10.559;19.650;112.302;16.121;2.274;108.941;-7.607
3566.000;142.640;2.132;135.135;-8.182;-13.661;143.787;-8.842;-24.417;116.236;-11.692;-15.745;114.163;14.953;17.674;143.452;-7.594;29.560;115.036;-10.592;19.697;112.221;16.112;2.266;108.938;-7.603
3567.000;142.680;2.137;135.145;-8.173;-13.664;143.791;-8.781;-24.508;116.312;-11.381;-15.687;114.898;15.204;17.670;143.501;-7.590;29.569;115.131;-10.674;19.709;112.093;16.061;2.272;108.945;-7.618
3568.000;142.720;2.161;135.156;-8.196;-13.637;143.811;-8.790;-24.760;116.387;-10.334;-15.698;116.986;16.050;17.692;143.577;-7.593;29.641;115.303;-10.750;19.617;111.748;15.958;2.289;108.952;-7.669
3569.000;142.760;2.224;135.173;-8.246;-13.577;143.897;-8.885;-25.208;116.544;-8.133;-15.750;121.016;17.584;17.735;143.672;-7.568;29.820;115.527;-10.738;19.380;110.689;15.729;2.326;108.959;-7.756
3570.000;142.800;2.265;135.202;-8.296;-13.522;144.090;-8.982;-25.660;117.105;-4.715;-15.585;126.687;19.243;17.769;143.749;-7.562;30.115;115.720;-10.551;19.158;108.657;15.333;2.367;108.978;-7.876
3571.000;142.840;2.277;135.227;-8.340;-13.452;144.327;-9.018;-25.834;118.340;-0.380;-15.197;133.129;20.448;17.787;143.781;-7.623;30.367;115.774;-10.195;19.139;105.639;14.712;2.400;109.013;-7.986
3572.000;142.880;2.269;135.246;-8.386;-13.375;144.582;-8.974;-25.602;120.483;4.283;-14.601;139.201;21.397;17.808;143.741;-7.736;30.386;115.617;-9.709;19.434;101.968;13.776;2.426;109.040;-8.084
3573.000;142.920;2.241;135.254;-8.407;-13.308;144.897;-8.822;-25.022;123.394;8.615;-13.625;144.502;22.358;17.849;143.615;-7.884;30.199;115.276;-9.167;19.825;98.300;12.382;2.445;109.064;-8.184
3574.000;142.960;2.187;135.285;-8.367;-13.206;145.259;-8.563;-24.072;126.637;12.186;-12.027;148.902;23.473;17.888;143.468;-8.052;29.929;114.889;-8.729;20.056;95.209;10.669;2.460;109.088;-8.256
