Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
2438.000;97.520;0.609;135.029;-6.512;-15.268;143.692;-7.113;-26.160;116.484;-10.069;-16.602;112.507;16.126;16.144;143.415;-6.510;27.981;115.024;-9.224;17.696;111.671;17.225;0.857;109.031;-6.074
2439.000;97.560;0.620;135.021;-6.520;-15.254;143.684;-7.120;-26.144;116.474;-10.070;-16.576;112.535;16.132;16.158;143.401;-6.525;27.980;115.007;-9.239;17.693;111.654;17.213;0.866;109.028;-6.066
2440.000;97.600;0.628;135.014;-6.528;-15.247;143.678;-7.120;-26.132;116.467;-10.051;-16.555;112.554;16.154;16.167;143.395;-6.543;27.995;115.003;-9.271;17.731;111.639;17.188;0.870;109.028;-6.063
2441.000;97.640;0.633;135.009;-6.537;-15.243;143.674;-7.130;-26.130;116.456;-10.024;-16.541;112.586;16.179;16.171;143.388;-6.560;27.989;114.992;-9.288;17.758;111.630;17.191;0.870;109.026;-6.062
2442.000;97.680;0.640;135.002;-6.553;-15.231;143.674;-7.143;-26.130;116.447;-9.991;-16.511;112.627;16.211;16.179;143.378;-6.583;27.987;114.980;-9.313;17.819;111.622;17.193;0.873;109.023;-6.065
2443.000;97.720;0.645;134.996;-6.574;-15.226;143.677;-7.166;-26.125;116.447;-9.948;-16.461;112.703;16.250;16.187;143.369;-6.606;27.988;114.963;-9.314;17.849;111.585;17.206;0.863;109.023;-6.066
2444.000;97.760;0.637;134.991;-6.605;-15.227;143.684;-7.187;-26.110;116.423;-9.841;-16.340;112.833;16.336;16.181;143.356;-6.644;28.012;114.958;-9.325;17.900;111.518;17.211;0.842;109.024;-6.072
2445.000;97.800;0.627;134.983;-6.635;-15.229;143.685;-7.206;-26.065;116.374;-9.670;-16.189;113.002;16.485;16.178;143.338;-6.691;28.048;114.943;-9.354;17.927;111.411;17.179;0.821;109.021;-6.080
2446.000;97.840;0.618;134.973;-6.667;-15.231;143.682;-7.217;-26.018;116.318;-9.466;-16.077;113.213;16.686;16.170;143.309;-6.745;28.091;114.921;-9.389;17.909;111.292;17.123;0.794;109.014;-6.086
2447.000;97.880;0.603;134.967;-6.692;-15.244;143.682;-7.205;-26.003;116.271;-9.229;-15.990;113.477;16.918;16.155;143.295;-6.812;28.140;114.920;-9.448;17.869;111.188;17.032;0.762;109.015;-6.088
2448.000;97.920;0.581;134.959;-6.716;-15.260;143.696;-7.169;-26.008;116.249;-8.959;-15.973;113.804;17.197;16.136;143.281;-6.885;28.178;114.922;-9.547;17.798;111.104;16.906;0.731;109.013;-6.088
2449.000;97.960;0.564;134.957;-6.749;-15.268;143.713;-7.128;-26.032;116.225;-8.562;-16.071;114.281;17.635;16.128;143.265;-6.969;28.229;114.928;-9.650;17.681;111.033;16.755;0.703;109.007;-6.093
2450.000;98.000;0.542;134.958;-6.795;-15.296;143.710;-7.068;-26.034;116.117;-7.900;-16.534;115.029;18.471;16.101;143.277;-7.043;28.305;114.979;-9.754;17.456;110.950;16.574;0.680;109.006;-6.125
2451.000;98.040;0.509;134.953;-6.855;-15.346;143.682;-7.026;-25.951;115.926;-6.909;-17.402;116.072;19.778;16.051;143.319;-7.150;28.421;115.088;-9.846;17.073;110.784;16.326;0.663;109.002;-6.176
2452.000;98.080;0.437;134.946;-6.914;-15.452;143.648;-6.989;-25.770;115.725;-5.674;-18.573;117.297;21.382;15.937;143.368;-7.290;28.587;115.245;-9.957;16.622;110.575;15.966;0.661;109.009;-6.227
2453.000;98.120;0.323;134.935;-6.972;-15.600;143.630;-6.919;-25.530;115.574;-4.339;-19.993;118.547;23.022;15.783;143.411;-7.477;28.755;115.408;-10.114;16.127;110.266;15.469;0.669;109.021;-6.271
2454.000;98.160;0.185;134.934;-7.027;-15.777;143.625;-6.781;-25.204;115.461;-3.083;-21.702;119.512;24.481;15.604;143.443;-7.719;28.878;115.543;-10.372;15.699;109.921;14.855;0.671;109.030;-6.313
2455.000;98.200;0.048;134.929;-7.067;-15.945;143.611;-6.564;-24.819;115.353;-1.990;-23.625;120.141;25.639;15.427;143.460;-7.992;28.913;115.643;-10.772;15.358;109.630;14.170;0.668;109.038;-6.348
2456.000;98.240;-0.071;134.926;-7.096;-16.082;143.602;-6.314;-24.349;115.267;-1.087;-25.553;120.616;26.411;15.279;143.466;-8.303;28.848;115.695;-11.301;15.047;109.420;13.440;0.650;109.043;-6.354
2457.000;98.280;-0.147;134.924;-7.102;-16.149;143.605;-6.016;-23.717;115.196;-0.296;-27.495;121.129;26.799;15.174;143.455;-8.634;28.694;115.679;-11.911;14.735;109.245;12.701;0.609;109.057;-6.338
