Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
1576.000;63.040;0.426;135.087;-5.922;-15.338;144.022;-6.760;-26.444;117.119;-9.888;-17.782;110.252;16.041;16.043;143.448;-6.340;27.308;114.926;-9.126;17.085;111.777;17.230;0.708;108.759;-5.459
1577.000;63.080;0.411;135.083;-5.929;-15.347;144.030;-6.777;-26.505;117.149;-9.921;-17.895;110.312;16.033;16.031;143.435;-6.340;27.311;114.921;-9.155;17.107;111.767;17.208;0.681;108.758;-5.455
1578.000;63.120;0.392;135.081;-5.934;-15.364;144.036;-6.788;-26.552;117.178;-9.992;-18.024;110.376;15.991;16.014;143.423;-6.349;27.300;114.923;-9.249;17.167;111.716;17.128;0.647;108.754;-5.451
1579.000;63.160;0.372;135.080;-5.939;-15.386;144.038;-6.797;-26.557;117.187;-10.067;-18.091;110.408;15.945;15.990;143.413;-6.365;27.275;114.923;-9.359;17.212;111.663;17.033;0.620;108.752;-5.452
1580.000;63.200;0.343;135.078;-5.942;-15.414;144.031;-6.791;-26.535;117.180;-10.117;-18.124;110.413;15.908;15.963;143.405;-6.375;27.247;114.932;-9.491;17.270;111.590;16.930;0.591;108.749;-5.454
1581.000;63.240;0.309;135.074;-5.946;-15.454;144.014;-6.770;-26.521;117.149;-10.145;-18.111;110.395;15.880;15.920;143.407;-6.384;27.233;114.956;-9.591;17.307;111.535;16.837;0.561;108.749;-5.458
1582.000;63.280;0.275;135.067;-5.955;-15.495;143.997;-6.763;-26.510;117.118;-10.151;-18.058;110.393;15.867;15.879;143.405;-6.407;27.229;114.973;-9.657;17.336;111.538;16.777;0.541;108.746;-5.468
1583.000;63.320;0.237;135.061;-5.967;-15.538;143.979;-6.742;-26.509;117.083;-10.139;-18.013;110.393;15.873;15.834;143.410;-6.439;27.222;114.989;-9.712;17.372;111.571;16.744;0.523;108.746;-5.475
1584.000;63.360;0.212;135.052;-5.976;-15.570;143.962;-6.724;-26.503;117.051;-10.106;-17.972;110.427;15.914;15.799;143.406;-6.480;27.187;114.983;-9.754;17.408;111.639;16.742;0.514;108.748;-5.482
1585.000;63.400;0.182;135.045;-5.988;-15.607;143.940;-6.706;-26.493;117.009;-10.059;-17.951;110.507;15.987;15.765;143.404;-6.518;27.142;114.975;-9.797;17.474;111.749;16.756;0.505;108.747;-5.484
1586.000;63.440;0.160;135.031;-6.011;-15.628;143.924;-6.715;-26.471;116.969;-10.011;-18.004;110.709;16.126;15.745;143.384;-6.563;27.093;114.946;-9.819;17.516;111.943;16.802;0.494;108.749;-5.484
1587.000;63.480;0.143;135.017;-6.038;-15.649;143.905;-6.725;-26.462;116.924;-9.957;-18.074;111.126;16.341;15.725;143.370;-6.618;27.040;114.926;-9.824;17.609;112.309;16.906;0.485;108.749;-5.475
1588.000;63.520;0.126;134.998;-6.086;-15.676;143.893;-6.740;-26.459;116.891;-9.835;-18.016;111.908;16.641;15.708;143.368;-6.685;27.028;114.938;-9.729;17.673;112.963;17.128;0.474;108.745;-5.473
1589.000;63.560;0.108;134.990;-6.161;-15.696;143.918;-6.747;-26.452;116.860;-9.477;-17.770;113.325;17.187;15.696;143.366;-6.737;27.171;114.947;-9.388;17.564;114.319;17.582;0.461;108.743;-5.490
1590.000;63.600;0.092;134.995;-6.258;-15.704;143.968;-6.747;-26.471;116.755;-8.655;-17.195;115.767;18.049;15.696;143.397;-6.759;27.458;114.952;-8.587;17.212;116.429;18.275;0.441;108.740;-5.556
1591.000;63.640;0.082;135.004;-6.380;-15.704;144.033;-6.784;-26.357;116.569;-7.171;-16.328;119.138;19.093;15.698;143.454;-6.816;27.606;114.884;-7.190;16.817;119.200;19.129;0.410;108.740;-5.661
1592.000;63.680;0.088;135.008;-6.520;-15.682;144.109;-6.849;-25.941;116.361;-4.971;-15.135;123.046;20.144;15.735;143.490;-6.898;27.352;114.739;-5.261;16.105;122.618;19.956;0.394;108.754;-5.796
1593.000;63.720;0.099;134.976;-6.671;-15.669;144.149;-6.917;-25.289;116.292;-2.210;-13.585;127.086;20.854;15.778;143.452;-6.993;26.880;114.696;-2.914;15.170;126.365;20.486;0.381;108.762;-5.943
1594.000;63.760;0.085;134.942;-6.814;-15.681;144.195;-6.952;-24.476;116.506;0.709;-11.901;130.940;21.077;15.799;143.391;-7.064;26.310;114.844;-0.432;14.156;129.886;20.611;0.359;108.766;-6.089
1595.000;63.800;0.065;134.938;-6.922;-15.689;144.271;-6.945;-23.644;117.043;3.314;-10.335;134.081;20.943;15.799;143.406;-7.073;25.826;115.251;1.717;13.254;132.790;20.335;0.341;108.772;-6.210
