Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
1841.000;73.640;2.298;135.284;-7.823;-13.586;143.901;-8.700;-24.404;116.436;-10.329;-15.500;114.756;16.211;17.865;143.547;-8.030;28.735;114.755;-9.232;18.853;115.591;17.381;2.465;109.284;-6.799
1842.000;73.680;2.308;135.293;-7.831;-13.577;143.908;-8.717;-24.384;116.441;-10.341;-15.497;114.758;16.204;17.875;143.559;-8.039;28.768;114.771;-9.241;18.840;115.615;17.352;2.480;109.286;-6.815
1843.000;73.720;2.320;135.301;-7.839;-13.562;143.919;-8.736;-24.383;116.456;-10.338;-15.467;114.788;16.200;17.889;143.564;-8.050;28.813;114.783;-9.244;18.820;115.627;17.324;2.493;109.289;-6.826
1844.000;73.760;2.338;135.305;-7.848;-13.538;143.936;-8.757;-24.420;116.487;-10.325;-15.388;114.792;16.177;17.912;143.557;-8.053;28.854;114.784;-9.241;18.802;115.648;17.301;2.505;109.291;-6.836
1845.000;73.800;2.362;135.308;-7.860;-13.505;143.957;-8.767;-24.431;116.520;-10.295;-15.353;114.800;16.198;17.947;143.540;-8.064;28.914;114.782;-9.227;18.779;115.767;17.272;2.512;109.292;-6.842
1846.000;73.840;2.382;135.309;-7.888;-13.477;143.989;-8.772;-24.400;116.569;-10.202;-15.443;114.828;16.329;17.982;143.516;-8.119;29.042;114.798;-9.102;18.611;116.161;17.263;2.518;109.293;-6.848
1847.000;73.880;2.399;135.304;-7.951;-13.455;144.021;-8.828;-24.306;116.574;-9.780;-15.789;115.427;16.856;18.002;143.510;-8.207;29.290;114.882;-8.555;18.007;116.945;17.444;2.521;109.296;-6.869
1848.000;73.920;2.424;135.277;-8.061;-13.420;144.031;-8.971;-24.264;116.537;-8.640;-15.709;116.924;17.757;18.019;143.528;-8.311;29.668;115.063;-7.413;17.051;117.938;17.933;2.520;109.299;-6.921
1849.000;73.960;2.447;135.244;-8.206;-13.391;144.038;-9.139;-24.321;116.593;-6.667;-14.812;119.662;18.716;18.030;143.551;-8.410;29.984;115.332;-5.683;16.392;119.431;18.966;2.520;109.302;-7.009
1850.000;74.000;2.458;135.224;-8.357;-13.358;144.114;-9.217;-24.215;116.861;-4.258;-13.447;122.807;19.700;18.045;143.547;-8.502;30.045;115.646;-3.632;15.906;121.709;20.245;2.522;109.305;-7.125
