Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
800.000;32.000;-0.690;135.252;-5.275;-16.724;143.557;-5.762;-27.150;115.700;-6.887;-21.337;115.830;20.427;14.816;143.623;-5.629;26.067;115.080;-8.289;21.405;114.670;19.636;-0.619;109.330;-4.476
801.000;32.040;-0.656;135.243;-5.288;-16.684;143.559;-5.797;-27.043;115.683;-6.990;-21.275;115.744;20.335;14.860;143.591;-5.628;25.995;115.014;-8.370;21.333;114.544;19.557;-0.611;109.321;-4.459
802.000;32.080;-0.621;135.238;-5.300;-16.642;143.566;-5.818;-26.954;115.682;-7.089;-21.206;115.658;20.247;14.905;143.569;-5.630;25.979;114.977;-8.441;21.298;114.401;19.484;-0.603;109.314;-4.452
803.000;32.120;-0.587;135.233;-5.310;-16.604;143.568;-5.831;-26.884;115.682;-7.181;-21.172;115.591;20.164;14.945;143.552;-5.629;26.007;114.960;-8.492;21.270;114.256;19.427;-0.598;109.314;-4.448
804.000;32.160;-0.554;135.231;-5.317;-16.565;143.572;-5.834;-26.840;115.688;-7.233;-21.150;115.565;20.116;14.982;143.537;-5.627;26.055;114.952;-8.533;21.275;114.142;19.378;-0.588;109.313;-4.444
805.000;32.200;-0.526;135.228;-5.324;-16.530;143.582;-5.837;-26.816;115.701;-7.241;-21.168;115.597;20.118;15.015;143.523;-5.638;26.094;114.939;-8.564;21.326;114.064;19.350;-0.573;109.312;-4.444
806.000;32.240;-0.504;135.224;-5.337;-16.506;143.587;-5.838;-26.813;115.722;-7.221;-21.224;115.714;20.149;15.039;143.517;-5.667;26.123;114.929;-8.577;21.397;113.998;19.359;-0.556;109.314;-4.445
807.000;32.280;-0.482;135.220;-5.356;-16.484;143.603;-5.848;-26.851;115.768;-7.066;-21.316;116.001;20.312;15.060;143.522;-5.696;26.153;114.928;-8.569;21.491;113.891;19.416;-0.536;109.314;-4.450
808.000;32.320;-0.456;135.220;-5.398;-16.448;143.635;-5.905;-26.970;115.834;-6.598;-21.440;116.695;20.823;15.082;143.544;-5.728;26.224;114.954;-8.516;21.608;113.633;19.556;-0.519;109.317;-4.471
809.000;32.360;-0.415;135.217;-5.477;-16.389;143.686;-6.039;-27.265;115.943;-5.598;-21.474;118.135;21.813;15.112;143.583;-5.773;26.382;115.013;-8.374;21.717;112.972;19.780;-0.506;109.315;-4.514
810.000;32.400;-0.369;135.226;-5.601;-16.320;143.786;-6.246;-27.618;116.180;-3.859;-21.278;120.545;23.291;15.147;143.626;-5.840;26.668;115.106;-8.091;21.721;111.605;20.060;-0.490;109.314;-4.587
811.000;32.440;-0.329;135.232;-5.756;-16.248;143.918;-6.491;-27.917;116.670;-1.453;-20.807;123.825;25.019;15.172;143.648;-5.918;27.068;115.200;-7.642;21.520;109.438;20.202;-0.478;109.320;-4.694
812.000;32.480;-0.309;135.233;-5.912;-16.175;144.067;-6.729;-28.044;117.527;1.369;-20.069;127.804;26.590;15.182;143.652;-5.993;27.504;115.284;-7.038;21.134;106.586;20.033;-0.468;109.326;-4.815
813.000;32.520;-0.314;135.246;-6.038;-16.120;144.226;-6.896;-27.911;118.758;4.276;-19.075;132.091;27.700;15.164;143.669;-6.035;27.732;115.316;-6.353;20.712;103.219;19.386;-0.461;109.331;-4.930
814.000;32.560;-0.331;135.274;-6.102;-16.091;144.373;-6.974;-27.586;120.220;6.991;-17.785;136.393;28.095;15.145;143.689;-5.996;27.593;115.245;-5.808;20.531;99.917;18.216;-0.454;109.341;-5.024
815.000;32.600;-0.345;135.305;-6.092;-16.061;144.516;-6.950;-27.115;121.784;9.383;-16.371;140.390;27.744;15.133;143.715;-5.942;27.080;115.094;-5.510;20.490;96.790;16.523;-0.448;109.354;-5.080
816.000;32.640;-0.377;135.344;-6.027;-16.054;144.648;-6.819;-26.568;123.258;11.381;-15.022;143.780;26.823;15.116;143.745;-5.923;26.329;114.883;-5.372;20.475;93.846;14.361;-0.446;109.367;-5.093
817.000;32.680;-0.429;135.381;-5.930;-16.071;144.752;-6.628;-26.017;124.528;12.973;-13.837;146.473;25.557;15.090;143.747;-5.886;25.582;114.638;-5.410;20.575;91.272;11.768;-0.446;109.371;-5.080
818.000;32.720;-0.491;135.404;-5.811;-16.094;144.837;-6.417;-25.512;125.576;14.224;-12.740;148.453;24.058;15.043;143.738;-5.803;24.989;114.447;-5.620;20.703;89.382;9.086;-0.454;109.372;-5.041
