Frame,Time(s),chestUpper_T_glob,chestUpper_T_glob.1,chestUpper_T_glob.2,rShldrBend_T_glob,rShldrBend_T_glob.1,rShldrBend_T_glob.2,rForearmBend_T_glob,rForearmBend_T_glob.1,rForearmBend_T_glob.2,rHand_T_glob,rHand_T_glob.1,rHand_T_glob.2,lShldrBend_T_glob,lShldrBend_T_glob.1,lShldrBend_T_glob.2,lForearmBend_T_glob,lForearmBend_T_glob.1,lForearmBend_T_glob.2,lHand_T_glob,lHand_T_glob.1,lHand_T_glob.2,pelvis_T_glob,pelvis_T_glob.1,pelvis_T_glob.2
,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
3452.0,138.08,-0.119,25.965,-0.779,-16.098,34.361,-1.399,-26.543,6.669,-3.655,-18.059,1.484,22.715,15.416,34.292,-0.59,27.18,5.745,-2.911,17.589,0.311,23.516,0.0,0.0,0.0
3453.0,138.12,-0.121,25.969,-0.779,-16.1,34.367,-1.394,-26.557,6.678,-3.637,-18.056,1.491,22.726,15.415,34.291,-0.602,27.177,5.741,-2.911,17.596,0.325,23.52,0.0,0.0,0.0
3454.0,138.16,-0.124,25.973,-0.779,-16.106,34.366,-1.391,-26.559,6.679,-3.625,-18.051,1.494,22.736,15.409,34.298,-0.612,27.174,5.749,-2.917,17.603,0.332,23.516,0.0,0.0,0.0
3455.0,138.2,-0.125,25.975,-0.782,-16.107,34.371,-1.391,-26.578,6.686,-3.611,-18.064,1.506,22.746,15.41,34.299,-0.624,27.176,5.754,-2.922,17.602,0.331,23.507,0.0,0.0,0.0
3456.0,138.24,-0.127,25.975,-0.787,-16.112,34.37,-1.398,-26.58,6.681,-3.595,-18.08,1.497,22.762,15.403,34.304,-0.633,27.181,5.755,-2.915,17.601,0.323,23.514,0.0,0.0,0.0
3457.0,138.28,-0.121,25.971,-0.789,-16.104,34.363,-1.389,-26.562,6.673,-3.579,-18.101,1.449,22.781,15.412,34.3,-0.636,27.191,5.761,-2.917,17.612,0.259,23.508,0.0,0.0,0.0
3458.0,138.32,-0.105,25.963,-0.808,-16.09,34.358,-1.374,-26.508,6.67,-3.536,-18.2,1.368,22.848,15.44,34.309,-0.67,27.204,5.759,-2.967,17.625,0.076,23.463,0.0,0.0,0.0
3459.0,138.36,-0.052,25.953,-0.849,-16.044,34.386,-1.349,-26.286,6.676,-3.139,-18.486,1.474,23.367,15.501,34.351,-0.776,27.244,5.825,-2.98,17.612,-0.766,23.32,0.0,0.0,0.0
3460.0,138.4,-0.002,25.946,-0.849,-15.988,34.372,-1.234,-26.075,6.466,-1.802,-18.98,2.996,25.078,15.56,34.367,-0.843,27.213,5.814,-2.892,17.551,-2.726,22.981,0.0,0.0,0.0
