Frame,Time(s),chestUpper_T_glob,chestUpper_T_glob.1,chestUpper_T_glob.2,rShldrBend_T_glob,rShldrBend_T_glob.1,rShldrBend_T_glob.2,rForearmBend_T_glob,rForearmBend_T_glob.1,rForearmBend_T_glob.2,rHand_T_glob,rHand_T_glob.1,rHand_T_glob.2,lShldrBend_T_glob,lShldrBend_T_glob.1,lShldrBend_T_glob.2,lForearmBend_T_glob,lForearmBend_T_glob.1,lForearmBend_T_glob.2,lHand_T_glob,lHand_T_glob.1,lHand_T_glob.2,pelvis_T_glob,pelvis_T_glob.1,pelvis_T_glob.2
,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
162.0,6.48,-0.288,26.101,-0.55,-16.101,34.74,-1.308,-27.774,7.728,-4.164,-16.862,6.775,21.352,15.266,34.576,-0.133,27.703,6.415,-2.34,15.072,6.721,22.875,0.0,0.0,0.0
163.0,6.52,-0.279,26.092,-0.589,-16.088,34.73,-1.363,-27.751,7.722,-4.266,-16.85,6.745,21.248,15.277,34.555,-0.174,27.68,6.386,-2.413,15.059,6.699,22.802,0.0,0.0,0.0
164.0,6.56,-0.267,26.083,-0.634,-16.07,34.722,-1.425,-27.716,7.717,-4.382,-16.885,6.774,21.157,15.295,34.534,-0.223,27.63,6.346,-2.494,15.049,6.682,22.742,0.0,0.0,0.0
165.0,6.6,-0.261,26.074,-0.673,-16.066,34.702,-1.48,-27.672,7.689,-4.479,-16.975,6.897,21.102,15.302,34.518,-0.272,27.548,6.305,-2.563,15.071,6.717,22.718,0.0,0.0,0.0
166.0,6.64,-0.257,26.065,-0.714,-16.063,34.684,-1.52,-27.63,7.656,-4.555,-17.147,7.206,21.09,15.311,34.495,-0.305,27.444,6.256,-2.606,15.17,6.892,22.753,0.0,0.0,0.0
167.0,6.68,-0.255,26.061,-0.74,-16.06,34.675,-1.538,-27.681,7.656,-4.511,-17.466,7.871,21.175,15.318,34.459,-0.335,27.369,6.221,-2.489,15.406,7.467,22.935,0.0,0.0,0.0
168.0,6.72,-0.254,26.055,-0.749,-16.045,34.668,-1.513,-28.012,7.73,-4.161,-17.944,9.1,21.442,15.322,34.437,-0.359,27.526,6.265,-1.999,15.901,8.773,23.417,0.0,0.0,0.0
169.0,6.76,-0.248,26.053,-0.737,-16.017,34.675,-1.461,-28.777,7.945,-3.32,-18.623,11.271,21.943,15.319,34.47,-0.385,27.968,6.463,-0.902,16.718,10.885,24.378,0.0,0.0,0.0
170.0,6.8,-0.254,26.055,-0.733,-16.002,34.701,-1.444,-29.975,8.41,-1.94,-19.458,14.345,22.543,15.279,34.57,-0.418,28.605,6.876,0.779,17.968,13.833,25.671,0.0,0.0,0.0
171.0,6.84,-0.279,26.046,-0.741,-16.009,34.768,-1.483,-31.371,9.154,-0.14,-20.381,17.889,23.102,15.218,34.658,-0.45,29.371,7.5,2.801,19.507,17.515,26.797,0.0,0.0,0.0
172.0,6.88,-0.304,26.038,-0.771,-16.0,34.878,-1.553,-32.65,10.125,1.797,-21.219,21.317,23.615,15.164,34.751,-0.512,30.27,8.365,4.853,20.842,21.118,27.597,0.0,0.0,0.0
173.0,6.92,-0.328,26.036,-0.805,-16.0,34.992,-1.612,-33.632,11.123,3.659,-22.019,24.321,24.115,15.108,34.807,-0.562,31.116,9.325,6.626,21.882,24.196,28.068,0.0,0.0,0.0
174.0,6.96,-0.343,26.033,-0.826,-16.016,35.066,-1.591,-34.256,11.981,5.207,-22.681,26.831,24.413,15.048,34.85,-0.638,31.822,10.269,8.009,22.521,26.581,28.32,0.0,0.0,0.0
175.0,7.0,-0.345,26.027,-0.86,-16.014,35.13,-1.572,-34.585,12.612,6.373,-23.023,28.624,24.562,15.022,34.871,-0.736,32.428,11.052,8.932,22.877,28.222,28.367,0.0,0.0,0.0
176.0,7.04,-0.348,26.016,-0.902,-16.021,35.132,-1.545,-34.657,12.922,7.172,-23.151,29.726,24.58,14.997,34.882,-0.834,32.909,11.645,9.438,23.077,29.262,28.286,0.0,0.0,0.0
177.0,7.08,-0.347,26.004,-0.941,-16.029,35.11,-1.523,-34.524,12.963,7.664,-23.061,30.2,24.623,14.988,34.875,-0.952,33.267,12.018,9.6,23.233,29.846,28.141,0.0,0.0,0.0
178.0,7.12,-0.346,25.991,-0.973,-16.039,35.082,-1.491,-34.212,12.79,7.946,-22.871,30.212,24.827,14.984,34.867,-1.043,33.536,12.229,9.56,23.337,30.118,27.935,0.0,0.0,0.0
179.0,7.16,-0.344,25.988,-0.989,-16.051,35.061,-1.441,-33.695,12.409,8.113,-22.659,29.99,25.001,14.984,34.858,-1.128,33.726,12.323,9.407,23.36,30.188,27.684,0.0,0.0,0.0
180.0,7.2,-0.343,25.976,-1.003,-16.067,35.026,-1.397,-33.036,11.826,8.295,-22.062,29.736,24.97,14.986,34.837,-1.197,33.841,12.336,9.227,23.307,30.103,27.517,0.0,0.0,0.0
181.0,7.24,-0.361,25.972,-0.997,-16.114,34.96,-1.304,-32.484,11.258,8.752,-21.365,30.079,24.378,14.956,34.847,-1.214,33.892,12.335,9.08,23.178,29.919,27.432,0.0,0.0,0.0
182.0,7.28,-0.401,25.966,-0.994,-16.129,34.917,-1.248,-31.682,10.768,9.402,-21.181,30.113,24.875,14.91,34.851,-1.218,33.876,12.31,8.998,23.026,29.694,27.451,0.0,0.0,0.0
183.0,7.32,-0.405,25.964,-0.997,-16.147,34.921,-1.24,-30.742,10.479,9.891,-20.624,29.892,25.565,14.903,34.838,-1.191,33.832,12.27,9.025,22.893,29.476,27.6,0.0,0.0,0.0
184.0,7.36,-0.444,25.966,-0.982,-16.208,34.941,-1.219,-29.851,10.315,10.358,-19.851,29.953,25.759,14.86,34.844,-1.158,33.768,12.259,9.091,22.749,29.333,27.716,0.0,0.0,0.0
185.0,7.4,-0.47,25.968,-0.965,-16.23,34.949,-1.163,-28.897,10.092,10.824,-19.33,30.171,25.918,14.834,34.846,-1.137,33.692,12.231,9.14,22.597,29.256,27.766,0.0,0.0,0.0
186.0,7.44,-0.491,25.972,-0.926,-16.27,34.931,-1.05,-28.079,9.747,11.361,-19.347,30.533,26.03,14.809,34.862,-1.115,33.611,12.2,9.169,22.509,29.228,27.798,0.0,0.0,0.0
187.0,7.48,-0.507,25.967,-0.918,-16.282,34.936,-1.009,-27.276,9.57,11.635,-19.191,30.728,26.092,14.798,34.856,-1.112,33.57,12.155,9.149,22.518,29.206,27.777,0.0,0.0,0.0
188.0,7.52,-0.513,25.968,-0.923,-16.309,34.935,-1.051,-26.762,9.551,11.751,-18.838,30.944,25.919,14.786,34.867,-1.111,33.56,12.145,9.107,22.539,29.19,27.757,0.0,0.0,0.0
189.0,7.56,-0.501,25.967,-0.936,-16.294,34.948,-1.065,-26.562,9.546,11.865,-18.788,30.893,26.262,14.8,34.864,-1.117,33.592,12.149,9.084,22.518,29.143,27.753,0.0,0.0,0.0
190.0,7.6,-0.504,25.973,-0.938,-16.285,34.966,-1.013,-26.487,9.498,12.012,-18.997,30.794,26.619,14.805,34.86,-1.145,33.638,12.165,9.06,22.494,29.118,27.723,0.0,0.0,0.0
191.0,7.64,-0.506,25.969,-0.943,-16.297,34.968,-1.031,-26.462,9.527,11.991,-18.95,30.969,26.404,14.8,34.861,-1.156,33.667,12.177,8.999,22.487,29.09,27.671,0.0,0.0,0.0
