Frame,Time(s),chestUpper_T_glob,chestUpper_T_glob.1,chestUpper_T_glob.2,rShldrBend_T_glob,rShldrBend_T_glob.1,rShldrBend_T_glob.2,rForearmBend_T_glob,rForearmBend_T_glob.1,rForearmBend_T_glob.2,rHand_T_glob,rHand_T_glob.1,rHand_T_glob.2,lShldrBend_T_glob,lShldrBend_T_glob.1,lShldrBend_T_glob.2,lForearmBend_T_glob,lForearmBend_T_glob.1,lForearmBend_T_glob.2,lHand_T_glob,lHand_T_glob.1,lHand_T_glob.2,pelvis_T_glob,pelvis_T_glob.1,pelvis_T_glob.2
,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1984.0,79.36,0.094,25.778,-0.845,-15.665,34.642,-2.171,-26.324,7.381,-5.727,-19.108,2.908,20.943,15.679,33.896,-0.376,27.275,5.368,-2.474,16.04,2.044,23.571,0.0,0.0,0.0
1985.0,79.4,0.092,25.785,-0.819,-15.671,34.65,-2.125,-26.331,7.392,-5.676,-19.118,2.957,20.991,15.677,33.905,-0.373,27.253,5.374,-2.491,16.044,2.06,23.575,0.0,0.0,0.0
1986.0,79.44,0.091,25.792,-0.799,-15.669,34.666,-2.084,-26.35,7.411,-5.611,-19.11,3.015,21.053,15.682,33.909,-0.376,27.232,5.367,-2.504,16.046,2.05,23.574,0.0,0.0,0.0
1987.0,79.48,0.088,25.8,-0.774,-15.675,34.679,-2.043,-26.366,7.423,-5.536,-19.096,3.064,21.121,15.679,33.914,-0.369,27.226,5.37,-2.513,16.059,2.031,23.575,0.0,0.0,0.0
1988.0,79.52,0.084,25.813,-0.744,-15.675,34.698,-1.992,-26.387,7.44,-5.449,-19.087,3.122,21.202,15.68,33.929,-0.355,27.238,5.387,-2.51,16.092,1.994,23.581,0.0,0.0,0.0
1989.0,79.56,0.083,25.821,-0.721,-15.676,34.717,-1.957,-26.402,7.459,-5.389,-19.093,3.188,21.263,15.681,33.937,-0.342,27.26,5.402,-2.483,16.113,1.938,23.612,0.0,0.0,0.0
1990.0,79.6,0.089,25.831,-0.7,-15.67,34.723,-1.927,-26.413,7.473,-5.342,-19.106,3.298,21.319,15.69,33.951,-0.323,27.287,5.418,-2.458,16.174,1.841,23.646,0.0,0.0,0.0
1991.0,79.64,0.089,25.838,-0.689,-15.669,34.738,-1.903,-26.466,7.508,-5.313,-19.143,3.497,21.35,15.691,33.964,-0.326,27.3,5.429,-2.45,16.256,1.675,23.679,0.0,0.0,0.0
1992.0,79.68,0.094,25.843,-0.681,-15.664,34.735,-1.886,-26.656,7.589,-5.274,-19.276,3.933,21.381,15.692,33.99,-0.333,27.309,5.451,-2.412,16.38,1.366,23.76,0.0,0.0,0.0
1993.0,79.72,0.088,25.848,-0.685,-15.666,34.727,-1.879,-27.201,7.761,-5.104,-19.679,4.883,21.533,15.68,34.027,-0.346,27.305,5.486,-2.351,16.526,0.822,23.868,0.0,0.0,0.0
1994.0,79.76,0.113,25.845,-0.68,-15.619,34.727,-1.892,-28.328,8.159,-4.644,-20.519,6.747,21.901,15.695,34.03,-0.344,27.357,5.491,-2.277,16.555,0.017,23.892,0.0,0.0,0.0
1995.0,79.8,0.14,25.837,-0.675,-15.542,34.79,-1.896,-30.091,9.001,-3.85,-21.832,10.114,22.375,15.717,34.003,-0.358,27.475,5.472,-2.181,16.408,-1.203,23.745,0.0,0.0,0.0
1996.0,79.84,0.163,25.868,-0.667,-15.435,34.999,-1.928,-32.348,10.516,-2.584,-23.577,15.298,22.765,15.745,34.001,-0.379,27.572,5.485,-2.052,16.153,-3.071,23.336,0.0,0.0,0.0
1997.0,79.88,0.212,25.891,-0.662,-15.271,35.295,-2.097,-34.952,12.801,-0.775,-25.438,21.789,22.797,15.797,33.996,-0.343,27.56,5.48,-1.865,15.993,-5.787,22.543,0.0,0.0,0.0
1998.0,79.92,0.27,25.934,-0.644,-15.075,35.662,-2.311,-37.547,15.921,1.34,-26.99,28.69,22.366,15.868,34.003,-0.22,27.402,5.424,-1.605,16.102,-8.953,21.366,0.0,0.0,0.0
1999.0,79.96,0.332,25.982,-0.608,-14.859,36.063,-2.418,-39.622,19.648,3.422,-28.025,35.342,21.589,15.957,33.975,-0.114,27.15,5.303,-1.26,16.543,-12.136,19.86,0.0,0.0,0.0
2000.0,80.0,0.352,26.008,-0.562,-14.651,36.472,-2.414,-41.054,23.602,5.195,-28.561,41.406,20.541,16.031,33.895,-0.136,26.858,5.05,-0.904,17.334,-15.326,18.032,0.0,0.0,0.0
2001.0,80.04,0.369,26.056,-0.475,-14.398,36.908,-2.32,-41.805,27.512,6.608,-28.818,46.717,19.659,16.137,33.771,-0.195,26.533,4.706,-0.603,18.42,-18.178,15.995,0.0,0.0,0.0
2002.0,80.08,0.431,26.115,-0.367,-14.051,37.355,-2.116,-42.009,30.979,7.581,-28.818,51.031,18.929,16.316,33.585,-0.272,26.301,4.334,-0.627,19.723,-20.237,14.017,0.0,0.0,0.0
2003.0,80.12,0.559,26.185,-0.242,-13.648,37.765,-1.869,-41.894,33.729,8.139,-28.548,54.247,18.381,16.548,33.431,-0.404,26.253,4.097,-0.915,21.093,-21.467,12.389,0.0,0.0,0.0
2004.0,80.16,0.742,26.249,-0.135,-13.248,38.076,-1.621,-41.612,35.734,8.429,-28.147,56.454,18.07,16.806,33.3,-0.532,26.449,3.963,-1.308,22.132,-22.173,11.059,0.0,0.0,0.0
2005.0,80.2,0.932,26.29,-0.047,-12.891,38.3,-1.396,-41.293,37.018,8.6,-27.787,57.907,17.881,17.045,33.174,-0.597,26.768,3.864,-1.824,22.742,-22.608,9.893,0.0,0.0,0.0
2006.0,80.24,1.124,26.321,0.01,-12.58,38.463,-1.204,-40.975,37.781,8.75,-27.589,58.852,17.817,17.273,33.073,-0.649,27.017,3.782,-2.39,23.04,-22.871,8.935,0.0,0.0,0.0
2007.0,80.28,1.279,26.343,0.064,-12.334,38.584,-1.056,-40.705,38.197,8.909,-27.541,59.468,17.828,17.463,32.993,-0.678,27.066,3.707,-2.882,23.091,-23.076,8.203,0.0,0.0,0.0
2008.0,80.32,1.392,26.349,0.099,-12.149,38.661,-0.954,-40.468,38.337,9.08,-27.604,59.862,17.924,17.61,32.899,-0.707,26.922,3.573,-3.294,22.94,-23.276,7.693,0.0,0.0,0.0
2009.0,80.36,1.495,26.337,0.107,-11.989,38.712,-0.902,-40.233,38.313,9.276,-27.728,60.106,18.175,17.741,32.789,-0.765,26.647,3.398,-3.623,22.697,-23.456,7.454,0.0,0.0,0.0
2010.0,80.4,1.591,26.311,0.092,-11.835,38.736,-0.881,-40.029,38.236,9.411,-27.768,60.202,18.679,17.864,32.689,-0.836,26.407,3.234,-3.813,22.558,-23.587,7.416,0.0,0.0,0.0
2011.0,80.44,1.695,26.287,0.063,-11.686,38.754,-0.88,-39.895,38.261,9.511,-27.654,60.222,19.315,17.987,32.598,-0.915,26.362,3.104,-3.849,22.519,-23.673,7.537,0.0,0.0,0.0
2012.0,80.48,1.769,26.272,0.039,-11.585,38.779,-0.85,-39.836,38.408,9.618,-26.921,60.216,19.386,18.074,32.542,-0.975,26.476,3.029,-3.846,22.489,-23.71,7.662,0.0,0.0,0.0
2013.0,80.52,1.83,26.255,0.026,-11.47,38.802,-0.823,-39.755,38.736,9.898,-26.455,60.647,18.834,18.149,32.491,-1.014,26.599,2.981,-3.876,22.5,-23.7,7.792,0.0,0.0,0.0
2014.0,80.56,1.882,26.243,0.025,-11.364,38.84,-0.783,-39.614,39.167,10.288,-26.185,61.242,18.483,18.211,32.439,-1.03,26.645,2.922,-3.932,22.507,-23.708,7.876,0.0,0.0,0.0
2015.0,80.6,1.9,26.246,0.058,-11.282,38.888,-0.702,-39.466,39.838,10.7,-24.817,61.377,17.873,18.242,32.392,-1.02,26.622,2.858,-3.95,22.477,-23.749,7.92,0.0,0.0,0.0
2016.0,80.64,1.906,26.252,0.092,-11.192,38.934,-0.644,-39.16,40.497,11.332,-23.118,61.406,16.677,18.263,32.353,-0.982,26.563,2.8,-3.943,22.43,-23.819,7.911,0.0,0.0,0.0
2017.0,80.68,1.921,26.251,0.117,-11.096,38.97,-0.614,-38.762,41.065,11.984,-21.559,61.324,15.312,18.292,32.311,-0.948,26.504,2.739,-3.933,22.367,-23.911,7.874,0.0,0.0,0.0
2018.0,80.72,1.935,26.251,0.124,-11.016,39.005,-0.612,-38.404,41.487,12.523,-20.575,61.322,14.344,18.32,32.272,-0.941,26.478,2.685,-3.919,22.347,-23.99,7.833,0.0,0.0,0.0
2019.0,80.76,1.961,26.249,0.121,-10.95,39.035,-0.594,-38.143,41.709,12.864,-20.142,61.412,13.918,18.359,32.241,-0.96,26.486,2.638,-3.92,22.353,-24.037,7.84,0.0,0.0,0.0
2020.0,80.8,1.99,26.257,0.107,-10.912,39.074,-0.555,-38.071,41.834,12.931,-20.04,61.523,13.929,18.396,32.219,-1.003,26.498,2.603,-3.957,22.369,-24.043,7.864,0.0,0.0,0.0
2021.0,80.84,1.995,26.262,0.098,-10.905,39.096,-0.528,-38.111,41.914,12.835,-20.054,61.572,14.152,18.399,32.214,-1.037,26.506,2.598,-4.01,22.391,-24.023,7.887,0.0,0.0,0.0
