Frame,Time(s),chestUpper_T_glob,chestUpper_T_glob.1,chestUpper_T_glob.2,rShldrBend_T_glob,rShldrBend_T_glob.1,rShldrBend_T_glob.2,rForearmBend_T_glob,rForearmBend_T_glob.1,rForearmBend_T_glob.2,rHand_T_glob,rHand_T_glob.1,rHand_T_glob.2,lShldrBend_T_glob,lShldrBend_T_glob.1,lShldrBend_T_glob.2,lForearmBend_T_glob,lForearmBend_T_glob.1,lForearmBend_T_glob.2,lHand_T_glob,lHand_T_glob.1,lHand_T_glob.2,pelvis_T_glob,pelvis_T_glob.1,pelvis_T_glob.2
,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
3842.0,153.68,-0.04,25.825,-0.588,-15.933,34.378,-1.168,-26.752,6.752,-3.007,-17.044,3.558,23.05,15.566,34.069,-0.365,27.074,5.535,-2.864,16.265,6.072,23.304,0.0,0.0,0.0
3843.0,153.72,-0.04,25.824,-0.598,-15.931,34.372,-1.186,-26.732,6.74,-3.024,-17.007,3.568,23.027,15.564,34.071,-0.376,27.08,5.538,-2.859,16.275,6.097,23.307,0.0,0.0,0.0
3844.0,153.76,-0.039,25.819,-0.608,-15.932,34.371,-1.191,-26.719,6.735,-3.02,-16.978,3.585,23.024,15.565,34.065,-0.388,27.078,5.53,-2.859,16.288,6.106,23.312,0.0,0.0,0.0
3845.0,153.8,-0.029,25.819,-0.617,-15.917,34.378,-1.203,-26.709,6.74,-3.009,-16.954,3.614,23.035,15.578,34.057,-0.401,27.08,5.515,-2.856,16.294,6.112,23.317,0.0,0.0,0.0
3846.0,153.84,-0.029,25.818,-0.624,-15.914,34.378,-1.209,-26.711,6.738,-2.994,-16.936,3.638,23.041,15.578,34.052,-0.414,27.076,5.503,-2.856,16.298,6.121,23.319,0.0,0.0,0.0
3847.0,153.88,-0.028,25.816,-0.629,-15.914,34.376,-1.212,-26.718,6.74,-2.994,-16.929,3.655,23.04,15.58,34.053,-0.417,27.071,5.504,-2.864,16.296,6.126,23.311,0.0,0.0,0.0
3848.0,153.92,-0.027,25.816,-0.637,-15.912,34.374,-1.219,-26.728,6.741,-2.989,-16.928,3.676,23.039,15.582,34.051,-0.435,27.06,5.501,-2.887,16.305,6.132,23.297,0.0,0.0,0.0
3849.0,153.96,-0.027,25.815,-0.651,-15.913,34.378,-1.233,-26.747,6.749,-2.986,-16.939,3.697,23.043,15.58,34.049,-0.457,27.057,5.498,-2.91,16.319,6.118,23.285,0.0,0.0,0.0
3850.0,154.0,-0.027,25.811,-0.668,-15.913,34.368,-1.246,-26.753,6.741,-2.983,-16.947,3.721,23.054,15.585,34.04,-0.48,27.045,5.492,-2.928,16.387,6.113,23.312,0.0,0.0,0.0
3851.0,154.04,-0.036,25.816,-0.697,-15.93,34.383,-1.254,-26.742,6.77,-2.941,-17.047,3.995,23.116,15.575,34.033,-0.524,27.031,5.499,-2.785,16.606,6.36,23.531,0.0,0.0,0.0
3852.0,154.08,-0.062,25.876,-0.7,-15.942,34.496,-1.19,-26.932,6.965,-2.571,-17.14,5.151,23.455,15.544,34.113,-0.5,27.206,5.601,-2.139,17.083,7.555,24.212,0.0,0.0,0.0
3853.0,154.12,-0.067,25.977,-0.615,-15.914,34.708,-1.028,-27.518,7.356,-1.454,-16.876,7.796,24.23,15.531,34.289,-0.349,27.69,5.886,-0.655,17.42,10.386,25.339,0.0,0.0,0.0
3854.0,154.16,-0.035,26.083,-0.505,-15.832,34.984,-0.884,-28.285,7.944,0.493,-16.48,11.706,25.287,15.526,34.529,-0.195,28.275,6.399,1.77,17.546,14.902,26.438,0.0,0.0,0.0
3855.0,154.2,-0.016,26.173,-0.411,-15.751,35.296,-0.774,-28.965,8.777,3.163,-16.078,16.468,26.361,15.498,34.762,-0.087,28.786,7.263,4.952,17.457,20.238,27.158,0.0,0.0,0.0
3856.0,154.24,0.004,26.242,-0.34,-15.665,35.623,-0.684,-29.462,9.944,6.32,-15.609,21.615,27.087,15.461,34.972,-0.001,29.126,8.567,8.564,17.046,25.664,27.223,0.0,0.0,0.0
3857.0,154.28,0.027,26.311,-0.243,-15.534,35.937,-0.58,-29.644,11.475,9.728,-15.041,26.711,27.318,15.428,35.137,0.124,29.22,10.335,12.214,16.331,30.528,26.69,0.0,0.0,0.0
3858.0,154.32,0.06,26.393,-0.125,-15.414,36.219,-0.441,-29.558,13.277,12.988,-14.327,31.223,27.006,15.399,35.322,0.323,29.031,12.331,15.52,15.545,34.525,25.827,0.0,0.0,0.0
3859.0,154.36,0.08,26.475,-0.028,-15.322,36.469,-0.299,-29.247,15.129,15.776,-13.499,34.85,26.214,15.372,35.503,0.511,28.742,14.337,18.148,14.703,37.496,24.81,0.0,0.0,0.0
3860.0,154.4,0.081,26.541,0.06,-15.262,36.651,-0.191,-28.884,16.815,17.929,-12.747,37.54,25.128,15.334,35.663,0.682,28.46,16.033,20.049,13.985,39.528,23.689,0.0,0.0,0.0
3861.0,154.44,0.079,26.593,0.134,-15.203,36.779,-0.099,-28.513,18.158,19.451,-12.202,39.401,23.922,15.309,35.778,0.797,28.274,17.252,21.226,13.472,40.713,22.591,0.0,0.0,0.0
3862.0,154.48,0.072,26.645,0.177,-15.192,36.895,-0.035,-28.249,19.12,20.403,-11.858,40.583,22.704,15.301,35.846,0.844,28.168,17.942,21.815,13.19,41.245,21.623,0.0,0.0,0.0
3863.0,154.52,0.07,26.67,0.178,-15.17,36.957,-0.031,-28.142,19.719,20.894,-11.607,41.134,21.681,15.319,35.856,0.823,28.181,18.171,21.963,13.081,41.341,21.018,0.0,0.0,0.0
3864.0,154.56,0.07,26.676,0.151,-15.168,36.954,-0.07,-28.153,19.825,20.928,-11.627,41.239,21.274,15.33,35.857,0.749,28.225,18.013,21.73,13.106,41.198,21.094,0.0,0.0,0.0
3865.0,154.6,0.074,26.675,0.126,-15.173,36.915,-0.14,-28.145,19.26,20.409,-11.893,40.854,22.12,15.351,35.843,0.669,28.268,17.478,21.172,13.251,40.804,21.869,0.0,0.0,0.0
3866.0,154.64,0.079,26.695,0.087,-15.207,36.875,-0.218,-28.005,18.268,19.494,-12.213,39.879,24.277,15.389,35.834,0.558,28.131,16.657,20.369,13.456,40.187,23.442,0.0,0.0,0.0
3867.0,154.68,0.096,26.695,-0.012,-15.249,36.809,-0.381,-27.702,17.353,18.639,-12.316,38.217,27.478,15.424,35.811,0.402,27.75,15.822,19.566,13.423,39.191,25.783,0.0,0.0,0.0
3868.0,154.72,0.07,26.689,-0.154,-15.304,36.741,-0.539,-27.243,16.809,18.303,-12.218,36.169,31.233,15.427,35.762,0.26,27.277,15.317,19.203,12.956,37.778,28.914,0.0,0.0,0.0
3869.0,154.76,0.051,26.671,-0.3,-15.335,36.707,-0.695,-26.801,16.717,18.461,-11.959,34.052,34.841,15.41,35.754,0.122,26.77,15.226,19.265,12.27,35.966,32.587,0.0,0.0,0.0
