Frame,Time(s),chestUpper_T_glob,chestUpper_T_glob.1,chestUpper_T_glob.2,rShldrBend_T_glob,rShldrBend_T_glob.1,rShldrBend_T_glob.2,rForearmBend_T_glob,rForearmBend_T_glob.1,rForearmBend_T_glob.2,rHand_T_glob,rHand_T_glob.1,rHand_T_glob.2,lShldrBend_T_glob,lShldrBend_T_glob.1,lShldrBend_T_glob.2,lForearmBend_T_glob,lForearmBend_T_glob.1,lForearmBend_T_glob.2,lHand_T_glob,lHand_T_glob.1,lHand_T_glob.2,pelvis_T_glob,pelvis_T_glob.1,pelvis_T_glob.2
,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
2542.0,101.68,-0.266,26.106,-1.062,-15.983,35.083,-1.775,-26.764,7.935,-4.63,-18.543,1.744,21.719,15.288,34.388,-1.449,26.636,5.862,-4.429,17.72,1.985,22.434,0.0,0.0,0.0
2543.0,101.72,-0.274,26.097,-1.102,-15.992,35.071,-1.832,-26.774,7.923,-4.684,-18.569,1.722,21.669,15.278,34.38,-1.487,26.637,5.858,-4.461,17.711,1.966,22.401,0.0,0.0,0.0
2544.0,101.76,-0.278,26.095,-1.132,-15.997,35.067,-1.874,-26.78,7.915,-4.691,-18.586,1.714,21.669,15.274,34.376,-1.529,26.647,5.858,-4.477,17.73,1.971,22.393,0.0,0.0,0.0
2545.0,101.8,-0.275,26.081,-1.147,-15.994,35.054,-1.894,-26.784,7.902,-4.669,-18.585,1.701,21.698,15.274,34.363,-1.565,26.656,5.841,-4.458,17.736,1.996,22.412,0.0,0.0,0.0
2546.0,101.84,-0.264,26.067,-1.135,-15.982,35.045,-1.867,-26.801,7.899,-4.597,-18.564,1.721,21.766,15.286,34.352,-1.587,26.669,5.82,-4.432,17.762,2.03,22.462,0.0,0.0,0.0
2547.0,101.88,-0.253,26.063,-1.099,-15.971,35.065,-1.785,-26.917,7.963,-4.269,-18.455,1.788,22.01,15.3,34.357,-1.573,26.685,5.819,-4.379,17.795,2.04,22.542,0.0,0.0,0.0
2548.0,101.92,-0.22,26.054,-1.053,-15.921,35.037,-1.63,-27.42,8.037,-3.165,-18.361,2.507,22.993,15.331,34.401,-1.531,26.724,5.861,-4.312,17.844,2.035,22.65,0.0,0.0,0.0
2549.0,101.96,-0.157,26.038,-0.979,-15.82,34.998,-1.486,-28.305,8.227,-0.997,-18.825,4.949,25.202,15.379,34.459,-1.441,26.815,5.96,-4.229,17.803,1.998,22.791,0.0,0.0,0.0
2550.0,102.0,-0.105,26.033,-0.894,-15.719,35.111,-1.357,-29.453,8.954,2.095,-19.709,9.617,28.259,15.428,34.46,-1.333,27.007,6.026,-4.151,17.617,1.746,22.82,0.0,0.0,0.0
2551.0,102.04,-0.069,26.041,-0.817,-15.586,35.381,-1.185,-30.706,10.536,5.831,-20.916,15.967,31.245,15.485,34.385,-1.264,27.283,6.027,-4.097,17.282,1.277,22.676,0.0,0.0,0.0
2552.0,102.08,-0.036,26.054,-0.741,-15.403,35.734,-0.945,-31.952,13.023,9.68,-22.155,23.29,33.431,15.548,34.291,-1.253,27.552,6.004,-4.136,16.835,0.712,22.297,0.0,0.0,0.0
2553.0,102.12,-0.017,26.084,-0.643,-15.215,36.186,-0.659,-32.974,16.171,13.094,-23.01,30.647,34.344,15.606,34.187,-1.278,27.804,5.978,-4.332,16.358,0.151,21.696,0.0,0.0,0.0
2554.0,102.16,-0.001,26.107,-0.516,-14.999,36.622,-0.368,-33.671,19.451,15.776,-23.205,37.227,33.954,15.673,34.043,-1.342,28.029,5.917,-4.682,15.888,-0.404,20.903,0.0,0.0,0.0
2555.0,102.2,0.039,26.135,-0.407,-14.755,36.974,-0.12,-34.055,22.475,17.7,-22.711,42.384,32.759,15.761,33.897,-1.487,28.177,5.817,-5.136,15.413,-0.856,20.051,0.0,0.0,0.0
2556.0,102.24,0.132,26.147,-0.343,-14.481,37.223,0.072,-34.175,24.913,18.964,-21.887,45.867,31.511,15.895,33.754,-1.685,28.216,5.669,-5.623,14.934,-1.244,19.232,0.0,0.0,0.0
2557.0,102.28,0.281,26.141,-0.355,-14.208,37.383,0.194,-34.109,26.642,19.724,-20.96,47.951,30.606,16.075,33.614,-1.928,28.132,5.452,-6.098,14.465,-1.559,18.518,0.0,0.0,0.0
2558.0,102.32,0.47,26.137,-0.358,-13.922,37.492,0.313,-33.903,27.737,20.221,-20.097,49.04,30.163,16.293,33.497,-2.128,27.985,5.208,-6.464,14.134,-1.728,18.048,0.0,0.0,0.0
2559.0,102.36,0.593,26.148,-0.416,-13.715,37.585,0.368,-33.68,28.343,20.535,-19.405,49.586,29.892,16.447,33.408,-2.355,27.8,4.997,-6.746,14.095,-1.698,17.875,0.0,0.0,0.0
2560.0,102.4,0.691,26.142,-0.496,-13.555,37.647,0.362,-33.372,28.543,20.717,-18.881,49.798,29.632,16.573,33.326,-2.571,27.76,4.836,-6.885,14.247,-1.56,17.875,0.0,0.0,0.0
2561.0,102.44,0.788,26.133,-0.576,-13.414,37.679,0.322,-33.032,28.439,20.783,-18.468,49.782,29.294,16.69,33.265,-2.722,27.829,4.728,-6.939,14.372,-1.418,17.922,0.0,0.0,0.0
2562.0,102.48,0.893,26.127,-0.635,-13.292,37.685,0.283,-32.755,28.202,20.757,-18.133,49.604,28.945,16.812,33.238,-2.782,27.903,4.672,-6.953,14.5,-1.326,17.999,0.0,0.0,0.0
2563.0,102.52,0.983,26.115,-0.683,-13.192,37.674,0.257,-32.595,27.976,20.679,-17.92,49.353,28.708,16.923,33.217,-2.806,27.941,4.624,-6.953,14.648,-1.272,18.102,0.0,0.0,0.0
2564.0,102.56,1.047,26.113,-0.716,-13.118,37.688,0.243,-32.537,27.856,20.59,-17.79,49.165,28.619,17.001,33.2,-2.816,27.969,4.586,-6.959,14.789,-1.218,18.196,0.0,0.0,0.0
2565.0,102.6,1.101,26.095,-0.746,-13.041,37.697,0.214,-32.524,27.825,20.493,-17.713,49.042,28.639,17.072,33.148,-2.831,28.001,4.529,-6.994,14.908,-1.209,18.228,0.0,0.0,0.0
2566.0,102.64,1.127,26.116,-0.73,-12.992,37.745,0.237,-32.525,27.86,20.46,-17.692,49.033,28.651,17.111,33.141,-2.808,28.026,4.514,-7.0,14.97,-1.184,18.247,0.0,0.0,0.0
