Frame,Time(s),chestUpper_T_glob,chestUpper_T_glob.1,chestUpper_T_glob.2,rShldrBend_T_glob,rShldrBend_T_glob.1,rShldrBend_T_glob.2,rForearmBend_T_glob,rForearmBend_T_glob.1,rForearmBend_T_glob.2,rHand_T_glob,rHand_T_glob.1,rHand_T_glob.2,lShldrBend_T_glob,lShldrBend_T_glob.1,lShldrBend_T_glob.2,lForearmBend_T_glob,lForearmBend_T_glob.1,lForearmBend_T_glob.2,lHand_T_glob,lHand_T_glob.1,lHand_T_glob.2,pelvis_T_glob,pelvis_T_glob.1,pelvis_T_glob.2
,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
3272.0,130.88,-0.179,26.016,-0.268,-15.885,35.017,-1.231,-27.524,8.03,-3.805,-16.941,0.497,21.382,15.439,34.428,-0.433,27.752,6.251,-2.533,15.603,0.767,23.006,0.0,0.0,0.0
3273.0,130.92,-0.172,26.015,-0.26,-15.873,35.018,-1.221,-27.458,8.019,-3.836,-16.818,0.432,21.314,15.45,34.423,-0.424,27.764,6.245,-2.537,15.587,0.738,22.975,0.0,0.0,0.0
3274.0,130.96,-0.164,26.02,-0.252,-15.865,35.027,-1.211,-27.414,8.018,-3.852,-16.715,0.386,21.261,15.46,34.421,-0.417,27.769,6.241,-2.544,15.587,0.714,22.967,0.0,0.0,0.0
3275.0,131.0,-0.157,26.029,-0.24,-15.854,35.041,-1.193,-27.397,8.03,-3.844,-16.632,0.361,21.233,15.472,34.425,-0.408,27.765,6.238,-2.559,15.605,0.718,22.966,0.0,0.0,0.0
3276.0,131.04,-0.147,26.023,-0.24,-15.839,35.042,-1.187,-27.395,8.035,-3.841,-16.593,0.345,21.219,15.485,34.411,-0.402,27.745,6.216,-2.568,15.614,0.71,22.971,0.0,0.0,0.0
3277.0,131.08,-0.139,26.023,-0.241,-15.825,35.052,-1.177,-27.407,8.055,-3.818,-16.594,0.344,21.23,15.5,34.401,-0.417,27.746,6.202,-2.589,15.649,0.726,22.974,0.0,0.0,0.0
3278.0,131.12,-0.127,26.022,-0.243,-15.807,35.06,-1.162,-27.44,8.082,-3.797,-16.618,0.354,21.251,15.515,34.389,-0.424,27.742,6.18,-2.607,15.669,0.71,22.969,0.0,0.0,0.0
3279.0,131.16,-0.112,26.017,-0.26,-15.789,35.061,-1.162,-27.458,8.095,-3.778,-16.637,0.361,21.268,15.532,34.377,-0.456,27.736,6.164,-2.627,15.718,0.657,22.97,0.0,0.0,0.0
3280.0,131.2,-0.098,26.005,-0.277,-15.767,35.059,-1.163,-27.469,8.105,-3.764,-16.678,0.363,21.308,15.551,34.36,-0.493,27.738,6.129,-2.654,15.782,0.496,22.962,0.0,0.0,0.0
3281.0,131.24,-0.099,25.997,-0.292,-15.777,35.053,-1.142,-27.462,8.101,-3.709,-16.678,0.407,21.416,15.542,34.358,-0.532,27.723,6.129,-2.692,15.862,0.223,22.949,0.0,0.0,0.0
3282.0,131.28,-0.098,26.006,-0.3,-15.783,35.076,-1.082,-27.427,8.103,-3.441,-16.573,0.596,21.739,15.539,34.388,-0.545,27.689,6.147,-2.691,15.934,-0.342,22.956,0.0,0.0,0.0
3283.0,131.32,-0.116,26.026,-0.285,-15.819,35.085,-0.958,-27.389,8.009,-2.73,-16.397,1.126,22.577,15.511,34.463,-0.537,27.612,6.21,-2.599,16.075,-1.439,22.939,0.0,0.0,0.0
3284.0,131.36,-0.148,26.058,-0.263,-15.867,35.116,-0.851,-27.34,7.87,-1.387,-16.122,2.356,24.164,15.455,34.566,-0.505,27.502,6.285,-2.33,16.25,-3.186,22.883,0.0,0.0,0.0
3285.0,131.4,-0.184,26.058,-0.256,-15.91,35.133,-0.787,-27.212,7.704,0.578,-15.701,4.603,26.375,15.399,34.602,-0.468,27.398,6.268,-1.897,16.487,-5.544,22.621,0.0,0.0,0.0
3286.0,131.44,-0.224,26.036,-0.267,-15.952,35.174,-0.756,-26.965,7.696,3.066,-15.117,7.939,28.845,15.349,34.583,-0.464,27.289,6.174,-1.335,16.804,-8.377,22.029,0.0,0.0,0.0
3287.0,131.48,-0.26,26.022,-0.293,-15.977,35.273,-0.723,-26.666,8.039,5.913,-14.317,12.202,31.038,15.314,34.555,-0.518,27.162,6.051,-0.722,17.266,-11.376,20.963,0.0,0.0,0.0
3288.0,131.52,-0.287,26.017,-0.342,-15.948,35.411,-0.68,-26.305,8.816,8.906,-13.326,17.041,32.587,15.296,34.513,-0.638,27.04,5.918,-0.198,17.877,-14.272,19.418,0.0,0.0,0.0
3289.0,131.56,-0.304,26.016,-0.4,-15.892,35.589,-0.624,-25.873,10.0,11.831,-12.248,21.984,33.348,15.306,34.456,-0.78,26.831,5.729,0.109,18.688,-16.804,17.48,0.0,0.0,0.0
