Frame,Time(s),chestUpper_T_glob,chestUpper_T_glob.1,chestUpper_T_glob.2,rShldrBend_T_glob,rShldrBend_T_glob.1,rShldrBend_T_glob.2,rForearmBend_T_glob,rForearmBend_T_glob.1,rForearmBend_T_glob.2,rHand_T_glob,rHand_T_glob.1,rHand_T_glob.2,lShldrBend_T_glob,lShldrBend_T_glob.1,lShldrBend_T_glob.2,lForearmBend_T_glob,lForearmBend_T_glob.1,lForearmBend_T_glob.2,lHand_T_glob,lHand_T_glob.1,lHand_T_glob.2,pelvis_T_glob,pelvis_T_glob.1,pelvis_T_glob.2
,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1288.0,51.52,-0.025,28.222,3.611,-15.719,37.182,4.422,-25.839,10.021,0.223,-15.767,8.912,26.166,15.648,36.186,3.665,25.965,7.689,-0.749,16.722,10.871,25.821,0.0,0.0,0.0
1289.0,51.56,-0.038,28.224,3.578,-15.736,37.18,4.379,-25.857,10.012,0.217,-15.814,8.99,26.175,15.632,36.199,3.625,25.98,7.699,-0.721,16.676,10.873,25.846,0.0,0.0,0.0
1290.0,51.6,-0.052,28.224,3.526,-15.759,37.178,4.347,-25.853,10.028,0.267,-15.736,9.207,26.206,15.609,36.222,3.566,26.039,7.736,-0.694,16.584,10.742,25.866,0.0,0.0,0.0
1291.0,51.64,-0.081,28.25,3.445,-15.811,37.242,4.34,-25.757,10.057,0.595,-15.423,10.177,26.378,15.564,36.307,3.511,26.189,7.86,-0.578,16.231,10.452,25.915,0.0,0.0,0.0
1292.0,51.68,-0.131,28.332,3.344,-15.878,37.362,4.433,-25.627,9.991,1.63,-14.674,12.596,26.856,15.492,36.486,3.464,26.472,8.099,-0.188,15.349,9.757,26.083,0.0,0.0,0.0
1293.0,51.72,-0.186,28.419,3.183,-15.951,37.435,4.52,-25.383,9.724,3.724,-13.77,16.568,27.638,15.39,36.718,3.363,26.778,8.369,0.587,13.949,8.441,26.341,0.0,0.0,0.0
1294.0,51.76,-0.217,28.468,2.958,-16.011,37.482,4.534,-24.821,9.514,6.943,-12.929,21.555,28.285,15.311,36.894,3.218,27.107,8.563,1.825,11.914,7.113,26.438,0.0,0.0,0.0
1295.0,51.8,-0.224,28.486,2.713,-16.036,37.492,4.476,-23.94,9.738,10.95,-12.161,26.549,28.608,15.251,37.003,3.004,27.404,8.68,3.564,9.322,6.028,26.262,0.0,0.0,0.0
1296.0,51.84,-0.233,28.482,2.481,-16.034,37.444,4.443,-22.758,10.621,15.138,-11.409,30.922,28.75,15.18,37.06,2.737,27.574,8.855,5.756,6.464,5.327,25.724,0.0,0.0,0.0
1297.0,51.88,-0.28,28.497,2.31,-16.024,37.502,4.597,-21.41,12.105,18.921,-10.815,34.653,28.867,15.082,37.1,2.447,27.454,9.198,8.279,3.712,5.434,25.0,0.0,0.0,0.0
1298.0,51.92,-0.324,28.52,2.217,-15.976,37.635,4.817,-20.203,13.843,21.915,-10.376,37.62,28.988,14.988,37.149,2.197,26.958,9.776,10.813,1.179,6.043,24.182,0.0,0.0,0.0
