Frame,Time(s),chestUpper_T_glob,chestUpper_T_glob.1,chestUpper_T_glob.2,rShldrBend_T_glob,rShldrBend_T_glob.1,rShldrBend_T_glob.2,rForearmBend_T_glob,rForearmBend_T_glob.1,rForearmBend_T_glob.2,rHand_T_glob,rHand_T_glob.1,rHand_T_glob.2,lShldrBend_T_glob,lShldrBend_T_glob.1,lShldrBend_T_glob.2,lForearmBend_T_glob,lForearmBend_T_glob.1,lForearmBend_T_glob.2,lHand_T_glob,lHand_T_glob.1,lHand_T_glob.2,pelvis_T_glob,pelvis_T_glob.1,pelvis_T_glob.2
,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1345.0,53.8,-0.411,28.398,3.949,-16.481,36.625,4.797,-25.235,9.701,-2.301,-18.897,5.086,24.544,15.035,36.909,4.232,24.827,8.975,-2.8,19.785,3.721,24.867,0.0,0.0,0.0
1346.0,53.84,-0.41,28.395,3.922,-16.471,36.634,4.769,-25.271,9.707,-2.268,-18.941,5.265,24.596,15.035,36.886,4.184,24.997,8.925,-2.656,19.709,3.755,24.995,0.0,0.0,0.0
1347.0,53.88,-0.406,28.395,3.879,-16.456,36.656,4.738,-25.346,9.722,-2.188,-18.918,5.503,24.684,15.038,36.866,4.116,25.211,8.869,-2.44,19.575,3.824,25.175,0.0,0.0,0.0
1348.0,53.92,-0.391,28.394,3.825,-16.426,36.681,4.7,-25.457,9.739,-2.049,-18.819,5.824,24.805,15.055,36.85,4.041,25.47,8.808,-2.146,19.373,3.945,25.423,0.0,0.0,0.0
1349.0,53.96,-0.387,28.383,3.747,-16.411,36.703,4.671,-25.62,9.792,-1.815,-18.566,6.374,24.977,15.056,36.853,3.943,25.829,8.793,-1.657,18.987,4.081,25.811,0.0,0.0,0.0
1350.0,54.0,-0.422,28.393,3.63,-16.446,36.816,4.669,-25.994,9.882,-1.134,-17.695,7.782,25.373,15.009,36.938,3.853,26.481,8.892,-0.639,18.152,4.311,26.549,0.0,0.0,0.0
1351.0,54.04,-0.491,28.445,3.456,-16.496,36.966,4.624,-26.727,9.804,0.612,-15.653,10.579,26.081,14.918,37.093,3.796,27.504,9.099,1.394,16.706,4.702,27.899,0.0,0.0,0.0
1352.0,54.08,-0.564,28.489,3.212,-16.568,37.132,4.505,-27.131,9.548,3.843,-12.468,14.563,26.816,14.801,37.258,3.717,28.532,9.487,4.643,14.379,5.178,29.754,0.0,0.0,0.0
1353.0,54.12,-0.67,28.487,2.873,-16.676,37.235,4.323,-26.604,9.401,8.351,-8.612,18.865,27.116,14.632,37.377,3.507,29.067,10.203,8.894,10.984,5.882,31.61,0.0,0.0,0.0
1354.0,54.16,-0.802,28.416,2.503,-16.81,37.189,4.152,-24.925,9.782,13.45,-4.593,22.782,26.914,14.398,37.44,3.183,28.684,11.431,13.598,6.942,7.096,33.055,0.0,0.0,0.0
1355.0,54.2,-0.942,28.36,2.218,-16.912,37.118,4.1,-22.345,10.959,18.207,-0.627,26.053,26.38,14.129,37.568,2.944,27.309,13.212,18.007,2.851,8.604,33.996,0.0,0.0,0.0
1356.0,54.24,-1.074,28.364,2.11,-17.006,37.218,4.29,-19.541,12.823,21.873,3.126,28.397,25.685,13.846,37.799,2.838,25.341,15.442,21.574,-0.823,10.126,34.515,0.0,0.0,0.0
1357.0,54.28,-1.171,28.467,2.105,-17.023,37.483,4.547,-17.041,14.828,24.2,6.446,29.809,25.257,13.542,38.159,2.811,23.288,17.623,24.023,-3.754,11.755,34.78,0.0,0.0,0.0
1358.0,54.32,-1.255,28.579,2.104,-17.037,37.731,4.703,-15.175,16.347,25.369,8.864,30.568,25.255,13.284,38.433,2.8,21.739,19.392,25.59,-5.86,13.411,34.782,0.0,0.0,0.0
1359.0,54.36,-1.293,28.654,2.057,-17.032,37.883,4.774,-13.994,17.116,25.723,10.174,31.205,25.395,13.154,38.59,2.752,20.82,20.582,26.487,-7.083,14.851,34.668,0.0,0.0,0.0
1360.0,54.4,-1.313,28.669,2.001,-17.052,37.924,4.763,-13.387,17.367,25.709,10.745,31.639,25.298,13.069,38.656,2.689,20.481,21.367,26.961,-7.642,15.847,34.331,0.0,0.0,0.0
1361.0,54.44,-1.321,28.672,1.967,-17.073,37.934,4.747,-13.112,17.435,25.524,10.855,31.98,25.047,13.014,38.702,2.676,20.521,21.831,27.213,-7.746,16.446,33.831,0.0,0.0,0.0
1362.0,54.48,-1.33,28.685,1.967,-17.079,37.941,4.79,-13.046,17.379,25.313,10.611,32.483,24.759,12.979,38.74,2.668,20.671,22.114,27.318,-7.652,16.686,33.378,0.0,0.0,0.0
1363.0,54.52,-1.353,28.691,1.977,-17.09,37.951,4.904,-12.934,17.183,25.085,10.099,33.356,25.059,12.943,38.761,2.627,20.818,22.276,27.308,-7.493,16.651,33.094,0.0,0.0,0.0
1364.0,54.56,-1.386,28.706,1.982,-17.102,37.959,5.025,-12.777,16.714,24.787,10.068,33.626,26.505,12.896,38.805,2.554,20.841,22.348,27.211,-7.428,16.472,32.961,0.0,0.0,0.0
1365.0,54.6,-1.402,28.743,1.953,-17.118,37.98,5.098,-12.707,16.36,24.596,10.579,32.941,27.104,12.868,38.845,2.454,20.764,22.41,27.107,-7.408,16.036,32.789,0.0,0.0,0.0
1366.0,54.64,-1.424,28.747,1.941,-17.121,37.99,5.194,-12.673,16.13,24.486,10.82,32.502,27.287,12.838,38.87,2.375,20.74,22.437,26.992,-7.346,15.654,32.659,0.0,0.0,0.0
1367.0,54.68,-1.455,28.734,1.922,-17.165,37.941,5.221,-12.599,15.959,24.414,10.875,32.441,26.878,12.79,38.896,2.313,20.801,22.47,26.877,-7.223,15.448,32.532,0.0,0.0,0.0
1368.0,54.72,-1.465,28.732,1.904,-17.19,37.892,5.24,-12.46,15.857,24.295,11.193,31.981,26.445,12.748,38.935,2.233,20.861,22.622,26.815,-7.099,15.317,32.41,0.0,0.0,0.0
1369.0,54.76,-1.478,28.743,1.898,-17.223,37.862,5.277,-12.325,15.765,24.272,11.505,31.355,26.108,12.699,38.992,2.195,20.89,22.805,26.83,-6.976,15.171,32.437,0.0,0.0,0.0
1370.0,54.8,-1.496,28.74,1.905,-17.248,37.834,5.292,-12.254,15.702,24.246,11.608,31.235,25.521,12.663,39.025,2.207,20.957,22.971,26.889,-6.84,15.065,32.509,0.0,0.0,0.0
1371.0,54.84,-1.513,28.734,1.893,-17.271,37.805,5.293,-12.153,15.72,24.248,11.694,31.231,25.091,12.63,39.053,2.174,21.028,23.119,26.912,-6.776,15.172,32.417,0.0,0.0,0.0
1372.0,54.88,-1.518,28.727,1.871,-17.273,37.79,5.284,-12.091,15.788,24.28,11.819,31.305,24.813,12.608,39.062,2.114,21.129,23.258,26.89,-6.668,15.297,32.363,0.0,0.0,0.0
1373.0,54.92,-1.509,28.715,1.865,-17.231,37.782,5.33,-12.164,15.83,24.432,11.37,32.173,24.441,12.615,39.057,2.049,21.259,23.383,26.857,-6.5,15.3,32.403,0.0,0.0,0.0
1374.0,54.96,-1.528,28.705,1.887,-17.223,37.783,5.42,-12.184,15.792,24.551,11.007,33.066,25.59,12.601,39.058,2.016,21.396,23.489,26.832,-6.357,15.41,32.477,0.0,0.0,0.0
1375.0,55.0,-1.537,28.715,1.871,-17.24,37.812,5.366,-12.135,15.918,24.694,11.678,32.307,26.709,12.583,39.06,1.961,21.473,23.653,26.837,-6.234,15.391,32.483,0.0,0.0,0.0
1376.0,55.04,-1.531,28.704,1.86,-17.21,37.811,5.402,-12.085,16.046,24.854,12.032,31.664,26.856,12.583,39.043,1.904,21.471,23.764,26.844,-6.206,15.459,32.628,0.0,0.0,0.0
1377.0,55.08,-1.544,28.688,1.858,-17.209,37.802,5.446,-11.962,15.951,24.706,12.168,31.426,26.764,12.58,39.012,1.879,21.437,23.792,26.826,-6.249,15.612,32.725,0.0,0.0,0.0
