Frame,Time(s),chestUpper_T_glob,chestUpper_T_glob.1,chestUpper_T_glob.2,rShldrBend_T_glob,rShldrBend_T_glob.1,rShldrBend_T_glob.2,rForearmBend_T_glob,rForearmBend_T_glob.1,rForearmBend_T_glob.2,rHand_T_glob,rHand_T_glob.1,rHand_T_glob.2,lShldrBend_T_glob,lShldrBend_T_glob.1,lShldrBend_T_glob.2,lForearmBend_T_glob,lForearmBend_T_glob.1,lForearmBend_T_glob.2,lHand_T_glob,lHand_T_glob.1,lHand_T_glob.2,pelvis_T_glob,pelvis_T_glob.1,pelvis_T_glob.2
,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
2237.0,89.48,-0.305,25.904,-0.536,-16.274,34.467,-1.122,-26.729,6.868,-3.008,-18.858,4.229,23.624,15.173,34.291,-0.495,27.192,5.866,-2.44,16.358,4.044,23.732,0.0,0.0,0.0
2238.0,89.52,-0.317,25.898,-0.571,-16.287,34.457,-1.133,-26.732,6.854,-2.953,-18.832,4.277,23.674,15.159,34.291,-0.568,27.203,5.875,-2.493,16.482,4.1,23.72,0.0,0.0,0.0
2239.0,89.56,-0.324,25.893,-0.605,-16.298,34.454,-1.15,-26.745,6.848,-2.911,-18.818,4.303,23.71,15.15,34.289,-0.644,27.219,5.876,-2.552,16.618,4.149,23.713,0.0,0.0,0.0
2240.0,89.6,-0.332,25.885,-0.639,-16.306,34.448,-1.172,-26.766,6.842,-2.9,-18.824,4.329,23.724,15.143,34.281,-0.714,27.238,5.877,-2.62,16.733,4.188,23.689,0.0,0.0,0.0
2241.0,89.64,-0.331,25.88,-0.672,-16.301,34.444,-1.198,-26.78,6.849,-2.892,-18.813,4.351,23.73,15.142,34.274,-0.785,27.258,5.878,-2.687,16.832,4.205,23.655,0.0,0.0,0.0
2242.0,89.68,-0.325,25.874,-0.707,-16.291,34.447,-1.226,-26.795,6.862,-2.905,-18.804,4.343,23.723,15.15,34.259,-0.847,27.291,5.871,-2.744,16.903,4.184,23.615,0.0,0.0,0.0
2243.0,89.72,-0.318,25.864,-0.733,-16.281,34.447,-1.24,-26.805,6.874,-2.914,-18.783,4.299,23.736,15.16,34.24,-0.899,27.332,5.853,-2.788,16.909,4.138,23.567,0.0,0.0,0.0
2244.0,89.76,-0.307,25.86,-0.752,-16.262,34.444,-1.23,-26.78,6.881,-2.928,-18.776,4.234,23.764,15.177,34.224,-0.956,27.374,5.837,-2.827,16.897,4.05,23.531,0.0,0.0,0.0
2245.0,89.8,-0.289,25.859,-0.774,-16.243,34.442,-1.196,-26.71,6.877,-2.933,-18.778,4.275,23.809,15.202,34.218,-1.025,27.432,5.827,-2.882,16.858,3.901,23.513,0.0,0.0,0.0
2246.0,89.84,-0.264,25.857,-0.795,-16.226,34.446,-1.164,-26.594,6.887,-2.825,-18.976,4.684,24.007,15.228,34.237,-1.084,27.563,5.872,-2.946,16.698,3.65,23.473,0.0,0.0,0.0
2247.0,89.88,-0.229,25.855,-0.809,-16.197,34.434,-1.153,-26.484,6.858,-2.216,-19.259,6.073,24.641,15.25,34.283,-1.097,27.768,5.988,-2.991,16.377,3.124,23.319,0.0,0.0,0.0
2248.0,89.92,-0.194,25.857,-0.784,-16.184,34.438,-1.177,-26.555,6.833,-0.761,-19.445,9.439,25.802,15.256,34.342,-0.98,28.116,6.195,-2.974,15.785,2.255,22.883,0.0,0.0,0.0
2249.0,89.96,-0.198,25.891,-0.729,-16.197,34.563,-1.237,-26.663,7.053,1.994,-19.028,14.876,27.158,15.228,34.4,-0.724,28.594,6.47,-2.811,14.794,1.129,22.105,0.0,0.0,0.0
2250.0,90.0,-0.219,25.922,-0.658,-16.193,34.754,-1.284,-26.644,7.812,6.057,-18.025,21.444,28.026,15.201,34.427,-0.465,29.038,6.704,-2.522,13.68,-0.064,21.12,0.0,0.0,0.0
2251.0,90.04,-0.235,25.934,-0.562,-16.137,34.936,-1.226,-26.397,9.478,10.845,-16.154,27.782,28.086,15.191,34.437,-0.267,29.223,6.798,-2.216,12.662,-0.981,20.242,0.0,0.0,0.0
2252.0,90.08,-0.289,25.953,-0.441,-16.101,35.134,-1.047,-25.735,12.018,15.457,-13.732,33.053,27.59,15.154,34.465,-0.161,29.218,6.831,-1.878,11.728,-1.486,19.647,0.0,0.0,0.0
