Frame,Time(s),chestUpper_T_glob,chestUpper_T_glob.1,chestUpper_T_glob.2,rShldrBend_T_glob,rShldrBend_T_glob.1,rShldrBend_T_glob.2,rForearmBend_T_glob,rForearmBend_T_glob.1,rForearmBend_T_glob.2,rHand_T_glob,rHand_T_glob.1,rHand_T_glob.2,lShldrBend_T_glob,lShldrBend_T_glob.1,lShldrBend_T_glob.2,lForearmBend_T_glob,lForearmBend_T_glob.1,lForearmBend_T_glob.2,lHand_T_glob,lHand_T_glob.1,lHand_T_glob.2,pelvis_T_glob,pelvis_T_glob.1,pelvis_T_glob.2
,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1694.0,67.76,-0.252,26.079,-0.677,-16.022,34.822,-1.916,-27.09,7.524,-3.804,-18.241,11.343,22.226,15.293,34.651,-0.445,27.587,6.491,-2.17,15.124,12.809,22.179,0.0,0.0,0.0
1695.0,67.8,-0.221,26.074,-0.679,-15.972,34.845,-1.93,-27.345,7.647,-3.608,-18.319,11.623,22.326,15.33,34.649,-0.438,27.655,6.485,-1.931,14.845,12.888,22.243,0.0,0.0,0.0
1696.0,67.84,-0.152,26.065,-0.694,-15.843,34.924,-1.996,-28.311,8.099,-2.814,-18.716,12.685,22.835,15.42,34.655,-0.375,27.802,6.474,-1.165,14.051,13.136,22.457,0.0,0.0,0.0
1697.0,67.88,-0.044,26.058,-0.744,-15.636,35.077,-2.143,-29.982,9.078,-1.325,-19.301,14.605,23.75,15.559,34.642,-0.28,27.871,6.396,-0.044,13.132,13.551,22.848,0.0,0.0,0.0
1698.0,67.92,0.088,26.054,-0.801,-15.368,35.348,-2.305,-32.143,10.796,0.778,-20.146,17.641,24.951,15.734,34.601,-0.2,27.717,6.244,1.343,12.31,14.085,23.57,0.0,0.0,0.0
1699.0,67.96,0.219,26.064,-0.865,-15.08,35.718,-2.468,-34.397,13.367,3.247,-21.022,21.617,26.25,15.933,34.522,-0.151,27.286,6.013,2.814,11.646,14.63,24.629,0.0,0.0,0.0
1700.0,68.0,0.344,26.079,-0.914,-14.777,36.149,-2.588,-36.459,16.816,5.868,-21.499,26.218,27.456,16.134,34.421,-0.09,26.716,5.767,4.341,10.916,15.132,25.826,0.0,0.0,0.0
1701.0,68.04,0.486,26.09,-0.953,-14.403,36.593,-2.686,-38.038,20.992,8.36,-21.5,31.169,28.455,16.344,34.328,-0.005,26.161,5.643,5.885,9.956,15.691,26.842,0.0,0.0,0.0
1702.0,68.08,0.608,26.124,-0.947,-14.028,37.029,-2.735,-38.93,25.522,10.497,-20.971,36.138,29.13,16.54,34.248,0.086,25.623,5.637,7.402,8.85,16.361,27.602,0.0,0.0,0.0
1703.0,68.12,0.715,26.162,-0.899,-13.639,37.472,-2.724,-39.128,30.046,12.178,-19.987,40.701,29.555,16.73,34.179,0.164,25.029,5.713,8.745,7.722,17.09,28.163,0.0,0.0,0.0
1704.0,68.16,0.813,26.217,-0.843,-13.288,37.826,-2.705,-38.775,34.255,13.41,-18.611,44.703,29.74,16.906,34.124,0.208,24.403,5.849,9.885,6.62,17.732,28.612,0.0,0.0,0.0
1705.0,68.2,0.904,26.269,-0.781,-12.913,38.182,-2.672,-38.018,37.876,14.282,-17.024,48.007,29.77,17.076,34.045,0.245,23.807,5.954,10.818,5.612,18.226,28.934,0.0,0.0,0.0
1706.0,68.24,0.997,26.328,-0.728,-12.554,38.471,-2.624,-37.058,40.869,14.884,-15.33,50.545,29.647,17.238,33.974,0.263,23.281,6.06,11.534,4.726,18.603,29.135,0.0,0.0,0.0
1707.0,68.28,1.088,26.384,-0.688,-12.229,38.708,-2.58,-36.058,43.156,15.327,-13.711,52.329,29.437,17.386,33.914,0.268,22.803,6.148,12.075,3.999,18.93,29.251,0.0,0.0,0.0
1708.0,68.32,1.179,26.419,-0.676,-11.952,38.875,-2.539,-35.134,44.823,15.66,-12.181,53.39,29.184,17.525,33.856,0.268,22.403,6.217,12.476,3.446,19.256,29.285,0.0,0.0,0.0
1709.0,68.36,1.252,26.441,-0.68,-11.743,38.993,-2.496,-34.387,45.959,15.928,-10.893,53.854,28.909,17.634,33.811,0.248,22.131,6.28,12.782,3.059,19.653,29.2,0.0,0.0,0.0
1710.0,68.4,1.305,26.453,-0.701,-11.609,39.063,-2.474,-33.819,46.65,16.163,-9.873,53.903,28.672,17.714,33.787,0.195,21.969,6.362,12.985,2.857,20.083,29.04,0.0,0.0,0.0
1711.0,68.44,1.342,26.457,-0.738,-11.535,39.097,-2.484,-33.402,46.957,16.391,-9.066,53.586,28.484,17.768,33.768,0.112,21.871,6.445,13.121,2.779,20.524,28.852,0.0,0.0,0.0
1712.0,68.48,1.368,26.448,-0.792,-11.491,39.085,-2.521,-33.103,46.919,16.609,-8.47,52.971,28.382,17.804,33.758,0.025,21.799,6.527,13.22,2.747,20.971,28.652,0.0,0.0,0.0
1713.0,68.52,1.39,26.434,-0.851,-11.471,39.059,-2.55,-32.914,46.616,16.882,-8.018,52.111,28.384,17.83,33.754,-0.068,21.75,6.614,13.308,2.766,21.395,28.478,0.0,0.0,0.0
1714.0,68.56,1.401,26.423,-0.905,-11.499,39.019,-2.549,-32.85,46.166,17.139,-7.703,50.913,28.398,17.842,33.763,-0.153,21.703,6.729,13.424,2.782,21.836,28.318,0.0,0.0,0.0
1715.0,68.6,1.402,26.419,-0.95,-11.538,38.988,-2.537,-32.859,45.69,17.36,-7.419,49.24,28.369,17.839,33.785,-0.234,21.639,6.855,13.535,2.81,22.307,28.17,0.0,0.0,0.0
1716.0,68.64,1.399,26.416,-1.0,-11.565,38.956,-2.535,-32.823,45.233,17.591,-7.083,47.046,28.247,17.831,33.803,-0.309,21.576,6.978,13.646,2.941,22.854,28.005,0.0,0.0,0.0
1717.0,68.68,1.391,26.421,-1.043,-11.595,38.946,-2.49,-32.736,44.96,17.874,-6.758,44.381,27.994,17.822,33.846,-0.362,21.505,7.153,13.829,3.15,23.566,27.839,0.0,0.0,0.0
1718.0,68.72,1.376,26.451,-1.064,-11.612,38.951,-2.402,-32.532,44.927,18.209,-6.529,41.449,27.644,17.799,33.916,-0.393,21.428,7.436,14.159,3.35,24.558,27.581,0.0,0.0,0.0
1719.0,68.76,1.363,26.473,-1.077,-11.596,38.945,-2.319,-32.115,45.2,18.577,-6.412,38.626,27.166,17.776,33.969,-0.429,21.387,7.789,14.642,3.507,25.729,27.137,0.0,0.0,0.0
1720.0,68.8,1.357,26.484,-1.078,-11.582,38.938,-2.205,-31.856,45.476,18.851,-6.26,38.151,26.837,17.746,34.029,-0.461,21.628,8.14,15.01,3.238,26.053,26.8,0.0,0.0,0.0
1721.0,68.84,1.361,26.484,-1.074,-11.616,38.921,-2.193,-32.045,45.635,18.64,-5.982,40.369,26.744,17.735,34.074,-0.471,21.762,8.112,14.919,3.079,25.453,27.153,0.0,0.0,0.0
1722.0,68.88,1.366,26.463,-1.062,-11.613,38.938,-2.269,-32.332,45.547,18.324,-5.877,43.619,26.581,17.747,34.0,-0.492,21.764,7.937,14.701,2.934,24.879,27.308,0.0,0.0,0.0
1723.0,68.92,1.371,26.452,-1.044,-11.595,38.985,-2.332,-32.543,45.317,18.102,-6.04,46.898,26.302,17.778,33.889,-0.507,21.725,7.621,14.392,3.078,24.477,27.463,0.0,0.0,0.0
